fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-14.793704,0.16028707,-0.105708584,0.44782,0.0060116556,0.74916625,-0.26481843,-0.25457782,-0.94504523,-0.69856846,-0.17018327,-0.58145684,0.46070546,-0.6139036,0.057542328,-0.8177573,-0.068185225,0.0344518,-0.54265517,0.07333799,0.27124426,0.58081776,0.17735535,-0.3913442,-0.2410827,-0.53313106,-0.3145833,0.49508595,-0.4359661,-0.67970634,0.40298072,-0.85709846,-0.83768755,-0.9944288,0.10182191,-0.52251357,-0.30885327,0.34802532,-0.8868643,-0.06973541,-0.2696207,-0.3687166,-0.5116208,0.27742165,0.021354795,-0.5278193,0.8696628,-0.006732704,-0.5192201,-0.50812423,0.2646656
-13.441239,-0.24181582,0.48651344,0.7414094,0.27399722,0.08913072,-0.23690927,-0.026159123,0.24089947,0.76639676,-0.9772401,-0.34665287,-0.1538745,-0.39791176,0.11389495,-0.2508573,0.37675542,-0.3828016,0.11044839,0.8754729,0.5921008,-0.16434024,0.19786465,0.569001,-0.48126784,-0.14684223,0.49714956,0.23650007,0.2768355,0.71488476,0.52590716,-0.6630131,0.33777544,0.5577272,0.41099623,-0.46512532,-0.38038754,0.76424783,0.43128192,0.62868494,-0.16624261,-0.027786346,-0.078264356,0.46827242,-0.055688806,-0.53027314,-0.91047513,-0.942444,0.12611443,-0.8944459,-0.47975993
-12.964533,-0.22892684,-0.52575946,0.58559203,-0.8401595,-0.24326324,-0.042841278,-0.58018345,0.14597979,0.74763614,-0.51991063,-0.98545617,0.13026996,-0.16073455,-0.8366142,-0.2975397,-0.53119856,-0.024042374,0.5518373,-0.0037122392,-0.20257547,0.40500033,-0.3557823,-0.14675593,-0.5819403,0.7182786,0.33615744,0.07475397,0.9067274,-0.3048765,-0.242685,-0.6722495,0.3772532,-0.24035978,-0.5708285,-0.23003778,-0.9855433,-0.12843677,-0.43139154,-0.41340274,0.3502249,0.32815307,0.5699818,0.39153603,0.36073235,0.31417802,-0.562582,-0.019154109,0.48708203,-0.049781322,-0.25930125
-15.867505,-0.39924973,0.0996877,0.08968186,0.0030510589,-0.4202432,-0.9640724,0.28220722,-0.55358475,-0.91393816,-0.5493534,-0.28048086,-0.74453604,0.22724348,0.43361083,0.2613451,0.99685293,0.63438714,-0.18218929,-0.038327813,0.064058445,-0.20680392,0.956395,0.7865606,0.68662655,-0.475241,0.67572755,-0.06760217,-0.31919706,-0.23765999,0.0137027,0.1987184,-0.22570427,0.18058941,-0.90876913,-0.7725447,-0.804168,0.07143482,0.91012055,-0.6650742,-0.10685736,0.13468587,-0.5255311,0.18195486,-0.09478132,-0.14163214,-0.666671,0.8935596,-0.52430725,0.33868313,0.39661053
-14.727465,-0.18208584,-0.23816243,-0.52119464,0.7231316,-0.10044515,-0.8796321,0.04841342,0.2571771,-0.06625639,0.22210582,-0.09945825,0.45027456,0.25758994,-0.039445184,-0.64311385,0.053487595,-0.091637135,0.21089968,-0.5631446,-0.030580431,-0.9165145,0.33418307,-0.24101089,-0.42288646,-0.4604561,-0.9510003,-0.47312996,0.57051563,-0.58320034,0.737133,-0.975666,0.43029273,0.7259224,-0.39811954,0.6036437,-0.16487269,-0.9432789,0.26338273,-0.2501818,0.62558335,-0.287249,-0.21467753,0.5357078,-0.11924063,-0.3270099,-0.16873193,0.53683853,-0.634171,-0.03789024,0.4267204
-21.544939,-0.5359036,-0.6090973,0.37649062,0.13005108,-0.15254828,0.54115117,0.32023603,0.3407217,-0.85398895,0.325023,-0.21993168,-0.25561503,-0.6361711,-0.6248659,-0.87285995,-0.20697711,0.19858958,-0.098070025,0.22041714,0.22974838,0.5475584,-0.41312099,-0.029853502,-0.17008692,0.2826577,-0.693511,0.70673895,0.01660037,-0.3822943,-0.035675734,0.14734872,0.39114413,-0.5091235,-0.8005575,-0.0035783052,0.27783814,0.88860554,-0.07243347,-0.2928265,-0.52056897,0.70380217,0.9844308,0.51411414,0.6429024,-0.28053927,-0.9122282,0.4488589,-0.33148777,0.14522007,-0.6188818
-17.319708,-0.54357636,0.61496824,-0.41724396,-0.43937737,-0.74825376,0.11100892,0.57459486,0.13328755,0.23067915,-0.0012447773,0.4310956,0.06189577,0.70482886,0.004930994,0.02865076,0.008960247,0.54109234,0.6734876,0.08431858,-0.5266803,-0.32868478,0.30188534,-0.04412685,0.18314464,0.0041725636,0.43608165,0.36582685,-0.51125735,0.82845926,-0.56517833,0.82257545,-0.5717735,-0.52691203,0.25431192,0.5473075,0.36190328,-0.3884376,-0.46496102,-0.54394215,0.3030475,0.30352855,0.5899241,-0.7225368,0.71174943,-0.7446599,0.19984326,0.55992806,0.49183607,-0.23162219,0.01601088
-12.610385,0.3073262,0.9976312,-0.4652524,0.6148719,0.08253504,0.2912723,0.3717165,-0.6934272,-0.726552,-0.45806897,-0.1483683,-0.18402253,-0.21639715,-0.2143688,0.5805176,0.38943538,0.5028361,-0.1844473,-0.53214943,-0.6678596,0.7062853,0.2879555,0.69440144,-0.6305052,-0.22995801,0.018697023,-0.08947492,-0.8493141,-0.4481224,-0.42926443,-0.19624208,0.17139852,0.8289463,-0.10453186,-0.529908,-0.33504874,0.73118955,-0.20964798,-0.069493055,-0.08664448,-0.7297877,-0.58964086,-0.54222643,0.2847674,0.7924595,0.9541511,-0.52141196,-0.16935562,-0.12030904,0.22677362
-28.917198,0.35825872,0.3648157,-0.9504449,0.15925652,-0.46766254,0.3062553,-0.8237999,-0.32096598,-0.10668992,-0.2182389,-0.95197695,0.37448046,-0.3234543,-0.19730121,-0.22988918,0.80045235,-0.09743674,-0.6567269,0.051789004,-0.8115613,-0.4568131,-0.3712349,0.014138863,-0.02393511,-0.5096916,0.70973766,0.024795454,-0.2006491,-0.18130374,0.0084411595,0.148767,-0.3374938,-0.2285806,0.10609624,0.2942993,0.631911,-0.4884892,-0.7934306,0.2934135,-0.03729974,-0.53128797,0.88153654,0.119410746,-0.021138923,0.3006568,-0.02618953,-0.07965464,0.14214371,-0.23475528,-0.12567195
-13.411057,0.20640513,0.19871944,-0.6588285,0.019543668,-0.24344297,-0.22643043,0.0068171024,0.04837382,-0.36906773,0.611071,-0.19055647,-0.6579358,0.60274976,-0.13273056,0.16681926,0.8119264,-0.11031534,-0.3144654,0.50841856,-0.0979433,0.013994718,-0.1371305,-0.53160715,-0.5648097,0.4387666,-0.3392538,0.55557454,-0.33398205,-0.18154539,0.17820947,-0.7436881,0.19705065,-0.7119675,0.0727615,-0.780173,-0.4832451,-0.46934125,-0.1720445,-0.24263826,0.71185637,-0.2716162,0.03034208,-0.7870563,-0.7655048,-0.17201991,-0.53318584,-0.015085072,-0.5369255,0.104109906,0.7786208
