neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999014,0.0,0.5138107,0.0,0.3746206,0.0,0.55015194,0.0,0.47603482,0.0,0.44371352,0.0,0.43327263,0.0,0.54707843,0.0,0.5515152,0.0,0.4151933,0.0
0.99998826,-0.011771806,0.58166426,0.0,0.30531517,0.0,0.6323814,0.0,0.5074349,0.0,0.37527135,0.0,0.38459304,0.0,0.622702,0.0,0.6295393,0.0,0.39935595,0.0
0.9999988,-0.023455698,0.6456292,0.0,0.22425131,0.0,0.70135987,0.0,0.53863263,0.0,0.30571997,0.0,0.32600087,0.0,0.6825339,0.0,0.6945985,0.0,0.38032833,0.0
0.9999999,-0.034964394,0.7036609,0.0,0.130028,0.0,0.7576212,0.0,0.56931055,0.0,0.23588483,0.0,0.25758252,0.0,0.7287794,0.0,0.7474344,0.0,0.35866398,0.0
1.0,-0.046211857,0.7547099,0.0,0.02179507,0.0,0.8024224,0.0,0.5991,0.0,0.16640073,0.0,0.17986095,0.0,0.7636876,0.0,0.7895145,0.0,0.3349663,0.0
1.0,-0.057113923,0.79854995,0.0,-0.10007539,0.0,0.83740836,0.0,0.6276449,0.0,0.097740464,0.0,0.09389775,0.0,0.7892596,0.0,0.82255846,0.0,0.30982497,0.0
1.0,-0.06758892,0.8355186,0.0,-0.2331003,0.0,0.8643298,0.0,0.65465796,0.0,0.03030176,0.0,0.0013336159,0.0,0.8071245,0.0,0.848236,0.0,0.28376368,0.0
1.0,-0.07755818,0.86627245,0.0,-0.37191993,0.0,0.8848561,0.0,0.6799621,0.0,-0.035475202,0.0,-0.09565891,0.0,0.8185172,0.0,0.8680147,0.0,0.25719565,0.0
1.0,-0.08694672,0.8916024,0.0,-0.50837284,0.0,0.90047485,0.0,0.70350987,0.0,-0.099013336,0.0,-0.19452098,0.0,0.8243063,0.0,0.88311076,0.0,0.23038632,0.0
1.0,-0.09568366,0.91231453,0.0,-0.6331041,0.0,0.91244775,0.0,0.72537166,0.0,-0.15959275,0.0,-0.29253584,0.0,0.8250386,0.0,0.89449364,0.0,0.20342566,0.0
1.0,-0.103702806,0.92916274,0.0,-0.7384132,0.0,0.9217943,0.0,0.7456952,0.0,-0.21646154,0.0,-0.38709885,0.0,0.82098246,0.0,0.9029138,0.0,0.1762113,0.0
1.0,-0.110943094,0.94281733,0.0,-0.8206752,0.0,0.92929393,0.0,0.76465183,0.0,-0.26900858,0.0,-0.47597167,0.0,0.8121639,0.0,0.90893555,0.0,0.14844374,0.0
1.0,-0.11734905,0.95385534,0.0,-0.88071394,0.0,0.9355079,0.0,0.78239405,0.0,-0.31689504,0.0,-0.55746514,0.0,0.7983928,0.0,0.9129671,0.0,0.11963118,0.0
1.0,-0.12287116,0.96276283,0.0,-0.92225885,0.0,0.9408183,0.0,0.79903615,0.0,-0.3600823,0.0,-0.6305202,0.0,0.77928406,0.0,0.9152851,0.0,0.08910122,0.0
1.0,-0.12746625,0.96994305,0.0,-0.94993865,0.0,0.9454747,0.0,0.8146553,0.0,-0.39877304,0.0,-0.69468796,0.0,0.75427645,0.0,0.91605276,0.0,0.056017257,0.0
1.0,-0.13109773,0.97572714,0.0,-0.9679352,0.0,0.9496363,0.0,0.829302,0.0,-0.43331948,0.0,-0.75003743,0.0,0.7226549,0.0,0.91532946,0.0,0.019400408,0.0
1.0,-0.13373603,0.9803851,0.0,-0.979472,0.0,0.9534045,0.0,0.84301203,0.0,-0.4641406,0.0,-0.7970266,0.0,0.68358153,0.0,0.91307294,0.0,-0.021837264,0.0
1.0,-0.1353586,0.9841356,0.0,-0.9868179,0.0,0.95684534,0.0,0.8558147,0.0,-0.49166465,0.0,-0.83636916,0.0,0.6361433,0.0,0.9091314,0.0,-0.06883566,0.0
1.0,-0.13595021,0.9871552,0.0,-0.9914874,0.0,0.96000385,0.0,0.86773866,0.0,-0.5162962,0.0,-0.8689164,0.0,0.5794233,0.0,0.9032239,0.0,-0.12268675,0.0
1.0,-0.13550301,0.9895859,0.0,-0.99446076,0.0,0.96291214,0.0,0.87881476,0.0,-0.53840035,0.0,-0.8955648,0.0,0.5126033,0.0,0.8949066,0.0,-0.18426737,0.0
1.0,-0.13401659,0.9915416,0.0,-0.9963622,0.0,0.965595,0.0,0.88907665,0.0,-0.5582981,0.0,-0.91718996,0.0,0.43510276,0.0,0.8835205,0.0,-0.25398412,0.0
1.0,-0.13149805,0.9931135,0.0,-0.9975855,0.0,0.96807253,0.0,0.89856124,0.0,-0.5762676,0.0,-0.9346053,0.0,0.34675208,0.0,0.86811465,0.0,-0.33143532,0.0
1.0,-0.12796186,0.99437433,0.0,-0.9983785,0.0,0.9703617,0.0,0.90730774,0.0,-0.59254766,0.0,-0.9485389,0.0,0.2479833,0.0,0.8473417,0.0,-0.41505644,0.0
1.0,-0.12342983,0.9953817,0.0,-0.9988974,0.0,0.9724777,0.0,0.91535723,0.0,-0.6073428,0.0,-0.95962465,0.0,0.14000523,0.0,0.8193238,0.0,-0.5019107,0.0
1.0,-0.11793089,0.9961814,0.0,-0.99924046,0.0,0.97443384,0.0,0.92275167,0.0,-0.62082785,0.0,-0.96840256,0.0,0.02490894,0.0,0.7815027,0.0,-0.587854,0.0
1.0,-0.11150098,0.9968094,0.0,-0.99947006,0.0,0.97624266,0.0,0.9295333,0.0,-0.63315296,0.0,-0.9753249,0.0,-0.09435882,0.0,0.73051924,0.0,-0.6682269,0.0
1.0,-0.10418272,0.99729353,0.0,-0.99962574,0.0,0.9779154,0.0,0.93574387,0.0,-0.6444468,0.0,-0.9807651,0.0,-0.21420152,0.0,0.66222507,0.0,-0.738931,0.0
1.0,-0.096025206,0.99765474,0.0,-0.9997328,0.0,0.97946256,0.0,0.94142413,0.0,-0.65482044,0.0,-0.985028,0.0,-0.33075657,0.0,0.5720217,0.0,-0.797416,0.0
1.0,-0.08708349,0.9979076,0.0,-0.9998074,0.0,0.98089373,0.0,0.94661367,0.0,-0.66436994,0.0,-0.9883602,0.0,-0.44038582,0.0,0.4557908,0.0,-0.84307575,0.0
1.0,-0.07741843,0.99806005,0.0,-0.99986005,0.0,0.98221785,0.0,0.95135015,0.0,-0.67317885,0.0,-0.9909595,0.0,-0.5401467,0.0,0.31159487,0.0,-0.87693644,0.0
1.0,-0.067096025,0.9981127,0.0,-0.99989766,0.0,0.9834431,0.0,0.95566946,0.0,-0.68132,0.0,-0.99298364,0.0,-0.6281122,0.0,0.14187159,0.0,-0.90094644,0.0
1.0,-0.056187153,0.99805623,0.0,-0.9999248,0.0,0.98457706,0.0,0.95960546,0.0,-0.68885714,0.0,-0.9945576,0.0,-0.703466,0.0,-0.04500051,0.0,-0.9172864,0.0
1.0,-0.044766955,0.9978683,0.0,-0.99994445,0.0,0.9856267,0.0,0.96318966,0.0,-0.69584644,0.0,-0.99578017,0.0,-0.76638323,0.0,-0.23539104,0.0,-0.9279295,0.0
1.0,-0.032914326,0.9975082,0.0,-0.9999588,0.0,0.9865984,0.0,0.96645164,0.0,-0.70233744,0.0,-0.9967289,0.0,-0.8177752,0.0,-0.41398925,0.0,-0.93446285,0.0
1.0,-0.020711396,0.9969088,0.0,-0.99996936,0.0,0.9874978,0.0,0.9694186,0.0,-0.70837414,0.0,-0.9974646,0.0,-0.85899276,0.0,-0.5685673,0.0,-0.9380775,0.0
1.0,-0.00824292,0.9959646,0.0,-0.9999772,0.0,0.9883302,0.0,0.9721155,0.0,-0.7139956,0.0,-0.9980348,0.0,-0.8915643,0.0,-0.69304067,0.0,-0.9396317,0.0
1.0,0.0044042887,0.99451524,0.0,-0.99998295,0.0,0.9891003,0.0,0.97456527,0.0,-0.7192365,0.0,-0.99847656,0.0,-0.9170036,0.0,-0.7874346,0.0,-0.93972933,0.0
0.99999976,0.017142065,0.992321,0.0,-0.9999872,0.0,0.9898121,0.0,0.97678846,0.0,-0.7241281,0.0,-0.9988188,0.0,-0.93669313,0.0,-0.855745,0.0,-0.93878865,0.0
0.99999666,0.02988129,0.98902863,0.0,-0.9999904,0.0,0.990469,0.0,0.9788037,0.0,-0.72869843,0.0,-0.9990839,0.0,-0.9518282,0.0,-0.90349627,0.0,-0.9370956,0.0
0.99995714,0.042532794,0.98412454,0.0,-0.9999928,0.0,0.9910738,0.0,0.9806273,0.0,-0.7329725,0.0,-0.9992892,0.0,-0.9634032,0.0,-0.9360652,0.0,-0.93484265,0.0
0.99946517,0.05500778,0.97687215,0.0,-0.9999945,0.0,0.99162805,0.0,0.9822733,0.0,-0.7369729,0.0,-0.99944824,0.0,-0.97222334,0.0,-0.95790756,0.0,-0.93215704,0.0
0.99350417,0.067218505,0.9662118,0.0,-0.9999959,0.0,0.9921283,0.0,0.98375356,0.0,-0.74072003,0.0,-0.9995715,0.0,-0.9789271,0.0,-0.972393,0.0,-0.9291205,0.0
0.9248449,0.079078935,0.9502685,0.0,-0.99999684,0.0,0.99252343,0.0,0.9850768,0.0,-0.74423194,0.0,-0.999667,0.0,-0.98401374,0.0,-0.9819308,0.0,-0.9257828,0.0
0.35322794,0.09050531,0.9213506,0.0,-0.99999726,0.0,0.9924045,0.0,0.98624015,0.0,-0.7475237,0.0,-0.999741,0.0,-0.9878695,0.0,-0.9881835,0.0,-0.922172,0.0
-0.7766778,0.10141671,0.85768855,0.0,-0.9999971,0.0,0.99118614,0.0,0.9872118,0.0,-0.7506061,0.0,-0.9997985,0.0,-0.9907909,0.0,-0.99227256,0.0,-0.9183007,0.0
-0.9919214,0.111735605,0.7460175,0.0,-0.9999967,0.0,0.9893832,0.0,0.98795104,0.0,-0.7534892,0.0,-0.999843,0.0,-0.9930042,0.0,-0.99494374,0.0,-0.9141705,0.0
-0.9997624,0.12138861,0.5758373,0.0,-0.9999963,0.0,0.98692894,0.0,0.9884102,0.0,-0.75618035,0.0,-0.9998776,0.0,-0.9946814,0.0,-0.9966883,0.0,-0.9097752,0.0
-0.9999929,0.13030656,0.35257488,0.0,-0.9999959,0.0,0.9834549,0.0,0.98854685,0.0,-0.75868404,0.0,-0.9999044,0.0,-0.995953,0.0,-0.9978282,0.0,-0.9051024,0.0
-0.99999976,0.13842548,0.10576406,0.0,-0.99999535,0.0,0.9784113,0.0,0.98834175,0.0,-0.7610022,0.0,-0.99992526,0.0,-0.9969177,0.0,-0.99857366,0.0,-0.90013504,0.0
-1.0,0.14568672,-0.12729588,0.0,-0.9999947,0.0,0.97103065,0.0,0.98780006,0.0,-0.7631347,0.0,-0.9999414,0.0,-0.9976502,0.0,-0.9990617,0.0,-0.89485174,0.0
-1.0,0.15203737,-0.32362714,0.0,-0.9999939,0.0,0.9602446,0.0,0.9869381,0.0,-0.7650789,0.0,-0.99995404,0.0,-0.9982068,0.0,-0.99938166,0.0,-0.88922733,0.0
-1.0,0.15743086,-0.47851986,0.0,-0.9999931,0.0,0.9445579,0.0,0.98576975,0.0,-0.76682866,0.0,-0.9999638,0.0,-0.9986301,0.0,-0.99959177,0.0,-0.88323283,0.0
-1.0,0.161827,-0.5971521,0.0,-0.9999921,0.0,0.9218903,0.0,0.9843021,0.0,-0.7683731,0.0,-0.99997145,0.0,-0.9989523,0.0,-0.99973,0.0,-0.8768352,0.0
-1.0,0.16519241,-0.6872162,0.0,-0.9999909,0.0,0.88941157,0.0,0.98253816,0.0,-0.76969475,0.0,-0.99997735,0.0,-0.9991979,0.0,-0.999821,0.0,-0.869997,0.0
-1.0,0.16750078,-0.75569314,0.0,-0.99998957,0.0,0.84341556,0.0,0.9804818,0.0,-0.770768,0.0,-0.99998194,0.0,-0.99938524,0.0,-0.99988115,0.0,-0.862676,0.0
-1.0,0.16873291,-0.80806273,0.0,-0.9999881,0.0,0.7793351,0.0,0.9781455,0.0,-0.7715573,0.0,-0.9999855,0.0,-0.9995282,0.0,-0.9999209,0.0,-0.8548244,0.0
-1.0,0.16887699,-0.8484056,0.0,-0.99998635,0.0,0.6920762,0.0,0.9755581,0.0,-0.7720169,0.0,-0.99998826,0.0,-0.99963754,0.0,-0.99994725,0.0,-0.8463881,0.0
-1.0,0.16792853,-0.87971115,0.0,-0.99998444,0.0,0.5769156,0.0,0.9727731,0.0,-0.77209234,0.0,-0.9999904,0.0,-0.99972117,0.0,-0.9999647,0.0,-0.83730555,0.0
-1.0,0.16589053,-0.9041682,0.0,-0.99998224,0.0,0.43114525,0.0,0.96987236,0.0,-0.7717262,0.0,-0.999992,0.0,-0.99978524,0.0,-0.99997634,0.0,-0.8275068,0.0
-1.0,0.16277337,-0.9233898,0.0,-0.9999798,0.0,0.25628862,0.0,0.9669631,0.0,-0.77086836,0.0,-0.99999326,0.0,-0.99983436,0.0,-0.99998415,0.0,-0.8169119,0.0
-1.0,0.15859476,-0.9385759,0.0,-0.99997705,0.0,0.05997115,0.0,0.9641618,0.0,-0.7694905,0.0,-0.9999942,0.0,-0.999872,0.0,-0.99998933,0.0,-0.80542904,0.0
-1.0,0.15337957,-0.9506281,0.0,-0.999974,0.0,-0.14413668,0.0,0.96157,0.0,-0.7675997,0.0,-0.99999493,0.0,-0.99990094,0.0,-0.9999928,0.0,-0.7929529,0.0
-1.0,0.14715971,-0.9602304,0.0,-0.9999706,0.0,-0.33939138,0.0,0.95925075,0.0,-0.76524425,0.0,-0.9999955,0.0,-0.9999232,0.0,-0.9999951,0.0,-0.7793616,0.0
-1.0,0.13997386,-0.9679066,0.0,-0.9999668,0.0,-0.51124007,0.0,0.9572184,0.0,-0.7625069,0.0,-0.99999595,0.0,-0.9999404,0.0,-0.99999666,0.0,-0.76451415,0.0
-1.0,0.1318673,-0.9740607,0.0,-0.9999626,0.0,-0.6513178,0.0,0.95544624,0.0,-0.7594886,0.0,-0.99999624,0.0,-0.99995357,0.0,-0.99999774,0.0,-0.7482465,0.0
-1.0,0.12289138,-0.9790071,0.0,-0.9999581,0.0,-0.7583104,0.0,0.9538846,0.0,-0.75629026,0.0,-0.99999654,0.0,-0.9999638,0.0,-0.99999845,0.0,-0.7303672,0.0
