neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999013,0.0,0.5805666,0.0,0.60908896,0.0,0.52682537,0.0,0.2973173,0.0,0.50961095,0.0,0.49448672,0.0,0.52204025,0.0,0.5294877,0.0,0.4067413,0.0
0.9994261,-0.011771806,0.6213963,0.0,0.65149957,0.0,0.53656673,0.0,0.021332245,0.0,0.47113416,0.0,0.41070473,0.0,0.55273026,0.0,0.52920026,0.0,0.3174016,0.0
0.995493,-0.023455698,0.64812666,0.0,0.6968196,0.0,0.5557543,0.0,-0.2036719,0.0,0.41006023,0.0,0.2694831,0.0,0.5862957,0.0,0.5186179,0.0,0.24123153,0.0
0.95282644,-0.034964394,0.6620149,0.0,0.7386403,0.0,0.5841231,0.0,-0.36631918,0.0,0.3346092,0.0,0.081656046,0.0,0.6114985,0.0,0.4926149,0.0,0.18485335,0.0
0.5329749,-0.046211857,0.6313931,0.0,0.7518915,0.0,0.6462939,0.0,-0.46286798,0.0,0.2605739,0.0,-0.12915236,0.0,0.6224518,0.0,0.4466717,0.0,0.1505125,0.0
-0.11812908,-0.057113923,0.52863485,0.0,0.7210553,0.0,0.73215646,0.0,-0.49198526,0.0,0.20473881,0.0,-0.32807216,0.0,0.617245,0.0,0.3788224,0.0,0.13511136,0.0
0.10539727,-0.06758892,0.45660946,0.0,0.70135355,0.0,0.77209646,0.0,-0.49012798,0.0,0.16320254,0.0,-0.48829237,0.0,0.5976552,0.0,0.29230723,0.0,0.13227913,0.0
-0.19677675,-0.07755818,0.3525558,0.0,0.65199834,0.0,0.80946577,0.0,-0.45130342,0.0,0.14164358,0.0,-0.6060437,0.0,0.5645438,0.0,0.1919979,0.0,0.13607475,0.0
-0.15252705,-0.08694672,0.2726825,0.0,0.59728754,0.0,0.82816356,0.0,-0.3864392,0.0,0.13877371,0.0,-0.6862733,0.0,0.51899755,0.0,0.08370041,0.0,0.1422159,0.0
-0.3208175,-0.09568366,0.18641618,0.0,0.5161355,0.0,0.84174114,0.0,-0.29065508,0.0,0.15735507,0.0,-0.736397,0.0,0.46144956,0.0,-0.027814066,0.0,0.14821106,0.0
-0.35275728,-0.103702806,0.11849747,0.0,0.42132545,0.0,0.8456218,0.0,-0.17082296,0.0,0.19672307,0.0,-0.7622789,0.0,0.39312297,0.0,-0.1388173,0.0,0.15277547,0.0
-0.44203094,-0.110943094,0.05800979,0.0,0.30836087,0.0,0.84316623,0.0,-0.031904176,0.0,0.25582752,0.0,-0.76709783,0.0,0.3163055,0.0,-0.24635643,0.0,0.15516357,0.0
-0.49117136,-0.11734905,0.010446951,0.0,0.18679158,0.0,0.83290136,0.0,0.11439901,0.0,0.3303556,0.0,-0.7510352,0.0,0.23520271,0.0,-0.34733295,0.0,0.15453193,0.0
-0.5427126,-0.12287116,-0.027501311,0.0,0.062495664,0.0,0.8146537,0.0,0.25665584,0.0,0.41388276,0.0,-0.7111683,0.0,0.15564066,0.0,-0.43812716,0.0,0.1494365,0.0
-0.58396435,-0.12746625,-0.05726464,0.0,-0.05699125,0.0,0.78727776,0.0,0.3855084,0.0,0.49896473,0.0,-0.64173114,0.0,0.08418989,0.0,-0.5148794,0.0,0.13748181,0.0
-0.62161696,-0.13109773,-0.08191762,0.0,-0.16660006,0.0,0.74970686,0.0,0.49598372,0.0,0.5791053,0.0,-0.53562516,0.0,0.02700498,0.0,-0.5741895,0.0,0.11522721,0.0
-0.65806353,-0.13373603,-0.10517379,0.0,-0.26351094,0.0,0.70101285,0.0,0.5870836,0.0,0.64999413,0.0,-0.38833487,0.0,-0.011095419,0.0,-0.61364794,0.0,0.078605905,0.0
-0.69669646,-0.1353586,-0.13136247,0.0,-0.3469365,0.0,0.64077044,0.0,0.660439,0.0,0.7097198,0.0,-0.20372522,0.0,-0.02734585,0.0,-0.6318825,0.0,0.024159944,0.0
-0.73935264,-0.13595021,-0.1648113,0.0,-0.4173606,0.0,0.56919986,0.0,0.71889406,0.0,0.75822604,0.0,0.0029728324,0.0,-0.0215695,0.0,-0.6281663,0.0,-0.049103048,0.0
-0.78485227,-0.13550301,-0.2088444,0.0,-0.47585496,0.0,0.4869991,0.0,0.7654629,0.0,0.7965335,0.0,0.21011016,0.0,0.0038186628,0.0,-0.6018937,0.0,-0.13831,0.0
-0.8289307,-0.13401659,-0.26476642,0.0,-0.5236849,0.0,0.3949961,0.0,0.8027343,0.0,0.8260839,0.0,0.3990935,0.0,0.04453277,0.0,-0.5524068,0.0,-0.23695353,0.0
