fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-13.623405,0.008146644,-0.29999924,-0.40586486,0.2625817,0.27310008,-0.35444972,-0.40396628,-0.14813228,0.5752527,-0.64903593,-0.8166883,-0.1537379,-0.039904274,-0.72622335,-0.2675309,-0.2402272,-0.3942565,0.7542606,0.30660477,0.23847167,0.05658281,0.059225023,0.80694795,0.83544695,0.467741,0.25903028,-0.5114211,-0.12946808,-0.34878874,-0.057052847,-0.20197858,-0.4610807,-0.22069052,-0.6865419,-0.9063736,0.17731464,-0.25781274,-0.038553834,-0.58010244,0.7858015,-0.39548197,-0.38396484,0.25450495,0.20897304,-0.45166472,0.71872723,-0.4263809,0.15773149,0.12271028,0.7443446
-14.528326,0.22062398,0.16955322,-0.7021697,-0.55848294,0.118966684,-0.7653583,-0.10589733,-0.90228266,0.21786782,0.43872878,0.3839988,-0.9166265,0.786741,-0.2947615,-0.64290965,0.066348635,-0.054300677,0.57343006,-0.20177266,-0.13886072,-0.17789252,-0.39103505,0.032662272,0.7753454,0.2835964,-0.6513926,0.54678893,0.4701759,0.63616073,0.4975696,-0.10747254,-0.13478895,-0.22251852,0.46266848,0.45470667,0.5669785,-0.25858435,-0.4191913,0.82117474,-0.5167998,0.07992494,0.5110203,-0.088832445,-0.19084315,-0.16996686,-0.44854376,0.1644083,-0.107417464,0.10712177,0.008662417
-14.825874,-0.22465302,-0.16034412,0.02915106,0.969943,0.9492615,-0.20527942,-0.21922147,0.26884094,-0.109510414,-0.82965183,0.36324382,0.30357453,0.46517166,0.006538034,0.8128351,-0.70185894,0.8289724,-0.40530145,-0.60235786,-0.019053936,-0.10824023,0.86229545,-0.3746773,0.3449748,-0.3482486,0.7391036,-0.19520627,0.057122603,0.2883283,-0.29126933,0.582291,-0.6227053,-0.31052595,0.2628083,0.13437897,-0.16905454,-0.8724643,0.07758765,-0.27902073,0.5992915,-0.19511881,-0.007787119,-0.46994042,-0.3761832,-0.26544476,0.13890147,-0.6454219,-0.11036482,-0.33473173,0.17611659
-12.343431,0.88583946,0.0056988876,-0.7808196,0.103083104,0.43188572,0.06604421,0.28967544,-0.57370955,0.021759177,-0.91254145,-0.20098914,0.14028428,-0.19613476,0.09450393,-0.31740245,-0.35306048,0.5058814,-0.49811015,0.07019955,0.6756511,0.7698136,0.9564233,-0.23961902,-0.4901262,0.11264317,-0.40274578,0.2868485,-0.19256242,-0.6615115,0.11304486,0.50982213,-0.119751215,0.44313052,-0.4164347,0.46181542,-0.03367242,-0.46184668,-0.94672143,-0.11438818,-0.12270763,-0.3304534,-0.23872745,-0.62101823,0.3514024,-0.9582576,0.36608803,-0.99225223,0.13166738,0.29714048,0.6722827
-15.29487,-0.52000725,-0.5086555,-0.41012,0.72422105,-0.6881302,0.086845204,-0.81523865,0.4496012,0.6768049,-0.3284163,-0.33138072,-0.22447386,0.8436654,-0.97841066,0.6921046,-0.18576783,0.052206058,-0.28084087,0.009867784,-0.98723185,0.013254166,-0.2449448,0.02792636,-0.42403468,0.16475233,-0.77658594,0.31900272,-0.07749748,0.29640272,0.82192385,0.23704925,-0.15963922,-0.632149,0.49077624,0.49283618,-0.39530054,0.44082174,0.8015591,-0.121668994,0.55189204,0.6043019,-0.04692948,-0.20847574,0.4058889,0.6058646,-0.28977996,-0.23253882,0.060123354,-0.775254,-0.16306339
-13.864411,-0.62023175,0.64130265,0.22062778,0.69151413,0.95416313,-0.055165373,-0.14916277,0.3959122,0.20407248,-0.22490886,-0.43591836,0.18800257,0.12809822,0.64511454,-0.7659622,0.544991,0.24594812,-0.5503446,-0.9897114,-0.29779625,-0.35041666,0.011454454,0.6405065,0.55059946,0.06716062,0.5417586,0.13455388,0.15879132,0.96006685,0.5475313,0.12393914,-0.015196358,0.5334255,0.7545036,0.33927327,-0.30870652,-0.60791385,0.61548233,-0.014743601,0.20349722,-0.8559165,0.69720644,0.056215525,-0.1902293,0.79187626,-0.9959574,-0.9824366,-0.5711749,0.67129755,-0.6191502
-15.687321,0.06925106,-0.08903443,0.1433027,0.5170371,-0.86970574,0.22994955,-0.2204257,0.07200911,-0.8946981,0.09303931,-0.8097175,0.06814935,0.79500127,-0.15113327,0.40347135,0.52607566,-0.62134844,-0.34247178,0.04188014,0.02252388,0.11241024,0.17180462,0.022301078,0.807977,0.3020829,-0.60196996,0.15396264,0.6651031,0.1725436,0.6427441,-0.5757615,-0.26273856,0.33501536,0.19315195,0.12597854,0.6713556,-0.84307885,0.06968951,0.618105,0.8345348,-0.64287597,0.50995326,-0.17545284,-0.19341598,0.39266416,-0.16025972,-0.1635645,-0.01325047,0.27050868,-0.9667882
-16.317162,0.5497592,-0.031243801,0.36375535,0.8477614,0.07774122,-0.7555396,0.3712472,0.12765494,-0.119473234,-0.024457121,-0.11643517,0.7902942,-0.90406656,0.044648528,0.25494167,0.11400341,-0.79102767,0.2613877,-0.02004242,0.6414777,0.87059957,-0.30192605,-0.12431085,0.94079804,-0.48768625,-0.977252,-0.047534555,0.17327815,-0.25356865,0.18685214,0.6736893,-0.09090964,-0.23178451,-0.75430685,-0.16013552,-0.17892322,0.4693838,0.2900225,0.78008497,-0.47142646,-0.13624449,-0.21529311,-0.8477486,0.2558024,0.94200766,0.13035443,-0.56516445,-0.20483804,-0.1753097,-0.4188158
-15.265393,0.3419271,0.34464082,0.05723704,-0.46856186,0.12624578,-0.43286914,-0.71882993,-0.3155993,-0.26576567,-0.235943,0.4930537,0.32748997,-0.5218635,-0.20373493,0.40328586,0.28936276,0.3644137,-0.7619446,0.12772499,0.37020212,-0.47851783,-0.890803,0.6705343,-0.52390736,0.1406343,-0.06364478,0.34904876,0.29450285,0.98155624,-0.56241715,-0.08238843,-0.58866465,0.17229708,-0.4752833,-0.52993643,0.9446782,-0.04191462,-0.3721385,0.57338893,-0.33351922,0.24950753,-0.7411343,-0.3323723,0.34174648,0.39105085,-0.121559106,0.8611112,-0.66830474,-0.24403952,-0.8125372
-14.802376,-0.6051523,-0.78467035,0.4086787,0.5951918,0.33518,-0.025898457,0.06503115,-0.34522843,0.7415283,0.1415439,-0.23126228,-0.50532115,0.08923067,0.7934796,0.19649227,-0.47726148,-0.01408608,-0.50186074,-0.20601821,0.93501896,0.48569456,-0.54848105,-0.78604734,-0.04322893,-0.3234822,-0.41706824,-0.08865008,-0.030002149,0.627372,-0.631813,-0.20099561,-0.31596297,-0.93921846,0.36698472,0.26584336,0.2980659,-0.23064765,0.44612628,-0.22895816,-0.18774515,-0.10022633,0.47639477,-0.124803476,-0.84930974,-0.64332515,-0.06371576,0.7342104,-0.24799322,-0.011207843,0.5612303
