neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999013,-0.0,0.5805666,0.0,0.60908896,0.0,0.52682537,0.0,0.2973173,0.0,0.50961095,0.0,0.49448672,0.0,0.52204025,0.0,0.5294877,0.0,0.4067413,0.0
0.9994181,-0.095479704,0.6213955,0.0,0.6514989,0.0,0.53656745,0.0,0.021332812,0.0,0.47113433,0.0,0.41070476,0.0,0.5527302,0.0,0.5292002,0.0,0.3174016,0.0
0.9953754,-0.095479704,0.6481146,0.0,0.69681007,0.0,0.55576485,0.0,-0.20366381,0.0,0.4100632,0.0,0.2694835,0.0,0.58629525,0.0,0.51861763,0.0,0.2412315,0.0
0.95117325,-0.095479704,0.6618496,0.0,0.73852104,0.0,0.5842676,0.0,-0.3662212,0.0,0.33465096,0.0,0.08165894,0.0,0.6114927,0.0,0.4926105,0.0,0.18485324,0.0
0.5193444,-0.095479704,0.6298656,0.0,0.75089496,0.0,0.6473704,0.0,-0.4620928,0.0,0.2609305,0.0,-0.12911391,0.0,0.6224088,0.0,0.44663307,0.0,0.15050922,0.0
-0.11733249,-0.095479704,0.5270995,0.0,0.71997416,0.0,0.73260325,0.0,-0.49080124,0.0,0.20535333,0.0,-0.3277796,0.0,0.6171682,0.0,0.37875834,0.0,0.13507763,0.0
0.10251757,-0.095479704,0.45475844,0.0,0.6999631,0.0,0.7723593,0.0,-0.4884943,0.0,0.16409871,0.0,-0.4877107,0.0,0.59754574,0.0,0.29223117,0.0,0.13218781,0.0
-0.19647798,-0.095479704,0.35083282,0.0,0.6504326,0.0,0.8094157,0.0,-0.4492624,0.0,0.14280131,0.0,-0.6051883,0.0,0.5644028,0.0,0.19192481,0.0,0.13590513,0.0
-0.15355602,-0.095479704,0.27096766,0.0,0.59545076,0.0,0.8279378,0.0,-0.3839721,0.0,0.14020258,0.0,-0.6851763,0.0,0.5188227,0.0,0.083638094,0.0,0.14195447,0.0
-0.32037538,-0.095479704,0.18496147,0.0,0.5141508,0.0,0.8413141,0.0,-0.28785795,0.0,0.15903144,0.0,-0.73506486,0.0,0.46124765,0.0,-0.02785648,0.0,0.1478466,0.0
-0.35258564,-0.095479704,0.1172476,0.0,0.41924348,0.0,0.8450234,0.0,-0.16785105,0.0,0.19859786,0.0,-0.7606822,0.0,0.39292008,0.0,-0.13881876,0.0,0.15229343,0.0
-0.44130993,-0.095479704,0.057021618,0.0,0.30635342,0.0,0.8423812,0.0,-0.0290123,0.0,0.25779724,0.0,-0.7651649,0.0,0.31615987,0.0,-0.24627157,0.0,0.15454012,0.0
-0.49031743,-0.095479704,0.009681745,0.0,0.18501052,0.0,0.8319146,0.0,0.11695227,0.0,0.33227754,0.0,-0.74864924,0.0,0.235204,0.0,-0.3470898,0.0,0.15372846,0.0
-0.54167116,-0.095479704,-0.028086005,0.0,0.061078984,0.0,0.8134403,0.0,0.2586848,0.0,0.41560715,0.0,-0.708173,0.0,0.15589525,0.0,-0.4376372,0.0,0.14839575,0.0
-0.58282286,-0.095479704,-0.057737447,0.0,-0.057964306,0.0,0.7858116,0.0,0.38694462,0.0,0.5003774,0.0,-0.637962,0.0,0.08479996,0.0,-0.5140541,0.0,0.13612844,0.0
-0.62045324,-0.095479704,-0.08236697,0.0,-0.16711132,0.0,0.7479688,0.0,0.49685988,0.0,0.5801522,0.0,-0.53099185,0.0,0.028049828,0.0,-0.5729525,0.0,0.11347865,0.0
-0.6569559,-0.095479704,-0.105702914,0.0,-0.26358822,0.0,0.6989992,0.0,0.5874911,0.0,0.6506789,0.0,-0.38294956,0.0,-0.009576341,0.0,-0.61193705,0.0,0.076400995,0.0
-0.6956959,-0.095479704,-0.13207678,0.0,-0.34663245,0.0,0.6384985,0.0,0.66048855,0.0,0.7100839,0.0,-0.19798248,0.0,-0.02536927,0.0,-0.62964267,0.0,0.02150369,0.0
-0.7384394,-0.095479704,-0.16579491,0.0,-0.41673508,0.0,0.5667033,0.0,0.7186898,0.0,0.75832695,0.0,0.008508269,0.0,-0.019213492,0.0,-0.6253413,0.0,-0.05210294,0.0
-0.7839253,-0.095479704,-0.21013379,0.0,-0.47496524,0.0,0.48431647,0.0,0.765089,0.0,0.7964275,0.0,0.21496552,0.0,0.006430506,0.0,-0.5984258,0.0,-0.14144836,0.0
-0.8278514,-0.095479704,-0.26633644,0.0,-0.5225836,0.0,0.3921612,0.0,0.80225134,0.0,0.82581735,0.0,0.4030513,0.0,0.047260053,0.0,-0.5482584,0.0,-0.23998171,0.0
-0.86495745,-0.095479704,-0.33321366,0.0,-0.56093967,0.0,0.29108733,0.0,0.832121,0.0,0.8479378,0.0,0.56270975,0.0,0.098191924,0.0,-0.474799,0.0,-0.3395039,0.0
-0.89145243,-0.095479704,-0.40756947,0.0,-0.59146535,0.0,0.18233134,0.0,0.85609466,0.0,0.86405313,0.0,0.691151,0.0,0.15428236,0.0,-0.37990955,0.0,-0.43264425,0.0
-0.90568125,-0.095479704,-0.48510408,0.0,-0.61557,0.0,0.06799002,0.0,0.87519217,0.0,0.87519366,0.0,0.78985167,0.0,0.21133246,0.0,-0.26847792,0.0,-0.5145931,0.0
-0.9066707,-0.095479704,-0.5612813,0.0,-0.6343836,0.0,-0.0489567,0.0,0.8901905,0.0,0.8821534,0.0,0.86238426,0.0,0.26619273,0.0,-0.1481863,0.0,-0.5834843,0.0
-0.89169204,-0.095479704,-0.6319334,0.0,-0.64841866,0.0,-0.16528772,0.0,0.9016752,0.0,0.88549393,0.0,0.91328394,0.0,0.3168194,0.0,-0.027605684,0.0,-0.639711,0.0
-0.8544439,-0.095479704,-0.6936823,0.0,-0.65726376,0.0,-0.27846292,0.0,0.91003233,0.0,0.8855373,0.0,0.9473626,0.0,0.3621445,0.0,0.08620038,0.0,-0.6848857,0.0
-0.7877253,-0.095479704,-0.7444395,0.0,-0.65959764,0.0,-0.38684282,0.0,0.9154455,0.0,0.8823575,0.0,0.9691486,0.0,0.40183732,0.0,0.18902686,0.0,-0.720991,0.0
-0.69718426,-0.095479704,-0.78424925,0.0,-0.6542339,0.0,-0.48816606,0.0,0.91799366,0.0,0.8758276,0.0,0.9824717,0.0,0.43603623,0.0,0.27943066,0.0,-0.7498938,0.0
-0.61059916,-0.095479704,-0.8155091,0.0,-0.64185184,0.0,-0.578313,0.0,0.91782135,0.0,0.8657473,0.0,0.99028844,0.0,0.4651155,0.0,0.35784116,0.0,-0.7731532,0.0
-0.54614025,-0.095479704,-0.8409651,0.0,-0.6243825,0.0,-0.6543677,0.0,0.91511846,0.0,0.8518923,0.0,0.99471384,0.0,0.4895261,0.0,0.42562798,0.0,-0.79199314,0.0
-0.49528247,-0.095479704,-0.86212575,0.0,-0.60301125,0.0,-0.71680707,0.0,0.909954,0.0,0.8339543,0.0,0.997152,0.0,0.5097075,0.0,0.48446026,0.0,-0.8073427,0.0
-0.45059273,-0.095479704,-0.8798288,0.0,-0.5783086,0.0,-0.7675232,0.0,0.902227,0.0,0.81152374,0.0,0.99847054,0.0,0.5260443,0.0,0.53596085,0.0,-0.8198946,0.0
-0.41008785,-0.095479704,-0.89470017,0.0,-0.5507117,0.0,-0.8085101,0.0,0.8916827,0.0,0.784116,0.0,0.999176,0.0,0.5388513,0.0,0.5815581,0.0,-0.83015984,0.0
-0.3721876,-0.095479704,-0.90722126,0.0,-0.5205643,0.0,-0.841589,0.0,0.87792635,0.0,0.7512051,0.0,0.9995519,0.0,0.54837567,0.0,0.6224443,0.0,-0.8385129,0.0
-0.32155332,0.095479704,-0.91740036,0.0,-0.4866506,0.0,-0.8687814,0.0,0.86028165,0.0,0.71216094,0.0,0.9997526,0.0,0.5548156,0.0,0.65958935,0.0,-0.8452264,0.0
-0.2925324,0.095479704,-0.92616886,0.0,-0.45145887,0.0,-0.8904601,0.0,0.8381858,0.0,0.6665405,0.0,0.99986047,0.0,0.55832803,0.0,0.69374985,0.0,-0.850497,0.0
-0.25299758,0.095479704,-0.93348056,0.0,-0.4140621,0.0,-0.9081159,0.0,0.8108981,0.0,0.6139254,0.0,0.9999191,0.0,0.5590532,0.0,0.725499,0.0,-0.8544642,0.0
