neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.99990165,0.0,0.55518997,0.0,0.38690424,0.0,0.5766052,0.0,0.4158546,0.0,0.42807347,0.0,0.37826645,0.0,0.36955065,0.0,0.42112246,0.0,0.36597416,0.0
0.9981405,0.09900948,0.5341179,0.0,0.32309285,0.0,0.64131194,0.0,0.3917389,0.0,0.41726968,0.0,0.28150842,0.0,0.2563799,0.0,0.3699282,0.0,0.25002632,0.0
0.9690217,0.09900948,0.52621907,0.0,0.26200047,0.0,0.69373846,0.0,0.37969202,0.0,0.40544438,0.0,0.17408362,0.0,0.15038203,0.0,0.33771202,0.0,0.16434488,0.0
0.5964616,0.09900948,0.49383152,0.0,0.21464837,0.0,0.7226978,0.0,0.37756443,0.0,0.39435017,0.0,0.060582068,0.0,0.054968342,0.0,0.32343587,0.0,0.11070547,0.0
-0.3627338,0.09900948,0.36824217,0.0,0.20793147,0.0,0.705049,0.0,0.3793802,0.0,0.38475454,0.0,-0.05057196,0.0,-0.028532723,0.0,0.32467633,0.0,0.08569649,0.0
-0.51982766,0.09900948,0.22779773,0.0,0.22135355,0.0,0.6675721,0.0,0.38133058,0.0,0.3766539,0.0,-0.15436997,0.0,-0.10021165,0.0,0.33846062,0.0,0.084065,0.0
-0.6376317,0.09900948,0.08018577,0.0,0.2541503,0.0,0.6066055,0.0,0.37923247,0.0,0.36991978,0.0,-0.24641697,0.0,-0.16096766,0.0,0.36174226,0.0,0.100056626,0.0
-0.75055295,0.09900948,-0.069635816,0.0,0.30596268,0.0,0.51577425,0.0,0.36831152,0.0,0.36441073,0.0,-0.32305935,0.0,-0.21202628,0.0,0.3916593,0.0,0.12792502,0.0
-0.84837925,0.09900948,-0.21496657,0.0,0.37496898,0.0,0.3899373,0.0,0.34317496,0.0,0.35992914,0.0,-0.38158834,0.0,-0.2546029,0.0,0.42566344,0.0,0.16219944,0.0
-0.9212568,0.09900948,-0.34880024,0.0,0.4573086,0.0,0.229615,0.0,0.2980394,0.0,0.35588154,0.0,-0.420392,0.0,-0.28964937,0.0,0.4615573,0.0,0.19794036,0.0
-0.9661411,0.09900948,-0.46611738,0.0,0.547179,0.0,0.04465084,0.0,0.2274368,0.0,0.3506783,0.0,-0.43899834,0.0,-0.3176288,0.0,0.49745432,0.0,0.2309743,0.0
-0.98815715,0.09900948,-0.5650875,0.0,0.6376767,0.0,-0.14734006,0.0,0.12758464,0.0,0.3412895,0.0,-0.43786842,0.0,-0.33834398,0.0,0.53169143,0.0,0.25800166,0.0
-0.99659795,0.09900948,-0.6465291,0.0,0.7221235,0.0,-0.32801667,0.0,-0.001598178,0.0,0.3234176,0.0,-0.41793364,0.0,-0.35090217,0.0,0.5627419,0.0,0.27651224,0.0
-0.9991627,0.09900948,-0.71254516,0.0,0.79541826,0.0,-0.48492715,0.0,-0.15443392,0.0,0.2922652,0.0,-0.38011003,0.0,-0.35385093,0.0,0.58915824,0.0,0.28454778,0.0
-0.9998105,0.09900948,-0.76548624,0.0,0.8549105,0.0,-0.61325115,0.0,-0.3189213,0.0,0.24351075,0.0,-0.32502672,0.0,-0.34541485,0.0,0.6095314,0.0,0.28041637,0.0
-0.9999568,0.09900948,-0.8075107,0.0,0.90043265,0.0,-0.71382284,0.0,-0.47926453,0.0,0.17418814,0.0,-0.253048,0.0,-0.32372195,0.0,0.6224249,0.0,0.26246476,0.0
-0.9999889,0.09900948,-0.8404763,0.0,0.93359065,0.0,-0.79036206,0.0,-0.6210055,0.0,0.083361015,0.0,-0.16457559,0.0,-0.2869711,0.0,0.62624705,0.0,0.22900315,0.0
-0.99999636,0.09900948,-0.86593604,0.0,0.95680445,0.0,-0.847452,0.0,-0.73560035,0.0,-0.027424863,0.0,-0.06059114,0.0,-0.23362665,0.0,0.61905384,0.0,0.1784846,0.0
-0.9999983,0.09900948,-0.8851538,0.0,0.9725492,0.0,-0.8894532,0.0,-0.8215672,0.0,-0.1539252,0.0,0.056668926,0.0,-0.16280611,0.0,0.5983189,0.0,0.11003783,0.0
-0.99999857,0.09900948,-0.899121,0.0,0.9829485,0.0,-0.92006475,0.0,-0.88243294,0.0,-0.28933594,0.0,0.18315803,0.0,-0.07493777,0.0,0.5607698,0.0,0.024347723,0.0
-0.99999774,0.09900948,-0.90856993,0.0,0.98965216,0.0,-0.9422344,0.0,-0.9237699,0.0,-0.42505082,0.0,0.31297228,0.0,0.027514739,0.0,0.50248694,0.0,-0.0754243,0.0
-0.9999916,0.09900948,-0.91397977,0.0,0.9938686,0.0,-0.9582236,0.0,-0.95106447,0.0,-0.55219454,0.0,0.4391205,0.0,0.13976774,0.0,0.41956648,0.0,-0.1833659,0.0
-0.9999209,0.09900948,-0.91556877,0.0,0.996452,0.0,-0.9697254,0.0,-0.96876544,0.0,-0.663573,0.0,0.55497944,0.0,0.25535166,0.0,0.30961314,0.0,-0.2918238,0.0
