neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.99990165,0.0,0.55518997,0.0,0.38690424,0.0,0.5766052,0.0,0.4158546,0.0,0.42807347,0.0,0.37826645,0.0,0.36955065,0.0,0.42112246,0.0,0.36597416,0.0
0.9981229,0.039989334,0.5341162,0.0,0.32309347,0.0,0.641311,0.0,0.3917388,0.0,0.41726968,0.0,0.28150856,0.0,0.2563799,0.0,0.3699282,0.0,0.25002626,0.0
0.9686419,0.07991469,0.5261821,0.0,0.26201615,0.0,0.69371986,0.0,0.3796895,0.0,0.4054442,0.0,0.174086,0.0,0.15038206,0.0,0.33771193,0.0,0.16434439,0.0
0.593815,0.119712204,0.49353838,0.0,0.21477655,0.0,0.7225641,0.0,0.377543,0.0,0.39434722,0.0,0.0606011,0.0,0.054968905,0.0,0.32343513,0.0,0.11070143,0.0
-0.35972908,0.15931821,0.36827773,0.0,0.20798141,0.0,0.7050262,0.0,0.37934816,0.0,0.3847452,0.0,-0.05054982,0.0,-0.028530266,0.0,0.3246743,0.0,0.08568872,0.0
-0.5136998,0.19866931,0.22858314,0.0,0.22114699,0.0,0.6678731,0.0,0.38132352,0.0,0.37663662,0.0,-0.1543839,0.0,-0.1002055,0.0,0.33845735,0.0,0.08406085,0.0
-0.629748,0.23770262,0.08191483,0.0,0.25351858,0.0,0.6074928,0.0,0.37932232,0.0,0.36989453,0.0,-0.24653171,0.0,-0.1609563,0.0,0.36173916,0.0,0.10007483,0.0
-0.74203485,0.27635565,-0.06704419,0.0,0.30478048,0.0,0.51755065,0.0,0.3686139,0.0,0.36437708,0.0,-0.3233619,0.0,-0.21200913,0.0,0.39165947,0.0,0.12799814,0.0
-0.8404722,0.31456655,-0.21185148,0.0,0.37320575,0.0,0.39283413,0.0,0.343847,0.0,0.35988843,0.0,-0.38217634,0.0,-0.25458163,0.0,0.425672,0.0,0.16237327,0.0
-0.91509116,0.3522742,-0.34562296,0.0,0.45505914,0.0,0.23360044,0.0,0.2992612,0.0,0.35585064,0.0,-0.4213538,0.0,-0.28963134,0.0,0.46158186,0.0,0.19826949,0.0
-0.96224785,0.38941833,-0.4632666,0.0,0.5446443,0.0,0.049326558,0.0,0.2293726,0.0,0.35071,0.0,-0.44039494,0.0,-0.31763235,0.0,0.49750662,0.0,0.23151535,0.0
-0.98622066,0.42593947,-0.56275696,0.0,0.6351017,0.0,-0.14257829,0.0,0.13032794,0.0,0.34148106,0.0,-0.43973038,0.0,-0.33840257,0.0,0.53178895,0.0,0.2588087,0.0
-0.99583703,0.46177918,-0.6447355,0.0,0.71972954,0.0,-0.3236835,0.0,0.0019129491,0.0,0.3238961,0.0,-0.42027244,0.0,-0.351064,0.0,0.5629089,0.0,0.27763632,0.0
-0.99891627,0.4968801,-0.7112182,0.0,0.7933585,0.0,-0.4812929,0.0,-0.15037373,0.0,0.29315972,0.0,-0.38293052,0.0,-0.35417342,0.0,0.5894255,0.0,0.28603986,0.0
-0.9997396,0.5311862,-0.7645376,0.0,0.85325336,0.0,-0.6103696,0.0,-0.31469142,0.0,0.24492508,0.0,-0.32833165,0.0,-0.34595782,0.0,0.60993606,0.0,0.28233033,0.0
-0.9999367,0.5646424,-0.80686235,0.0,0.89917254,0.0,-0.7116236,0.0,-0.4752958,0.0,0.1761795,0.0,-0.25683314,0.0,-0.3245421,0.0,0.62301123,0.0,0.26485774,0.0
-0.99998266,0.59719545,-0.84006655,0.0,0.9326752,0.0,-0.7887265,0.0,-0.61763084,0.0,0.08592516,0.0,-0.16881712,0.0,-0.28811842,0.0,0.6270692,0.0,0.23192944,0.0
-0.999994,0.628793,-0.86571836,0.0,0.9561632,0.0,-0.8462571,0.0,-0.7329654,0.0,-0.024362607,0.0,-0.06522736,0.0,-0.23513895,0.0,0.6201802,0.0,0.18198004,0.0
-0.9999969,0.65938467,-0.885095,0.0,0.9721133,0.0,-0.88859105,0.0,-0.81964505,0.0,-0.15051162,0.0,0.051755425,0.0,-0.1646978,0.0,0.59983635,0.0,0.114092775,0.0
-0.9999973,0.68892145,-0.8991994,0.0,0.98266006,0.0,-0.91944826,0.0,-0.8810995,0.0,-0.28577948,0.0,0.17814721,0.0,-0.07718297,0.0,0.56278354,0.0,0.028874401,0.0
-0.99999535,0.7173561,-0.90877414,0.0,0.9894663,0.0,-0.9417964,0.0,-0.9228764,0.0,-0.42159125,0.0,0.30809048,0.0,0.024995811,0.0,0.50510913,0.0,-0.07061122,0.0
-0.99998176,0.7446431,-0.9143083,0.0,0.9937521,0.0,-0.9579141,0.0,-0.95047915,0.0,-0.5490541,0.0,0.4345985,0.0,0.13710588,0.0,0.42288485,0.0,-0.17852998,0.0
-0.99981594,0.7707389,-0.91602874,0.0,0.9963811,0.0,-0.96950734,0.0,-0.96838725,0.0,-0.6609066,0.0,0.55100036,0.0,0.25270244,0.0,0.3136375,0.0,-0.2872421,0.0
-0.99490184,0.7956016,-0.9137809,0.0,0.9979491,0.0,-0.97781837,0.0,-0.9798789,0.0,-0.7530323,0.0,0.6524291,0.0,0.3650795,0.0,0.17846541,0.0,-0.38936755,0.0
-0.67024505,0.8191916,-0.8995811,0.0,0.9988336,0.0,-0.98297346,0.0,-0.98721385,0.0,-0.8248088,0.0,0.73656327,0.0,0.46882161,0.0,0.023678435,0.0,-0.47976372,0.0
0.91104627,0.84147096,-0.82223934,0.0,0.9992662,0.0,-0.9831329,0.0,-0.9919103,0.0,-0.8782818,0.0,0.80343604,0.0,0.5606614,0.0,-0.13970019,0.0,-0.55628526,0.0
