fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-14.897345,0.29503325,-0.938641,-0.03262557,-0.3660879,-0.97397685,0.7321143,0.7018853,0.03324353,-0.25611514,-0.29088664,0.48355517,-0.50371444,0.6537296,-0.4068161,0.8858405,-0.6441911,-0.44606844,-0.94473314,-0.10972237,-0.15676677,-0.559237,0.680292,0.28755918,-0.88408643,0.09687054,-0.0972332,-0.47746566,0.11927727,-0.18818426,0.17690358,-0.66001886,-0.065287285,0.7334836,-0.70269996,-0.33155486,-0.6192496,0.6411964,0.09262478,0.45637476,0.3322456,0.6235605,-0.18022227,-0.26142168,0.39741924,0.2711567,0.1411623,-0.43348897,0.8063095,0.35548705,0.67314065
-12.986912,0.10092224,0.7167994,-0.2381946,0.056979656,0.67167485,-0.62962294,-0.0031307437,0.1448648,-0.10537715,-0.36885178,-0.0068211355,-0.4024351,0.761058,-0.7697894,-0.1506044,-0.19440135,0.29532143,-0.37688655,0.5205976,-0.07834628,-0.6209565,-0.2564081,0.8274561,-0.48862305,0.6277843,-0.96373934,-0.49506816,-0.2767024,-0.9198205,0.39049774,0.60951334,0.03325428,-0.9522288,0.08497262,-0.28362677,-0.22235104,0.26093614,-0.6033374,0.21948287,0.26717734,-0.395112,-0.3773508,-0.850766,0.11747309,-0.78574747,0.028709412,0.25951627,0.885772,0.5298303,-0.69355196
-14.684061,-0.16693687,0.19888192,-0.19985318,-0.5769377,0.413546,-0.06836474,-0.17681092,-0.5556648,0.108051494,-0.041510463,0.106236696,0.009429097,-0.4460973,-0.7076391,-0.38695973,0.019437404,0.082770415,0.6158365,-0.5615354,0.4992741,-0.8742347,-0.41411304,0.65910035,0.50294024,0.0034093857,0.25937098,0.4942116,0.06111389,0.49636856,0.5268772,-0.25220016,-0.38127145,-0.17972559,-0.49911332,0.722123,-0.3583877,-0.7471831,-0.34627384,0.22160712,-0.59792596,0.7597425,-0.28932258,-0.66468495,-0.34761074,0.86653346,-0.31249934,-0.11465013,-0.9643804,0.20863917,0.2421641
-20.460485,-0.867101,-0.25077212,-0.5237309,-0.72925097,-0.16576348,-0.082392335,0.18726814,-0.42553955,-0.8532577,-0.42233834,-0.9329615,0.01933515,0.39505777,0.5166662,-0.3547802,0.09606192,-0.4523594,-0.9371103,-0.30461827,0.57033336,-0.3712946,0.6820365,-0.0045517683,-0.29818946,-0.0148457,-0.7944507,-0.7402947,-0.12858565,-0.4906807,-0.13377787,-0.26490843,-0.46298492,0.64801764,-0.27680933,0.5599123,0.08035933,-0.41516876,-0.38619047,0.19227792,-0.073677294,-0.09716101,-0.2910332,-0.27223155,0.17565726,-0.0051258723,0.43088636,-0.9497694,0.015499356,0.7634014,-0.31749
-15.624882,-0.26638684,0.38709387,-0.44098967,-0.41853622,-0.99894226,-0.84537375,0.27378213,0.8716757,0.6533424,0.48768923,0.90718716,0.5860093,-0.21162969,0.07600136,0.8360719,0.6056217,0.4871168,-0.121145606,0.60016763,0.19975166,-0.2649575,-0.7430356,-0.40442073,0.2194251,-0.52584606,-0.26984966,0.8276113,-0.09705736,-0.25270808,0.4583783,-0.18998702,-0.88588864,0.9145211,0.641274,-0.25136834,0.27940217,0.34440973,0.42966008,-0.3474938,0.47517258,0.4315095,0.6195869,0.40601665,-0.6119084,0.38698566,0.64424485,-0.44235325,-0.54219764,-0.094945006,-0.06555948
-14.767527,0.7954065,-0.78420067,0.011622952,-0.17599565,-0.57958513,-0.37194347,0.74123436,-0.30508736,0.43673396,0.84558827,-0.012735128,-0.5203085,-0.63052845,0.023787871,-0.63467276,-0.4666154,-0.233753,0.21708941,0.34590748,-0.40320137,0.6974861,0.22046879,-0.888742,0.7091629,-0.28070837,0.77886766,0.255154,0.18044433,0.205753,-0.45793855,0.45776153,0.05881902,-0.606216,0.51970357,-0.54475117,-0.12401259,-0.5727028,0.3537074,-0.29233184,-0.42099968,-0.32817927,-0.92556846,0.080622934,-0.44422445,-0.22810084,0.9530699,0.57273144,-0.54912597,0.18840334,0.41957864
-14.703287,0.5404464,-0.933652,-0.25939512,-0.03770522,0.8791819,0.49021602,-0.5438149,-0.5093596,0.8510662,-0.41280514,0.13740854,-0.1651667,-0.13763115,0.21486294,0.6388265,0.48625723,0.57857496,-0.124422796,0.15758264,0.16071242,-0.09465144,0.069321156,-0.39519602,0.057761583,0.1523322,0.62899125,-0.49471036,0.5277875,-0.43949914,-0.098040104,-0.2707199,-0.29281247,-0.12097009,-0.016630134,0.30026966,-0.51757896,-0.28702474,0.002558014,0.6618482,0.059319686,-0.5059677,0.0024502622,0.95984,0.6104828,-0.10502511,-0.13505301,-0.46483588,0.81062025,-0.74281144,0.9465364
-13.774279,0.26764482,0.46525025,-0.9012114,-0.3731768,0.09786315,-0.42491361,0.5360684,-0.08731168,-0.24818778,-0.1627922,-0.7080806,0.19391976,-0.08831465,-0.22639118,0.9226485,0.27267697,-0.86943084,-0.16679987,-0.7085298,0.3310414,0.41400033,-0.8192808,0.42946765,0.9003535,0.13938515,0.06709038,-0.45526534,-0.95709693,-0.09317867,-0.9977568,-0.8947844,-0.3097744,-0.026534643,0.74732023,0.071605705,0.36427534,-0.38647592,-0.8907143,0.11449603,0.046420954,-0.48615867,-0.05629158,-0.6873575,0.039880138,0.5813853,-0.7999302,-0.41856804,-0.2471908,0.4153196,0.014092388
-12.744982,-0.49171972,-0.9631652,-0.18361364,-0.34785175,0.59550047,-0.9228019,0.3199179,0.6995817,-0.4013848,-0.17010128,-0.030580401,0.10285914,-0.9164489,-0.30804676,0.22218832,-0.1155986,0.19387408,0.7936496,-0.38024166,0.17092419,0.6184586,-0.41947913,0.36634436,0.85886896,-0.2644722,-0.2951222,-0.02509709,-0.29190195,0.4290489,-0.3995652,-0.082683004,-0.3499748,0.17381102,0.060904264,-0.90798193,-0.774217,0.46317425,0.6750578,-0.049802307,0.3421,-0.8143565,0.8186841,-0.99184406,-0.10703564,0.271105,-0.6790091,-0.336808,-0.44056913,-0.4365958,-0.45390296
-18.642729,0.700938,0.513424,-0.6491169,0.326076,0.22268364,0.4508341,-0.24750711,0.6806799,-0.21949662,0.09462423,0.20955189,-0.051866494,-0.95787895,-0.23691331,0.24565805,0.10483152,-0.80302143,0.671384,-0.31577885,0.07965321,-0.40956092,0.08166989,0.47675917,-0.0047247456,-0.77605486,-0.73526585,-0.06751931,-0.912212,0.55618566,-0.9292501,0.6244046,-0.21444201,0.73234373,-0.17796426,-0.20860708,-0.29295707,-0.33067998,0.50063986,0.64901304,-0.04229395,0.43998677,-0.05522768,-0.01691058,0.13016468,-0.015026077,0.4452566,-0.68812996,-0.5553285,-0.8085011,-0.006075391
