neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999028,0.0,0.446467,0.0,0.62480253,0.0,0.39808464,0.0,0.54806656,0.0,0.44442558,0.0,0.34745675,0.0,0.4113951,0.0,0.42607322,0.0,0.57827914,0.0
0.9970743,0.039989334,0.40153772,0.0,0.7016782,0.0,0.3430026,0.0,0.61540514,0.0,0.44230348,0.0,0.19910869,0.0,0.40835813,0.0,0.38807425,0.0,0.67127866,0.0
0.92236835,0.07991469,0.35541117,0.0,0.7536018,0.0,0.28191242,0.0,0.66899943,0.0,0.45362037,0.0,0.032635763,0.0,0.40770027,0.0,0.34052715,0.0,0.73480487,0.0
0.05607008,0.119712204,0.32103333,0.0,0.6869226,0.0,0.27578726,0.0,0.713548,0.0,0.47057542,0.0,-0.13912416,0.0,0.409032,0.0,0.28193602,0.0,0.7760151,0.0
-0.51290625,0.15931821,0.2955802,0.0,0.5137249,0.0,0.31463137,0.0,0.75177336,0.0,0.48719025,0.0,-0.30202723,0.0,0.41233468,0.0,0.2117429,0.0,0.80091184,0.0
-0.52648723,0.19866931,0.271597,0.0,0.33042273,0.0,0.36278307,0.0,0.7850988,0.0,0.50185966,0.0,-0.44707116,0.0,0.41759554,0.0,0.1302799,0.0,0.8136691,0.0
-0.52759063,0.23770262,0.24953955,0.0,0.17107598,0.0,0.4174339,0.0,0.81520665,0.0,0.5132347,0.0,-0.5695787,0.0,0.42486653,0.0,0.03884533,0.0,0.816838,0.0
-0.5291715,0.27635565,0.22995672,0.0,0.047801834,0.0,0.47577313,0.0,0.8431848,0.0,0.5203678,0.0,-0.6688667,0.0,0.43429253,0.0,-0.06034631,0.0,0.8117054,0.0
-0.534318,0.31456655,0.21334088,0.0,-0.043721367,0.0,0.5353344,0.0,0.8693077,0.0,0.5227053,0.0,-0.7468927,0.0,0.4461092,0.0,-0.16433951,0.0,0.79860413,0.0
-0.54411817,0.3522742,0.20009658,0.0,-0.11280174,0.0,0.59418356,0.0,0.89330304,0.0,0.5199616,0.0,-0.8068641,0.0,0.46062526,0.0,-0.26972753,0.0,0.777141,0.0
