neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999013,0.0,0.5805666,0.0,0.60908896,0.0,0.52682537,0.0,0.2973173,0.0,0.50961095,0.0,0.49448672,0.0,0.52204025,0.0,0.5294877,0.0,0.4067413,0.0
0.9994298,0.02656616,0.6213967,0.0,0.6514999,0.0,0.53656644,0.0,0.021332007,0.0,0.47113407,0.0,0.41070473,0.0,0.55273026,0.0,0.52920026,0.0,0.3174016,0.0
0.995578,0.05313232,0.6481352,0.0,0.69682634,0.0,0.55574685,0.0,-0.20367752,0.0,0.41005814,0.0,0.26948285,0.0,0.5862961,0.0,0.5186181,0.0,0.24123153,0.0
0.95453453,0.07969849,0.6621822,0.0,0.7387607,0.0,0.5839758,0.0,-0.3664167,0.0,0.33456793,0.0,0.081654005,0.0,0.61150414,0.0,0.49261928,0.0,0.18485333,0.0
0.551373,0.07602245,0.6333937,0.0,0.75319135,0.0,0.64486074,0.0,-0.4638636,0.0,0.26011866,0.0,-0.12919046,0.0,0.62250644,0.0,0.44672146,0.0,0.15051539,0.0
-0.11409806,0.049456287,0.53125644,0.0,0.722832,0.0,0.7312736,0.0,-0.49376017,0.0,0.20384558,0.0,-0.32845575,0.0,0.617357,0.0,0.3789162,0.0,0.13515398,0.0
0.11029397,0.022890128,0.4597668,0.0,0.70365494,0.0,0.7715482,0.0,-0.49271753,0.0,0.16182572,0.0,-0.48913074,0.0,0.59782904,0.0,0.29242992,0.0,0.13240474,0.0
-0.19324315,0.0036760306,0.35608515,0.0,0.6549547,0.0,0.8093137,0.0,-0.4548384,0.0,0.139735,0.0,-0.6073617,0.0,0.5647942,0.0,0.19213456,0.0,0.136321,0.0
-0.14496225,0.030242188,0.27702668,0.0,0.60134083,0.0,0.8282102,0.0,-0.39126837,0.0,0.13618797,0.0,-0.68809175,0.0,0.5193628,0.0,0.08385377,0.0,0.1426139,0.0
-0.3135862,0.056808367,0.19141531,0.0,0.5215205,0.0,0.84207904,0.0,-0.29709738,0.0,0.15393369,0.0,-0.73881036,0.0,0.46198323,0.0,-0.02763364,0.0,0.14879356,0.0
-0.34237015,0.08337452,0.1245107,0.0,0.4285166,0.0,0.8462438,0.0,-0.17922936,0.0,0.19227502,0.0,-0.76549536,0.0,0.39388284,0.0,-0.13861004,0.0,0.15358813,0.0
-0.43396068,0.07234641,0.06447315,0.0,0.31708315,0.0,0.8442986,0.0,-0.04208435,0.0,0.25032842,0.0,-0.7714655,0.0,0.31728256,0.0,-0.24618335,0.0,0.15628158,0.0
-0.4832869,0.045780256,0.017251233,0.0,0.1967525,0.0,0.8347057,0.0,0.10301257,0.0,0.32398337,0.0,-0.7570889,0.0,0.23626395,0.0,-0.34735847,0.0,0.15608302,0.0
-0.536157,0.019214097,-0.020587515,0.0,0.07307246,0.0,0.81737345,0.0,0.24492387,0.0,0.40704033,0.0,-0.71967155,0.0,0.15649584,0.0,-0.43863624,0.0,0.15162976,0.0
-0.57741845,0.007352061,-0.050146155,0.0,-0.046268433,0.0,0.79114884,0.0,0.3741739,0.0,0.49214444,0.0,-0.6536521,0.0,0.08442666,0.0,-0.5162489,0.0,0.14063145,0.0
-0.61334854,0.03391824,-0.0741462,0.0,-0.1558726,0.0,0.754937,0.0,0.48541874,0.0,0.57272136,0.0,-0.5519195,0.0,0.026170673,0.0,-0.5768359,0.0,0.1197464,0.0
-0.6482915,0.060484376,-0.096327126,0.0,-0.25288686,0.0,0.7078535,0.0,0.5774054,0.0,0.64431906,0.0,-0.40940928,0.0,-0.01340208,0.0,-0.6179899,0.0,0.08492809,0.0
-0.68548334,0.08705056,-0.121022604,0.0,-0.33647656,0.0,0.6494711,0.0,0.651619,0.0,0.70488167,0.0,-0.22879364,0.0,-0.031363577,0.0,-0.6383298,0.0,0.032558467,0.0
-0.72886693,0.06867036,-0.15294857,0.0,-0.40734825,0.0,0.5801071,0.0,0.71093273,0.0,0.7542665,0.0,-0.024049547,0.0,-0.02729258,0.0,-0.6371321,0.0,-0.038734704,0.0
-0.7759608,0.042104226,-0.19560549,0.0,-0.4665487,0.0,0.50040174,0.0,0.75838614,0.0,0.793439,0.0,0.18358478,0.0,-0.0033529368,0.0,-0.6137908,0.0,-0.12656309,0.0
-0.822292,0.015538044,-0.2504923,0.0,-0.5152601,0.0,0.41104364,0.0,0.7965743,0.0,0.823809,0.0,0.37495494,0.0,0.036344547,0.0,-0.56757116,0.0,-0.22478446,0.0
-0.8618999,0.011028091,-0.31658635,0.0,-0.5546886,0.0,0.3126189,0.0,0.8274351,0.0,0.846812,0.0,0.5389272,0.0,0.086780556,0.0,-0.49810308,0.0,-0.32524204,0.0
-0.8905657,0.03759427,-0.390774,0.0,-0.58614314,0.0,0.20602326,0.0,0.8523347,0.0,0.86371547,0.0,0.6719465,0.0,0.14297259,0.0,-0.40663493,0.0,-0.42025074,0.0
-0.90695447,0.06416045,-0.46882257,0.0,-0.6110201,0.0,0.093085535,0.0,0.87226844,0.0,0.8755632,0.0,0.77504057,0.0,0.20061369,0.0,-0.29733112,0.0,-0.50451255,0.0
-0.9103137,0.090726584,-0.5461817,0.0,-0.6305097,0.0,-0.023354128,0.0,0.88800424,0.0,0.88317025,0.0,0.8515022,0.0,0.25641045,0.0,-0.17740932,0.0,-0.57571685,0.0
-0.89916974,0.06499433,-0.61867267,0.0,-0.6453119,0.0,-0.13992104,0.0,0.9001487,0.0,0.8871306,0.0,0.9056821,0.0,0.30816975,0.0,-0.055511508,0.0,-0.63398093,0.0
-0.86782354,0.038428195,-0.6827841,0.0,-0.6552324,0.0,-0.25379747,0.0,0.9091273,0.0,0.8878093,0.0,0.9423129,0.0,0.35469562,0.0,0.060772672,0.0,-0.680814,0.0
-0.8083505,0.011862014,-0.7361354,0.0,-0.6590903,0.0,-0.36319992,0.0,0.9151635,0.0,0.88532764,0.0,0.9659531,0.0,0.39556673,0.0,0.16658294,0.0,-0.7182089,0.0
-0.7204049,0.014704122,-0.7781723,0.0,-0.65537477,0.0,-0.46636418,0.0,0.9183316,0.0,0.8795839,0.0,0.9805422,0.0,0.43087232,0.0,0.25996324,0.0,-0.74809295,0.0
-0.6271085,0.0412703,-0.81079996,0.0,-0.6440707,0.0,-0.55961204,0.0,0.9187259,0.0,0.870364,0.0,0.98917353,0.0,0.4609714,0.0,0.3410555,0.0,-0.7720958,0.0
-0.5550899,0.06783648,-0.8370141,0.0,-0.6270472,0.0,-0.63917387,0.0,0.9165235,0.0,0.8574351,0.0,0.9940926,0.0,0.4863193,0.0,0.41112125,0.0,-0.7915041,0.0
-0.50080264,0.08788443,-0.85870075,0.0,-0.60582095,0.0,-0.70468843,0.0,0.9118209,0.0,0.840498,0.0,0.99681485,0.0,0.5073688,0.0,0.47182596,0.0,-0.80729693,0.0
-0.456763,0.06131834,-0.8769111,0.0,-0.5813193,0.0,-0.75775737,0.0,0.9045652,0.0,0.81916255,0.0,0.9982907,0.0,0.5245202,0.0,0.5248362,0.0,-0.8202049,0.0
-0.41659367,0.034752164,-0.89224166,0.0,-0.55395263,0.0,-0.8005724,0.0,0.894534,0.0,0.7929491,0.0,0.9990809,0.0,0.53810376,0.0,0.5716397,0.0,-0.83076733,0.0
-0.379573,0.008185984,-0.9051863,0.0,-0.52411807,0.0,-0.83505994,0.0,0.8813625,0.0,0.76132715,0.0,0.99950176,0.0,0.54837924,0.0,0.6134885,0.0,-0.83937925,0.0
