neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4,neur5,input5,neur6,input6,neur7,input7,neur8,input8,neur9,input9
0.9999029,0.0,0.44167548,0.0,0.3579238,0.0,0.52957904,0.0,0.3541098,0.0,0.48847386,0.0,0.5391374,0.0,0.5175448,0.0,0.4529041,0.0,0.5056509,0.0
0.9999994,0.005540937,0.43147498,0.0,0.24454375,0.0,0.56361777,0.0,0.22661965,0.0,0.46894103,0.0,0.6140236,0.0,0.5310147,0.0,0.4426767,0.0,0.5580273,0.0
1.0,0.011081874,0.42467758,0.0,0.11614035,0.0,0.5889346,0.0,0.098893225,0.0,0.44636884,0.0,0.6815098,0.0,0.5268967,0.0,0.42976078,0.0,0.609852,0.0
1.0,0.016622812,0.42115873,0.0,-0.024927935,0.0,0.60645074,0.0,-0.023522127,0.0,0.42074192,0.0,0.74027467,0.0,0.50634575,0.0,0.4142317,0.0,0.6581013,0.0
1.0,0.022163749,0.42058602,0.0,-0.17380446,0.0,0.61696875,0.0,-0.13656431,0.0,0.39226422,0.0,0.7899666,0.0,0.4698399,0.0,0.3961776,0.0,0.7007385,0.0
1.0,0.027704684,0.42249548,0.0,-0.3233141,0.0,0.621249,0.0,-0.23799418,0.0,0.36131805,0.0,0.8309898,0.0,0.41751674,0.0,0.37568375,0.0,0.73663276,0.0
1.0,0.033245623,0.42636272,0.0,-0.465117,0.0,0.62007517,0.0,-0.32720527,0.0,0.32841614,0.0,0.8642316,0.0,0.3495793,0.0,0.35282397,0.0,0.765368,0.0
1.0,0.03878656,0.43165842,0.0,-0.59163135,0.0,0.6142829,0.0,-0.40474346,0.0,0.29414895,0.0,0.8908075,0.0,0.26673648,0.0,0.3276593,0.0,0.787001,0.0
1.0,0.044327497,0.43788442,0.0,-0.6978758,0.0,0.60474414,0.0,-0.47178102,0.0,0.25913018,0.0,0.91186845,0.0,0.1705934,0.0,0.3002434,0.0,0.8018276,0.0
1.0,0.049868435,0.44459108,0.0,-0.78229356,0.0,0.5923177,0.0,-0.52969956,0.0,0.22394617,0.0,0.92848,0.0,0.063863955,0.0,0.2706315,0.0,0.8101923,0.0
1.0,0.055409368,0.45138004,0.0,-0.8462957,0.0,0.5777933,0.0,-0.5798338,0.0,0.18911687,0.0,0.94156396,0.0,-0.049710803,0.0,0.23889108,0.0,0.8123546,0.0
1.0,0.06095031,0.45789748,0.0,-0.8930559,0.0,0.5618504,0.0,-0.62335396,0.0,0.15507324,0.0,0.9518821,0.0,-0.16576008,0.0,0.20511134,0.0,0.8084109,0.0
1.0,0.066491246,0.46382186,0.0,-0.9262953,0.0,0.54503995,0.0,-0.66123736,0.0,0.12215017,0.0,0.96004534,0.0,-0.27987784,0.0,0.16940981,0.0,0.7982632,0.0
1.0,0.07203218,0.46884975,0.0,-0.94947636,0.0,0.52778566,0.0,-0.6942834,0.0,0.09059076,0.0,0.96653366,0.0,-0.38820884,0.0,0.13193525,0.0,0.78162986,0.0
1.0,0.07757312,0.47268206,0.0,-0.9654426,0.0,0.5103965,0.0,-0.7231423,0.0,0.060557224,0.0,0.9717196,0.0,-0.48784792,0.0,0.09286712,0.0,0.75809383,0.0
1.0,0.08311406,0.47501287,0.0,-0.976358,0.0,0.4930833,0.0,-0.7483443,0.0,0.03214424,0.0,0.97589034,0.0,-0.5769834,0.0,0.05241243,0.0,0.7271867,0.0
1.0,0.088654995,0.47552168,0.0,-0.98379266,0.0,0.47597548,0.0,-0.77032346,0.0,0.0053924695,0.0,0.9792662,0.0,-0.65482414,0.0,0.010800966,0.0,0.6885032,0.0
1.0,0.094195925,0.47387102,0.0,-0.9888514,0.0,0.45913517,0.0,-0.78943634,0.0,-0.019699212,0.0,0.9820166,0.0,-0.7214006,0.0,-0.031720348,0.0,0.64183605,0.0
1.0,0.09973687,0.4697097,0.0,-0.99229705,0.0,0.4425696,0.0,-0.80597585,0.0,-0.04316316,0.0,0.9842715,0.0,-0.7773266,0.0,-0.07489333,0.0,0.58730775,0.0
1.0,0.10527781,0.46268216,0.0,-0.9946498,0.0,0.426241,0.0,-0.8201816,0.0,-0.06505435,0.0,0.98613137,0.0,-0.82357603,0.0,-0.11845442,0.0,0.52547187,0.0
1.0,0.110818736,0.45244387,0.0,-0.99626243,0.0,0.41007507,0.0,-0.8322476,0.0,-0.085443385,0.0,0.9876737,0.0,-0.8613037,0.0,-0.1621403,0.0,0.45735338,0.0
1.0,0.11635967,0.43868122,0.0,-0.9973729,0.0,0.3939685,0.0,-0.84232736,0.0,-0.10441104,0.0,0.98895884,0.0,-0.89171225,0.0,-0.20569314,0.0,0.38441026,0.0
