Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.5482307,0.48486802,0.5298683,0.010678142
2,0.5430348,0.33605295,0.37970814,0.28397703
3,0.5430348,0.2952439,0.34241128,0.1383052
4,0.44418198,0.30016893,0.34374157,0.063382946
5,0.4060523,0.20517977,0.25941116,0.23688011
6,0.49304515,0.21108142,0.34640884,0.27369305
7,0.53982484,0.21108142,0.3664694,0.22734848
8,0.45414954,0.21108142,0.28931,0.24188353
9,0.49167544,0.2451171,0.3740313,0.24538186
10,0.47568506,0.2451171,0.3426961,0.16582574
