fitness,g0,g1,g2,g3,g4,g5
-1.189879,-0.1895518,-0.35369107,0.12697509,0.2326723,0.20495437,0.84338063
-2.2022882,0.45411623,0.04033821,-0.44674566,-0.78445375,0.52385014,0.035807643
0.020996278,-0.7341059,-0.67408323,-0.9129883,0.7264274,0.1997295,-0.15579331
-3.0814848,0.12026763,0.71661764,-0.27451733,-0.29497612,0.22146389,0.4971991
-1.2049365,0.09440929,0.2516327,0.13422342,0.19897409,0.22376864,0.0064296853
-2.6683114,0.16299702,-0.61560076,-0.5054316,-0.2984161,-0.7234836,-0.10027392
-1.5591885,-0.1671759,0.08530557,0.43542188,-0.05189693,-0.104611635,0.25978246
-1.0148987,-0.5414975,0.77863765,-0.48526734,0.35853988,0.21717261,0.10088896
-0.42840862,0.13478263,0.3965447,-0.7809085,0.43180868,0.011096729,0.098118134
-1.1506835,-0.6557976,-0.3063276,0.024005653,0.19849598,0.74201465,-0.52936065
-1.1879756,-0.15428281,-0.0012578964,-0.3263378,-0.0021466205,0.5082357,-0.38682926
-3.3359957,0.06462835,0.7617549,0.06624353,0.58621895,0.665426,-0.7447535
-5.49292,-0.23196293,0.56504124,-0.35698155,0.8159576,0.25820035,-0.4077426
-0.3337111,0.23697269,0.48856086,-0.65471435,0.9595682,-0.4580878,0.42260203
-1.1526387,0.49435458,-0.46534026,-0.657302,0.19886762,0.32379374,0.7748834
-1.1108239,0.32263395,-0.015675426,-0.4729954,0.09130505,0.37510562,-0.35041642
-1.199672,-0.11494825,-0.2227959,-0.22436497,-0.06626901,0.3312231,0.07681867
-1.2801373,-0.5294746,0.056203455,0.2110398,0.5145801,0.2617391,-0.019210994
-0.9333895,-0.49670595,0.6630449,-0.9738068,0.41295278,0.035419196,-0.1876697
-0.5889753,-0.105912425,-0.47721678,-0.33601314,0.52761316,0.15979421,-0.039535165
-1.1401019,-0.8696319,0.21148652,-0.24907005,-0.10458201,0.23102675,0.49252915
-1.0335257,0.47163156,0.17218252,0.12696372,0.03773856,0.015480757,0.25153148
-2.3920438,-0.85436004,-0.6538001,-0.92241734,0.65284276,0.050599538,-0.15675607
-0.99480367,0.55077964,0.6127145,-0.7519107,0.09335164,-0.005304872,-0.05368473
-1.1949166,-0.15556733,-0.070034385,0.9552381,0.3480962,-0.08457629,0.332073
-1.7415287,-0.0011027287,-0.12958701,0.85204846,-0.11847806,-0.7279634,-0.22387819
-0.96392304,-0.9507151,0.76582086,-0.06819016,0.47380605,0.1688608,-0.004162562
-0.28250518,-0.21490173,-0.69530284,-0.6700676,0.40506995,0.033587348,0.07388815
-1.2497079,0.5773164,0.1509782,-0.67522293,-0.113997795,0.67217845,-0.16374493
-1.0829716,0.18092498,-0.36726665,0.007631934,0.65107477,0.16502321,0.119449
-1.0641547,-0.4433016,0.13488407,-0.75232106,0.1625874,-0.1896335,-0.3484615
-1.2047313,-0.16508314,0.209788,0.13056514,-0.10121055,0.3563214,-0.09061912
-3.95206,-0.05442226,0.48183095,-0.44103318,0.48599502,0.36891696,-0.8015441
-1.557026,0.7631253,0.086756036,-0.22663389,-0.54916275,0.6541165,-0.3497906
-2.4775956,-0.2357906,-0.18975347,-0.360669,0.8468254,-0.38790312,0.15602903
-1.3644,-0.010839836,-0.98105603,0.92075306,0.5383226,0.59693253,0.17353798
-0.6113373,-0.50361365,0.27585018,-0.29736254,0.20985806,-0.0060928725,0.1275581
-0.8568906,-0.40127444,-0.19139259,-0.12535146,0.10542891,-0.047742072,0.23687954
-4.266434,-0.28573066,0.62382466,-0.18261681,-0.6181095,-0.49379137,0.36883548
-1.157254,-0.58107954,0.95913917,-0.36515707,0.2723948,-0.817548,0.38618746
-1.1923062,0.8902782,-0.9549501,-0.37146068,-0.006426911,0.4032222,0.42667618
-1.1640499,0.6507534,-0.08794836,0.32249707,0.26879442,0.30334067,0.19344077
-0.45032924,0.6836614,-0.94119716,-0.49267533,0.40090165,-0.16264676,0.33272585
-1.0695896,0.95415413,-0.8031636,-0.026287092,0.15410401,-0.4617303,0.16085705
-1.0945613,-0.9381064,-0.010093292,0.03410595,0.22121814,-0.16604698,0.026713926
-1.3746475,0.5025793,0.2242254,-0.58175075,-0.22125082,0.24861799,-0.47479257
-1.2627803,-0.41974324,0.31581557,-0.19108331,-0.070611924,0.9117114,-0.45055524
-2.6868517,-0.09410469,0.30635962,0.4792891,-0.8189038,-0.08080637,-0.8150692
-1.2099617,0.40774533,-0.18447222,0.680822,0.2492017,-0.5673796,0.41463587
-0.2002948,-0.82273686,0.1292498,-0.5691129,0.71672726,-0.38024795,0.41566527
-1.1802162,-0.030230977,-0.11384137,0.15636377,0.84152174,-0.4555829,0.41957107
-3.0754533,0.15438758,-0.34991774,0.9806706,-0.7836058,0.26614916,-0.32504064
-0.9808063,0.02537334,0.69845045,-0.054441426,0.22570817,-0.65979517,0.4286395
-1.2156531,-0.28140333,0.3680263,-0.12412967,0.14961293,-0.7562935,-0.04253076
-1.1224391,0.40840384,-0.03300777,-0.07345407,0.30826303,-0.17845471,0.06742048
-0.3814477,-0.111425474,-0.6530089,-0.6597184,0.9167591,-0.69107413,0.64015996
-8.040609,-0.11386755,-0.030584712,-0.15626301,-0.5567298,0.12227316,0.8049841
-0.9574211,-0.80900383,0.19703543,-0.7172024,0.5119165,0.006718177,0.35335615
-1.2275792,0.2805685,0.76963043,0.5955004,0.055679876,0.9282668,0.69979537
-1.1828449,0.58619535,0.9431044,-0.13190213,0.3868769,0.31917095,0.9872509
-1.1884426,-0.1323874,-0.1794866,-0.034489967,0.22139943,0.4970169,0.44093525
-1.130153,-0.3007218,-0.7409788,0.44389397,0.2528527,-0.30720603,0.02993846
-2.5760033,0.17775248,0.27140808,0.16588058,0.25379327,0.37545335,-0.89904505
-0.9620869,-0.5363076,-0.050140686,-0.66501975,0.2478212,0.42237008,-0.58925027
-0.42685613,-0.8303029,0.5607948,-0.47354788,0.56347215,-0.21742158,0.307185
-2.6017427,-0.13114995,0.93429977,0.51847553,-0.981656,-0.13096029,-0.46031648
-1.1568192,-0.14936079,-0.3711804,-0.24925324,0.6389297,0.2543919,0.6529537
-1.1719074,0.3014987,0.045786075,0.8458636,0.13020903,-0.3305547,-0.07022035
-1.2612914,-0.22831154,-0.20947239,0.8481157,-0.1509017,0.9844571,0.008689716
-0.61089855,-0.67975783,-0.18114616,-0.41021207,0.38372862,-0.3739657,0.58506495
-1.0959597,0.60329264,0.47131914,0.50775725,0.23962724,0.4854281,-0.54650617
-2.7912889,0.50184226,-0.34749332,-0.58470774,0.4923357,0.4284895,-0.5290354
-1.100112,0.19464402,-0.2152543,0.21774304,0.14789987,-0.08524422,0.38393077
-0.92285645,0.61115205,-0.39003375,-0.69172204,0.18780795,-0.15109369,0.5231369
-0.19110008,0.18481259,-0.39584437,-0.76334524,0.69527847,-0.1635246,0.29265696
-1.13388,0.60582733,0.12699397,0.35775226,0.35924459,-0.50344414,0.6476254
-1.1432185,-0.20143306,0.24588203,0.31828427,0.10209799,-0.24293712,0.12124559
-3.154284,0.6060751,-0.043265462,0.7116846,-0.8608232,0.4816622,-0.19600564
-1.0556612,0.32756817,0.71005344,-0.29137307,0.237669,0.050307382,0.24102946
-1.4928225,0.79168,0.121559024,-0.77499706,-0.13084154,0.06734315,0.13084032
-1.3940828,0.8392985,-0.448845,0.4835195,0.64119756,0.9580048,-0.015019451
-1.2947208,-0.28215778,0.14426267,-0.3111137,-0.14619294,0.3532958,-0.33596262
-0.41691846,-0.65879273,0.4923051,-0.27805963,0.4899705,-0.054706518,0.10201576
-1.1030995,0.91549605,-0.1338494,-0.27263492,0.6354136,0.21227528,0.40116513
-1.9170032,0.21832761,0.22605999,0.36115614,-0.2765718,-0.0542378,-0.8927347
-1.6467243,0.67364734,0.2877065,-0.7267751,-0.32943267,0.03114572,-0.28318936
-1.2406623,-0.120401755,0.3307581,-0.8567338,-0.07288186,0.93404996,0.9107753
-0.853068,-0.6117659,-0.78438014,-0.3691578,0.7587416,-0.38937968,0.34419614
-0.54433054,-0.0371492,-0.5230883,-0.3397693,0.6898344,-0.48097154,0.32335687
-4.6683893,-0.640654,-0.042711284,0.66228974,-0.36511087,0.39505124,0.6978724
-3.0172553,0.42593494,0.28885815,-0.7062194,-0.568854,-0.6139256,-0.059899833
-1.7137433,-0.11018488,0.77241486,-0.9001208,-0.0939495,-0.78812146,0.09263144
-1.1956054,0.4639215,-0.23339702,0.31654325,0.3762494,-0.14922456,0.74730974
-0.40759662,0.395741,0.5055177,-0.3948442,0.72167295,-0.26102385,0.22512977
-1.1579,0.080266096,0.14679062,-0.04782605,0.4384497,-0.36976847,0.56393313
-1.0684657,-0.17056686,0.36004746,0.045021687,0.15571032,-0.36650637,-0.021616573
-0.95810455,0.5888973,-0.21879803,-0.48662835,0.59050304,0.27254817,-0.050004527
-2.1802082,-0.7068172,-0.0135633005,-0.068797246,0.41256958,-0.44004378,-0.13622989
