Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-0.4967413,-29.383936,-2.5275736,1608.3538
2,-0.4967413,-22.610186,-1.8211857,708.2217
3,-0.4967413,-22.48972,-2.1102939,1207.198
4,-0.4967413,-20.970758,-1.6968925,678.98645
5,-0.35764754,-10.543053,-1.576693,235.88719
6,-0.35764754,-16.730751,-1.6710042,500.0068
7,-0.35764754,-43.979492,-2.0555167,2116.9585
8,-0.35764754,-11.08728,-1.4216623,220.71579
9,-0.35764754,-21.496511,-2.0565214,1090.2706
10,-0.35764754,-11.342518,-1.4327583,227.01265
11,-0.23548943,-10.367532,-1.3705827,227.05789
12,-0.23548943,-14.605186,-1.4035832,407.46957
13,-0.23548943,-28.26083,-1.9532471,1611.2208
14,-0.23548943,-14.013516,-1.8983917,713.5616
15,-0.23548943,-21.976112,-1.9462879,1556.418
16,-0.23548943,-9.184267,-1.2042328,208.74168
17,-0.23548943,-6.472566,-1.0470815,102.57085
18,-0.23548943,-6.0910687,-1.1588576,140.82848
19,-0.23548943,-21.502268,-1.4696555,660.1019
20,-0.23548943,-21.502268,-1.7549793,1051.677
21,-0.23464647,-10.047456,-1.4724725,345.8566
22,-0.23464647,-11.021426,-1.6451405,490.0985
23,-0.23464647,-13.290919,-1.5299821,409.45145
24,-0.23464647,-10.282315,-1.4278743,261.2791
25,-0.23464647,-18.205359,-1.5020844,491.00864
26,-0.1506392,-14.437548,-1.4648627,369.93777
27,-0.1506392,-20.639284,-1.7094905,723.0709
28,-0.1506392,-10.456115,-1.1579158,165.2472
29,-0.1506392,-12.331352,-1.3774472,278.16196
30,-0.1506392,-7.3103623,-1.2465184,167.43811
31,-0.04154314,-8.61129,-1.2582662,231.26974
32,-0.04154314,-19.108227,-1.5271804,751.6324
33,-0.04154314,-29.540094,-1.7162935,1362.5775
34,-0.04154314,-22.182678,-1.9403906,1366.8212
35,-0.04154314,-9.251756,-1.3884784,288.4675
36,-0.04154314,-8.376752,-1.2709144,175.93803
