neur0,input0,neur1,input1
0.45951697,0.0,0.5043473,0.0
0.44004247,0.039989334,0.5207616,0.0
0.42358938,0.07991469,0.5344878,0.0
0.40982386,0.119712204,0.546035,0.0
0.39842016,0.15931821,0.55581605,0.0
0.38907287,0.19866931,0.5641659,0.0
0.38150355,0.23770262,0.5713567,0.0
0.37546328,0.27635565,0.57761043,0.0
0.37073267,0.31456655,0.58310795,0.0
0.36712024,0.3522742,0.5879973,0.0
0.36446038,0.38941833,0.5923996,0.0
0.3626104,0.42593947,0.5964142,0.0
0.36144814,0.46177918,0.6001225,0.0
0.36086908,0.4968801,0.6035913,0.0
0.36078417,0.5311862,0.6068753,0.0
0.3611176,0.5646424,0.6100192,0.0
0.36180466,0.59719545,0.6130595,0.0
0.36279038,0.628793,0.616026,0.0
0.36402786,0.65938467,0.6189425,0.0
0.3654771,0.68892145,0.6218284,0.0
0.3671038,0.7173561,0.6246988,0.0
0.36887866,0.7446431,0.627566,0.0
0.37077644,0.7707389,0.6304391,0.0
0.37277535,0.7956016,0.6333251,0.0
0.37485647,0.8191916,0.6362291,0.0
0.3770034,0.84147096,0.63915455,0.0
0.37920174,0.8624042,0.64210355,0.0
0.38143885,0.88195777,0.6450771,0.0
0.38370347,0.90010047,0.64807534,0.0
0.38598567,0.9168031,0.6510974,0.0
0.38827655,0.9320391,0.6541421,0.0
0.39056802,0.94578403,0.6572074,0.0
0.39285287,0.95801586,0.66029114,0.0
0.39512438,0.9687151,0.6633906,0.0
0.39737654,0.9778646,0.6665028,0.0
0.39960375,0.98544973,0.66962457,0.0
0.40180087,0.99145836,0.6727527,0.0
0.40396306,0.99588084,0.67588353,0.0
0.40608588,0.99871016,0.6790137,0.0
0.40816522,0.9999417,0.68213964,0.0
0.41019714,0.9995736,0.68525755,0.0
0.412178,0.9976064,0.68836385,0.0
0.41410446,0.99404323,0.691455,0.0
0.41597328,0.98888975,0.6945274,0.0
0.41778153,0.9821543,0.69757754,0.0
0.41952637,0.9738476,0.70060194,0.0
0.42120525,0.963983,0.7035973,0.0
0.42281574,0.9525762,0.70656025,0.0
0.42435557,0.93964547,0.7094877,0.0
0.4258227,0.92521155,0.7123765,0.0
0.42721525,0.9092974,0.7152236,0.0
0.4285315,0.8919287,0.71802634,0.0
0.42976984,0.873133,0.7207818,0.0
0.4309289,0.85294056,0.72348744,0.0
0.4320074,0.8313835,0.72614074,0.0
0.4330043,0.80849636,0.7287393,0.0
0.43391868,0.78431594,0.7312809,0.0
0.43474975,0.75888073,0.7337634,0.0
0.43549693,0.7322315,0.7361847,0.0
0.43615973,0.70441085,0.73854303,0.0
0.43673787,0.67546326,0.7408365,0.0
0.43723118,0.645435,0.7430635,0.0
0.4376397,0.6143742,0.7452225,0.0
0.43796355,0.58233064,0.74731207,0.0
0.43820304,0.5493555,0.7493308,0.0
0.43835858,0.51550144,0.75127757,0.0
0.43843082,0.48082274,0.7531512,0.0
0.43842041,0.4453748,0.7549507,0.0
0.43832827,0.40921414,0.7566752,0.0
0.43815535,0.37239906,0.7583237,0.0
0.4379028,0.3349882,0.75989574,0.0
0.43757188,0.29704145,0.76139045,0.0
0.437164,0.25861946,0.76280737,0.0
0.43668061,0.21978377,0.764146,0.0
0.43612337,0.18059623,0.7654059,0.0
0.43549404,0.14112,0.7665868,0.0
0.43479443,0.101418026,0.7676884,0.0
0.4340265,0.061553795,0.76871055,0.0
0.43319234,0.02159109,0.7696531,0.0
0.4322941,-0.018406155,0.7705161,0.0
0.431334,-0.058373954,0.7712994,0.0
0.43031442,-0.0982486,0.7720033,0.0
0.4292378,-0.13796584,0.7726278,0.0
0.42810664,-0.17746235,0.77317315,0.0
0.42692348,-0.21667498,0.7736397,0.0
0.425691,-0.25554097,0.7740277,0.0
0.42441192,-0.29399815,0.77433753,0.0
0.42308906,-0.3319852,0.7745697,0.0
0.42172518,-0.36944094,0.7747247,0.0
0.4203232,-0.40630564,0.7748032,0.0
0.41888604,-0.44252035,0.7748058,0.0
0.41741666,-0.47802714,0.7747331,0.0
0.41591802,-0.51276916,0.7745861,0.0
0.4143932,-0.54669106,0.7743654,0.0
0.41284516,-0.5797382,0.7740721,0.0
0.4112771,-0.61185783,0.7737071,0.0
0.40969196,-0.6429987,0.7732715,0.0
0.4080929,-0.67311084,0.77276635,0.0
0.40648293,-0.7021462,0.7721929,0.0
0.4048652,-0.73005825,0.7715525,0.0
0.40324277,-0.7568025,0.7708465,0.0
0.4016187,-0.7823359,0.7700763,0.0
0.399996,-0.8066177,0.76924336,0.0
0.39837775,-0.8296091,0.76834947,0.0
0.3967669,-0.8512733,0.7673963,0.0
0.39516652,-0.87157565,0.7663856,0.0
0.39357945,-0.8904837,0.76531935,0.0
0.39200863,-0.90796715,0.76419944,0.0
0.39045697,-0.92399806,0.7630281,0.0
0.38892725,-0.9385509,0.7618073,0.0
0.38742226,-0.9516021,0.7605396,0.0
0.38594478,-0.96313095,0.7592272,0.0
0.38449743,-0.97311896,0.7578727,0.0
0.3830829,-0.9815503,0.7564786,0.0
0.38170373,-0.98841125,0.7550477,0.0
0.38036248,-0.99369097,0.7535826,0.0
0.37906158,-0.99738103,0.75208634,0.0
0.3778034,-0.99947554,0.75056183,0.0
0.3765903,-0.99997103,0.74901223,0.0
0.3754246,-0.9988668,0.7474406,0.0
0.3743084,-0.9961646,0.74585015,0.0
0.37324387,-0.9918688,0.74424434,0.0
0.37223303,-0.9859861,0.7426265,0.0
0.37127793,-0.9785261,0.7410001,0.0
0.3703804,-0.96950066,0.73936874,0.0
0.36954233,-0.9589243,0.7377359,0.0
0.36876538,-0.94681376,0.7361054,0.0
0.36805123,-0.9331886,0.7344808,0.0
