neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996235,0.039989334,0.5742119,0.0
0.9987378,0.07991469,0.60465366,0.0
0.9962098,0.119712204,0.63131124,0.0
0.98974127,0.15931821,0.6545291,0.0
0.9750304,0.19866931,0.67435765,0.0
0.9461874,0.23770262,0.69053274,0.0
0.9003417,0.27635565,0.7026919,0.0
0.8462101,0.31456655,0.71095717,0.0
0.8023278,0.3522742,0.7163198,0.0
0.7786114,0.38941833,0.72009987,0.0
0.7704234,0.42593947,0.72322255,0.0
0.77004033,0.46177918,0.72613347,0.0
0.77288705,0.4968801,0.72900987,0.0
0.7769851,0.5311862,0.7319157,0.0
0.781564,0.5646424,0.7348715,0.0
0.7863277,0.59719545,0.7378816,0.0
0.79115915,0.628793,0.74094397,0.0
0.7960078,0.65938467,0.7440545,0.0
0.80084914,0.68892145,0.74720794,0.0
0.8056681,0.7173561,0.7503989,0.0
0.8104543,0.7446431,0.7536215,0.0
0.8151985,0.7707389,0.7568704,0.0
0.8198927,0.7956016,0.76013976,0.0
0.82452947,0.8191916,0.7634242,0.0
0.82910144,0.84147096,0.76671827,0.0
0.83360195,0.8624042,0.77001673,0.0
0.8380247,0.88195777,0.77331436,0.0
0.8423633,0.90010047,0.77660626,0.0
0.84661216,0.9168031,0.77988774,0.0
0.8507658,0.9320391,0.783154,0.0
0.8548192,0.94578403,0.78640085,0.0
0.85876775,0.95801586,0.789624,0.0
0.8626071,0.9687151,0.79281944,0.0
0.8663334,0.9778646,0.7959835,0.0
0.86994314,0.98544973,0.7991126,0.0
0.87343305,0.99145836,0.8022034,0.0
0.87680036,0.99588084,0.8052529,0.0
0.88004255,0.99871016,0.8082582,0.0
0.8831576,0.9999417,0.81121653,0.0
0.8861437,0.9995736,0.81412566,0.0
0.8889992,0.9976064,0.8169832,0.0
0.89172316,0.99404323,0.81978726,0.0
0.8943143,0.98888975,0.82253593,0.0
0.8967721,0.9821543,0.8252276,0.0
0.89909613,0.9738476,0.8278609,0.0
0.901286,0.963983,0.83043456,0.0
0.9033418,0.9525762,0.8329473,0.0
0.9052634,0.93964547,0.8353984,0.0
0.90705115,0.92521155,0.83778685,0.0
0.90870535,0.9092974,0.84011203,0.0
0.91022635,0.8919287,0.8423734,0.0
0.9116146,0.873133,0.8445705,0.0
0.91287076,0.85294056,0.84670293,0.0
0.91399544,0.8313835,0.8487705,0.0
0.91498905,0.80849636,0.850773,0.0
0.91585237,0.78431594,0.85271025,0.0
0.916586,0.75888073,0.85458225,0.0
0.9171905,0.7322315,0.856389,0.0
0.9176666,0.70441085,0.8581305,0.0
0.9180149,0.67546326,0.8598069,0.0
0.918236,0.645435,0.86141825,0.0
0.91833067,0.6143742,0.8629647,0.0
0.91829956,0.58233064,0.86444634,0.0
0.91814333,0.5493555,0.8658634,0.0
0.91786295,0.51550144,0.867216,0.0
0.9174592,0.48082274,0.86850435,0.0
0.9169332,0.4453748,0.86972857,0.0
0.9162861,0.40921414,0.8708889,0.0
0.91551936,0.37239906,0.8719855,0.0
0.9146344,0.3349882,0.87301856,0.0
0.91363317,0.29704145,0.8739882,0.0
0.9125176,0.25861946,0.8748947,0.0
0.9112902,0.21978377,0.8757381,0.0
0.9099536,0.18059623,0.8765188,0.0
0.90851074,0.14112,0.87723684,0.0
0.9069651,0.101418026,0.87789255,0.0
0.90532017,0.061553795,0.8784861,0.0
0.90358007,0.02159109,0.87901783,0.0
0.9017492,-0.018406155,0.879488,0.0
0.8998321,-0.058373954,0.87989694,0.0
0.8978338,-0.0982486,0.880245,0.0
0.8957595,-0.13796584,0.88053244,0.0
0.89361465,-0.17746235,0.8807599,0.0
0.8914047,-0.21667498,0.8809277,0.0
0.88913554,-0.25554097,0.8810364,0.0
0.8868131,-0.29399815,0.8810865,0.0
0.88444316,-0.3319852,0.88107866,0.0
0.88203174,-0.36944094,0.88101345,0.0
0.8795849,-0.40630564,0.8808916,0.0
0.8771085,-0.44252035,0.8807139,0.0
0.87460846,-0.47802714,0.880481,0.0
0.8720906,-0.51276916,0.8801939,0.0
0.86956054,-0.54669106,0.8798533,0.0
0.8670238,-0.5797382,0.87946033,0.0
0.86448604,-0.61185783,0.87901586,0.0
0.86195236,-0.6429987,0.878521,0.0
0.85942805,-0.67311084,0.87797683,0.0
0.8569181,-0.7021462,0.8773845,0.0
0.8544274,-0.73005825,0.8767453,0.0
0.8519607,-0.7568025,0.8760604,0.0
0.84952265,-0.7823359,0.8753313,0.0
0.8471178,-0.8066177,0.8745593,0.0
0.8447503,-0.8296091,0.873746,0.0
0.8424246,-0.8512733,0.87289286,0.0
0.84014463,-0.87157565,0.87200165,0.0
0.83791465,-0.8904837,0.87107396,0.0
0.8357383,-0.90796715,0.8701117,0.0
0.8336196,-0.92399806,0.8691167,0.0
0.8315619,-0.9385509,0.868091,0.0
0.8295693,-0.9516021,0.8670366,0.0
0.82764477,-0.96313095,0.8659556,0.0
0.8257921,-0.97311896,0.8648502,0.0
0.8240143,-0.9815503,0.86372286,0.0
0.8223148,-0.98841125,0.8625759,0.0
0.8206966,-0.99369097,0.8614118,0.0
0.8191627,-0.99738103,0.8602331,0.0
0.81771624,-0.99947554,0.8590426,0.0
0.8163599,-0.99997103,0.8578429,0.0
0.8150964,-0.9988668,0.8566369,0.0
0.8139284,-0.9961646,0.85542744,0.0
0.81285864,-0.9918688,0.85421747,0.0
0.81188935,-0.9859861,0.85301006,0.0
0.81102294,-0.9785261,0.85180825,0.0
0.81026167,-0.96950066,0.85061514,0.0
0.8096075,-0.9589243,0.84943396,0.0
0.8090626,-0.94681376,0.8482679,0.0
0.80862874,-0.9331886,0.84712017,0.0
0.8083075,-0.9180705,0.845994,0.0
0.80810076,-0.9014837,0.8448927,0.0
0.8080097,-0.88345474,0.8438194,0.0
0.8080356,-0.8640124,0.84277743,0.0
0.80817956,-0.84318787,0.84176993,0.0
0.80844253,-0.8210144,0.8408001,0.0
0.80882525,-0.7975275,0.839871,0.0
0.8093282,-0.77276444,0.8389857,0.0
0.8099518,-0.7467654,0.8381471,0.0
0.81069595,-0.71957165,0.8373581,0.0
0.8115608,-0.6912268,0.83662146,0.0
0.81254584,-0.6617761,0.8359399,0.0
0.81365067,-0.6312667,0.83531576,0.0
0.81487435,-0.5997474,0.8347516,0.0
0.81621593,-0.56726867,0.83424956,0.0
0.81767416,-0.53388244,0.83381164,0.0
0.81924725,-0.4996421,0.8334398,0.0
0.82093364,-0.46460244,0.8331357,0.0
0.8227311,-0.4288195,0.83290094,0.0
0.8246373,-0.39235055,0.83273673,0.0
0.82664967,-0.3552535,0.8326441,0.0
0.8287652,-0.31758854,0.8326241,0.0
0.8309809,-0.2794155,0.8326773,0.0
0.83329326,-0.24079546,0.83280414,0.0
0.83569866,-0.2017902,0.83300483,0.0
0.8381932,-0.16246213,0.8332794,0.0
0.84077257,-0.12287415,0.8336276,0.0
0.8434325,-0.08308959,0.83404887,0.0
0.8461683,-0.043172114,0.8345427,0.0
0.84897524,-0.0031855688,0.83510804,0.0
0.8518481,0.036806073,0.8357438,0.0
0.8547818,0.076738834,0.83644867,0.0
0.85777086,0.11654883,0.8372211,0.0
0.86080974,0.15617284,0.83805937,0.0
0.8638928,0.19554654,0.83896154,0.0
0.86701417,0.2346074,0.8399256,0.0
0.870168,0.27329293,0.8409492,0.0
0.8733483,0.31154126,0.84203,0.0
0.876549,0.3492912,0.84316546,0.0
0.8797641,0.38648236,0.84435284,0.0
0.8829875,0.4230552,0.8455895,0.0
0.8862132,0.45895126,0.8468725,0.0
0.8894351,0.4941131,0.8481989,0.0
0.8926473,0.52848446,0.8495656,0.0
0.89584404,0.56201035,0.85096973,0.0
0.8990194,0.5946376,0.852408,0.0
0.90216804,0.62631303,0.85387737,0.0
0.9052842,0.6569866,0.8553747,0.0
0.9083629,0.6866091,0.8568968,0.0
0.9113989,0.7151332,0.85844064,0.0
0.91438746,0.7425132,0.86000305,0.0
0.9173238,0.76870537,0.861581,0.0
0.92020375,0.79366773,0.86317164,0.0
0.9230231,0.81736046,0.86477196,0.0
0.92577815,0.8397455,0.8663791,0.0
0.92846537,0.8607872,0.86799026,0.0
0.9310815,0.88045186,0.8696029,0.0
0.9336236,0.8987079,0.87121445,0.0
0.9360892,0.91552645,0.8728224,0.0
0.938476,0.9308801,0.8744244,0.0
0.94078195,0.94474465,0.8760183,0.0
0.9430055,0.9570977,0.87760186,0.0
0.9451452,0.96791965,0.8791733,0.0
0.94720006,0.9771931,0.8807306,0.0
0.9491693,0.9849033,0.8822721,0.0
0.95105237,0.99103785,0.88379616,0.0
0.95284903,0.99558693,0.8853013,0.0
0.9545593,0.9985433,0.88678616,0.0
0.9561834,0.99990225,0.8882495,0.0
0.9577216,0.99966156,0.88969016,0.0
0.9591745,0.9978216,0.8911071,0.0
0.96054286,0.9943853,0.89249945,0.0
0.96182746,0.98935825,0.89386636,0.0
0.96302927,0.98274845,0.8952071,0.0
