neur0,input0,neur1,input1
0.45936155,0.0,0.5026609,0.0
0.43798772,-0.0022842418,0.52408105,0.0
0.41915923,-0.0048199147,0.5424608,0.0
0.4026654,-0.0078544505,0.558297,0.0
0.38828364,-0.0116273835,0.5720024,0.0
0.3757913,-0.016366482,0.5839195,0.0
0.36497375,-0.022284225,0.5943321,0.0
0.35562897,-0.029574364,0.6034753,0.0
0.3475703,-0.03840886,0.61154413,0.0
0.34062764,-0.048935123,0.6187005,0.0
0.33464742,-0.061273754,0.6250789,0.0
0.32949224,-0.075516514,0.63079107,0.0
0.32503992,-0.09172487,0.63593,0.0
0.32118252,-0.109929204,0.640573,0.0
0.317825,-0.130128,0.64478445,0.0
0.31488428,-0.15228811,0.64861774,0.0
0.3122879,-0.17634514,0.6521175,0.0
0.30997318,-0.20220444,0.6553205,0.0
0.30788606,-0.2297428,0.65825754,0.0
0.30598032,-0.2588101,0.660954,0.0
0.3042167,-0.2892318,0.663431,0.0
0.30256224,-0.32081166,0.66570604,0.0
0.30098954,-0.35333505,0.6677938,0.0
0.29947627,-0.3865719,0.6697064,0.0
0.29800442,-0.42028072,0.671454,0.0
0.2965601,-0.45421216,0.67304546,0.0
0.2951328,-0.4881131,0.67448807,0.0
0.2937151,-0.5217306,0.6757885,0.0
0.29230234,-0.5548158,0.67695254,0.0
0.29089212,-0.58712804,0.6779854,0.0
0.28948405,-0.61843836,0.67889214,0.0
0.28807938,-0.6485334,0.6796775,0.0
0.28668073,-0.6772186,0.680346,0.0
0.28529176,-0.70432127,0.6809025,0.0
0.28391698,-0.72969353,0.6813514,0.0
0.28256136,-0.7532142,0.68169767,0.0
0.2812303,-0.774791,0.6819461,0.0
0.27992916,-0.7943622,0.6821017,0.0
0.27866322,-0.8118971,0.6821696,0.0
0.2774375,-0.82739675,0.6821551,0.0
0.27625644,-0.8408941,0.68206346,0.0
0.27512395,-0.85245305,0.6819,0.0
0.27404308,-0.8621678,0.6816703,0.0
0.27301618,-0.87016124,0.6813796,0.0
0.27204448,-0.8765829,0.68103325,0.0
0.27112833,-0.8816066,0.68063635,0.0
0.27026695,-0.88542753,0.68019384,0.0
0.2694586,-0.88825977,0.67971045,0.0
0.26870036,-0.8903322,0.67919046,0.0
0.26798835,-0.8918851,0.6786379,0.0
