neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.9996171,-0.053223286,0.5742114,0.0
0.9986723,-0.10640163,0.60464877,0.0
0.9958088,-0.15949021,0.63128126,0.0
0.987895,-0.21244432,0.65438986,0.0
0.9682256,-0.26521957,0.67383695,0.0
0.9262434,-0.31777185,0.6889469,0.0
0.8564184,-0.37005755,0.6988565,0.0
0.7776893,-0.4220335,0.70375025,0.0
0.7234228,-0.47365716,0.7054143,0.0
0.69905204,-0.52488667,0.70567656,0.0
0.68931675,-0.57568085,0.70540285,0.0
0.68409836,-0.6259994,0.704864,0.0
0.67995685,-0.6758029,0.7041316,0.0
0.6759689,-0.72505283,0.7032234,0.0
0.67190903,-0.77371204,0.70214397,0.0
0.6677263,-0.82174397,0.70089465,0.0
0.6634111,-0.86911345,0.699476,0.0
0.65896314,-0.9157868,0.69788843,0.0
0.65438485,-0.9617312,0.696132,0.0
0.6496784,-1.0069155,0.69420695,0.0
0.64484584,-1.0513095,0.6921132,0.0
0.6398893,-1.094885,0.6898509,0.0
0.6348107,-1.137615,0.68741995,0.0
0.62961185,-1.1794739,0.6848202,0.0
0.6242944,-1.2204379,0.6820514,0.0
0.61885947,-1.2604845,0.67911357,0.0
0.6133087,-1.2995929,0.6760063,0.0
0.607643,-1.337744,0.67272943,0.0
0.60186344,-1.3749207,0.6692826,0.0
0.59597087,-1.4111068,0.66566557,0.0
0.589966,-1.4462881,0.661878,0.0
0.5838494,-1.4804524,0.6579195,0.0
0.57762146,-1.5135889,0.65378994,0.0
0.5712826,-1.5456882,0.6494888,0.0
0.5648332,-1.576743,0.64501595,0.0
0.5582732,-1.6067476,0.640371,0.0
0.5516027,-1.635698,0.6355538,0.0
0.5448218,-1.6635914,0.6305639,0.0
0.5379301,-1.6904268,0.6254014,0.0
0.5309278,-1.7162051,0.62006587,0.0
0.52381414,-1.7409285,0.6145573,0.0
0.5165892,-1.7646004,0.6088757,0.0
0.5092526,-1.7872263,0.60302097,0.0
0.50180393,-1.8088126,0.5969931,0.0
0.4942426,-1.8293672,0.59079224,0.0
