fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-1.0507029,0.9235511,-0.14855471,-0.45312348,-0.2445525,0.31444216,0.88262004,0.5520221,-0.4659123,0.16735438,-0.14998834,0.80400693,0.18823317
-1.8368149,-0.3396425,0.2449407,-0.6679356,-0.22715552,-0.108197585,0.017673528,0.36415035,-0.11356981,0.29908454,0.31438768,-0.93723136,-0.38673043
-0.9135233,0.9274012,0.06498934,-0.008572117,-0.32030514,-0.57425624,0.043076694,0.020274296,-0.78266793,0.9676351,0.26217818,0.09627059,0.7601297
-1.4385326,0.91474825,-0.6678027,-0.36262783,-0.72490656,0.28670657,0.41903952,0.628518,0.3192712,-0.36613727,0.9121972,0.40575394,0.6611095
-1.2017375,-0.66579264,-0.16483408,0.09196144,-0.30203173,0.5278163,0.078726925,-0.50890493,-0.2982926,0.27591574,-0.39398944,-0.4637008,0.8940702
-0.57851946,0.289454,0.50055945,-0.5446836,0.023495445,-0.15777266,0.53787637,0.051684856,-0.676835,0.8736522,0.37138334,-0.14567909,0.64342475
-3.3809752,0.13044408,0.83812886,0.08252821,0.47879452,0.6599331,-0.50545794,-0.20894289,0.38491273,-0.043745812,0.21665055,-0.09359982,0.8740364
-4.4774413,0.51682854,-0.67357266,-0.37359792,-0.020921621,-0.17238171,-0.9137513,-0.7588893,0.8303622,-0.6886288,0.048302807,0.0070695877,-0.15607594
-1.3871456,0.6858735,0.17408781,0.47767168,0.18263355,-0.6526587,-0.099179246,-0.2144986,0.088082366,0.042860508,-0.002892472,-0.093934454,-0.33117798
-1.3320793,-0.11685479,0.06237824,-0.28892624,0.10725453,0.9360463,-0.16434664,0.016089428,-0.12344076,0.3787534,0.8161395,0.07823215,0.7244458
-0.53022337,-0.54479927,-0.36675093,-0.24562006,-0.4098886,-0.24649283,0.5031268,0.8635336,-0.6201849,0.7470852,-0.045701504,0.100642666,-0.26914692
-1.645511,-0.53765154,-0.24000226,-0.021686554,0.9693912,0.26876593,-0.012868754,-0.20873475,0.7529053,0.39940867,0.48626015,-0.8132898,-0.8446382
-1.6343962,0.6995582,0.048061904,0.46663836,0.28369275,-0.27121434,0.9427228,0.05059905,0.33515936,0.07113857,0.11476183,-0.58310384,-0.89855474
-2.5664659,-0.19399707,0.7340403,-0.64567405,0.8876079,0.83725643,-0.054930016,-0.5403932,0.34043935,-0.08481317,-0.33048293,-0.6972737,-0.12543449
-1.8725123,0.1353929,-0.4242247,-0.52672946,-0.23241118,-0.19567132,0.18301173,0.8242823,-0.02412951,-0.46417084,0.47919467,0.55105513,-0.39820823
-2.9161496,0.008760317,-0.7836519,0.1613208,-0.22275192,0.4932496,-0.037123114,0.2873932,-0.37573242,0.5212461,-0.38293093,-0.65640986,-0.026048737
-0.055301987,0.3723494,0.5521087,0.097743906,-0.8462803,0.17419209,0.8057055,-0.7548579,-0.54692984,0.76538604,-0.5110256,-0.44590622,0.5576955
-1.3084434,-0.009988321,-0.84191114,-0.19057685,-0.084369265,-0.083562165,0.5188837,-0.23992248,-0.09316429,-0.20151715,-0.15972638,-0.42382312,0.6379384
-0.6700658,0.16800569,0.82675034,-0.29180276,-0.30127433,0.9599403,0.6445669,-0.2203257,0.470171,0.896616,-0.23186994,0.64781356,0.5776973
-1.3674018,-0.36301765,-0.9290042,0.46640548,-0.83003765,-0.27427703,-0.18605715,0.3092059,-0.39129665,-0.24779135,-0.6948651,0.630032,0.1061672
-1.8444475,0.72332346,-0.4192083,-0.06190831,-0.03182283,-0.36776674,-0.31528756,-0.43205428,-0.34720755,-0.137306,-0.21152209,-0.8344142,0.531674
-1.1861768,-0.17327791,0.031557847,-0.83536655,0.023500042,0.62879956,-0.052205946,0.6436023,0.07262257,0.35805675,0.5715054,-0.6901525,0.67861956
-1.3314761,0.03538418,-0.044630054,0.79826236,0.59788704,0.24970545,0.26008022,0.5365576,0.38083646,0.4906696,-0.09166387,0.3748934,0.46028277
-1.3230586,-0.56808525,-0.6717297,0.47046995,0.7754444,-0.42894432,0.4524103,-0.9110366,-0.36393046,0.35545856,-0.3270121,-0.38637444,-0.028984943
-1.4983132,-0.10225397,-0.2496276,-0.5018432,0.18603474,0.12433481,-0.19768168,0.7685964,-0.27067637,0.06297234,0.9611838,-0.97178704,0.6562675
-2.416674,-0.78551507,-0.19679117,0.34764567,0.31499565,0.88082737,0.05023445,-0.14444053,-0.4954783,-0.975559,-0.50545883,0.21598792,-0.505995
-0.23414345,-0.42416668,0.04084307,-0.9343218,-0.33828932,-0.31886384,0.71298206,0.2507993,-0.70869434,0.35442582,-0.17475078,0.160002,0.011140943
-1.8218398,0.9165742,0.15795946,0.8588005,0.4352847,-0.42491394,0.91056824,0.21394017,-0.44192374,-0.92170453,0.5858107,-0.034887098,0.17281373
-4.8596425,-0.28680658,0.043734692,-0.30411512,-0.021408863,0.19280255,-0.31503457,0.45872837,-0.95385814,-0.49903724,0.9311895,0.81021327,-0.028425561
-6.387613,0.8174139,0.729947,0.951826,0.5100738,0.21823262,0.8383276,-0.12465681,-0.20186576,-0.18548834,-0.23772295,0.5555633,-0.3184178
-3.2856874,0.96901983,-0.7291973,0.20805365,0.25025266,-0.27904192,0.03793957,0.5363113,0.24904978,-0.72434616,-0.5073932,-0.23440073,-0.5482833
-0.8842406,-0.42703542,-0.27591273,0.3692735,-0.2869486,-0.82524526,0.7378581,0.23718421,-0.04968929,0.4979215,-0.87086505,0.534299,0.76972073
-2.25138,0.85085076,-0.23166077,0.9604418,-0.63851255,-0.0629735,-0.4106439,0.8781045,0.66313374,-0.34804633,0.63948745,0.10637976,-0.6625791
-2.3201265,-0.5196688,-0.052807517,0.42205465,-0.7170582,-0.10204001,-0.98198956,0.5365708,-0.066614,0.42280862,0.4551268,-0.3142177,0.7430396
-2.6714835,0.3597413,-0.90086955,0.0044967197,0.46156955,-0.24887586,-0.89587635,-0.28480244,0.28916,-0.018331347,-0.8146143,0.5987096,-0.13377805
-1.3031996,0.8992538,0.9117716,-0.4962715,0.355189,-0.059837107,0.13733785,-0.64193547,0.606375,0.3317584,0.17149138,0.3166829,0.36065426
-0.65932226,0.45923793,0.9632732,-0.89018285,0.43407822,-0.49761674,0.43442225,-0.2896719,0.27732167,0.96805733,-0.45327792,-0.012265549,0.16916537
-15.171213,0.14369659,0.271238,-0.67809564,0.10445447,-0.6694586,0.060758114,0.42500746,-0.5754858,-0.37809673,-0.7353584,0.078816175,0.19523446
-0.8424776,-0.031010557,0.33931136,0.32953486,-0.86505836,0.40597448,0.5520236,0.2864703,-0.26271835,0.67992216,0.4148695,-0.7651801,0.88539696
-1.3002257,0.11313993,0.217701,-0.058673143,-0.63498145,0.1357956,0.64026874,-0.14057921,0.04666686,-0.25598297,0.15217264,0.20862472,0.45294333
-0.36585373,-0.09807754,0.40688646,-0.7503686,-0.36317822,-0.7118215,0.59637594,0.46553564,-0.5453488,0.904493,-0.11885803,-0.13144007,0.7688211
-2.0518959,-0.35830745,0.20791227,-0.12737153,0.38650754,0.10045779,-0.010131955,0.4028668,-0.21145996,-0.8601817,-0.32326576,-0.22993366,-0.6135139
-2.7538428,-0.5603321,-0.7044201,0.75455457,0.43755907,0.10339153,-0.36755192,-0.19606163,0.14492117,-0.92607445,-0.3382633,-0.7633385,-0.60952437
-0.4377189,0.47088456,0.3889909,-0.55687153,-0.11570898,-0.4039772,0.84227383,0.002684474,-0.47001812,0.9153531,-0.34591907,0.3278185,0.9337957
-2.5954895,0.18745872,-0.5967568,0.74730915,-0.041715506,-0.8745413,-0.42631495,-0.6375095,0.07646108,0.091176845,-0.19518635,-0.2714126,0.2694996
-1.7697433,-0.05588039,-0.9787289,0.33560026,-0.49745548,-0.35046852,0.09957266,0.21355505,-0.026937988,-0.18370077,-0.2554199,0.39674687,0.28347906
-1.2886032,-0.5724625,-0.26270533,-0.009133935,0.94340646,0.7900015,0.5217642,-0.39230406,-0.5019697,0.6505369,0.71360964,-0.417207,-0.29787374
-1.5460725,-0.7946891,0.46629325,0.12060037,-0.607396,-0.19803733,0.0022290945,0.52257437,0.06011537,0.100581326,0.46223,-0.7111196,0.2758401
-0.66811854,-0.43561372,0.15316872,-0.033203244,-0.51687723,-0.14345913,0.2691424,0.038977314,-0.48302713,0.8269838,0.60517275,0.13612615,-0.25117218
-0.5388904,0.19143331,-0.12584582,-0.95073426,-0.65755635,0.53636754,0.5788584,-0.96105283,-0.046427004,0.40479636,-0.38485664,0.13813049,0.68748504
-12.305798,-0.92938167,0.91627866,0.30760252,0.29403698,0.49571466,-0.8223874,0.10606499,-0.9034813,-0.43958056,0.7546793,-0.8080249,0.17919016
-1.8863814,-0.05854095,-0.4384056,0.4358097,0.32094872,0.029955773,-0.35283533,0.4571398,-0.38443524,0.18861952,-0.27920082,0.31115702,-0.23723829
-3.5217097,0.44221556,0.09735095,-0.20079724,-0.28088647,0.9076025,-0.4748686,-0.7343934,0.17890687,-0.48269427,-0.116890624,-0.48753557,0.38618127
-2.803934,-0.39301914,-0.12835105,0.4535552,0.20643103,0.4707255,-0.11222912,-0.027511012,0.599219,-0.71748364,-0.16607863,0.7048582,0.32967195
-0.5953409,-0.850735,-0.18049154,0.60474634,-0.61211187,0.023891795,-0.08317685,0.039598648,-0.6323986,0.39460632,0.18177247,-0.27615428,0.12660575
-1.2952182,0.22671938,-0.29516357,0.5686674,-0.41537485,0.5922827,0.36393145,-0.25864625,0.88504,0.6992003,0.33281115,-0.55319035,-0.06662008
-0.83328474,0.38707912,0.019590436,-0.6676378,0.6875678,0.29276943,0.65789163,0.2192302,0.17361163,0.8786566,0.04569859,0.089013815,-0.011075778
-1.7960625,-0.44709173,0.023565331,-0.43794203,0.25143555,-0.09087921,-0.30243134,0.39608282,0.09534826,0.24985829,-0.6731539,0.23083992,0.19615531
-1.9651735,-0.023116026,-0.9133869,-0.49468547,-0.6041714,0.64738333,-0.37179318,0.14339799,0.16364402,-0.09096112,0.47932997,-0.8430875,0.051591255
-0.2420787,0.10736823,0.06580714,-0.43017846,-0.8408822,0.32584557,0.3192612,0.03865842,-0.73275965,0.5371043,0.54049456,-0.4109466,-0.07695389
-2.2304106,0.4489045,0.14814441,0.68746215,0.08348421,0.8810296,0.19387501,-0.9515846,-0.06647191,0.14219344,-0.3278303,0.44372526,0.26831228
-1.5261297,0.15136068,-0.11484543,0.44360676,0.78692484,0.51652944,0.40286162,0.15563762,0.28146175,0.009217024,0.23130934,-0.025773598,0.1317949
-7.452225,0.9337807,0.22163643,0.20351407,0.49106914,0.5153296,-0.56673914,-0.031166257,-0.1058211,-0.17886053,0.64206094,-0.65226525,-0.12766688
-1.1389201,0.9146506,-0.38755918,0.02736683,-0.639921,-0.34663725,-0.17084491,0.50820094,0.76493794,0.7138901,-0.23447849,-0.5565076,-0.65001637
-2.7225552,0.3099872,0.3854084,-0.08018663,0.5351165,0.34715495,-0.8328293,0.6425106,0.41955507,0.17231241,0.802945,-0.5278047,0.17841753
-1.3374366,-0.17862809,0.71776927,0.21137294,-0.8023969,-0.40212214,0.48924485,0.2730567,-0.32335946,0.43009877,-0.91475964,-0.061556697,-0.5969337
-0.6337092,0.6277035,-0.14015467,-0.57682896,-0.011478066,-0.3312145,0.8961286,0.3342439,0.6998764,0.7171622,-0.1376332,0.16868196,0.38145155
-3.2787619,-0.18955944,-0.68786246,0.077466495,0.5200824,-0.95863324,-0.4324997,-0.4751026,-0.22898564,0.11502043,-0.6358111,-0.2335961,0.5230597
-2.286754,-0.9716161,-0.88523906,0.33988506,-0.8780419,-0.7433969,-0.4930431,0.6739673,-0.76861614,-0.68308485,0.40419808,-0.09534915,0.40873414
-1.7936053,0.24078551,-0.8440798,0.23813325,-0.117465496,-0.57035094,-0.061804835,0.44697312,0.11249435,0.013232185,0.0810396,-0.4482784,-0.68015444
-1.2709779,0.7729291,0.4981793,-0.39103782,0.03745274,-0.71891314,-0.22762015,0.0026187897,-0.77253807,0.6949908,-0.012353063,0.7582704,0.477847
-0.24213228,-0.6183512,-0.1689908,-0.094520904,-0.80019635,0.5651469,0.8684375,-0.90462667,-0.031796392,0.8497086,0.12836136,-0.043270446,-0.16503605
-2.1204057,0.23756538,-0.985839,-0.63536394,-0.81336546,0.81932914,0.15988092,0.3101564,-0.20095386,-0.3723065,-0.27785882,-0.047988653,0.051285997
-1.1177144,0.68192625,-0.37785277,-0.03602403,-0.21464947,0.27249843,0.50206447,0.75489736,-0.506174,0.15552701,0.109120205,-0.35372922,0.82304215
