neur0,input0,neur1,input1,neur2,input2
0.45953366,0.0,0.4373999,0.0,0.558507,0.0
0.39523178,0.024795178,0.39073527,0.0,0.67181736,0.0
0.3321178,0.04938359,0.35080212,0.0,0.75904346,0.0
0.27167746,0.07356024,0.31749347,0.0,0.82374537,0.0
0.21502244,0.09712358,0.29034677,0.0,0.8706745,0.0
0.16283585,0.11987724,0.26872045,0.0,0.90437305,0.0
0.115411416,0.14163177,0.2519135,0.0,0.92855203,0.0
0.07274169,0.16220605,0.23923631,0.0,0.9459952,0.0
0.034615323,0.18142904,0.23004851,0.0,0.95869535,0.0
7.0107717E-4,0.19914103,0.22377548,0.0,0.9680464,0.0
-0.029389355,0.21519509,0.2199132,0.0,0.97501475,0.0
-0.056058843,0.22945833,0.21802633,0.0,0.9802705,0.0
-0.0796986,0.24181293,0.21774307,0.0,0.98428106,0.0
-0.10067359,0.25215715,0.21874854,0.0,0.98737514,0.0
-0.11931571,0.26040626,0.22077797,0.0,0.9897866,0.0
-0.13592169,0.26649314,0.22361001,0.0,0.9916837,0.0
-0.15075395,0.27036887,0.22706057,0.0,0.99318886,0.0
-0.16404277,0.27200323,0.23097742,0.0,0.9943923,0.0
-0.17598934,0.2713847,0.23523527,0.0,0.9953611,0.0
-0.18676884,0.26852083,0.2397317,0.0,0.9961461,0.0
-0.19653355,0.26343796,0.24438341,0.0,0.99678564,0.0
-0.20541562,0.256181,0.24912322,0.0,0.99730945,0.0
-0.21352974,0.24681318,0.25389734,0.0,0.9977404,0.0
-0.22097534,0.23541526,0.25866315,0.0,0.9980965,0.0
-0.22783858,0.22208507,0.26338738,0.0,0.9983919,0.0
-0.2341941,0.20693646,0.26804432,0.0,0.99863786,0.0
-0.24010643,0.19009845,0.27261463,0.0,0.9988432,0.0
-0.24563137,0.17171407,0.27708405,0.0,0.9990152,0.0
-0.250817,0.15193911,0.28144258,0.0,0.99915975,0.0
-0.25570467,0.1309408,0.28568345,0.0,0.99928147,0.0
-0.26032984,0.10889645,0.2898027,0.0,0.9993842,0.0
-0.2647227,0.08599184,0.29379845,0.0,0.99947125,0.0
-0.26890892,0.06241965,0.29767048,0.0,0.99954504,0.0
-0.27291006,0.03837785,0.30141976,0.0,0.99960774,0.0
-0.27674413,0.014068032,0.30504823,0.0,0.99966115,0.0
-0.28042606,-0.010306378,0.3085585,0.0,0.9997068,0.0
-0.28396785,-0.034541793,0.31195357,0.0,0.9997458,0.0
-0.28737918,-0.058436096,0.31523672,0.0,0.9997792,0.0
-0.29066756,-0.08179062,0.31841138,0.0,0.9998079,0.0
-0.2938386,-0.104411505,0.32148087,0.0,0.9998326,0.0
-0.29689625,-0.12611154,0.32444856,0.0,0.99985385,0.0
-0.2998431,-0.14671163,0.3273175,0.0,0.9998722,0.0
-0.3026806,-0.16604242,0.3300907,0.0,0.99988806,0.0
-0.30540907,-0.18394546,0.3327708,0.0,0.9999018,0.0
-0.3080281,-0.2002749,0.33536017,0.0,0.9999137,0.0
-0.31053656,-0.21489827,0.337861,0.0,0.99992406,0.0
-0.31293282,-0.22769801,0.3402751,0.0,0.99993306,0.0
-0.31521484,-0.23857203,0.34260404,0.0,0.99994093,0.0
-0.3173804,-0.24743477,0.34484914,0.0,0.9999478,0.0
-0.31942704,-0.2542179,0.34701145,0.0,0.9999538,0.0
-0.32135236,-0.2588707,0.3490918,0.0,0.99995905,0.0
-0.32315397,-0.2613606,0.35109085,0.0,0.99996364,0.0
-0.32482973,-0.26167324,0.353009,0.0,0.9999677,0.0
-0.3263776,-0.25981283,0.35484654,0.0,0.9999713,0.0
-0.327796,-0.25580177,0.3566037,0.0,0.9999744,0.0
-0.32908374,-0.24968044,0.3582806,0.0,0.9999772,0.0
-0.33023992,-0.2415071,0.3598772,0.0,0.9999796,0.0
-0.33126426,-0.23135693,0.3613935,0.0,0.9999818,0.0
-0.33215696,-0.21932168,0.3628296,0.0,0.9999837,0.0
-0.33291888,-0.20550862,0.36418545,0.0,0.9999854,0.0
-0.33355135,-0.19003977,0.3654612,0.0,0.99998695,0.0
-0.33405638,-0.17305061,0.366657,0.0,0.99998826,0.0
-0.3344366,-0.15468912,0.36777315,0.0,0.99998945,0.0
-0.3346953,-0.13511418,0.3688101,0.0,0.9999905,0.0
-0.3348364,-0.114494525,0.36976838,0.0,0.9999915,0.0
-0.33486444,-0.093007065,0.3706488,0.0,0.9999923,0.0
-0.3347845,-0.07083538,0.3714523,0.0,0.9999931,0.0
-0.3346024,-0.04816818,0.37217999,0.0,0.9999938,0.0
-0.33432433,-0.025197644,0.37283328,0.0,0.9999944,0.0
-0.3339572,-0.002117792,0.3734137,0.0,0.99999493,0.0
-0.33350822,0.020877158,0.37392315,0.0,0.9999954,0.0
-0.33298516,0.043594528,0.37436363,0.0,0.9999959,0.0
-0.3323962,0.065844625,0.37473747,0.0,0.99999624,0.0
-0.33174977,0.08744254,0.37504718,0.0,0.9999966,0.0
-0.33105463,0.108209744,0.37529555,0.0,0.9999969,0.0
-0.3303197,0.12797534,0.37548554,0.0,0.9999972,0.0
-0.32955414,0.14657766,0.3756204,0.0,0.9999975,0.0
-0.32876712,0.16386561,0.3757035,0.0,0.99999774,0.0
-0.32796782,0.17969991,0.3757385,0.0,0.9999979,0.0
-0.3271654,0.19395415,0.37572914,0.0,0.9999981,0.0
-0.32636887,0.2065159,0.37567934,0.0,0.9999983,0.0
-0.32558703,0.21728759,0.37559316,0.0,0.99999845,0.0
-0.32482845,0.22618733,0.37547475,0.0,0.99999857,0.0
-0.32410127,0.2331494,0.3753284,0.0,0.9999987,0.0
-0.32341334,0.238125,0.37515837,0.0,0.9999988,0.0
-0.32277197,0.24108227,0.374969,0.0,0.9999989,0.0
-0.322184,0.24200669,0.37476465,0.0,0.99999905,0.0
-0.32165563,0.24090119,0.3745496,0.0,0.9999991,0.0
-0.3211925,0.23778585,0.3743281,0.0,0.99999917,0.0
-0.3207996,0.23269771,0.37410435,0.0,0.9999992,0.0
-0.32048106,0.22569051,0.37388232,0.0,0.9999993,0.0
-0.3202405,0.21683407,0.37366596,0.0,0.99999934,0.0
-0.32008064,0.20621347,0.37345898,0.0,0.9999994,0.0
-0.32000348,0.19392847,0.37326488,0.0,0.99999946,0.0
-0.32001016,0.1800925,0.37308696,0.0,0.9999995,0.0
-0.32010114,0.16483162,0.37292832,0.0,0.9999996,0.0
-0.32027602,0.14828312,0.3727917,0.0,0.9999996,0.0
-0.32053372,0.13059504,0.37267965,0.0,0.99999964,0.0
-0.3208723,0.11192373,0.37259427,0.0,0.99999964,0.0
-0.32128912,0.09243369,0.37253752,0.0,0.9999997,0.0
-0.3217809,0.07229491,0.37251094,0.0,0.9999997,0.0
-0.32234365,0.051682364,0.3725157,0.0,0.9999997,0.0
-0.32297274,0.030773878,0.37255272,0.0,0.99999976,0.0
-0.32366303,0.009748868,0.37262252,0.0,0.99999976,0.0
-0.32440883,-0.011213282,0.37272528,0.0,0.99999976,0.0
-0.32520398,-0.03193485,0.37286082,0.0,0.9999998,0.0
-0.3260419,-0.052241314,0.37302873,0.0,0.9999998,0.0
-0.3269157,-0.07196253,0.3732282,0.0,0.9999998,0.0
-0.32781824,-0.09093466,0.37345806,0.0,0.9999998,0.0
-0.32874206,-0.10900104,0.37371695,0.0,0.9999998,0.0
-0.32967964,-0.12601404,0.3740032,0.0,0.9999999,0.0
-0.33062336,-0.1418358,0.37431484,0.0,0.9999999,0.0
-0.3315656,-0.15633947,0.37464973,0.0,0.9999999,0.0
-0.33249876,-0.16941078,0.37500545,0.0,0.9999999,0.0
-0.3334154,-0.18094794,0.37537944,0.0,0.9999999,0.0
-0.3343082,-0.1908636,0.37576893,0.0,0.9999999,0.0
-0.33517018,-0.19908445,0.37617108,0.0,0.9999999,0.0
-0.33599457,-0.20555253,0.3765829,0.0,0.99999994,0.0
-0.33677498,-0.21022539,0.3770013,0.0,0.99999994,0.0
-0.33750543,-0.21307622,0.3774231,0.0,0.99999994,0.0
-0.33818042,-0.21409428,0.37784526,0.0,0.99999994,0.0
-0.3387949,-0.21328464,0.37826458,0.0,0.99999994,0.0
-0.3393444,-0.21066801,0.3786779,0.0,0.99999994,0.0
-0.339825,-0.20628095,0.37908223,0.0,0.99999994,0.0
-0.3402334,-0.20017472,0.37947458,0.0,0.99999994,0.0
-0.3405668,-0.19241509,0.379852,0.0,0.99999994,0.0
-0.3408233,-0.18308215,0.3802118,0.0,0.99999994,0.0
-0.3410014,-0.17226839,0.3805514,0.0,0.99999994,0.0
-0.3411004,-0.1600792,0.38086838,0.0,0.99999994,0.0
-0.34112024,-0.14663057,0.38116053,0.0,0.99999994,0.0
-0.34106147,-0.13204858,0.38142583,0.0,0.99999994,0.0
-0.34092543,-0.1164688,0.38166252,0.0,0.99999994,0.0
-0.34071395,-0.10003375,0.38186902,0.0,0.99999994,0.0
-0.34042954,-0.08289299,0.3820441,0.0,0.99999994,0.0
-0.34007534,-0.065200515,0.3821867,0.0,0.99999994,0.0
-0.33965504,-0.04711429,0.3822961,0.0,0.99999994,0.0
-0.3391729,-0.028794393,0.38237178,0.0,1.0,0.0
-0.3386336,-0.010401723,0.3824136,0.0,1.0,0.0
-0.33804235,0.007903397,0.3824216,0.0,1.0,0.0
-0.33740473,0.02596283,0.3823962,0.0,1.0,0.0
-0.3367267,0.043621626,0.38233796,0.0,1.0,0.0
-0.33601454,0.060729742,0.38224784,0.0,1.0,0.0
-0.3352747,0.077143274,0.382127,0.0,1.0,0.0
-0.334514,0.09272512,0.38197678,0.0,1.0,0.0
-0.33373916,0.10734727,0.38179892,0.0,1.0,0.0
-0.33295718,0.12089052,0.38159525,0.0,1.0,0.0
-0.33217496,0.13324676,0.3813678,0.0,1.0,0.0
-0.33139938,0.1443188,0.38111892,0.0,1.0,0.0
-0.33063716,0.1540217,0.3808509,0.0,1.0,0.0
-0.32989493,0.16228345,0.38056645,0.0,1.0,0.0
-0.32917905,0.16904524,0.3802682,0.0,1.0,0.0
-0.3284956,0.17426196,0.3799589,0.0,1.0,0.0
-0.32785025,0.17790286,0.37964138,0.0,1.0,0.0
-0.32724842,0.179951,0.37931862,0.0,1.0,0.0
-0.326695,0.1804041,0.37899354,0.0,1.0,0.0
-0.32619444,0.1792738,0.378669,0.0,1.0,0.0
-0.32575062,0.17658567,0.37834793,0.0,1.0,0.0
-0.32536694,0.17237926,0.37803313,0.0,1.0,0.0
-0.3250462,0.166707,0.37772733,0.0,1.0,0.0
-0.32479063,0.15963368,0.37743318,0.0,1.0,0.0
-0.3246018,0.15123676,0.37715322,0.0,1.0,0.0
-0.3244807,0.14160389,0.37688974,0.0,1.0,0.0
-0.32442775,0.13083394,0.376645,0.0,1.0,0.0
-0.3244426,0.11903427,0.37642094,0.0,1.0,0.0
-0.32452446,0.10632082,0.37621936,0.0,1.0,0.0
-0.3246718,0.092816785,0.37604183,0.0,1.0,0.0
-0.3248827,0.07865106,0.37588963,0.0,1.0,0.0
-0.32515445,0.06395755,0.37576392,0.0,1.0,0.0
-0.32548398,0.048873477,0.37566552,0.0,1.0,0.0
-0.3258677,0.033538494,0.375595,0.0,1.0,0.0
-0.32630154,0.018092936,0.37555268,0.0,1.0,0.0
-0.32678106,0.002677089,0.37553862,0.0,1.0,0.0
-0.32730144,-0.012570537,0.37555262,0.0,1.0,0.0
-0.3278575,-0.027513945,0.37559426,0.0,1.0,0.0
-0.32844386,-0.04202155,0.37566283,0.0,1.0,0.0
-0.32905486,-0.055966984,0.3757574,0.0,1.0,0.0
-0.3296848,-0.06922985,0.3758768,0.0,1.0,0.0
-0.33032778,-0.08169742,0.37601975,0.0,1.0,0.0
-0.3309778,-0.09326511,0.37618455,0.0,1.0,0.0
-0.331629,-0.10383773,0.3763696,0.0,1.0,0.0
-0.3322755,-0.11333,0.37657294,0.0,1.0,0.0
