neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.28917697,0.024795178,0.43195933,0.0,0.6555852,0.0
0.11723082,0.04938359,0.33814088,0.0,0.7377645,0.0
-0.03669305,0.07356024,0.22238716,0.0,0.79570323,0.0
-0.16094635,0.09712358,0.09316862,0.0,0.83525354,0.0
-0.25348946,0.11987724,-0.038967893,0.0,0.8618104,0.0
-0.31792766,0.14163177,-0.1646321,0.0,0.8794761,0.0
-0.35967466,0.16220605,-0.27771696,0.0,0.8910961,0.0
-0.383906,0.18142904,-0.3756233,0.0,0.8985643,0.0
-0.39487293,0.19914103,-0.458301,0.0,0.90312564,0.0
-0.39586774,0.21519509,-0.5270936,0.0,0.90560365,0.0
-0.38940248,0.22945833,-0.5838837,0.0,0.906552,0.0
-0.37740895,0.24181293,-0.63060373,0.0,0.9063524,0.0
-0.36139864,0.25215715,-0.66900885,0.0,0.9052747,0.0
-0.3425746,0.26040626,-0.7006,0.0,0.90351504,0.0
-0.3219054,0.26649314,-0.72662014,0.0,0.90121955,0.0
-0.30017307,0.27036887,-0.748081,0.0,0.89849937,0.0
-0.2780052,0.27200323,-0.76579934,0.0,0.89544046,0.0
-0.2558983,0.2713847,-0.78043175,0.0,0.8921099,0.0
-0.23423652,0.26852083,-0.7925059,0.0,0.88856035,0.0
-0.21330802,0.26343796,-0.8024464,0.0,0.8848332,0.0
-0.19331995,0.256181,-0.81059587,0.0,0.8809608,0.0
-0.1744122,0.24681318,-0.81723154,0.0,0.87696844,0.0
-0.1566702,0.23541526,-0.8225788,0.0,0.8728751,0.0
-0.14013587,0.22208507,-0.8268215,0.0,0.86869526,0.0
-0.124817654,0.20693646,-0.8301105,0.0,0.8644393,0.0
-0.11069856,0.19009845,-0.8325699,0.0,0.8601146,0.0
-0.09774307,0.17171407,-0.83430266,0.0,0.8557257,0.0
-0.0859026,0.15193911,-0.8353944,0.0,0.8512753,0.0
-0.0751198,0.1309408,-0.8359166,0.0,0.8467643,0.0
-0.06533193,0.10889645,-0.83592945,0.0,0.8421925,0.0
-0.05647343,0.08599184,-0.83548385,0.0,0.8375582,0.0
-0.04847773,0.06241965,-0.83462286,0.0,0.8328594,0.0
-0.041278694,0.03837785,-0.83338326,0.0,0.8280933,0.0
-0.034811556,0.014068032,-0.8317964,0.0,0.82325673,0.0
-0.02901362,-0.010306378,-0.8298894,0.0,0.81834614,0.0
-0.023824655,-0.034541793,-0.82768536,0.0,0.81335807,0.0
-0.019187242,-0.058436096,-0.8252042,0.0,0.80828863,0.0
-0.015046862,-0.08179062,-0.8224632,0.0,0.8031344,0.0
-0.011352014,-0.104411505,-0.81947714,0.0,0.7978918,0.0
-0.008054244,-0.12611154,-0.8162587,0.0,0.79255766,0.0
-0.005108128,-0.14671163,-0.8128187,0.0,0.7871289,0.0
-0.0024712232,-0.16604242,-0.80916625,0.0,0.7816031,0.0
-1.0407157E-4,-0.18394546,-0.805309,0.0,0.775978,0.0
0.0020298602,-0.2002749,-0.8012534,0.0,0.7702523,0.0
0.0039642234,-0.21489827,-0.7970044,0.0,0.7644249,0.0
0.0057297996,-0.22769801,-0.79256636,0.0,0.7584956,0.0
0.007354582,-0.23857203,-0.78794235,0.0,0.75246507,0.0
0.008863744,-0.24743477,-0.7831349,0.0,0.7463346,0.0
0.010279728,-0.2542179,-0.7781457,0.0,0.7401068,0.0
0.011622202,-0.2588707,-0.77297604,0.0,0.7337851,0.0
0.012908115,-0.2613606,-0.7676271,0.0,0.72737396,0.0
0.014151765,-0.26167324,-0.7620995,0.0,0.7208792,0.0
0.015364804,-0.25981283,-0.7563941,0.0,0.7143079,0.0
0.01655628,-0.25580177,-0.750512,0.0,0.70766836,0.0
0.017732734,-0.24968044,-0.7444545,0.0,0.70097023,0.0
0.018898234,-0.2415071,-0.7382236,0.0,0.6942246,0.0
