neur0,input0,neur1,input1,neur2,input2
0.4596725,0.0,0.48926318,0.0,0.530085,0.0
0.38743928,0.039989334,0.4909687,0.0,0.5967909,0.0
0.31591198,0.07991469,0.4866099,0.0,0.6532925,0.0
0.2471048,0.119712204,0.4766422,0.0,0.70045257,0.0
0.18265055,0.15931821,0.46150258,0.0,0.7394022,0.0
0.12371598,0.19866931,0.44162136,0.0,0.7713356,0.0
0.071010835,0.23770262,0.41743544,0.0,0.79738295,0.0
0.024856811,0.27635565,0.38940057,0.0,0.8185461,0.0
-0.014719704,0.31456655,0.3580005,0.0,0.8356777,0.0
-0.04789698,0.3522742,0.32375106,0.0,0.84948426,0.0
-0.07498291,0.38941833,0.2871987,0.0,0.8605418,0.0
-0.09635943,0.42593947,0.248913,0.0,0.86931515,0.0
-0.11244502,0.46177918,0.20947447,0.0,0.8761774,0.0
-0.12367137,0.4968801,0.16945876,0.0,0.8814275,0.0
-0.13047019,0.5311862,0.12941961,0.0,0.88530546,0.0
-0.13326652,0.5646424,0.089872375,0.0,0.8880043,0.0
-0.13247585,0.59719545,0.051280025,0.0,0.8896806,0.0
-0.128503,0.628793,0.014042725,0.0,0.8904624,0.0
-0.12174163,0.65938467,-0.02150829,0.0,0.8904554,0.0
-0.11257338,0.68892145,-0.055112593,0.0,0.8897488,0.0
-0.10136662,0.7173561,-0.0865787,0.0,0.8884187,0.0
-0.08847456,0.7446431,-0.115779184,0.0,0.88653153,0.0
-0.074232906,0.7707389,-0.14264381,0.0,0.88414663,0.0
-0.05895734,0.7956016,-0.16715145,0.0,0.88131815,0.0
-0.042941052,0.8191916,-0.18932164,0.0,0.8780962,0.0
-0.026452681,0.84147096,-0.20920639,0.0,0.8745285,0.0
-0.009734759,0.8624042,-0.22688259,0.0,0.8706605,0.0
0.006997162,0.88195777,-0.24244545,0.0,0.86653614,0.0
0.023554679,0.90010047,-0.25600275,0.0,0.86219835,0.0
0.039776035,0.9168031,-0.2676703,0.0,0.8576889,0.0
0.055524997,0.9320391,-0.27756828,0.0,0.85304856,0.0
0.07068934,0.94578403,-0.2858183,0.0,0.8483168,0.0
0.0851789,0.95801586,-0.2925416,0.0,0.8435319,0.0
0.09892347,0.9687151,-0.2978572,0.0,0.8387307,0.0
0.11187067,0.9778646,-0.30188107,0.0,0.8339482,0.0
0.123983726,0.98544973,-0.30472562,0.0,0.8292175,0.0
0.1352394,0.99145836,-0.30649894,0.0,0.82456946,0.0
0.14562605,0.99588084,-0.30730495,0.0,0.82003236,0.0
0.15514186,0.99871016,-0.30724308,0.0,0.815632,0.0
0.16379327,0.9999417,-0.3064085,0.0,0.8113911,0.0
0.17159359,0.9995736,-0.3048919,0.0,0.8073296,0.0
0.17856176,0.9976064,-0.30277982,0.0,0.80346394,0.0
0.18472141,0.99404323,-0.30015448,0.0,0.7998076,0.0
0.19009987,0.98888975,-0.29709402,0.0,0.79637086,0.0
0.19472753,0.9821543,-0.29367232,0.0,0.7931605,0.0
0.19863711,0.9738476,-0.28995922,0.0,0.7901804,0.0
0.2018633,0.963983,-0.28602043,0.0,0.7874313,0.0
0.20444207,0.9525762,-0.2819174,0.0,0.784911,0.0
0.20641048,0.93964547,-0.27770746,0.0,0.7826147,0.0
0.20780629,0.92521155,-0.27344373,0.0,0.78053504,0.0
0.20866764,0.9092974,-0.26917517,0.0,0.7786624,0.0
0.2090328,0.8919287,-0.26494646,0.0,0.7769852,0.0
0.20893995,0.873133,-0.26079798,0.0,0.77549016,0.0
0.20842698,0.85294056,-0.25676602,0.0,0.77416253,0.0
0.2075312,0.8313835,-0.25288266,0.0,0.7729865,0.0
0.20628929,0.80849636,-0.2491759,0.0,0.7719451,0.0
0.20473702,0.78431594,-0.24566978,0.0,0.7710211,0.0
0.20290911,0.75888073,-0.24238448,0.0,0.7701965,0.0
0.20083913,0.7322315,-0.23933642,0.0,0.76945335,0.0
0.1985593,0.70441085,-0.23653848,0.0,0.7687736,0.0
0.19610041,0.67546326,-0.23400019,0.0,0.7681396,0.0
0.19349174,0.645435,-0.2317279,0.0,0.7675338,0.0
0.1907609,0.6143742,-0.22972497,0.0,0.76693916,0.0
0.18793377,0.58233064,-0.22799207,0.0,0.7663393,0.0
0.18503456,0.5493555,-0.22652732,0.0,0.7657186,0.0
0.1820856,0.51550144,-0.2253266,0.0,0.7650619,0.0
0.17910743,0.48082274,-0.22438376,0.0,0.764355,0.0
0.17611879,0.4453748,-0.22369078,0.0,0.7635845,0.0
0.17313659,0.40921414,-0.22323816,0.0,0.7627375,0.0
0.17017597,0.37239906,-0.22301497,0.0,0.7618023,0.0
0.16725037,0.3349882,-0.22300915,0.0,0.7607677,0.0
0.16437149,0.29704145,-0.22320774,0.0,0.75962335,0.0
0.16154946,0.25861946,-0.22359698,0.0,0.75835955,0.0
0.1587929,0.21978377,-0.22416255,0.0,0.75696737,0.0
0.15610893,0.18059623,-0.22488974,0.0,0.7554385,0.0
0.15350336,0.14112,-0.22576357,0.0,0.75376517,0.0
0.15098067,0.101418026,-0.22676891,0.0,0.75194025,0.0
0.14854424,0.061553795,-0.22789067,0.0,0.74995714,0.0
0.14619637,0.02159109,-0.22911385,0.0,0.7478097,0.0
0.14393836,-0.018406155,-0.23042364,0.0,0.7454922,0.0
0.14177068,-0.058373954,-0.23180553,0.0,0.7429994,0.0
0.13969302,-0.0982486,-0.23324536,0.0,0.7403264,0.0
0.13770437,-0.13796584,-0.23472935,0.0,0.73746866,0.0
0.1358032,-0.17746235,-0.23624425,0.0,0.73442197,0.0
0.13398735,-0.21667498,-0.2377772,0.0,0.7311825,0.0
0.1322544,-0.25554097,-0.23931596,0.0,0.7277466,0.0
0.13060144,-0.29399815,-0.24084876,0.0,0.7241109,0.0
0.12902535,-0.3319852,-0.24236445,0.0,0.7202724,0.0
0.12752281,-0.36944094,-0.24385235,0.0,0.71622837,0.0
0.12609032,-0.40630564,-0.24530242,0.0,0.7119762,0.0
0.124724254,-0.44252035,-0.24670513,0.0,0.7075136,0.0
0.12342096,-0.47802714,-0.24805151,0.0,0.7028386,0.0
0.12217676,-0.51276916,-0.2493331,0.0,0.6979495,0.0
0.120987974,-0.54669106,-0.250542,0.0,0.69284487,0.0
0.119851,-0.5797382,-0.2516708,0.0,0.6875236,0.0
0.11876228,-0.61185783,-0.25271255,0.0,0.6819848,0.0
0.117718354,-0.6429987,-0.25366077,0.0,0.67622805,0.0
0.11671589,-0.67311084,-0.25450942,0.0,0.6702532,0.0
0.115751654,-0.7021462,-0.255253,0.0,0.66406053,0.0
0.11482257,-0.73005825,-0.25588626,0.0,0.6576507,0.0
0.113925666,-0.7568025,-0.25640443,0.0,0.6510248,0.0
0.11305815,-0.7823359,-0.25680313,0.0,0.64418447,0.0
0.112217344,-0.8066177,-0.25707832,0.0,0.6371317,0.0
0.11140072,-0.8296091,-0.25722635,0.0,0.629869,0.0
0.11060592,-0.8512733,-0.2572438,0.0,0.6223995,0.0
0.10983067,-0.87157565,-0.25712776,0.0,0.6147269,0.0
0.10907287,-0.8904837,-0.2568755,0.0,0.6068555,0.0
0.10833054,-0.90796715,-0.2564846,0.0,0.59879017,0.0
0.1076018,-0.92399806,-0.25595307,0.0,0.5905364,0.0
0.10688491,-0.9385509,-0.25527915,0.0,0.58210045,0.0
0.106178224,-0.9516021,-0.25446138,0.0,0.5734891,0.0
0.10548022,-0.96313095,-0.25349864,0.0,0.5647101,0.0
0.10478942,-0.97311896,-0.25239015,0.0,0.55577147,0.0
0.10410451,-0.9815503,-0.25113532,0.0,0.5466823,0.0
0.10342421,-0.98841125,-0.249734,0.0,0.5374523,0.0
0.10274732,-0.99369097,-0.24818632,0.0,0.5280917,0.0
0.10207276,-0.99738103,-0.24649271,0.0,0.5186117,0.0
0.10139948,-0.99947554,-0.24465397,0.0,0.509024,0.0
0.10072652,-0.99997103,-0.2426712,0.0,0.49934098,0.0
0.100053,-0.9988668,-0.24054585,0.0,0.48957562,0.0
0.09937808,-0.9961646,-0.23827973,0.0,0.4797416,0.0
0.098701015,-0.9918688,-0.23587498,0.0,0.46985304,0.0
0.09802113,-0.9859861,-0.23333411,0.0,0.4599246,0.0
0.0973378,-0.9785261,-0.23065995,0.0,0.4499714,0.0
0.0966505,-0.96950066,-0.22785573,0.0,0.44000897,0.0
0.09595877,-0.9589243,-0.224925,0.0,0.4300532,0.0
0.09526222,-0.94681376,-0.22187169,0.0,0.4201202,0.0
0.09456057,-0.9331886,-0.21870002,0.0,0.41022632,0.0
0.0938536,-0.9180705,-0.21541464,0.0,0.40038806,0.0
0.09314118,-0.9014837,-0.21202044,0.0,0.39062202,0.0
0.09242329,-0.88345474,-0.20852269,0.0,0.3809447,0.0
0.09169999,-0.8640124,-0.20492694,0.0,0.3713726,0.0
0.09097144,-0.84318787,-0.20123903,0.0,0.3619221,0.0
0.09023791,-0.8210144,-0.19746514,0.0,0.3526092,0.0
0.089499764,-0.7975275,-0.19361162,0.0,0.34344974,0.0
0.088757485,-0.77276444,-0.18968508,0.0,0.3344592,0.0
0.08801162,-0.7467654,-0.18569238,0.0,0.32565254,0.0
0.08726287,-0.71957165,-0.18164055,0.0,0.31704426,0.0
0.08651199,-0.6912268,-0.17753674,0.0,0.30864838,0.0
0.08575987,-0.6617761,-0.1733883,0.0,0.30047822,0.0
0.08500747,-0.6312667,-0.16920266,0.0,0.2925465,0.0
0.08425585,-0.5997474,-0.16498731,0.0,0.2848653,0.0
0.08350616,-0.56726867,-0.16074981,0.0,0.27744582,0.0
0.08275961,-0.53388244,-0.15649773,0.0,0.2702987,0.0
0.08201749,-0.4996421,-0.15223864,0.0,0.26343367,0.0
0.08128116,-0.46460244,-0.14798003,0.0,0.25685966,0.0
0.08055201,-0.4288195,-0.14372942,0.0,0.2505849,0.0
0.079831496,-0.39235055,-0.13949415,0.0,0.24461666,0.0
0.07912108,-0.3552535,-0.13528146,0.0,0.23896147,0.0
0.07842227,-0.31758854,-0.13109846,0.0,0.23362501,0.0
0.07773657,-0.2794155,-0.12695211,0.0,0.22861215,0.0
0.07706548,-0.24079546,-0.12284914,0.0,0.22392693,0.0
0.07641048,-0.2017902,-0.11879612,0.0,0.2195726,0.0
0.075773045,-0.16246213,-0.11479936,0.0,0.21555163,0.0
0.07515458,-0.12287415,-0.110864975,0.0,0.21186571,0.0
0.07455646,-0.08308959,-0.106998794,0.0,0.20851581,0.0
0.073980026,-0.043172114,-0.103206396,0.0,0.20550212,0.0
0.073426485,-0.0031855688,-0.099493094,0.0,0.20282416,0.0
0.07289703,0.036806073,-0.09586392,0.0,0.20048076,0.0
0.072392724,0.076738834,-0.09232363,0.0,0.19847007,0.0
0.07191456,0.11654883,-0.08887668,0.0,0.19678964,0.0
0.07146341,0.15617284,-0.085527256,0.0,0.19543636,0.0
0.07104005,0.19554654,-0.082279235,0.0,0.19440652,0.0
0.07064514,0.2346074,-0.079136215,0.0,0.1936959,0.0
0.0702792,0.27329293,-0.07610151,0.0,0.19329968,0.0
0.06994267,0.31154126,-0.07317816,0.0,0.19321252,0.0
0.06963583,0.3492912,-0.07036891,0.0,0.19342859,0.0
0.06935885,0.38648236,-0.06767623,0.0,0.19394156,0.0
0.06911177,0.4230552,-0.06510235,0.0,0.19474462,0.0
0.068894506,0.45895126,-0.062649205,0.0,0.19583057,0.0
0.06870686,0.4941131,-0.060318477,0.0,0.19719172,0.0
0.06854851,0.52848446,-0.05811162,0.0,0.19882001,0.0
0.068418995,0.56201035,-0.056029823,0.0,0.20070697,0.0
0.068317756,0.5946376,-0.054074053,0.0,0.2028438,0.0
0.068244144,0.62631303,-0.052245047,0.0,0.20522131,0.0
0.068197355,0.6569866,-0.050543312,0.0,0.20783,0.0
0.06817652,0.6866091,-0.04896915,0.0,0.21066001,0.0
0.068180665,0.7151332,-0.047522645,0.0,0.21370128,0.0
0.06820873,0.7425132,-0.046203684,0.0,0.21694335,0.0
0.06825956,0.76870537,-0.04501196,0.0,0.22037564,0.0
0.06833193,0.79366773,-0.043946974,0.0,0.22398725,0.0
0.068424545,0.81736046,-0.043008044,0.0,0.22776708,0.0
0.06853605,0.8397455,-0.042194314,0.0,0.23170386,0.0
0.06866501,0.8607872,-0.041504752,0.0,0.23578613,0.0
0.068809964,0.88045186,-0.040938158,0.0,0.2400023,0.0
0.0689694,0.8987079,-0.040493175,0.0,0.24434067,0.0
0.06914175,0.91552645,-0.040168293,0.0,0.24878941,0.0
0.06932544,0.9308801,-0.03996184,0.0,0.25333664,0.0
0.069518834,0.94474465,-0.039872017,0.0,0.25797045,0.0
0.069720306,0.9570977,-0.039896864,0.0,0.26267886,0.0
0.069928214,0.96791965,-0.04003431,0.0,0.2674499,0.0
0.07014088,0.9771931,-0.04028213,0.0,0.27227163,0.0
0.07035666,0.9849033,-0.04063799,0.0,0.2771322,0.0
0.07057388,0.99103785,-0.041099437,0.0,0.28201982,0.0
0.07079089,0.99558693,-0.041663896,0.0,0.28692272,0.0
0.07100604,0.9985433,-0.04232869,0.0,0.29182938,0.0
0.0712177,0.99990225,-0.043091036,0.0,0.29672828,0.0
0.071424276,0.99966156,-0.043948054,0.0,0.3016082,0.0
0.07162419,0.9978216,-0.044896778,0.0,0.30645803,0.0
0.07181587,0.9943853,-0.04593415,0.0,0.3112668,0.0
0.07199783,0.98935825,-0.047057033,0.0,0.31602395,0.0
0.07216857,0.98274845,-0.048262205,0.0,0.32071894,0.0
0.07232665,0.9745664,-0.049546394,0.0,0.32534164,0.0
0.072470695,0.96482533,-0.05090625,0.0,0.3298821,0.0
0.072599344,0.9535407,-0.052338358,0.0,0.33433065,0.0
0.07271133,0.94073063,-0.05383927,0.0,0.33867797,0.0
0.0728054,0.92641556,-0.055405475,0.0,0.34291494,0.0
0.07288038,0.9106185,-0.057033423,0.0,0.3470328,0.0
0.07293515,0.8933646,-0.058719516,0.0,0.35102302,0.0
0.07296867,0.8746815,-0.06046014,0.0,0.3548775,0.0
0.07297995,0.8545991,-0.062251635,0.0,0.3585883,0.0
0.07296807,0.83314955,-0.06409032,0.0,0.36214796,0.0
0.07293219,0.8103671,-0.06597249,0.0,0.36554912,0.0
0.07287152,0.7862883,-0.06789443,0.0,0.36878487,0.0
0.072785385,0.7609516,-0.0698524,0.0,0.37184858,0.0
0.07267314,0.7343975,-0.07184263,0.0,0.37473387,0.0
0.072534256,0.70666856,-0.07386139,0.0,0.37743467,0.0
0.07236824,0.67780906,-0.07590489,0.0,0.37994522,0.0
0.07217472,0.6478645,-0.077969365,0.0,0.38226002,0.0
0.07195337,0.61688423,-0.080051035,0.0,0.38437384,0.0
0.07170396,0.584917,-0.082146116,0.0,0.38628173,0.0
0.07142635,0.5520141,-0.08425082,0.0,0.38797894,0.0
0.07112043,0.5182281,-0.08636137,0.0,0.38946107,0.0
0.07078622,0.48361304,-0.08847399,0.0,0.39072388,0.0
0.07042379,0.4482243,-0.090584874,0.0,0.3917634,0.0
0.07003328,0.4121185,-0.09269027,0.0,0.39257592,0.0
0.06961492,0.37535337,-0.09478638,0.0,0.39315793,0.0
0.069168985,0.33798778,-0.096869454,0.0,0.3935061,0.0
0.068695836,0.3000815,-0.0989357,0.0,0.39361745,0.0
0.0681959,0.26169512,-0.10098137,0.0,0.39348906,0.0
0.06766965,0.2228901,-0.10300269,0.0,0.39311835,0.0
0.06711764,0.1837285,-0.10499593,0.0,0.39250284,0.0
0.066540465,0.14427298,-0.106957324,0.0,0.39164037,0.0
0.06593876,0.10458665,-0.10888316,0.0,0.39052898,0.0
0.065313235,0.064733006,-0.110769704,0.0,0.38916686,0.0
0.064664625,0.024775807,-0.112613246,0.0,0.3875525,0.0
0.063993715,-0.015221031,-0.1144101,0.0,0.38568458,0.0
0.063301325,-0.05519352,-0.116156586,0.0,0.38356206,0.0
0.062588304,-0.09507771,-0.11784905,0.0,0.3811841,0.0
0.06185552,-0.13480979,-0.119483866,0.0,0.37855014,0.0
0.06110387,-0.17432621,-0.12105743,0.0,0.3756599,0.0
0.060334276,-0.21356376,-0.12256617,0.0,0.37251335,0.0
0.059547663,-0.25245965,-0.12400658,0.0,0.36911082,0.0
0.058744974,-0.29095164,-0.12537514,0.0,0.36545286,0.0
0.057927143,-0.32897907,-0.12666844,0.0,0.36154038,0.0
0.05709513,-0.3664793,-0.12788308,0.0,0.35737467,0.0
0.056249876,-0.40339324,-0.12901576,0.0,0.35295737,0.0
0.05539231,-0.43966186,-0.13006324,0.0,0.3482904,0.0
0.054523375,-0.4752271,-0.13102232,0.0,0.34337622,0.0
0.053643968,-0.51003206,-0.13188994,0.0,0.33821762,0.0
0.052755,-0.5440211,-0.13266312,0.0,0.33281782,0.0
0.051857337,-0.57713985,-0.13333897,0.0,0.3271805,0.0
0.050951846,-0.60933524,-0.13391474,0.0,0.32130978,0.0
0.050039355,-0.64055586,-0.13438776,0.0,0.3152103,0.0
0.049120672,-0.67075175,-0.13475555,0.0,0.30888724,0.0
0.048196573,-0.6998746,-0.13501574,0.0,0.30234614,0.0
0.04726782,-0.72787774,-0.13516612,0.0,0.29559323,0.0
0.046335127,-0.75471646,-0.13520469,0.0,0.28863513,0.0
0.0453992,-0.78034776,-0.13512956,0.0,0.2814791,0.0
0.0444607,-0.8047307,-0.13493904,0.0,0.27413288,0.0
0.04352026,-0.82782626,-0.13463172,0.0,0.26660478,0.0
0.0425785,-0.84959745,-0.1342063,0.0,0.25890365,0.0
0.041636005,-0.8700095,-0.13366176,0.0,0.2510389,0.0
0.04069333,-0.8890297,-0.13299729,0.0,0.24302045,0.0
0.039751027,-0.90662766,-0.13221231,0.0,0.23485874,0.0
0.038809612,-0.9227752,-0.13130651,0.0,0.2265647,0.0
0.03786959,-0.93744653,-0.13027984,0.0,0.21814978,0.0
0.03693146,-0.9506181,-0.12913248,0.0,0.2096259,0.0
0.035995696,-0.9622689,-0.1278649,0.0,0.20100535,0.0
0.03506277,-0.9723805,-0.12647785,0.0,0.19230093,0.0
0.03413317,-0.9809363,-0.124972366,0.0,0.18352574,0.0
0.03320736,-0.9879227,-0.12334974,0.0,0.17469321,0.0
0.032285832,-0.99332875,-0.121611565,0.0,0.16581711,0.0
0.031369064,-0.99714565,-0.11975971,0.0,0.15691148,0.0
0.030457573,-0.9993673,-0.11779632,0.0,0.14799048,0.0
0.029551873,-0.9999902,-0.115723826,0.0,0.13906853,0.0
0.028652508,-0.99901336,-0.11354493,0.0,0.13016011,0.0
0.027760044,-0.99643826,-0.11126262,0.0,0.12127977,0.0
0.026875071,-0.9922691,-0.10888012,0.0,0.11244209,0.0
0.025998214,-0.98651254,-0.10640093,0.0,0.10366161,0.0
0.02513013,-0.9791778,-0.10382877,0.0,0.09495278,0.0
0.024271507,-0.97027653,-0.101167634,0.0,0.08632989,0.0
0.023423072,-0.959823,-0.09842168,0.0,0.07780709,0.0
0.022585586,-0.947834,-0.095595315,0.0,0.06939826,0.0
0.021759845,-0.93432873,-0.09269313,0.0,0.061117034,0.0
0.020946683,-0.9193287,-0.08971988,0.0,0.05297671,0.0
0.020146972,-0.9028579,-0.08668048,0.0,0.044990238,0.0
0.019361611,-0.88494277,-0.08358001,0.0,0.03717018,0.0
0.018591538,-0.8656119,-0.080423646,0.0,0.029528674,0.0
0.017837709,-0.84489626,-0.07721669,0.0,0.022077408,0.0
0.017101115,-0.82282895,-0.07396454,0.0,0.014827585,0.0
0.01638276,-0.7994453,-0.070672646,0.0,0.007789921,0.0
0.01568367,-0.77478266,-0.06734653,0.0,9.746092E-4,0.0
0.015004876,-0.74888057,-0.06399173,0.0,-0.0056086853,0.0
0.014347421,-0.7217805,-0.06061382,0.0,-0.0119508365,0.0
0.013712346,-0.69352496,-0.057218377,0.0,-0.018043272,0.0
0.01310068,-0.6641606,-0.053810958,0.0,-0.023877965,0.0
0.012513444,-0.63373375,-0.05039709,0.0,-0.02944745,0.0
0.011951636,-0.6022931,-0.046982273,0.0,-0.034744807,0.0
0.011416232,-0.56988883,-0.04357194,0.0,-0.039763678,0.0
0.010908176,-0.53657293,-0.04017146,0.0,-0.04449824,0.0
0.010428373,-0.5023986,-0.036786117,0.0,-0.0489432,0.0
0.009977679,-0.46742055,-0.033421118,0.0,-0.053093813,0.0
0.009556905,-0.43169472,-0.030081566,0.0,-0.056945838,0.0
0.009166802,-0.39527828,-0.026772458,0.0,-0.060495548,0.0
0.008808061,-0.35822946,-0.023498686,0.0,-0.06373972,0.0
0.008481303,-0.32060757,-0.020265017,0.0,-0.066675596,0.0
0.008187082,-0.28247276,-0.0170761,0.0,-0.06930092,0.0
0.007925874,-0.24388608,-0.013936452,0.0,-0.07161388,0.0
0.007698077,-0.20490922,-0.010850466,0.0,-0.07361312,0.0
0.0075040096,-0.16560455,-0.007822401,0.0,-0.07529775,0.0
0.0073439046,-0.12603495,-0.00485638,0.0,-0.07666728,0.0
0.0072179125,-0.08626372,-0.0019563944,0.0,-0.07772167,0.0
0.0071260952,-0.046354495,8.737035E-4,0.0,-0.07846129,0.0
0.00706843,-0.006371105,0.0036301967,0.0,-0.078886926,0.0
0.0070448075,0.033622473,0.0063095037,0.0,-0.07899977,0.0
0.007055033,0.073562264,0.008908181,0.0,-0.07880143,0.0
0.007098828,0.11338437,0.011422922,0.0,-0.0782939,0.0
0.0071758316,0.15302509,0.013850554,0.0,-0.07747956,0.0
0.0072856033,0.192421,0.01618804,0.0,-0.07636123,0.0
0.0074276244,0.23150909,0.018432481,0.0,-0.074942105,0.0
0.007601308,0.27022773,0.020581115,0.0,-0.07322577,0.0
0.007805985,0.3085131,0.022631316,0.0,-0.07121622,0.0
0.008040924,0.34630495,0.024580589,0.0,-0.06891786,0.0
0.008305331,0.38354278,0.026426587,0.0,-0.066335514,0.0
0.008598352,0.42016703,0.028167097,0.0,-0.06347438,0.0
0.008919081,0.45611912,0.029800048,0.0,-0.06034008,0.0
0.009266555,0.49134147,0.03132351,0.0,-0.056938663,0.0
0.009639771,0.5257778,0.03273571,0.0,-0.053276587,0.0
0.010037679,0.559373,0.034035005,0.0,-0.04936072,0.0
0.010459192,0.5920734,0.03521992,0.0,-0.045198347,0.0
0.01090319,0.6238265,0.036289126,0.0,-0.040797178,0.0
0.011368521,0.65458167,0.037241448,0.0,-0.03616533,0.0
0.011854008,0.68428963,0.038075894,0.0,-0.031311337,0.0
0.012358449,0.71290284,0.038791616,0.0,-0.02624413,0.0
0.012880627,0.74037564,0.039387945,0.0,-0.02097305,0.0
0.013419303,0.76666397,0.039864384,0.0,-0.015507818,0.0
0.013973228,0.79172575,0.040220615,0.0,-0.009858544,0.0
0.014541141,0.815521,0.0404565,0.0,-0.0040356996,0.0
0.015121771,0.83801156,0.04057209,0.0,0.0019498913,0.0
0.015713844,0.8591615,0.040567614,0.0,0.00808707,0.0
0.016316077,0.878937,0.040443506,0.0,0.014364363,0.0
0.016927185,0.8973063,0.040200382,0.0,0.020770002,0.0
0.017545883,0.9142402,0.039839067,0.0,0.027291952,0.0
0.018170882,0.92971146,0.039360564,0.0,0.033917934,0.0
0.018800896,0.9436954,0.038766086,0.0,0.04063545,0.0
0.019434638,0.9561699,0.03805705,0.0,0.04743183,0.0
0.020070823,0.96711445,0.037235055,0.0,0.05429422,0.0
0.020708162,0.9765118,0.036301903,0.0,0.06120968,0.0
0.021345379,0.9843469,0.035259593,0.0,0.068165146,0.0
0.021981193,0.9906074,0.034110308,0.0,0.075147524,0.0
0.022614328,0.995283,0.03285643,0.0,0.082143694,0.0
0.023243511,0.9983664,0.03150051,0.0,0.08914055,0.0
0.023867475,0.99985266,0.03004529,0.0,0.096125014,0.0
0.024484955,0.99973935,0.028493667,0.0,0.10308413,0.0
0.025094695,0.99802667,0.02684872,0.0,0.11000505,0.0
0.025695441,0.99471736,0.025113676,0.0,0.116875045,0.0
0.026285948,0.9898167,0.023291914,0.0,0.12368161,0.0
0.026864983,0.9833326,0.021386951,0.0,0.13041244,0.0
0.027431317,0.97527534,0.019402439,0.0,0.13705547,0.0
0.02798374,0.9656579,0.017342148,0.0,0.14359888,0.0
0.028521048,0.95449555,0.015209969,0.0,0.1500312,0.0
0.02904206,0.94180626,0.013009885,0.0,0.1563412,0.0
0.02954561,0.9276103,0.010745976,0.0,0.16251804,0.0
0.030030554,0.91193026,0.008422401,0.0,0.1685512,0.0
0.030495772,0.8947914,0.0060433913,0.0,0.17443058,0.0
0.03094017,0.8762211,0.0036132387,0.0,0.18014638,0.0
0.031362686,0.856249,0.0011362862,0.0,0.18568926,0.0
0.03176229,0.8349071,-0.0013830841,0.0,0.19105022,0.0
0.032137994,0.8122295,-0.003940458,0.0,0.19622073,0.0
0.03248884,0.78825253,-0.0065314,0.0,0.20119259,0.0
0.032813925,0.76301455,-0.009151461,0.0,0.20595805,0.0
0.033112384,0.7365552,-0.011796186,0.0,0.21050979,0.0
0.033383414,0.7089182,-0.014461125,0.0,0.21484084,0.0
0.033626255,0.68014705,-0.017141838,0.0,0.21894468,0.0
