neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.2896821,0.09095528,0.4320063,0.0,0.6556125,0.0
0.118037805,0.09095528,0.33826602,0.0,0.73782665,0.0
-0.035866115,0.09095528,0.22259066,0.0,0.7957926,0.0
-0.1603374,0.09095528,0.09341617,0.0,0.8353574,0.0
-0.25325102,0.09095528,-0.038731948,0.0,0.86191684,0.0
-0.31814757,0.09095528,-0.16446519,0.0,0.8795747,0.0
-0.36040777,0.09095528,-0.27766424,0.0,0.8911778,0.0
-0.3851943,0.09095528,-0.3757138,0.0,0.8986198,0.0
-0.3967535,0.09095528,-0.45855033,0.0,0.90314484,0.0
-0.39837277,0.09095528,-0.52750814,0.0,0.9055747,0.0
-0.392556,0.09095528,-0.5844643,0.0,0.9064613,0.0
-0.3812227,0.09095528,-0.631348,0.0,0.906184,0.0
-0.36586803,0.09095528,-0.6699125,0.0,0.90501046,0.0
-0.34767625,0.09095528,-0.70165735,0.0,0.9031347,0.0
-0.3275959,0.09095528,-0.72782433,0.0,0.9007008,0.0
-0.3063893,0.09095528,-0.7494243,0.0,0.8978184,0.0
-0.28466585,0.09095528,-0.7672728,0.0,0.89457196,0.0
-0.26290634,0.09095528,-0.782025,0.0,0.8910277,0.0
-0.24148197,0.09095528,-0.79420733,0.0,0.88723797,0.0
-0.2206711,0.09095528,-0.80424273,0.0,0.88324404,0.0
-0.20067406,0.09095528,-0.8124718,0.0,0.87907875,0.0
-0.18162687,0.09095528,-0.8191699,0.0,0.8747682,0.0
-0.1636135,0.09095528,-0.82455987,0.0,0.87033296,0.0
-0.14667687,0.09095528,-0.82882315,0.0,0.8657892,0.0
-0.13082823,0.09095528,-0.8321078,0.0,0.8611496,0.0
-0.11605523,0.09095528,-0.83453506,0.0,0.8564243,0.0
-0.102328524,0.09095528,-0.83620477,0.0,0.85162103,0.0
-0.08960708,0.09095528,-0.83719933,0.0,0.84674615,0.0
-0.07784247,0.09095528,-0.8375872,0.0,0.84180456,0.0
-0.06698196,0.09095528,-0.8374252,0.0,0.8368006,0.0
-0.056971155,0.09095528,-0.8367611,0.0,0.83173776,0.0
-0.0477557,0.09095528,-0.8356353,0.0,0.8266195,0.0
-0.039282624,0.09095528,-0.8340818,0.0,0.821449,0.0
-0.03150119,0.09095528,-0.83212996,0.0,0.81622946,0.0
-0.024363525,0.09095528,-0.82980514,0.0,0.8109644,0.0
-0.01782488,0.09095528,-0.82712954,0.0,0.80565745,0.0
-0.011843835,0.09095528,-0.82412285,0.0,0.80031276,0.0
-0.006382342,0.09095528,-0.82080317,0.0,0.7949347,0.0
-0.0014055478,0.09095528,-0.81718683,0.0,0.78952825,0.0
0.0031182335,0.09095528,-0.8132895,0.0,0.78409874,0.0
0.0072177993,0.09095528,-0.80912626,0.0,0.7786521,0.0
0.010919252,0.09095528,-0.8047117,0.0,0.7731944,0.0
0.014246274,0.09095528,-0.8000605,0.0,0.7677323,0.0
0.017220352,0.09095528,-0.7951874,0.0,0.7622729,0.0
0.019861052,0.09095528,-0.7901076,0.0,0.75682336,0.0
0.022186276,0.09095528,-0.7848366,0.0,0.75139123,0.0
0.02421253,0.09095528,-0.7793906,0.0,0.7459841,0.0
0.025955133,0.09095528,-0.7737862,0.0,0.7406095,0.0
0.027428487,0.09095528,-0.7680407,0.0,0.73527515,0.0
0.028646229,0.09095528,-0.76217204,0.0,0.7299882,0.0
0.02962151,0.09095528,-0.7561985,0.0,0.7247559,0.0
0.03036711,0.09095528,-0.7501389,0.0,0.71958476,0.0
0.030895593,0.09095528,-0.74401224,0.0,0.7144811,0.0
0.031219453,0.09095528,-0.73783773,0.0,0.7094504,0.0
0.03135122,0.09095528,-0.7316345,0.0,0.7044976,0.0
0.031303536,0.09095528,-0.72542155,0.0,0.69962674,0.0
0.031089207,0.09095528,-0.7192173,0.0,0.6948412,0.0
0.03072125,0.09095528,-0.71303964,0.0,0.69014335,0.0
0.03021287,0.09095528,-0.70690566,0.0,0.6855347,0.0
0.029577471,0.09095528,-0.7008313,0.0,0.68101585,0.0
0.028828591,0.09095528,-0.6948315,0.0,0.67658657,0.0
0.027979877,0.09095528,-0.6889196,0.0,0.67224556,0.0
0.027044985,0.09095528,-0.68310755,0.0,0.6679909,0.0
0.026037483,0.09095528,-0.67740583,0.0,0.66381973,0.0
0.024970805,0.09095528,-0.671823,0.0,0.6597286,0.0
0.0238581,0.09095528,-0.6663661,0.0,0.6557133,0.0
0.022712145,0.09095528,-0.6610402,0.0,0.65176916,0.0
0.02154524,0.09095528,-0.65584886,0.0,0.6478911,0.0
0.020369096,0.09095528,-0.6507938,0.0,0.64407355,0.0
0.019194776,0.09095528,-0.6458752,0.0,0.6403108,0.0
0.018032566,0.09095528,-0.64109176,0.0,0.63659704,0.0
0.016891949,0.09095528,-0.6364407,0.0,0.6329263,0.0
0.015781501,0.09095528,-0.6319181,0.0,0.6292926,0.0
0.014708871,0.09095528,-0.6275187,0.0,0.62569034,0.0
0.013680719,0.09095528,-0.62323666,0.0,0.6221138,0.0
0.012702776,0.09095528,-0.61906505,0.0,0.6185578,0.0
0.0117797535,0.09095528,-0.6149964,0.0,0.6150173,0.0
0.010915402,0.09095528,-0.6110226,0.0,0.61148775,0.0
0.010112497,0.09095528,-0.60713553,0.0,0.6079649,0.0
0.009372937,0.09095528,-0.6033267,0.0,0.604445,0.0
0.008697722,0.09095528,-0.5995875,0.0,0.6009248,0.0
0.008087053,0.09095528,-0.5959096,0.0,0.5974015,0.0
0.007540368,0.09095528,-0.5922848,0.0,0.5938728,0.0
0.0070564295,0.09095528,-0.58870506,0.0,0.5903368,0.0
0.0066333814,0.09095528,-0.5851628,0.0,0.5867922,0.0
0.0062688095,0.09095528,-0.5816511,0.0,0.583238,0.0
0.005959843,0.09095528,-0.57816327,0.0,0.57967377,0.0
0.0057032304,0.09095528,-0.5746933,0.0,0.5760994,0.0
0.005495381,0.09095528,-0.5712358,0.0,0.5725152,0.0
0.0053324713,0.09095528,-0.56778586,0.0,0.5689218,0.0
0.0052104956,0.09095528,-0.5643394,0.0,0.5653202,0.0
0.0051253377,0.09095528,-0.5608929,0.0,0.56171155,0.0
0.005072829,0.09095528,-0.55744344,0.0,0.5580974,0.0
0.005048802,0.09095528,-0.55398875,0.0,0.5544794,0.0
0.0050491747,0.09095528,-0.5505271,0.0,0.55085945,0.0
0.0050699445,0.09095528,-0.54705745,0.0,0.5472394,0.0
0.005107278,0.09095528,-0.5435791,0.0,0.5436215,0.0
0.005157508,0.09095528,-0.54009205,0.0,0.5400077,0.0
0.0052172053,0.09095528,-0.5365966,0.0,0.5364003,0.0
0.0052831527,0.09095528,-0.5330935,0.0,0.53280133,0.0
0.005352413,0.09095528,-0.52958393,0.0,0.529213,0.0
0.0054223277,0.09095528,-0.52606934,0.0,0.52563727,0.0
0.0054905233,0.09095528,-0.52255136,0.0,0.5220762,0.0
0.0055549075,0.09095528,-0.519032,0.0,0.51853156,0.0
0.0056137093,0.09095528,-0.5155133,0.0,0.5150051,0.0
0.005665425,0.09095528,-0.5119974,0.0,0.5114986,0.0
0.0057088225,0.09095528,-0.5084867,0.0,0.50801325,0.0
0.005742969,0.09095528,-0.5049834,0.0,0.5045505,0.0
0.005767188,0.09095528,-0.50148994,0.0,0.50111145,0.0
0.0057810484,0.09095528,-0.49800846,0.0,0.4976971,0.0
0.005784331,0.09095528,-0.49454123,0.0,0.49430814,0.0
0.0057770526,0.09095528,-0.49109036,0.0,0.49094534,0.0
0.0057594003,0.09095528,-0.4876578,0.0,0.4876091,0.0
0.005731735,0.09095528,-0.4842453,0.0,0.48429978,0.0
0.0056945453,0.09095528,-0.48085463,0.0,0.48101756,0.0
0.005648459,0.09095528,-0.4774872,0.0,0.47776252,0.0
0.0055941935,0.09095528,-0.47414437,0.0,0.47453457,0.0
0.005532556,0.09095528,-0.4708272,0.0,0.47133353,0.0
0.0054643913,0.09095528,-0.46753663,0.0,0.46815914,0.0
0.005390588,0.09095528,-0.4642734,0.0,0.46501106,0.0
0.0053120595,0.09095528,-0.46103808,0.0,0.46188888,0.0
0.0052297227,0.09095528,-0.45783103,0.0,0.45879212,0.0
0.005144452,0.09095528,-0.45465246,0.0,0.4557203,0.0
0.0050571184,0.09095528,-0.45150247,0.0,0.45267284,0.0
0.004968554,0.09095528,-0.44838095,0.0,0.44964918,0.0
0.004879523,0.09095528,-0.4452877,0.0,0.4466488,0.0
0.004790741,0.09095528,-0.44222248,0.0,0.44367114,0.0
0.004702858,0.09095528,-0.43918478,0.0,0.44071564,0.0
0.0046164426,0.09095528,-0.43617418,0.0,0.4377818,0.0
0.0045319945,0.09095528,-0.43319017,0.0,0.4348691,0.0
0.004449943,0.09095528,-0.4302321,0.0,0.43197712,0.0
0.0043706414,0.09095528,-0.42729938,0.0,0.4291054,0.0
0.004294365,0.09095528,-0.4243914,0.0,0.4262536,0.0
0.004221315,0.09095528,-0.42150745,0.0,0.42342135,0.0
0.0041516316,0.09095528,-0.41864693,0.0,0.4206084,0.0
0.0040853894,0.09095528,-0.4158092,0.0,0.4178145,0.0
0.004022592,0.09095528,-0.41299373,0.0,0.4150394,0.0
0.003963215,0.09095528,-0.41019988,0.0,0.41228297,0.0
0.0039071655,0.09095528,-0.40742713,0.0,0.4095451,0.0
0.003854321,0.09095528,-0.40467504,0.0,0.4068257,0.0
