fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-0.21546283,-0.14837591,-0.25443617,-0.14452422,-0.3665993,-0.10518275,0.3666726,-0.12012573,-0.5772289,0.84061205,0.138316,-0.24331994,0.19621302
-2.0171602,0.022400158,0.2700522,-0.9341692,-0.5795155,-0.80604684,-0.14176552,0.9575232,-0.86121505,-0.32857436,0.052706894,-0.6306495,-0.68520033
-2.234264,0.017419446,0.034440517,-0.0121243,-0.16808295,-0.9810237,-0.19491489,0.4511102,-0.14914018,0.5749168,-0.20782489,-0.29419866,-0.24535324
-0.3547395,-0.98017967,-0.7176601,0.46403214,-0.7861167,-0.25856167,0.6158465,0.5468553,-0.71414137,0.30206704,-0.056111533,-0.2434068,0.2209493
-2.301374,0.05402419,0.7764593,-0.1265526,0.51290035,-0.255691,-0.77672863,0.59256643,0.3754115,0.6392529,-0.65987176,-0.88887763,0.7807303
-1.1166843,-0.60189825,0.24189748,0.71225315,-0.017019821,-0.45384067,0.3797017,0.2360922,0.024848998,0.4982845,0.25549376,0.14173448,0.8378079
-2.2859206,0.5384368,-0.78614986,-0.11036688,-0.38371396,-0.05882001,-0.37382516,-0.51107895,-0.03985547,-0.022368073,-0.41867915,0.65175766,-0.74917334
-1.5661163,-0.29058367,-0.17921522,-0.1452737,0.073364824,0.31310898,-0.0785829,-0.5713208,-0.52663934,-0.16601263,0.2478909,0.015098971,0.768138
-0.5357744,0.35272777,-0.042854324,-0.38277707,-0.5716337,-0.29410568,0.7939587,-0.6834307,0.02141294,0.97859126,0.67573833,0.30409804,0.53960574
-3.3643177,-0.19405621,0.20152767,0.42540798,0.5818481,-0.6895679,-0.75769687,-0.54737574,0.39433795,0.52405804,0.5919813,-0.6912547,0.19893283
-23.249523,-0.9960505,-0.40628314,-0.38052338,-0.3534009,0.41237715,0.9590448,-0.26048344,0.25377595,-0.4131194,0.30826822,0.68075764,-0.9235053
-0.62514967,-0.31830323,-0.35510105,-0.29646444,-0.77815336,0.53528494,0.6931311,-0.9403211,0.010404229,0.5145733,0.25507393,0.4187823,0.05800064
-1.7737461,0.20962797,-0.44058648,0.47517124,-0.12585254,-0.091245756,0.15567136,0.37060535,-0.26539496,-0.27983797,-0.34838018,-0.6803966,0.17039223
-1.7513404,-0.25539112,-0.70194125,0.9505562,0.65762556,0.15498288,0.17413563,0.24705969,-0.24634574,-0.54954016,0.34912005,-0.119034424,0.55457765
-1.4398336,-0.9297173,0.11787866,-0.60840654,-0.8418202,0.18476284,-0.29257324,-0.023548963,-0.0851299,0.4914682,-0.39581525,-0.15046686,-0.7663816
-0.5227129,0.76989746,0.5155983,-0.6966918,-0.29731345,0.6469741,0.84608835,0.772724,0.5573791,0.88193697,-0.030445341,-0.121631145,0.36715144
-1.2879425,0.4255899,-0.2981355,-0.2282665,-0.10544288,0.031885944,0.57845443,-0.41830826,-0.6191642,-0.20264928,0.30050468,0.14527231,-0.6275621
-1.3861428,-0.59479433,-0.43847016,-0.42682582,0.5528722,-0.5084378,0.003254267,0.61236703,0.19643737,0.0760175,0.59151787,0.076335125,0.6144469
-1.4477348,0.06705282,0.48818004,0.22932754,0.03672256,0.1015439,0.91855985,0.005776882,0.39046353,0.10531781,0.8784823,-0.6565931,-0.44289902
-2.7321475,0.26904187,0.49919003,-0.4131158,-0.26094097,0.38606343,0.1556594,-0.67353505,-0.38961902,-0.835922,0.3567822,-0.57900316,0.38806152
-1.4202117,-0.8673768,0.495405,0.44245178,0.075781114,-0.16151935,0.492512,0.07529681,-0.9795231,0.041182514,0.22616656,-0.03659892,0.1747555
-0.21791007,-0.5981073,-0.9984577,-0.570339,-0.7217176,-0.48428708,0.8936197,-0.5247969,0.4687969,0.96173877,-0.5429893,0.11725134,0.83776915
-1.3376449,-0.3120592,0.93313587,-0.26742283,-0.9589609,-0.21805319,0.09725808,0.81224847,0.44278246,-0.030637825,0.17595375,-0.13385642,0.92360234
-1.5601355,0.47665316,0.34496823,-0.3404556,-0.91281235,-0.1175023,-0.60119617,0.4786916,0.5112197,0.22277415,0.773456,0.022908311,0.8895413
-11.45479,-0.2762473,-0.16164994,-0.21608633,-0.35967723,0.28732374,0.27999544,0.5584925,-0.30469164,0.5387467,-0.46500385,-0.7498942,0.6331503
-1.7359904,-0.37566006,-0.18475065,-0.14962038,0.26616034,-0.0762831,-0.15457042,0.013995122,-0.64341766,0.6238123,0.46349987,-0.35822356,-0.50715977
-0.018967865,0.45208463,-0.34137958,-0.51808894,-0.96658903,0.20444906,0.7867614,-0.7570358,-0.14531893,0.3957963,-0.4940361,0.08306885,0.39223406
