neur0,input0,neur1,input1,neur2,input2
0.4592188,-0.0,0.48440826,0.0,0.5224331,0.0
0.4133685,-0.09768998,0.43382543,0.0,0.59455067,0.0
0.37738588,-0.09768998,0.37443888,0.0,0.65493035,0.0
0.3512813,-0.09768998,0.30798844,0.0,0.70432144,0.0
0.334476,-0.09768998,0.23666447,0.0,0.7440014,0.0
0.326039,-0.09768998,0.16288833,0.0,0.77545327,0.0
0.32485494,-0.09768998,0.08903596,0.0,0.80013686,0.0
0.32973748,-0.09768998,0.017186454,0.0,0.819359,0.0
0.3395078,-0.09768998,-0.05104157,0.0,0.83422124,0.0
0.3530506,-0.09768998,-0.11454619,0.0,0.84561646,0.0
0.36935338,-0.09768998,-0.17270885,0.0,0.85425043,0.0
0.38753098,-0.09768998,-0.2253075,0.0,0.8606724,0.0
0.40683642,-0.09768998,-0.2724114,0.0,0.8653062,0.0
0.42666042,-0.09768998,-0.31428212,0.0,0.86847746,0.0
0.44652238,-0.09768998,-0.35129216,0.0,0.87043667,0.0
0.46605593,-0.09768998,-0.3838654,0.0,0.8713765,0.0
0.48499215,-0.09768998,-0.41243592,0.0,0.8714461,0.0
0.5031421,-0.09768998,-0.4374231,0.0,0.8707611,0.0
0.5203809,-0.09768998,-0.45921677,0.0,0.869412,0.0
0.53663313,-0.09768998,-0.4781706,0.0,0.8674699,0.0
0.55186087,-0.09768998,-0.49460003,0.0,0.86499125,0.0
0.56605375,-0.09768998,-0.5087832,0.0,0.8620211,0.0
0.57922095,-0.09768998,-0.52096367,0.0,0.858596,0.0
0.5913852,-0.09768998,-0.53135306,0.0,0.854746,0.0
0.60257787,-0.09768998,-0.5401354,0.0,0.8504958,0.0
0.6128358,-0.09768998,-0.5474697,0.0,0.845867,0.0
0.6221984,-0.09768998,-0.5534939,0.0,0.84087807,0.0
0.630706,-0.09768998,-0.55832744,0.0,0.8355457,0.0
0.63839835,-0.09768998,-0.5620738,0.0,0.8298856,0.0
0.6453138,-0.09768998,-0.5648233,0.0,0.8239125,0.0
0.6514891,-0.09768998,-0.5666544,0.0,0.817641,0.0
0.6569584,-0.09768998,-0.56763595,0.0,0.81108594,0.0
0.6617537,-0.09768998,-0.5678288,0.0,0.8042626,0.0
0.66590434,-0.09768998,-0.5672868,0.0,0.79718685,0.0
0.6694375,-0.09768998,-0.5660582,0.0,0.7898756,0.0
0.6723779,-0.09768998,-0.56418693,0.0,0.78234684,0.0
0.6747481,-0.09768998,-0.5617128,0.0,0.7746196,0.0
0.676569,-0.09768998,-0.55867314,0.0,0.7667142,0.0
0.67785937,-0.09768998,-0.5551029,0.0,0.75865227,0.0
0.67863685,-0.09768998,-0.55103564,0.0,0.75045663,0.0
0.6789176,-0.09768998,-0.5465039,0.0,0.74215126,0.0
0.67871684,-0.09768998,-0.5415396,0.0,0.7337612,0.0
0.678049,-0.09768998,-0.53617483,0.0,0.7253123,0.0
0.6769282,-0.09768998,-0.5304416,0.0,0.71683115,0.0
0.675368,-0.09768998,-0.5243726,0.0,0.70834476,0.0
0.6733821,-0.09768998,-0.5180011,0.0,0.69988024,0.0
0.6709843,-0.09768998,-0.5113612,0.0,0.6914647,0.0
0.6681891,-0.09768998,-0.5044878,0.0,0.6831247,0.0
0.66501135,-0.09768998,-0.49741665,0.0,0.6748859,0.0
0.6614669,-0.09768998,-0.49018404,0.0,0.66677296,0.0
0.65757245,-0.09768998,-0.482827,0.0,0.65880895,0.0
0.653346,-0.09768998,-0.47538275,0.0,0.6510151,0.0
0.64880663,-0.09768998,-0.4678884,0.0,0.6434106,0.0
0.6439747,-0.09768998,-0.46038097,0.0,0.63601226,0.0
0.6388719,-0.09768998,-0.45289654,0.0,0.6288342,0.0
0.633521,-0.09768998,-0.4454703,0.0,0.6218879,0.0
0.6279461,-0.09768998,-0.43813592,0.0,0.61518186,0.0
0.6221721,-0.09768998,-0.4309251,0.0,0.6087216,0.0
0.616225,-0.09768998,-0.42386737,0.0,0.6025099,0.0
