neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.28919044,0.02656201,0.4319606,0.0,0.65558594,0.0
0.117273964,0.05312402,0.33814642,0.0,0.7377671,0.0
-0.036605373,0.07968602,0.22240172,0.0,0.79570884,0.0
-0.16080105,0.10624804,0.09319793,0.0,0.8352633,0.0
-0.25327247,0.13281004,-0.03891814,0.0,0.8618255,0.0
-0.31762075,0.15937205,-0.16455685,0.0,0.87949806,0.0
-0.3592532,0.18593408,-0.27761152,0.0,0.89112705,0.0
-0.38333732,0.21249609,-0.375483,0.0,0.89860696,0.0
-0.39411566,0.23905809,-0.45812052,0.0,0.9031839,0.0
-0.3948714,0.26562008,-0.5268666,0.0,0.9056824,0.0
-0.38822153,0.2760644,-0.5836113,0.0,0.9066561,0.0
-0.37634286,0.24950238,-0.6303083,0.0,0.9064822,0.0
-0.3607063,0.22294037,-0.6687221,0.0,0.9054266,0.0
-0.34247768,0.19637834,-0.7003567,0.0,0.90368116,0.0
-0.3225884,0.16981633,-0.72645444,0.0,0.9013874,0.0
-0.30178267,0.14325432,-0.7480249,0.0,0.898652,0.0
-0.2806499,0.11669232,-0.7658815,0.0,0.8955562,0.0
-0.2596491,0.090130314,-0.78067774,0.0,0.89216244,0.0
-0.23912898,0.06356831,-0.792938,0.0,0.8885188,0.0
-0.21934505,0.0370063,-0.8030836,0.0,0.8846623,0.0
-0.2004756,0.010444295,-0.8114541,0.0,0.88062096,0.0
-0.18237609,0.01611771,-0.81831384,0.0,0.87642103,0.0
-0.1649738,0.04267975,-0.823872,0.0,0.872087,0.0
-0.14834675,0.069241725,-0.8283001,0.0,0.86763936,0.0
-0.13254124,0.09580376,-0.8317389,0.0,0.86309576,0.0
-0.11757887,0.122365735,-0.8343045,0.0,0.8584712,0.0
-0.10346251,0.14892778,-0.83609295,0.0,0.85377914,0.0
-0.09018127,0.17548981,-0.8371837,0.0,0.84903157,0.0
-0.077714525,0.20205179,-0.8376433,0.0,0.84423953,0.0
-0.06603514,0.22861382,-0.83752733,0.0,0.83941364,0.0
-0.05511203,0.2551758,-0.8368826,0.0,0.8345641,0.0
-0.044912044,0.28173783,-0.8357489,0.0,0.82970124,0.0
-0.035803933,0.25994667,-0.83417463,0.0,0.8248244,0.0
-0.02773635,0.23338464,-0.8322026,0.0,0.8199315,0.0
-0.020618202,0.20682266,-0.82987,0.0,0.8150202,0.0
-0.014364845,0.18026063,-0.8272095,0.0,0.81008804,0.0
-0.008898091,0.15369858,-0.82425,0.0,0.8051324,0.0
-0.0041459873,0.12713662,-0.8210175,0.0,0.80015063,0.0
-4.251441E-5,0.100574575,-0.8175356,0.0,0.7951399,0.0
0.0034728628,0.0740126,-0.8138256,0.0,0.7900975,0.0
0.0064555737,0.04745056,-0.8099073,0.0,0.7850204,0.0
0.008956409,0.02088859,-0.80579895,0.0,0.7799057,0.0
0.011116503,0.0056733824,-0.80151373,0.0,0.7747534,0.0
0.013312828,0.03223542,-0.7970495,0.0,0.76957595,0.0
0.015520487,0.05879746,-0.7924061,0.0,0.7643866,0.0
0.01771632,0.0853595,-0.7875849,0.0,0.7591991,0.0
0.019878728,0.11192154,-0.7825894,0.0,0.7540281,0.0
0.021987656,0.13848345,-0.77742475,0.0,0.7488886,0.0
0.024024544,0.16504548,-0.7720983,0.0,0.74379647,0.0
0.025972297,0.19160752,-0.76661927,0.0,0.7387676,0.0
0.027815314,0.21816957,-0.76099896,0.0,0.7338184,0.0
0.029539473,0.24473147,-0.75525075,0.0,0.72896534,0.0
0.031132236,0.27129352,-0.7493899,0.0,0.72422475,0.0
0.03235399,0.27039093,-0.74344546,0.0,0.71960324,0.0
0.033016033,0.2438289,-0.73745716,0.0,0.715097,0.0
0.0331748,0.21726686,-0.73146254,0.0,0.7107007,0.0
0.03288443,0.19070496,-0.7254963,0.0,0.7064071,0.0
0.032196995,0.1641429,-0.71958995,0.0,0.7022076,0.0
0.031162582,0.13758087,-0.7137717,0.0,0.6980918,0.0
0.029829357,0.11101884,-0.70806587,0.0,0.69404775,0.0
0.028243568,0.08445693,-0.7024929,0.0,0.6900622,0.0
0.026449433,0.05789489,-0.6970689,0.0,0.68612075,0.0
0.024489105,0.03133285,-0.691806,0.0,0.68220776,0.0
0.022402486,0.004770811,-0.686712,0.0,0.67830694,0.0
0.020590201,0.021791229,-0.6817684,0.0,0.67441905,0.0
0.019111846,0.04835313,-0.6769526,0.0,0.6705494,0.0
0.017935729,0.07491517,-0.67224425,0.0,0.6667045,0.0
0.017031018,0.10147721,-0.66762537,0.0,0.6628915,0.0
0.016367873,0.12803926,-0.6630806,0.0,0.6591188,0.0
0.01591747,0.15460116,-0.65859693,0.0,0.6553951,0.0
0.015652146,0.18116319,-0.654164,0.0,0.6517301,0.0
0.015545417,0.20772524,-0.649774,0.0,0.6481338,0.0
0.015572154,0.23428728,-0.6454216,0.0,0.6446168,0.0
0.01570864,0.26084933,-0.6411037,0.0,0.6411897,0.0
