fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-1.2554396,-0.8493701,0.89890236,0.7975057,0.60743886,-0.30623266,0.23876822,-0.20862551,0.6125467,0.05398166,0.446195,-0.52838296,-0.47346368
-1.7579346,0.8795475,0.65860546,-0.7435336,-0.87759715,0.20192333,-0.12686957,0.3787936,-0.46318758,0.054124355,-0.4395387,0.3560953,0.17562777
-0.40242332,-0.6166721,0.33026055,0.573333,-0.5888385,0.2996716,0.5178666,-0.029485805,-0.89264446,0.099812426,-0.17375201,-0.7880525,0.13338818
-0.9999758,-0.22297071,0.034138918,-0.26469928,-0.16431653,0.22185288,0.517434,0.058045246,-0.3685517,0.39426184,-0.7993048,0.87776893,0.40915987
-1.8699399,-0.9104542,0.12374561,0.8495329,0.06251645,0.067077346,-0.38396513,0.55790335,0.49716613,0.19964504,-0.35580835,-0.61365795,-0.8575642
-2.634539,-0.23766273,0.98546606,0.5712006,0.6218062,-0.26616478,-0.9530467,0.85176945,-0.93261206,0.59944445,-0.17636216,0.4786436,-0.49311587
-1.4643571,0.5658605,0.62067795,0.66540086,0.025456853,0.91096634,0.9676128,0.92576617,-0.07168101,-0.6619107,0.73200667,0.6977168,0.5783025
-10.33171,-0.39652142,0.71934456,-0.6141994,0.14862588,-0.7708211,0.20018262,0.5294764,-0.22695328,0.19535564,0.27659857,0.11230635,-0.14198339
-0.8635106,0.20160566,-0.306437,0.19519015,-0.41718265,-0.39196587,0.48081082,0.6176097,0.16788137,0.9339084,-0.032096673,0.28496158,0.7565687
-0.09238764,-0.2859708,0.46939662,0.14090514,-0.7944802,0.07568216,0.8252988,-0.09489236,-0.81212,0.7191716,-0.105011895,0.36214864,-0.20494223
-2.249642,-0.25321242,-0.4375176,-0.4562355,0.041528232,0.06452415,-0.28527302,-0.5729833,-0.1669892,-0.13183045,-0.8578507,0.30770832,-0.45885733
-2.8446493,-0.14967386,0.22788379,-0.7386273,0.42304277,-0.75160146,0.45312405,-0.14208663,0.8937211,0.8399558,0.5467771,-0.09613848,0.056738377
-1.0366441,-0.60599196,0.38203198,0.10111663,0.36350226,0.4595328,0.57923573,0.2698994,0.8002611,0.7804308,0.43086016,0.8200169,0.47719097
-1.5075945,0.64503086,-0.037854474,-0.47682095,0.098394684,0.42352074,-0.035792947,0.20197201,0.3191696,-0.036739457,0.6732609,-0.84435254,0.07712683
-1.8098375,-0.26634574,-0.85395765,-0.32585457,-0.42925945,-0.40188694,-0.27039716,-0.18964368,-0.5695114,0.12932684,-0.84429145,0.36379525,0.29408002
-1.2137209,-0.43042585,-0.055745125,-0.9156365,0.09975946,0.58302665,0.12145048,0.5892924,0.447378,0.33724868,0.4557457,-0.122890145,0.47043097
-2.441389,-0.74243957,0.2570605,-0.13112141,0.5002645,-0.3105304,-0.36468464,-0.06723767,0.3062286,-0.26253873,-0.066713504,-0.555215,0.30705678
-0.3592984,0.12815416,0.028728485,-0.57932186,-0.11294536,-0.47377026,0.82633436,0.14180827,-0.8177244,0.68197113,0.2764529,-0.015645787,-0.5414351
-1.76625,0.1513671,-0.20884414,0.6998561,-0.2768875,0.9134146,-0.53776807,0.95223397,-0.63669676,0.32142788,0.7725862,0.22171094,-0.40851828
-2.4258277,-0.3354118,0.023345565,-0.2737478,0.10474487,-0.068838865,-0.06286938,0.6631575,-0.28953004,-0.6259672,-0.23938905,0.25410903,-0.66054195
-1.3781399,-0.0267406,0.38492012,-0.032155752,0.55440205,0.55591846,0.6866305,-0.11007345,-0.8128063,0.95686036,0.33862764,0.2828672,-0.9035551
