neur0,input0,neur1,input1,neur2,input2
0.4592145,0.0,0.46300116,0.0,0.5280854,0.0
0.40074304,0.039989334,0.44658795,0.0,0.57367533,0.0
0.3451664,0.07991469,0.4323718,0.0,0.6105084,0.0
0.2933827,0.119712204,0.420014,0.0,0.6402407,0.0
0.24592824,0.15931821,0.4092245,0.0,0.66424304,0.0
0.20302749,0.19866931,0.39975974,0.0,0.6836249,0.0
0.16466548,0.23770262,0.39141715,0.0,0.6992742,0.0
0.13066128,0.27635565,0.38402876,0.0,0.711897,0.0
0.10073124,0.31456655,0.37745547,0.0,0.72205406,0.0
0.07453774,0.3522742,0.37158138,0.0,0.7301915,0.0
0.051723782,0.38941833,0.36630967,0.0,0.7366657,0.0
0.031935655,0.42593947,0.361559,0.0,0.741763,0.0
0.014836739,0.46177918,0.35726067,0.0,0.7457145,0.0
1.1498574E-4,0.4968801,0.3533563,0.0,0.7487085,0.0
-0.012513831,0.5311862,0.3497961,0.0,0.7508992,0.0
-0.023305498,0.5646424,0.34653735,0.0,0.7524141,0.0
-0.03248833,0.59719545,0.34354332,0.0,0.7533589,0.0
-0.04026497,0.628793,0.34078228,0.0,0.7538223,0.0
-0.04681465,0.65938467,0.33822682,0.0,0.75387895,0.0
-0.052295495,0.68892145,0.33585313,0.0,0.7535919,0.0
-0.05684681,0.7173561,0.33364043,0.0,0.7530149,0.0
-0.060591243,0.7446431,0.33157074,0.0,0.75219387,0.0
-0.06363675,0.7707389,0.3296283,0.0,0.7511682,0.0
-0.06607835,0.7956016,0.3277994,0.0,0.7499716,0.0
-0.0679997,0.8191916,0.326072,0.0,0.74863327,0.0
-0.069474466,0.84147096,0.32443562,0.0,0.74717814,0.0
-0.07056758,0.8624042,0.32288098,0.0,0.7456278,0.0
-0.07133627,0.88195777,0.32140008,0.0,0.74400073,0.0
-0.07183101,0.90010047,0.31998575,0.0,0.7423128,0.0
-0.07209634,0.9168031,0.31863177,0.0,0.7405776,0.0
-0.072171554,0.9320391,0.31733254,0.0,0.7388065,0.0
-0.07209134,0.94578403,0.3160832,0.0,0.73700917,0.0
-0.07188634,0.95801586,0.31487936,0.0,0.7351937,0.0
-0.07158359,0.9687151,0.3137171,0.0,0.7333668,0.0
-0.071206935,0.9778646,0.31259298,0.0,0.7315336,0.0
-0.07077743,0.98544973,0.31150374,0.0,0.72969836,0.0
-0.070313625,0.99145836,0.31044656,0.0,0.72786427,0.0
-0.06983186,0.99588084,0.30941877,0.0,0.7260335,0.0
-0.0693465,0.99871016,0.30841795,0.0,0.72420764,0.0
-0.068870164,0.9999417,0.30744177,0.0,0.7223872,0.0
-0.06841389,0.9995736,0.30648816,0.0,0.7205723,0.0
-0.067987315,0.9976064,0.30555505,0.0,0.71876234,0.0
-0.06759885,0.99404323,0.30464053,0.0,0.7169564,0.0
-0.06725575,0.98888975,0.30374268,0.0,0.71515274,0.0
-0.06696428,0.9821543,0.30285978,0.0,0.7133496,0.0
-0.0667298,0.9738476,0.30199,0.0,0.7115445,0.0
-0.06655681,0.963983,0.30113164,0.0,0.70973504,0.0
-0.06644911,0.9525762,0.30028298,0.0,0.7079182,0.0
-0.06640983,0.93964547,0.29944235,0.0,0.7060908,0.0
-0.06644144,0.92521155,0.29860803,0.0,0.70424956,0.0
-0.0665459,0.9092974,0.29777837,0.0,0.7023909,0.0
-0.06672465,0.8919287,0.2969517,0.0,0.7005111,0.0
-0.066978656,0.873133,0.29612634,0.0,0.6986064,0.0
-0.067308456,0.85294056,0.2953006,0.0,0.6966727,0.0
-0.06771422,0.8313835,0.2944728,0.0,0.6947061,0.0
-0.06819574,0.80849636,0.29364136,0.0,0.6927025,0.0
-0.06875247,0.78431594,0.29280448,0.0,0.6906576,0.0
-0.06938357,0.75888073,0.29196054,0.0,0.6885673,0.0
-0.07008791,0.7322315,0.2911078,0.0,0.6864273,0.0
-0.0708641,0.70441085,0.29024464,0.0,0.68423337,0.0
-0.07171049,0.67546326,0.28936931,0.0,0.6819812,0.0
-0.07262523,0.645435,0.2884802,0.0,0.67966664,0.0
-0.07360622,0.6143742,0.28757554,0.0,0.6772854,0.0
-0.07465121,0.58233064,0.28665373,0.0,0.6748332,0.0
-0.075757734,0.5493555,0.28571305,0.0,0.6723059,0.0
-0.076923154,0.51550144,0.28475192,0.0,0.6696993,0.0
-0.078144684,0.48082274,0.2837686,0.0,0.6670094,0.0
-0.07941939,0.4453748,0.2827615,0.0,0.6642322,0.0
-0.08074421,0.40921414,0.28172904,0.0,0.66136354,0.0
-0.08211592,0.37239906,0.28066954,0.0,0.6583997,0.0
-0.083531216,0.3349882,0.27958146,0.0,0.65533674,0.0
-0.08498667,0.29704145,0.27846324,0.0,0.652171,0.0
-0.08647876,0.25861946,0.27731332,0.0,0.64889884,0.0
-0.088003874,0.21978377,0.2761302,0.0,0.6455167,0.0
-0.08955831,0.18059623,0.27491242,0.0,0.64202106,0.0
-0.09113832,0.14112,0.27365848,0.0,0.6384087,0.0
-0.092740044,0.101418026,0.27236697,0.0,0.6346765,0.0
-0.094359614,0.061553795,0.27103648,0.0,0.6308212,0.0
-0.09599309,0.02159109,0.2696657,0.0,0.6268401,0.0
-0.09763648,-0.018406155,0.26825327,0.0,0.6227303,0.0
-0.0992858,-0.058373954,0.2667979,0.0,0.61848927,0.0
-0.100936994,-0.0982486,0.2652984,0.0,0.6141146,0.0
-0.10258602,-0.13796584,0.26375356,0.0,0.60960394,0.0
-0.104228824,-0.17746235,0.26216227,0.0,0.60495543,0.0
-0.10586133,-0.21667498,0.2605234,0.0,0.6001671,0.0
-0.10747948,-0.25554097,0.25883597,0.0,0.5952374,0.0
-0.10907925,-0.29399815,0.25709897,0.0,0.59016484,0.0
-0.110656604,-0.3319852,0.25531155,0.0,0.5849484,0.0
-0.112207554,-0.36944094,0.2534728,0.0,0.57958716,0.0
-0.113728136,-0.40630564,0.251582,0.0,0.5740804,0.0
-0.11521445,-0.44252035,0.24963845,0.0,0.5684279,0.0
-0.116662614,-0.47802714,0.24764153,0.0,0.5626296,0.0
-0.11806884,-0.51276916,0.2455907,0.0,0.55668557,0.0
-0.11942937,-0.54669106,0.24348551,0.0,0.5505966,0.0
-0.12074055,-0.5797382,0.24132562,0.0,0.54436344,0.0
-0.12199878,-0.61185783,0.23911075,0.0,0.53798735,0.0
-0.12320057,-0.6429987,0.23684074,0.0,0.5314699,0.0
-0.12434251,-0.67311084,0.23451553,0.0,0.524813,0.0
-0.12542129,-0.7021462,0.23213518,0.0,0.51801896,0.0
-0.12643369,-0.73005825,0.22969984,0.0,0.51109046,0.0
-0.12737663,-0.7568025,0.22720976,0.0,0.50403047,0.0
-0.12824716,-0.7823359,0.22466537,0.0,0.49684247,0.0
-0.1290424,-0.8066177,0.22206718,0.0,0.4895302,0.0
-0.12975965,-0.8296091,0.21941581,0.0,0.48209792,0.0
-0.13039635,-0.8512733,0.21671207,0.0,0.4745502,0.0
-0.13095002,-0.87157565,0.21395688,0.0,0.46689194,0.0
-0.13141842,-0.8904837,0.21115124,0.0,0.45912856,0.0
-0.13179938,-0.90796715,0.20829636,0.0,0.45126575,0.0
-0.13209096,-0.92399806,0.20539357,0.0,0.44330966,0.0
-0.1322913,-0.9385509,0.20244431,0.0,0.43526673,0.0
-0.1323988,-0.9516021,0.19945021,0.0,0.4271438,0.0
-0.13241194,-0.96313095,0.19641303,0.0,0.41894805,0.0
-0.13232943,-0.97311896,0.19333464,0.0,0.41068694,0.0
-0.13215014,-0.9815503,0.1902171,0.0,0.40236828,0.0
-0.13187313,-0.98841125,0.18706253,0.0,0.3940002,0.0
-0.1314976,-0.99369097,0.18387331,0.0,0.38559106,0.0
-0.13102303,-0.99738103,0.18065186,0.0,0.3771495,0.0
-0.13044897,-0.99947554,0.17740074,0.0,0.36868438,0.0
-0.12977521,-0.99997103,0.17412268,0.0,0.36020476,0.0
-0.12900175,-0.9988668,0.17082047,0.0,0.35171992,0.0
-0.12812874,-0.9961646,0.1674971,0.0,0.34323925,0.0
-0.12715653,-0.9918688,0.16415559,0.0,0.33477232,0.0
-0.12608567,-0.9859861,0.1607991,0.0,0.32632875,0.0
-0.124916874,-0.9785261,0.1574309,0.0,0.31791827,0.0
-0.12365106,-0.96950066,0.15405431,0.0,0.3095506,0.0
-0.122289315,-0.9589243,0.15067278,0.0,0.30123562,0.0
-0.12083292,-0.94681376,0.14728975,0.0,0.292983,0.0
-0.119283326,-0.9331886,0.14390883,0.0,0.28480253,0.0
-0.11764216,-0.9180705,0.14053358,0.0,0.2767038,0.0
-0.11591122,-0.9014837,0.13716768,0.0,0.26869643,0.0
-0.114092484,-0.88345474,0.13381478,0.0,0.2607898,0.0
-0.11218806,-0.8640124,0.13047859,0.0,0.25299323,0.0
-0.11020026,-0.84318787,0.12716281,0.0,0.24531582,0.0
-0.10813153,-0.8210144,0.12387118,0.0,0.23776643,0.0
-0.105984434,-0.7975275,0.12060737,0.0,0.23035377,0.0
-0.10376173,-0.77276444,0.11737505,0.0,0.22308627,0.0
-0.10146629,-0.7467654,0.11417788,0.0,0.21597208,0.0
-0.09910111,-0.71957165,0.11101948,0.0,0.20901905,0.0
-0.096669324,-0.6912268,0.10790338,0.0,0.20223476,0.0
-0.09417416,-0.6617761,0.10483308,0.0,0.19562647,0.0
-0.091619,-0.6312667,0.101812005,0.0,0.18920107,0.0
-0.08900729,-0.5997474,0.098843485,0.0,0.18296513,0.0
-0.08634258,-0.56726867,0.09593079,0.0,0.17692482,0.0
-0.08362854,-0.53388244,0.09307707,0.0,0.17108598,0.0
-0.08086889,-0.4996421,0.0902854,0.0,0.16545404,0.0
-0.078067444,-0.46460244,0.087558694,0.0,0.16003405,0.0
-0.07522806,-0.4288195,0.084899805,0.0,0.15483066,0.0
-0.07235469,-0.39235055,0.08231142,0.0,0.14984812,0.0
-0.0694513,-0.3552535,0.079796135,0.0,0.14509028,0.0
-0.06652195,-0.31758854,0.07735638,0.0,0.14056057,0.0
-0.06357069,-0.2794155,0.074994475,0.0,0.13626203,0.0
-0.060601648,-0.24079546,0.07271257,0.0,0.13219728,0.0
-0.057618927,-0.2017902,0.07051268,0.0,0.1283685,0.0
-0.05462668,-0.16246213,0.06839669,0.0,0.1247775,0.0
-0.05162905,-0.12287415,0.0663663,0.0,0.12142569,0.0
-0.048630197,-0.08308959,0.06442308,0.0,0.11831402,0.0
-0.04563426,-0.043172114,0.06256844,0.0,0.11544309,0.0
-0.04264538,-0.0031855688,0.06080363,0.0,0.11281308,0.0
-0.039667673,0.036806073,0.05912975,0.0,0.11042377,0.0
-0.03670523,0.076738834,0.057547726,0.0,0.108274564,0.0
-0.033762105,0.11654883,0.056058347,0.0,0.106364466,0.0
-0.03084232,0.15617284,0.05466223,0.0,0.104692124,0.0
-0.027949851,0.19554654,0.05335984,0.0,0.103255786,0.0
-0.025088625,0.2346074,0.052151483,0.0,0.10205334,0.0
-0.02226251,0.27329293,0.051037304,0.0,0.101082325,0.0
-0.019475311,0.31154126,0.050017305,0.0,0.100339904,0.0
-0.016730767,0.3492912,0.049091324,0.0,0.099822916,0.0
-0.014032539,0.38648236,0.04825905,0.0,0.099527836,0.0
-0.011384214,0.4230552,0.047520023,0.0,0.099450834,0.0
-0.0087892935,0.45895126,0.046873637,0.0,0.09958772,0.0
-0.0062511894,0.4941131,0.04631913,0.0,0.099934034,0.0
-0.003773219,0.52848446,0.045855608,0.0,0.10048496,0.0
-0.0013586023,0.56201035,0.045482036,0.0,0.101235405,0.0
9.895471E-4,0.5946376,0.045197222,0.0,0.10217998,0.0
0.0032682165,0.62631303,0.044999864,0.0,0.10331304,0.0
0.0054745083,0.6569866,0.04488851,0.0,0.10462864,0.0
0.0076056398,0.6866091,0.04486158,0.0,0.10612058,0.0
0.0096589485,0.7151332,0.044917367,0.0,0.10778241,0.0
0.011631895,0.7425132,0.04505405,0.0,0.10960745,0.0
0.013522064,0.76870537,0.045269676,0.0,0.1115888,0.0
0.015327171,0.79366773,0.045562178,0.0,0.11371932,0.0
0.017045066,0.81736046,0.04592939,0.0,0.1159917,0.0
0.018673725,0.8397455,0.046369016,0.0,0.1183984,0.0
0.02021128,0.8607872,0.046878673,0.0,0.120931745,0.0
0.021655986,0.88045186,0.04745587,0.0,0.123583876,0.0
0.023006247,0.8987079,0.048098024,0.0,0.12634678,0.0
0.024260618,0.91552645,0.048802458,0.0,0.12921233,0.0
0.02541779,0.9308801,0.049566414,0.0,0.13217226,0.0
0.026476609,0.94474465,0.050387047,0.0,0.13521819,0.0
0.027436068,0.9570977,0.05126144,0.0,0.13834171,0.0
0.028295316,0.96791965,0.05218661,0.0,0.14153424,0.0
0.029053645,0.9771931,0.05315949,0.0,0.14478724,0.0
0.029710509,0.9849033,0.05417698,0.0,0.14809206,0.0
0.03026551,0.99103785,0.055235907,0.0,0.15144002,0.0
0.030718407,0.99558693,0.05633306,0.0,0.1548225,0.0
0.03106911,0.9985433,0.057465173,0.0,0.1582308,0.0
0.031317685,0.99990225,0.05862896,0.0,0.16165629,0.0
0.031464353,0.99966156,0.059821095,0.0,0.16509034,0.0
0.031509485,0.9978216,0.06103822,0.0,0.1685244,0.0
0.031453606,0.9943853,0.06227697,0.0,0.17194997,0.0
0.031297393,0.98935825,0.06353396,0.0,0.17535862,0.0
0.031041678,0.98274845,0.06480581,0.0,0.17874202,0.0
0.030687433,0.9745664,0.06608914,0.0,0.18209198,0.0
0.030235786,0.96482533,0.06738054,0.0,0.18540037,0.0
0.029688003,0.9535407,0.06867666,0.0,0.18865922,0.0
0.029045502,0.94073063,0.06997413,0.0,0.19186069,0.0
0.028309837,0.92641556,0.07126963,0.0,0.19499712,0.0
0.027482707,0.9106185,0.07255984,0.0,0.198061,0.0
0.026565943,0.8933646,0.07384151,0.0,0.20104498,0.0
0.025561515,0.8746815,0.07511139,0.0,0.20394193,0.0
0.024471518,0.8545991,0.0763663,0.0,0.20674486,0.0
0.023298182,0.83314955,0.07760309,0.0,0.20944706,0.0
0.022043854,0.8103671,0.07881868,0.0,0.21204193,0.0
0.020711012,0.7862883,0.080010034,0.0,0.21452317,0.0
0.019302243,0.7609516,0.081174195,0.0,0.21688467,0.0
0.017820252,0.7343975,0.08230824,0.0,0.21912055,0.0
0.016267853,0.70666856,0.08340935,0.0,0.22122514,0.0
0.014647968,0.67780906,0.084474765,0.0,0.22319306,0.0
0.01296361,0.6478645,0.08550179,0.0,0.22501913,0.0
0.011217904,0.61688423,0.08648783,0.0,0.2266984,0.0
0.009414059,0.584917,0.08743036,0.0,0.22822621,0.0
0.0075553744,0.5520141,0.08832693,0.0,0.22959816,0.0
0.0056452285,0.5182281,0.08917521,0.0,0.23081006,0.0
0.00368708,0.48361304,0.08997293,0.0,0.231858,0.0
0.0016844587,0.4482243,0.09071792,0.0,0.23273832,0.0
-3.590381E-4,0.4121185,0.09140812,0.0,0.23344763,0.0
-0.0024397527,0.37535337,0.09204153,0.0,0.23398282,0.0
-0.004553969,0.33798778,0.09261629,0.0,0.234341,0.0
-0.0066979234,0.3000815,0.0931306,0.0,0.23451957,0.0
-0.008867804,0.26169512,0.09358279,0.0,0.23451622,0.0
-0.011059762,0.2228901,0.09397127,0.0,0.2343289,0.0
-0.013269914,0.1837285,0.09429456,0.0,0.23395577,0.0
-0.01549435,0.14427298,0.0945513,0.0,0.23339534,0.0
-0.017729143,0.10458665,0.09474021,0.0,0.23264636,0.0
-0.019970339,0.064733006,0.09486012,0.0,0.23170789,0.0
-0.022213988,0.024775807,0.09490999,0.0,0.2305792,0.0
-0.024456127,-0.015221031,0.094888836,0.0,0.22925988,0.0
-0.026692804,-0.05519352,0.094795845,0.0,0.22774984,0.0
-0.02892007,-0.09507771,0.09463027,0.0,0.22604921,0.0
-0.031133994,-0.13480979,0.094391495,0.0,0.22415845,0.0
-0.033330668,-0.17432621,0.09407899,0.0,0.22207826,0.0
-0.035506207,-0.21356376,0.09369237,0.0,0.21980971,0.0
-0.037656765,-0.25245965,0.093231335,0.0,0.21735406,0.0
-0.039778538,-0.29095164,0.09269571,0.0,0.21471295,0.0
-0.041867763,-0.32897907,0.092085436,0.0,0.21188828,0.0
-0.043920733,-0.3664793,0.091400556,0.0,0.20888226,0.0
-0.045933794,-0.40339324,0.09064124,0.0,0.20569737,0.0
-0.047903355,-0.43966186,0.089807756,0.0,0.20233643,0.0
-0.049825907,-0.4752271,0.088900514,0.0,0.19880255,0.0
-0.051698007,-0.51003206,0.08792003,0.0,0.1950991,0.0
-0.053516295,-0.5440211,0.08686694,0.0,0.19122979,0.0
-0.055277504,-0.57713985,0.08574197,0.0,0.18719865,0.0
-0.05697845,-0.60933524,0.084546,0.0,0.18300997,0.0
-0.058616053,-0.64055586,0.08328003,0.0,0.17866832,0.0
-0.060187344,-0.67075175,0.08194514,0.0,0.17417862,0.0
-0.061689444,-0.6998746,0.08054258,0.0,0.16954602,0.0
-0.0631196,-0.72787774,0.07907367,0.0,0.16477603,0.0
-0.06447518,-0.75471646,0.07753987,0.0,0.15987435,0.0
-0.06575366,-0.78034776,0.07594276,0.0,0.15484701,0.0
-0.06695266,-0.8047307,0.07428403,0.0,0.1497003,0.0
-0.06806993,-0.82782626,0.07256549,0.0,0.14444074,0.0
-0.069103315,-0.84959745,0.07078906,0.0,0.13907513,0.0
-0.070050865,-0.8700095,0.06895677,0.0,0.13361049,0.0
-0.070910715,-0.8890297,0.06707077,0.0,0.12805408,0.0
-0.071681194,-0.90662766,0.06513329,0.0,0.12241339,0.0
-0.07236073,-0.9227752,0.063146695,0.0,0.11669605,0.0
-0.07294794,-0.93744653,0.06111344,0.0,0.11090996,0.0
-0.07344157,-0.9506181,0.059036076,0.0,0.105063125,0.0
-0.07384054,-0.9622689,0.056917254,0.0,0.09916375,0.0
-0.074143924,-0.9723805,0.054759715,0.0,0.09322015,0.0
-0.074350946,-0.9809363,0.05256628,0.0,0.087240815,0.0
-0.07446099,-0.9879227,0.050339863,0.0,0.08123429,0.0
-0.07447362,-0.99332875,0.048083443,0.0,0.07520923,0.0
-0.074388534,-0.99714565,0.045800075,0.0,0.069174364,0.0
-0.07420562,-0.9993673,0.04349288,0.0,0.06313847,0.0
-0.07392492,-0.9999902,0.04116504,0.0,0.057110347,0.0
-0.07354664,-0.99901336,0.03881979,0.0,0.051098824,0.0
-0.073071145,-0.99643826,0.03646041,0.0,0.04511271,0.0
-0.072498955,-0.9922691,0.03409022,0.0,0.039160796,0.0
-0.071830764,-0.98651254,0.03171258,0.0,0.03325183,0.0
-0.07106743,-0.9791778,0.029330868,0.0,0.027394488,0.0
-0.07020996,-0.97027653,0.026948491,0.0,0.021597372,0.0
-0.06925951,-0.959823,0.024568861,0.0,0.015868975,0.0
-0.068217404,-0.947834,0.0221954,0.0,0.010217673,0.0
-0.06708512,-0.93432873,0.019831525,0.0,0.004651712,0.0
-0.065864265,-0.9193287,0.017480647,0.0,-8.208196E-4,0.0
-0.06455662,-0.9028579,0.0151461605,0.0,-0.0061920006,0.0
-0.063164085,-0.88494277,0.012831436,0.0,-0.0114540905,0.0
-0.061688717,-0.8656119,0.010539813,0.0,-0.016599547,0.0
-0.0601327,-0.84489626,0.008274596,0.0,-0.021621043,0.0
-0.058498353,-0.82282895,0.006039047,0.0,-0.026511464,0.0
-0.05678812,-0.7994453,0.003836376,0.0,-0.03126394,0.0
-0.055004574,-0.77478266,0.0016697367,0.0,-0.03587185,0.0
-0.053150408,-0.74888057,-4.5777808E-4,0.0,-0.040328804,0.0
-0.051228426,-0.7217805,-0.002543143,0.0,-0.044628713,0.0
-0.049241547,-0.69352496,-0.0045834067,0.0,-0.048765734,0.0
-0.047192786,-0.6641606,-0.006575696,0.0,-0.05273431,0.0
-0.04508527,-0.63373375,-0.008517222,0.0,-0.056529175,0.0
-0.042922217,-0.6022931,-0.010405281,0.0,-0.06014535,0.0
-0.04070693,-0.56988883,-0.012237263,0.0,-0.06357815,0.0
-0.038442805,-0.53657293,-0.014010656,0.0,-0.0668232,0.0
-0.036133304,-0.5023986,-0.015723042,0.0,-0.06987643,0.0
-0.033781976,-0.46742055,-0.017372116,0.0,-0.072734065,0.0
-0.03139242,-0.43169472,-0.018955667,0.0,-0.075392656,0.0
-0.028968316,-0.39527828,-0.0204716,0.0,-0.07784905,0.0
-0.026513375,-0.35822946,-0.021917934,0.0,-0.08010042,0.0
-0.024031382,-0.32060757,-0.023292795,0.0,-0.082144246,0.0
-0.021526143,-0.28247276,-0.024594428,0.0,-0.08397833,0.0
-0.01900152,-0.24388608,-0.025821194,0.0,-0.08560079,0.0
-0.016461391,-0.20490922,-0.026971577,0.0,-0.087010056,0.0
-0.013909665,-0.16560455,-0.028044175,0.0,-0.08820488,0.0
-0.0113502685,-0.12603495,-0.029037714,0.0,-0.08918433,0.0
-0.00878714,-0.08626372,-0.029951038,0.0,-0.08994777,0.0
-0.006224225,-0.046354495,-0.030783117,0.0,-0.0904949,0.0
-0.0036654654,-0.006371105,-0.031533044,0.0,-0.090825744,0.0
-0.0011147999,0.033622473,-0.03220003,0.0,-0.09094062,0.0
0.0014238476,0.073562264,-0.032783423,0.0,-0.09084015,0.0
0.0039465716,0.11338437,-0.03328269,0.0,-0.090525314,0.0
0.006449491,0.15302509,-0.033697423,0.0,-0.089997366,0.0
0.008928755,0.192421,-0.034027338,0.0,-0.089257866,0.0
0.011380553,0.23150909,-0.034272283,0.0,-0.088308714,0.0
0.013801123,0.27022773,-0.03443223,0.0,-0.0871521,0.0
0.016186735,0.3085131,-0.034507263,0.0,-0.08579051,0.0
0.018533722,0.34630495,-0.034497607,0.0,-0.08422676,0.0
0.020838482,0.38354278,-0.03440361,0.0,-0.08246395,0.0
0.023097476,0.42016703,-0.03422574,0.0,-0.0805055,0.0
0.025307236,0.45611912,-0.033964593,0.0,-0.07835511,0.0
0.027464375,0.49134147,-0.033620883,0.0,-0.07601678,0.0
0.029565582,0.5257778,-0.033195455,0.0,-0.07349482,0.0
0.03160764,0.559373,-0.032689266,0.0,-0.0707938,0.0
0.03358742,0.5920734,-0.032103416,0.0,-0.067918584,0.0
0.035501897,0.6238265,-0.031439096,0.0,-0.064874336,0.0
0.03734815,0.65458167,-0.030697638,0.0,-0.061666466,0.0
0.039123353,0.68428963,-0.02988049,0.0,-0.058300674,0.0
0.0408248,0.71290284,-0.02898921,0.0,-0.054782905,0.0
0.042449906,0.74037564,-0.028025478,0.0,-0.051119372,0.0
0.0439962,0.76666397,-0.026991084,0.0,-0.047316525,0.0
0.045461334,0.79172575,-0.02588793,0.0,-0.043381058,0.0
0.0468431,0.815521,-0.024718033,0.0,-0.03931988,0.0
0.0481394,0.83801156,-0.023483515,0.0,-0.03514014,0.0
0.049348295,0.8591615,-0.022186598,0.0,-0.030849181,0.0
0.05046797,0.878937,-0.020829614,0.0,-0.026454533,0.0
0.051496755,0.8973063,-0.019414991,0.0,-0.021963924,0.0
0.052433126,0.9142402,-0.017945252,0.0,-0.017385244,0.0
0.053275704,0.92971146,-0.016423011,0.0,-0.012726542,0.0
0.05402325,0.9436954,-0.014850976,0.0,-0.007996004,0.0
0.0546747,0.9561699,-0.013231932,0.0,-0.0032019464,0.0
0.05522912,0.96711445,-0.011568748,0.0,0.0016472059,0.0
0.055685725,0.9765118,-0.009864368,0.0,0.0065429304,0.0
0.05604391,0.9843469,-0.008121805,0.0,0.0114766285,0.0
0.056303218,0.9906074,-0.00634414,0.0,0.01643964,0.0
0.056463335,0.995283,-0.0045345104,0.0,0.021423258,0.0
0.05652412,0.9983664,-0.00269611,0.0,0.026418751,0.0
0.056485582,0.99985266,-8.3217974E-4,0.0,0.031417377,0.0
0.05634789,0.99973935,0.0010539956,0.0,0.03641039,0.0
0.056111373,0.99802667,0.002959095,0.0,0.041389093,0.0
0.055776514,0.99471736,0.0048797675,0.0,0.046344806,0.0
0.055343956,0.9898167,0.006812638,0.0,0.05126892,0.0
0.05481449,0.9833326,0.008754314,0.0,0.0561529,0.0
0.054189067,0.97527534,0.010701391,0.0,0.060988296,0.0
0.05346879,0.9656579,0.012650462,0.0,0.065766774,0.0
0.052654907,0.95449555,0.01459812,0.0,0.07048013,0.0
0.051748823,0.94180626,0.016540969,0.0,0.07512027,0.0
0.05075208,0.9276103,0.018475622,0.0,0.07967928,0.0
0.049666364,0.91193026,0.020398721,0.0,0.0841494,0.0
0.048493516,0.8947914,0.02230693,0.0,0.08852304,0.0
0.04723549,0.8762211,0.02419695,0.0,0.09279281,0.0
0.04589439,0.856249,0.026065521,0.0,0.09695152,0.0
0.04447246,0.8349071,0.027909422,0.0,0.10099221,0.0
0.042972054,0.8122295,0.029725494,0.0,0.1049081,0.0
0.041395653,0.78825253,0.031510625,0.0,0.108692676,0.0
0.039745867,0.76301455,0.03326177,0.0,0.11233966,0.0
0.038025398,0.7365552,0.03497595,0.0,0.11584301,0.0
0.03623709,0.7089182,0.03665025,0.0,0.11919696,0.0
0.034383878,0.68014705,0.03828185,0.0,0.122395955,0.0
0.0324688,0.65028787,0.039867982,0.0,0.12543476,0.0
0.030494992,0.6193883,0.041405983,0.0,0.12830839,0.0
0.02846568,0.5874979,0.042893272,0.0,0.13101214,0.0
0.026384179,0.55466753,0.044327356,0.0,0.13354157,0.0
0.02425388,0.5209499,0.04570584,0.0,0.13589251,0.0
0.022078259,0.48639885,0.04702642,0.0,0.13806112,0.0
0.01986086,0.45106965,0.048286892,0.0,0.14004384,0.0
0.017605286,0.41501886,0.049485166,0.0,0.14183734,0.0
0.015315208,0.37830412,0.050619245,0.0,0.14343867,0.0
0.012994346,0.34098417,0.051687233,0.0,0.14484507,0.0
0.01064647,0.3031187,0.05268736,0.0,0.14605416,0.0
0.008275392,0.26476833,0.053617954,0.0,0.14706384,0.0
0.005884961,0.2259944,0.054477453,0.0,0.14787225,0.0
0.0034790537,0.1868589,0.055264406,0.0,0.1484779,0.0
0.0010615728,0.14742449,0.055977482,0.0,0.14887951,0.0
-0.0013635604,0.10775422,0.056615457,0.0,0.14907621,0.0
-0.0037924137,0.067911565,0.05717723,0.0,0.14906731,0.0
-0.0062210485,0.027960273,0.057661816,0.0,0.1488525,0.0
-0.008645526,-0.0120357545,0.058068335,0.0,0.14843173,0.0
-0.011061914,-0.052012525,0.05839604,0.0,0.14780529,0.0
-0.013466296,-0.09190609,0.05864429,0.0,0.14697373,0.0
-0.015854768,-0.13165262,0.058812574,0.0,0.14593787,0.0
-0.018223463,-0.17118949,0.058900483,0.0,0.14469893,0.0
-0.020568525,-0.21045153,0.05890774,0.0,0.14325835,0.0
-0.022886153,-0.2493769,0.058834184,0.0,0.14161785,0.0
-0.025172578,-0.2879033,0.05867977,0.0,0.13977955,0.0
