neur0,input0,neur1,input1,neur2,input2
0.4594882,0.0,0.50600386,0.0,0.5588376,0.0
0.40517676,0.022833917,0.45591545,0.0,0.65526366,0.0
0.3505037,0.045667835,0.39795178,0.0,0.72933775,0.0
0.29704472,0.06850175,0.3341363,0.0,0.78472555,0.0
0.24618658,0.09133567,0.26684508,0.0,0.82550985,0.0
0.1989906,0.11416958,0.19851357,0.0,0.85534424,0.0
0.15614158,0.1370035,0.13134488,0.0,0.87714803,0.0
0.11796898,0.15983741,0.067101225,0.0,0.89311,0.0
0.08451202,0.18267134,0.007016011,0.0,0.9048149,0.0
0.05560061,0.20550524,-0.048185788,0.0,0.91339046,0.0
0.030932117,0.22833917,-0.098199986,0.0,0.91963446,0.0
0.010133404,0.25117308,-0.14303148,0.0,0.9241122,0.0
-0.007194279,0.274007,-0.1828885,0.0,0.92722684,0.0
-0.021445952,0.29684094,-0.21809715,0.0,0.92926866,0.0
-0.032995567,0.31967482,-0.24903964,0.0,0.93044925,0.0
-0.042187087,0.34250873,-0.2761131,0.0,0.930925,0.0
-0.049331084,0.36534268,-0.2997046,0.0,0.93081343,0.0
-0.054704625,0.3881766,-0.3201772,0.0,0.9302045,0.0
-0.05855297,0.41101047,-0.33786336,0.0,0.92916846,0.0
-0.06109218,0.43384442,-0.3530632,0.0,0.9277615,0.0
-0.06251206,0.45667833,-0.3660452,0.0,0.9260298,0.0
-0.062979095,0.47951224,-0.3770483,0.0,0.9240126,0.0
-0.06271596,0.49079132,-0.38629365,0.0,0.92174196,0.0
-0.06207271,0.46795738,-0.39400214,0.0,0.91924125,0.0
-0.06114309,0.4451235,-0.4003664,0.0,0.9165299,0.0
-0.060006376,0.42228955,-0.405555,0.0,0.9136246,0.0
-0.058729347,0.39945564,-0.40971574,0.0,0.91053975,0.0
-0.057367958,0.37662175,-0.41297862,0.0,0.9072876,0.0
-0.055968788,0.3537878,-0.41545832,0.0,0.9038789,0.0
-0.054570287,0.33095387,-0.41725615,0.0,0.90032274,0.0
-0.053203862,0.30812,-0.4184618,0.0,0.89662683,0.0
-0.051894803,0.28528607,-0.41915458,0.0,0.8927975,0.0
-0.05066309,0.26245213,-0.4194049,0.0,0.88884,0.0
-0.04952415,0.23961826,-0.41927487,0.0,0.88475823,0.0
-0.04848944,0.21678431,-0.41881955,0.0,0.8805549,0.0
-0.047567014,0.19395038,-0.41808727,0.0,0.8762317,0.0
-0.046762012,0.1711165,-0.4171206,0.0,0.8717891,0.0
-0.046077106,0.14828257,-0.41595665,0.0,0.8672265,0.0
-0.045512855,0.12544863,-0.41462764,0.0,0.8625423,0.0
-0.04506805,0.10261475,-0.41316137,0.0,0.85773385,0.0
-0.044740036,0.07978082,-0.4115815,0.0,0.85279757,0.0
-0.04452493,0.056946885,-0.4099081,0.0,0.84772885,0.0
-0.0444179,0.03411301,-0.40815774,0.0,0.84252226,0.0
-0.044413332,0.011279072,-0.40634397,0.0,0.83717155,0.0
-0.044351064,0.011554864,-0.40446037,0.0,0.83167684,0.0
-0.044083465,0.03438874,-0.4024849,0.0,0.82604575,0.0
-0.043622397,0.057222735,-0.40039995,0.0,0.8202876,0.0
-0.042980254,0.080056615,-0.3981922,0.0,0.8144132,0.0
-0.042169776,0.10289049,-0.39585197,0.0,0.80843484,0.0
-0.041203868,0.12572448,-0.39337292,0.0,0.8023664,0.0
-0.040095475,0.14855836,-0.3907518,0.0,0.7962225,0.0
-0.03885743,0.17139223,-0.38798797,0.0,0.79001945,0.0
-0.0375024,0.19422624,-0.38508332,0.0,0.7837741,0.0
-0.036042724,0.2170601,-0.38204166,0.0,0.77750427,0.0
-0.034490425,0.23989399,-0.3788689,0.0,0.7712285,0.0
-0.03285709,0.26272798,-0.37557247,0.0,0.76496595,0.0
-0.031153856,0.28556186,-0.37216127,0.0,0.7587359,0.0
-0.02939134,0.30839574,-0.36864537,0.0,0.752558,0.0
-0.027579643,0.33122972,-0.3650359,0.0,0.7464518,0.0
