fitness,g0,g1,g2,g3,g4,g5
0.573962,0.91136074,0.530422,-0.54120314,-0.76853013,-0.46202826,0.5278615
0.57415235,-0.018078685,0.16124165,0.44852793,-0.991521,0.8808316,0.71467125
0.5743128,0.604694,0.32941103,-0.4019071,0.39218283,-0.48496234,0.61086774
0.5740172,-0.88527143,-0.7195921,-0.032788157,0.73935914,-0.18152094,-0.90778923
0.5743037,-0.4207704,0.31228697,-0.8024992,-0.17068732,-0.5915222,0.77222717
0.57441014,0.75690067,0.35467994,-0.95083845,0.32198167,-0.9258733,0.55715466
0.5740318,-0.2272557,-0.22797883,-0.43379128,-0.5416386,0.18464112,0.45422852
0.57429767,0.9355266,0.37324822,0.2930478,0.7386857,-0.81988347,-0.046810508
0.5740818,-0.71389234,-0.18902373,0.0671128,-0.36048675,0.19672668,0.5605197
0.574118,-0.17962623,0.74293494,0.6955482,0.52752554,0.19985557,-0.8363286
0.5741628,-0.48558664,-0.5631385,0.22883713,-0.23603475,0.62225974,-0.40224278
0.5743352,-0.70172393,-0.10518277,0.9458735,0.24301529,0.38758266,-0.87200594
0.5736472,-0.8580613,-0.8046855,-0.74709594,-0.2991674,0.5473851,0.80858374
0.57422906,0.43665028,-0.19445622,-0.43607175,-0.6912137,0.57268333,-0.18967617
0.5739436,0.94108903,0.77988076,-0.019109368,-0.47960055,0.08197963,0.89378655
0.57417035,0.8681617,-0.09935367,0.17544687,0.6586405,-0.71583736,0.85581493
0.57443774,0.061950445,0.7924558,-0.8630816,0.15761864,0.9524535,-0.61726725
0.57403725,0.96834636,0.58425534,-0.58547354,0.9930831,0.530033,0.14150846
0.57386667,0.94597733,0.980986,0.6225178,0.5575677,0.35500598,-0.25220835
0.5739488,0.78133786,0.766467,-0.25228286,0.44267154,-0.6963395,-0.3779099
0.5741835,0.38590968,0.9107437,0.5849966,-0.7953073,0.8009901,0.27679455
0.57418025,0.54456615,0.9027884,0.7863281,0.42976594,0.7823088,-0.5496775
0.5741864,0.3928882,-0.1694119,0.03802979,-0.2922417,-0.41712022,-0.30916405
0.5741987,-0.9474652,-0.67228854,-0.3290583,0.69110537,0.56322026,-0.91257787
0.5742805,0.40026522,0.0023002625,-0.13162291,0.09016669,0.51135695,-0.6449146
0.5739381,-0.7667873,-0.37660098,0.8779589,0.4017625,-0.08579552,0.7688259
0.57421845,0.19953084,0.09902215,-0.31613696,-0.7651756,-0.41296518,0.35458374
0.5743534,0.882488,-0.5903857,-0.3586402,-0.3894738,-0.24373174,-0.6728282
0.57374865,0.8447921,0.56336,0.718688,0.90274096,0.088119864,-0.07123041
0.5743044,0.13694787,-0.09400594,0.14791203,-0.7384243,0.63398135,-0.94552326
0.57378167,0.21780014,0.8295748,0.9912983,0.86580205,-0.5363085,-0.37335813
0.57446116,0.9990312,-0.64688194,0.88715947,-0.25000048,-0.30971944,0.42866778
0.5742242,-0.037133098,-0.62801933,0.59574926,0.15203011,-0.24312842,0.93655074
0.5743806,0.05609393,0.9623624,0.99446213,-0.5081526,-0.92413867,0.2835703
0.57434136,0.2773136,-0.89317703,0.7720585,-0.28406286,-0.71361303,0.42977417
0.5741085,0.27977216,0.74473596,0.118909,-0.28605664,-0.2640915,-0.6730025
0.5739843,0.8023063,0.48826504,-0.854041,0.12959349,0.44252944,-0.10829723
0.5744017,0.24555528,0.08115113,-0.8062109,0.24061823,0.420771,-0.9508891
0.5743821,-0.55961514,-0.19731891,-0.960533,0.99020505,-0.28363776,0.5408268
0.57420075,0.5738965,0.028042078,0.843454,0.3490715,0.101272225,0.482427
0.5743679,0.09843671,0.81546867,0.74240506,-0.2834214,0.9829744,-0.7588458
0.57439834,-0.56761646,0.17014122,-0.86706233,0.89488196,0.43954515,0.14711857
0.57397985,-0.7923033,-0.18633544,-0.6187836,0.96861935,-0.9091569,-0.60402584
0.5740612,0.1519171,0.41690445,-0.21746254,0.98098135,0.6940335,0.88387775
0.57414263,0.098960996,0.8760643,0.5535642,0.46162367,-0.34639573,0.46213865
0.5743573,0.331524,0.43196726,0.638839,-0.89638984,-0.7248969,0.36718035
0.5743261,-0.56019044,0.62956727,-0.17011356,0.789626,0.19937539,0.890579
0.57430464,0.7322937,-0.6471658,0.44435632,0.36962748,-0.02916956,-0.6895498
0.57416517,-0.19359684,-0.55990064,0.6693208,-0.3517115,0.7003249,0.24939597
0.5742207,-0.53402984,0.92950356,0.9466109,0.7041744,-0.22165251,0.65289056
0.57391936,-0.25248444,-0.10272825,-0.79551375,-0.19267178,-0.89488316,-0.8731048
0.57428384,0.38984835,-0.6905403,-0.58593655,-0.021658063,-0.4479699,-0.74969065
0.5741317,0.8290106,-0.39591432,-0.63813317,0.062530994,-0.030185461,-0.40370846
0.5741513,0.8452753,-0.7229172,0.5746925,-0.072757006,0.0050485134,0.28187656
0.574098,-0.6453686,-0.0021666288,-0.24236798,-0.910375,-0.37541568,0.10898745
0.5742726,0.46272147,-0.39602327,0.37893617,-0.38194,-0.0786351,-0.18217635
0.57422507,0.6115459,-0.60341084,-0.62714434,0.09952581,-0.17210698,0.0150158405
0.574214,-0.060224175,-0.89331234,0.21958804,-0.6440588,-0.057591796,0.08021617
0.5745103,-0.1440742,0.9014716,0.94904613,-0.57571363,0.22926223,-0.6051214
0.5737289,0.08281088,0.5360701,0.82402813,0.8981656,-0.88404846,-0.64339626
0.5742117,-0.3433807,-0.57142746,-0.60326993,-0.15292192,-0.9753996,0.4034965
0.5735204,-0.8348069,-0.66435134,0.8084266,0.17289674,0.97006404,0.48478198
0.574081,-0.67229354,0.68475103,-0.6286578,-0.91415465,-0.94781363,-0.28333104
