Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.61133856,-10.629425,-0.5696849,229.04723
2,0.6414811,-19.529741,-0.5018753,528.88043
3,0.6414811,-1.7733365,-0.09486076,23.432268
4,0.8602108,-9.239817,-0.22662848,164.94307
5,0.8602108,-9.142551,-0.082523964,110.49179
6,0.8602108,-8.832965,-0.24304408,203.73607
7,0.8602108,-6.074484,-0.26262212,114.33173
8,0.8602108,-6.970413,-0.2774848,183.89975
9,0.8602108,-8.935482,-0.32943702,203.84438
10,0.8602108,-6.4084096,-0.20031016,117.80747
11,0.8602108,-5.0342307,-0.296712,145.6709
12,0.8602108,-13.471644,-0.51340204,441.02817
13,0.8602108,-13.471644,-0.36896023,352.89877
14,0.8602108,-13.471644,-0.54779357,524.04364
15,0.8602108,-8.337115,-0.106337614,152.85776
16,0.8602108,-8.337115,-0.2647796,182.59488
17,0.8602108,-22.859747,-0.4776494,802.37024
18,0.8602108,-6.8005714,-0.15692972,144.43433
19,0.8602108,-8.448269,-0.20365463,197.32664
20,0.8602108,-12.105338,-0.23784411,224.9544
21,0.8602108,-5.844461,-0.10065136,114.4276
22,0.8602108,-4.9788117,-0.09122817,79.3715
23,0.8602108,-7.650523,-0.20076561,173.41444
24,0.8602108,-5.8828015,-0.034091774,97.794075
25,0.8602108,-16.470617,-0.16744477,326.56223
26,0.8602108,-6.0045233,-0.10777432,99.01677
27,0.8602108,-10.845397,-0.5439464,398.08914
28,0.8602108,-8.124798,-0.23864596,196.14833
29,0.8602108,-7.5319066,-0.30461913,194.42664
30,0.8602108,-7.817101,-0.23744696,237.04453
31,0.8602108,-11.345443,-0.21399096,207.57706
32,0.8602108,-24.857056,-0.44497275,765.4782
33,0.8602108,-5.6422877,-0.1439101,120.27559
34,0.8602108,-16.3498,-0.37819058,461.61203
35,0.8602108,-5.1406035,-0.112820975,124.741684
36,0.8602108,-6.0202894,-0.23419279,167.37305
37,0.8602108,-5.921141,-0.062481653,72.17827
38,0.8602108,-9.330085,-0.08910779,145.79132
39,0.8602108,-14.815412,-0.33666947,328.60312
40,0.8602108,-10.782926,-0.23841745,197.91202
41,0.8602108,-20.215485,-0.5909081,761.3484
42,0.8602108,-12.869388,-0.1751459,252.62433
43,0.8602108,-6.722543,-0.120193265,141.95764
44,0.8602108,-6.252343,-0.017873757,70.17607
45,0.8602108,-2.606705,0.0013230204,46.10047
46,0.8602108,-7.98465,-0.2374494,170.64464
47,0.8602108,-8.28083,-0.17198344,145.83868
48,0.8602108,-8.28083,-0.30538377,212.93347
49,0.8602108,-4.2573624,-0.020567393,67.5571
50,0.8602108,-11.220275,-0.23858772,291.16782
51,0.8602108,-6.9011817,-0.09034728,109.01868
52,0.8602108,-12.006582,-0.06602852,186.53297
53,0.8602108,-6.4971895,-0.11188869,117.29208
54,0.8602108,-12.709189,-0.118163,215.50822
55,0.8602108,-10.905735,-0.0889821,230.50612
56,0.8602108,-2.189647,0.05063513,36.584526
57,0.8602108,-13.084294,-0.1946852,236.17651
58,0.8602108,-13.084294,-0.23836297,320.2939
59,0.8658081,-8.360442,-0.29576945,217.03386
60,0.8658081,-27.496248,-0.63379645,979.8654
61,0.8658081,-12.025083,-0.2951712,314.67944
62,0.8658081,-8.374111,-0.2788305,196.86221
63,0.8658081,-6.617013,-0.17785288,150.86702
64,0.8658081,-15.921365,-0.4197257,548.4149
65,0.8658081,-6.24023,-0.17964736,123.06385
66,0.8658081,-16.073784,-0.50521904,524.55945
67,0.8658081,-14.44689,-0.3068473,291.24014
68,0.8658081,-6.3259883,-0.11283322,94.53576
69,0.8658081,-6.4993525,-0.15545805,129.8196
70,0.8658081,-9.781239,-0.28615144,288.14514
71,0.8658081,-9.781239,-0.26676258,275.00626
72,0.8658081,-14.509635,-0.11452917,287.2642
73,0.8658081,-5.6089544,-0.032400426,97.001114
74,0.8658081,-13.861087,-0.1323366,258.40613
75,0.8658081,-3.8369253,0.028261054,60.782986
76,0.8658081,-3.2081494,0.03367909,43.68224
77,0.8658081,-6.901911,-0.08606967,112.46033
78,0.8658081,-6.901911,-0.11464079,139.3408
79,0.8658081,-16.712719,-0.35369918,460.9859
80,0.8658081,-5.8608546,-0.20185085,154.18515
81,0.8658081,-13.750594,-0.29230863,316.61914
82,0.8658081,-3.9866881,-0.040657867,75.05192
83,0.8658081,-6.9464736,-0.15111257,141.82208
84,0.8658081,-29.232092,-0.40668124,950.96136
85,0.8658081,-10.203128,-0.24028371,261.58633
86,0.8658081,-5.635935,-0.14221103,120.99735
87,0.8658081,-20.71698,-0.17263234,471.76245
88,0.8658081,-13.53551,-0.20925447,321.10654
89,0.8658081,-10.648169,-0.420565,414.7916
90,0.8658081,-9.410152,-0.18867576,202.19002
91,0.8658081,-5.5309362,-0.001962577,73.83585
92,0.8658081,-12.672676,-0.3736647,386.92514
93,0.8658081,-19.525854,-0.37826008,642.9916
94,0.8658081,-12.862404,-0.34803066,315.5918
95,0.8658081,-9.723137,-0.14035888,197.9104
96,0.8658081,-10.48189,-0.4093312,402.2354
97,0.8658081,-6.5574164,-0.050219793,123.65542
98,0.8658081,-7.1755996,-0.1407461,158.60269
99,0.8658081,-11.254352,-0.27342206,286.50644
100,0.8658081,-11.254352,-0.17953187,226.40678
101,0.8658081,-14.363345,-0.14764474,269.18915
102,0.8658081,-14.363345,-0.3577837,462.04584
103,0.8658081,-14.363345,-0.47117138,511.54852
104,0.8658081,-10.688238,-0.36100078,302.4076
105,0.8658081,-7.8889723,-0.16104616,153.79274
106,0.8658081,-5.950237,-0.06753614,82.32586
107,0.8658081,-12.656817,-0.3227816,282.90475
108,0.8658081,-14.076289,-0.14362428,254.08595
109,0.8658081,-11.649424,-0.3339568,366.24484
110,0.8658081,-10.5685,-0.31329837,344.3878
111,0.8658081,-10.5685,-0.36913326,341.8212
112,0.8658081,-7.055089,-0.14998302,140.50505
113,0.8658081,-6.0238214,-0.11762695,109.18484
114,0.8658081,-11.95861,-0.2367987,218.09253
115,0.8658081,-5.324315,-0.095742635,97.42496
116,0.8658081,-9.903854,-0.14616294,157.8506
117,0.8658081,-9.864936,-0.13862082,171.19002
118,0.8658081,-11.395103,-0.302096,323.45264
119,0.8658081,-10.1749935,-0.26658756,263.84818
120,0.8658081,-8.100865,-0.092817575,179.50186
121,0.8658081,-5.245923,-0.14905258,129.47632
122,0.8658081,-7.6321993,-0.04850923,123.30364
123,0.8658081,-7.2458754,-0.26413414,192.53943
124,0.8658081,-8.601492,-0.51608735,388.71405
125,0.8658081,-10.43487,-0.56645614,449.78824
126,0.8658081,-7.3782983,-0.27219427,187.57076
127,0.8658081,-7.3782983,-0.07146572,94.05054
128,0.8658081,-2.5398703,0.048938427,40.954624
129,0.8658081,-11.978437,-0.22355713,269.04526
130,0.8658081,-13.015968,-0.18505305,246.1407
131,0.8658081,-5.838257,-0.054458518,82.72081
132,0.8658081,-10.589664,-0.370733,314.48117
133,0.8658081,-6.691219,-0.19214256,122.57915
134,0.8658081,-5.210187,-0.099018,87.253815
135,0.8658081,-11.125347,-0.33994475,317.5258
136,0.8658081,-8.49714,-0.07642665,150.3524
137,0.8658081,-5.8781996,-0.10208049,103.62911
138,0.8658081,-6.9593787,-0.14818919,101.76411
139,0.8658081,-8.225433,-0.3074593,223.98476
140,0.8658081,-11.850686,-0.30982453,325.9011
141,0.8658081,-9.544907,-0.17138237,225.51566
142,0.8658081,-10.442645,-0.20805813,242.45515
143,0.8658081,-12.258275,-0.20388737,278.88293
144,0.8658081,-12.158231,-0.40343228,318.61896
145,0.8658081,-5.5224233,-0.06535003,68.52159
146,0.8658081,-10.102374,-0.17768534,180.52066
147,0.8658081,-7.802959,-0.15726173,146.98935
148,0.8658081,-6.2905636,-0.08653468,109.80915
149,0.8658081,-4.5961037,-0.08179432,73.25845
150,0.8658081,-3.5127563,-0.033701178,52.70202
151,0.8658081,-6.06091,-0.16136797,102.36821
152,0.8658081,-5.645676,-0.08852367,82.12503
153,0.8658081,-8.82254,-0.110586464,132.05591
154,0.8658081,-8.587578,-0.12903571,135.14313
155,0.8658081,-13.89485,-0.23910557,274.0977
156,0.8658081,-10.291387,-0.17472848,230.1378
157,0.8658081,-8.281641,-0.05226028,155.08527
158,0.8658081,-16.85327,-0.23766863,341.48193
159,0.8658081,-15.999539,-0.3092465,391.77945
160,0.8658081,-13.464608,-0.23224197,290.28326
161,0.8658081,-7.0767865,-0.14739735,134.11696
162,0.8658081,-4.4804974,-0.1257979,88.91623
163,0.8658081,-4.735589,-0.07338317,76.57335
164,0.8658081,-12.48142,-0.27545798,299.1734
165,0.8658081,-12.48142,-0.19171542,254.1167
166,0.8658081,-8.620408,-0.18629518,192.55902
167,0.8658081,-4.1756625,-0.09084787,71.29571
168,0.8658081,-9.20171,-0.13763003,130.91344
169,0.8658081,-6.118872,-0.052860055,96.68757
170,0.8658081,-10.498718,-0.06894619,165.57362
171,0.8658081,-10.498718,-0.33403775,295.91965
172,0.8658081,-8.306308,-0.2959464,239.6234
173,0.8658081,-7.5405507,-0.054232653,107.993126
174,0.8658081,-7.1177287,-0.25231895,207.22493
175,0.8658081,-11.881211,-0.42202204,379.21664
176,0.8658081,-10.0165825,-0.13338824,171.8359
177,0.8658081,-3.4929638,0.06267505,37.511562
178,0.8658081,-8.329275,-0.120383844,141.11032
179,0.8658081,-2.388964,0.045005035,45.910652
180,0.8658081,-6.5445113,-0.06147558,114.94001
181,0.8658081,-12.798074,-0.22116077,346.84326
182,0.8658081,-9.984164,-0.08831127,153.41907
183,0.8658081,-9.0796585,-0.12814792,162.63606
184,0.8658081,-13.231781,-0.20235755,327.9788
185,0.8658081,-7.1677427,-0.06515404,98.89883
186,0.8658081,-5.9813905,-0.0626275,85.23295
187,0.8658081,-6.589511,-0.23506378,162.74594
188,0.8658081,-10.690066,-0.11019318,164.95757
189,0.8658081,-5.364328,-0.1370552,110.32328
190,0.8658081,-14.696891,-0.34844723,465.8973
191,0.8658081,-11.924636,-0.3992695,328.81012
192,0.8658081,-6.090343,-0.0874616,102.67423
193,0.8658081,-9.513477,-0.1961467,166.78317
194,0.8658081,-9.261898,-0.3047237,269.3672
195,0.8658081,-9.102791,-0.28906018,252.66568
196,0.8658081,-6.443412,-0.10983863,107.86825
197,0.8658081,-10.681985,-0.42331344,369.43262
198,0.8658081,-10.60407,-0.19866665,194.72777
199,0.8658081,-17.145187,-0.27580458,442.71564
200,0.8658081,-4.935722,-0.11126327,92.93643
