neur0,input0,neur1,input1,neur2,input2
0.45991963,0.0,0.4396994,0.0,0.45837578,0.0
0.44422987,0.039989334,0.38864937,0.0,0.4521965,0.0
0.42905194,0.07991469,0.33963746,0.0,0.44627795,0.0
0.4144069,0.119712204,0.293206,0.0,0.44061083,0.0
0.40031072,0.15931821,0.24972229,0.0,0.43518332,0.0
0.38677463,0.19866931,0.2093957,0.0,0.429982,0.0
0.37380534,0.23770262,0.17230375,0.0,0.42499256,0.0
0.3614056,0.27635565,0.13842106,0.0,0.42020032,0.0
0.3495745,0.31456655,0.107647136,0.0,0.41559073,0.0
0.33830783,0.3522742,0.079830445,0.0,0.41114962,0.0
0.32759854,0.38941833,0.054787993,0.0,0.40686354,0.0
0.31743702,0.42593947,0.03232034,0.0,0.40271983,0.0
0.30781156,0.46177918,0.012222601,0.0,0.39870661,0.0
0.2987086,0.4968801,-0.005707865,0.0,0.394813,0.0
0.29011303,0.5311862,-0.021666376,0.0,0.39102894,0.0
0.2820085,0.5646424,-0.03583779,0.0,0.3873452,0.0
0.27437764,0.59719545,-0.048394777,0.0,0.38375342,0.0
0.26720226,0.628793,-0.059497032,0.0,0.38024604,0.0
0.26046363,0.65938467,-0.06929122,0.0,0.37681612,0.0
0.25414255,0.68892145,-0.0779113,0.0,0.37345746,0.0
0.24821958,0.7173561,-0.08547914,0.0,0.37016442,0.0
0.24267517,0.7446431,-0.09210523,0.0,0.36693195,0.0
0.23748972,0.7707389,-0.09788956,0.0,0.36375546,0.0
0.23264374,0.7956016,-0.102922365,0.0,0.3606309,0.0
0.22811787,0.8191916,-0.10728504,0.0,0.35755458,0.0
0.22389302,0.84147096,-0.111050814,0.0,0.3545232,0.0
0.21995038,0.8624042,-0.11428556,0.0,0.35153386,0.0
0.21627152,0.88195777,-0.117048435,0.0,0.34858388,0.0
0.21283837,0.90010047,-0.11939251,0.0,0.3456709,0.0
0.2096333,0.9168031,-0.1213653,0.0,0.34279287,0.0
0.20663916,0.9320391,-0.12300937,0.0,0.33994785,0.0
0.20383921,0.94578403,-0.1243627,0.0,0.3371342,0.0
0.20121728,0.95801586,-0.12545918,0.0,0.33435047,0.0
0.19875765,0.9687151,-0.12632897,0.0,0.33159527,0.0
0.19644515,0.9778646,-0.1269989,0.0,0.32886747,0.0
0.19426513,0.98544973,-0.1274927,0.0,0.326166,0.0
0.19220343,0.99145836,-0.12783135,0.0,0.3234899,0.0
0.19024651,0.99588084,-0.1280334,0.0,0.32083836,0.0
0.18838124,0.99871016,-0.12811506,0.0,0.31821063,0.0
0.1865951,0.9999417,-0.12809056,0.0,0.315606,0.0
0.18487607,0.9995736,-0.12797228,0.0,0.3130239,0.0
0.18321264,0.9976064,-0.12777092,0.0,0.3104638,0.0
0.18159384,0.99404323,-0.12749574,0.0,0.30792513,0.0
0.18000916,0.98888975,-0.12715463,0.0,0.3054075,0.0
0.17844866,0.9821543,-0.12675428,0.0,0.30291048,0.0
0.17690286,0.9738476,-0.12630032,0.0,0.30043367,0.0
0.17536277,0.963983,-0.12579742,0.0,0.29797667,0.0
0.17381987,0.9525762,-0.12524939,0.0,0.2955392,0.0
0.17226616,0.93964547,-0.12465927,0.0,0.29312092,0.0
0.17069405,0.92521155,-0.124029465,0.0,0.29072148,0.0
0.16909648,0.9092974,-0.12336175,0.0,0.2883406,0.0
0.16746677,0.8919287,-0.12265742,0.0,0.28597796,0.0
0.16579875,0.873133,-0.121917285,0.0,0.2836333,0.0
0.16408664,0.85294056,-0.12114179,0.0,0.28130633,0.0
0.16232511,0.8313835,-0.12033105,0.0,0.27899668,0.0
0.16050927,0.80849636,-0.119484864,0.0,0.27670413,0.0
0.1586346,0.78431594,-0.11860284,0.0,0.27442837,0.0
0.15669703,0.75888073,-0.11768436,0.0,0.27216908,0.0
0.15469286,0.7322315,-0.11672865,0.0,0.26992595,0.0
0.15261881,0.70441085,-0.115734816,0.0,0.2676987,0.0
0.15047197,0.67546326,-0.11470188,0.0,0.265487,0.0
0.14824982,0.645435,-0.113628805,0.0,0.2632905,0.0
0.1459502,0.6143742,-0.112514496,0.0,0.26110888,0.0
0.14357132,0.58233064,-0.11135786,0.0,0.25894183,0.0
0.14111175,0.5493555,-0.11015781,0.0,0.256789,0.0
0.1385704,0.51550144,-0.108913295,0.0,0.25465003,0.0
0.13594653,0.48082274,-0.10762328,0.0,0.2525246,0.0
0.13323973,0.4453748,-0.106286824,0.0,0.25041232,0.0
0.13044997,0.40921414,-0.10490303,0.0,0.24831286,0.0
0.12757744,0.37239906,-0.1034711,0.0,0.24622585,0.0
0.12462272,0.3349882,-0.10199032,0.0,0.2441509,0.0
0.121586666,0.29704145,-0.100460105,0.0,0.24208768,0.0
