neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4889707,0.0,0.5319022,0.0
0.4618005,0.01805958,0.4856824,0.0,0.52093506,0.0
0.46309865,0.035996426,0.48267502,0.0,0.5110826,0.0
0.46310544,0.053688705,0.47985396,0.0,0.5022468,0.0
0.46212518,0.07101639,0.47714806,0.0,0.49432173,0.0
0.46040285,0.08786221,0.47450486,0.0,0.4872002,0.0
0.4581345,0.10411238,0.47188708,0.0,0.48077834,0.0
0.4554757,0.11965759,0.4692689,0.0,0.47495878,0.0
0.45254833,0.1343937,0.4666336,0.0,0.46965274,0.0
0.44944662,0.14822261,0.4639713,0.0,0.46478072,0.0
0.4462419,0.16105293,0.4612771,0.0,0.4602729,0.0
0.44298682,0.17280053,0.4585498,0.0,0.45606875,0.0
0.43971914,0.18338947,0.45579055,0.0,0.45211643,0.0
0.4364646,0.1927522,0.4530021,0.0,0.44837204,0.0
0.4332396,0.20083027,0.4501881,0.0,0.44479883,0.0
0.43005326,0.20757468,0.44735265,0.0,0.44136617,0.0
0.4269093,0.21294625,0.44449973,0.0,0.43804875,0.0
0.42380735,0.21691589,0.44163322,0.0,0.43482587,0.0
0.42074445,0.21946473,0.4387565,0.0,0.43168053,0.0
0.41771555,0.22058435,0.43587247,0.0,0.4285989,0.0
0.41471455,0.22027674,0.4329834,0.0,0.42556977,0.0
0.4117348,0.2185543,0.43009114,0.0,0.42258403,0.0
0.4087694,0.21543975,0.42719686,0.0,0.41963413,0.0
0.40581173,0.21096578,0.42430127,0.0,0.41671395,0.0
0.4028555,0.20517503,0.4214046,0.0,0.4138184,0.0
0.39989492,0.19811949,0.41850674,0.0,0.41094312,0.0
0.39692494,0.18986027,0.4156072,0.0,0.40808448,0.0
0.39394116,0.18046705,0.41270527,0.0,0.40523928,0.0
0.39093992,0.17001745,0.40979996,0.0,0.40240473,0.0
0.38791823,0.15859656,0.40689024,0.0,0.39957824,0.0
0.38487396,0.14629619,0.4039749,0.0,0.39675754,0.0
0.38180554,0.13321412,0.40105277,0.0,0.3939405,0.0
0.37871212,0.11945347,0.39812264,0.0,0.3911252,0.0
0.37559348,0.10512179,0.39518344,0.0,0.38830978,0.0
0.37245,0.09033025,0.3922341,0.0,0.38549253,0.0
0.3692825,0.07519278,0.38927367,0.0,0.38267192,0.0
0.36609247,0.059825223,0.3863015,0.0,0.37984654,0.0
0.3628817,0.044344418,0.3833169,0.0,0.37701508,0.0
0.35965243,0.028867332,0.38031954,0.0,0.37417644,0.0
0.35640728,0.013510043,0.37730917,0.0,0.37132967,0.0
0.35314927,-0.0016129137,0.3742859,0.0,0.36847398,0.0
0.34988156,-0.016389633,0.3712499,0.0,0.3656087,0.0
0.34660769,-0.03071159,0.3682017,0.0,0.36273348,0.0
0.3433313,-0.044474494,0.365142,0.0,0.35984805,0.0
0.34005624,-0.05757912,0.3620717,0.0,0.35695243,0.0
0.33678654,-0.06993189,0.35899192,0.0,0.35404676,0.0
0.3335262,-0.081445836,0.3559041,0.0,0.3511315,0.0
0.33027935,-0.092041045,0.35280973,0.0,0.34820718,0.0
0.3270501,-0.10164525,0.34971058,0.0,0.3452746,0.0
0.32384256,-0.110194586,0.34660855,0.0,0.34233478,0.0
0.3206608,-0.11763384,0.34350577,0.0,0.3393889,0.0
0.3175087,-0.12391689,0.34040442,0.0,0.33643833,0.0
0.31439012,-0.1290071,0.3373069,0.0,0.33348465,0.0
0.31130877,-0.13287751,0.33421564,0.0,0.3305295,0.0
0.30826807,-0.13551116,0.3311332,0.0,0.3275748,0.0
0.3052713,-0.13690095,0.32806212,0.0,0.32462248,0.0
0.30232146,-0.13704984,0.32500508,0.0,0.32167467,0.0
