Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.7638244,-5.7478957,-0.34383643,95.61063
2,0.7638244,-13.563174,-0.5153096,344.43942
3,0.7638244,-10.160884,-0.4098861,261.7124
4,0.7638244,-12.960791,-0.33425122,342.1203
5,0.83297217,-3.5658166,-0.11226732,48.763042
6,0.83297217,-12.6105,-0.25600463,213.68121
7,0.83297217,-15.966162,-0.47001794,577.85547
8,0.83297217,-10.421342,-0.4182212,321.46063
9,0.8432829,-11.258602,-0.40344483,296.9784
10,0.8432829,-9.878313,-0.2633828,204.40584
11,0.8432829,-11.249451,-0.45778605,367.22073
12,0.8432829,-6.087419,-0.22313948,155.46333
13,0.8432829,-12.272738,-0.42150062,446.5641
14,0.8432829,-6.2763157,-0.06083315,100.23455
15,0.8432829,-6.2763157,-0.13149723,116.753395
16,0.8432829,-5.8496547,-0.08592463,100.343254
17,0.8432829,-12.52578,-0.39813313,343.886
18,0.8432829,-6.1997027,-0.263585,176.9058
19,0.8432829,-6.848489,-0.108359516,80.07339
20,0.8432829,-7.17941,-0.044865254,95.07024
21,0.8432829,-10.343869,-0.2700029,243.93689
22,0.8432829,-6.152754,-0.18030274,142.01428
23,0.8432829,-6.289254,-0.103981525,90.078705
24,0.8432829,-7.924105,-0.15125948,159.72083
25,0.8432829,-5.493977,-0.17972246,135.89438
26,0.8432829,-8.2844515,-0.14583829,168.10596
27,0.8432829,-8.2844515,-0.04046146,123.95665
28,0.8432829,-16.036867,-0.34922382,456.61792
29,0.8432829,-13.869183,-0.36252972,417.6446
30,0.8432829,-24.307783,-0.5911483,862.1248
31,0.89673257,-10.179211,-0.26481056,195.83556
32,0.89673257,-20.640636,-0.5020157,697.3726
33,0.89673257,-12.462058,-0.16271351,231.6517
34,0.89673257,-6.9539976,-0.2665057,205.2052
35,0.89673257,-7.0351887,-0.24735449,180.67458
36,0.89673257,-8.655137,-0.31243065,279.7232
37,0.89673257,-8.232368,-0.35039866,260.4621
38,0.89673257,-6.3392744,0.0141418325,79.82077
39,0.89673257,-11.690773,-0.36931983,361.10474
40,0.89673257,-8.326494,-0.42059767,257.9592
41,0.89673257,-9.145687,-0.29893443,235.0554
42,0.89673257,-12.33131,-0.20596975,277.83572
43,0.89673257,-8.835979,-0.34724304,301.65967
44,0.89673257,-8.244972,-0.226499,164.62381
45,0.89673257,-16.908646,-0.35326043,404.64612
46,0.89673257,-13.930158,-0.2728009,330.78207
47,0.89673257,-10.026388,-0.22387873,184.78001
48,0.89673257,-10.01999,-0.20416321,203.22272
49,0.89673257,-8.991599,-0.120283134,143.79517
50,0.89673257,-14.153411,-0.17951998,287.72137
51,0.89673257,-16.862635,-0.48661968,538.1134
52,0.89673257,-9.097647,-0.42380852,303.8071
53,0.89673257,-9.097647,-0.15298763,190.8562
54,0.89673257,-7.048684,-0.010164167,98.90622
55,0.89673257,-11.1234,-0.45093083,392.83517
56,0.89673257,-39.094154,-0.7778912,1845.0763
57,0.89673257,-7.198879,-0.22461668,209.92563
58,0.89673257,-10.014767,-0.1720897,167.18399
59,0.89673257,-15.343226,-0.16797096,278.2838
60,0.89673257,-9.1742935,-0.07495165,125.690796
