neur0,input0,neur1,input1,neur2,input2
0.45806497,0.0,0.47693875,0.0,0.4901226,0.0
0.41551012,0.039989334,0.48286837,0.0,0.48147717,0.0
0.37716177,0.07991469,0.48727632,0.0,0.47371837,0.0
0.34315127,0.119712204,0.49037036,0.0,0.46671808,0.0
0.31338334,0.15931821,0.49234116,0.0,0.46036246,0.0
0.28761154,0.19866931,0.49335995,0.0,0.45455226,0.0
0.26550183,0.23770262,0.49357808,0.0,0.44920176,0.0
0.2466803,0.27635565,0.49312782,0.0,0.4442377,0.0
0.23076636,0.31456655,0.49212378,0.0,0.43959802,0.0
0.21739347,0.3522742,0.49066448,0.0,0.43523055,0.0
0.20622134,0.38941833,0.48883435,0.0,0.43109167,0.0
0.19694157,0.42593947,0.48670536,0.0,0.42714527,0.0
0.18927954,0.46177918,0.48433864,0.0,0.42336154,0.0
0.18299371,0.4968801,0.48178613,0.0,0.4197161,0.0
0.17787358,0.5311862,0.47909153,0.0,0.4161892,0.0
0.17373694,0.5646424,0.4762918,0.0,0.41276488,0.0
0.17042683,0.59719545,0.47341788,0.0,0.40943033,0.0
0.16780862,0.628793,0.4704957,0.0,0.4061755,0.0
0.16576704,0.65938467,0.46754676,0.0,0.40299246,0.0
0.16420375,0.68892145,0.46458894,0.0,0.39987507,0.0
0.16303486,0.7173561,0.46163684,0.0,0.3968186,0.0
0.16218892,0.7446431,0.45870245,0.0,0.3938196,0.0
0.16160515,0.7707389,0.45579532,0.0,0.39087534,0.0
0.16123185,0.7956016,0.45292306,0.0,0.387984,0.0
0.161025,0.8191916,0.45009163,0.0,0.38514417,0.0
0.16094717,0.84147096,0.44730544,0.0,0.3823549,0.0
0.16096649,0.8624042,0.4445677,0.0,0.3796155,0.0
0.1610558,0.88195777,0.4418806,0.0,0.37692544,0.0
0.16119201,0.90010047,0.43924537,0.0,0.37428442,0.0
0.16135535,0.9168031,0.43666244,0.0,0.37169206,0.0
0.16152896,0.9320391,0.43413165,0.0,0.36914805,0.0
0.16169845,0.94578403,0.43165228,0.0,0.366652,0.0
0.16185148,0.95801586,0.42922306,0.0,0.3642035,0.0
0.16197746,0.9687151,0.4268423,0.0,0.36180204,0.0
0.16206734,0.9778646,0.42450812,0.0,0.35944694,0.0
