neur0,input0,neur1,input1,neur2,input2
0.45966282,0.0,0.47002596,0.0,0.47789553,0.0
0.44033217,0.09726351,0.47094372,0.0,0.47151595,0.0
0.42204076,0.09726351,0.47145677,0.0,0.4654327,0.0
0.40479648,0.09726351,0.47159547,0.0,0.45962393,0.0
0.38859168,0.09726351,0.47138894,0.0,0.45406884,0.0
0.37340584,0.09726351,0.47086495,0.0,0.44874766,0.0
0.3592085,0.09726351,0.47004977,0.0,0.44364187,0.0
0.3459614,0.09726351,0.46896806,0.0,0.43873405,0.0
0.33362094,0.09726351,0.46764302,0.0,0.4340079,0.0
0.32213983,0.09726351,0.46609643,0.0,0.4294484,0.0
0.31146863,0.09726351,0.46434838,0.0,0.4250414,0.0
0.3015571,0.09726351,0.46241766,0.0,0.42077404,0.0
0.2923551,0.09726351,0.46032175,0.0,0.41663438,0.0
0.28381336,0.09726351,0.4580767,0.0,0.41261145,0.0
0.27588406,0.09726351,0.45569736,0.0,0.40869516,0.0
0.2685214,0.09726351,0.4531975,0.0,0.40487638,0.0
0.26168156,0.09726351,0.4505897,0.0,0.4011467,0.0
0.2553232,0.09726351,0.44788557,0.0,0.39749852,0.0
0.2494075,0.09726351,0.44509578,0.0,0.39392483,0.0
0.24389797,0.09726351,0.44223014,0.0,0.3904194,0.0
0.23876068,0.09726351,0.4392976,0.0,0.38697648,0.0
0.23396412,0.09726351,0.43630636,0.0,0.38359094,0.0
0.22947912,0.09726351,0.43326396,0.0,0.38025814,0.0
0.22527874,0.09726351,0.43017727,0.0,0.3769739,0.0
0.22133815,0.09726351,0.4270526,0.0,0.37373447,0.0
0.21763456,0.09726351,0.4238957,0.0,0.37053648,0.0
0.21414703,0.09726351,0.4207117,0.0,0.36737692,0.0
0.21085641,0.09726351,0.4175055,0.0,0.36425307,0.0
0.20774516,0.09726351,0.41428143,0.0,0.36116257,0.0
0.20479728,0.09726351,0.41104344,0.0,0.35810328,0.0
0.20199816,0.09726351,0.4077951,0.0,0.3550733,0.0
0.19933449,0.09726351,0.40453976,0.0,0.35207093,0.0
0.19679414,0.09726351,0.40128034,0.0,0.34909475,0.0
0.19436611,0.09726351,0.3980196,0.0,0.34614345,0.0
0.19204038,0.09726351,0.39476,0.0,0.34321588,0.0
0.18980785,0.09726351,0.39150375,0.0,0.34031105,0.0
0.18766026,0.09726351,0.38825285,0.0,0.33742806,0.0
0.18559015,0.09726351,0.38500917,0.0,0.3345662,0.0
0.18359074,0.09726351,0.3817743,0.0,0.33172482,0.0
0.18165587,0.09726351,0.3785498,0.0,0.32890335,0.0
0.17977999,0.09726351,0.37533697,0.0,0.3261013,0.0
0.17795809,0.09726351,0.37213707,0.0,0.3233183,0.0
0.17618561,0.09726351,0.36895114,0.0,0.320554,0.0
0.17445847,0.09726351,0.3657802,0.0,0.3178081,0.0
0.17277294,0.09726351,0.36262512,0.0,0.31508034,0.0
0.17112571,0.09726351,0.3594867,0.0,0.3123706,0.0
0.16951372,0.09726351,0.3563656,0.0,0.30967867,0.0
0.16793428,0.09726351,0.35326245,0.0,0.30700442,0.0
0.16638494,0.09726351,0.35017788,0.0,0.3043478,0.0
0.16486348,0.09726351,0.34711233,0.0,0.30170873,0.0
0.16336793,0.09726351,0.34406623,0.0,0.2990871,0.0
0.1618965,0.09726351,0.34103996,0.0,0.29648295,0.0
0.16044758,0.09726351,0.3380339,0.0,0.2938962,0.0
0.15901974,0.09726351,0.33504835,0.0,0.29132688,0.0
0.15761165,0.09726351,0.3320835,0.0,0.288775,0.0
0.15622218,0.09726351,0.3291396,0.0,0.2862405,0.0
0.15485027,0.09726351,0.32621682,0.0,0.28372344,0.0
0.15349498,0.09726351,0.32331535,0.0,0.2812238,0.0
0.15215549,0.09726351,0.3204353,0.0,0.2787417,0.0
0.15083103,0.09726351,0.31757677,0.0,0.276277,0.0
0.1495209,0.09726351,0.31473985,0.0,0.27382985,0.0
0.14822455,0.09726351,0.3119246,0.0,0.2714002,0.0
0.1469414,0.09726351,0.30913106,0.0,0.2689881,0.0
0.14567097,0.09726351,0.30635926,0.0,0.26659358,0.0
0.14441283,0.09726351,0.30360922,0.0,0.26421663,0.0
0.14316659,0.09726351,0.30088094,0.0,0.26185727,0.0
0.1419319,0.09726351,0.2981744,0.0,0.25951546,0.0
0.14070845,0.09726351,0.2954896,0.0,0.2571913,0.0
0.13949594,0.09726351,0.29282644,0.0,0.25488472,0.0
0.13829416,0.09726351,0.29018497,0.0,0.25259572,0.0
0.13710284,0.09726351,0.28756505,0.0,0.25032434,0.0
0.1359218,0.09726351,0.28496665,0.0,0.24807051,0.0
0.13475086,0.09726351,0.28238973,0.0,0.24583425,0.0
0.13358985,0.09726351,0.27983418,0.0,0.24361552,0.0
0.13243861,0.09726351,0.27729997,0.0,0.24141434,0.0
0.13129704,0.09726351,0.27478698,0.0,0.23923065,0.0
0.13016498,0.09726351,0.27229512,0.0,0.2370644,0.0
0.12904233,0.09726351,0.26982433,0.0,0.2349156,0.0
0.12792899,0.09726351,0.26737443,0.0,0.23278418,0.0
0.12682487,0.09726351,0.26494545,0.0,0.2306701,0.0
0.12572989,0.09726351,0.26253718,0.0,0.22857332,0.0
0.12464396,0.09726351,0.26014957,0.0,0.2264938,0.0
0.123567015,0.09726351,0.25778246,0.0,0.22443147,0.0
0.12249898,0.09726351,0.25543582,0.0,0.22238629,0.0
