neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4889707,0.0,0.5319022,0.0
0.46231958,0.09726351,0.48571414,0.0,0.52093965,0.0
0.463946,0.09726351,0.4827568,0.0,0.5110986,0.0
0.46412182,0.09726351,0.47999325,0.0,0.50228125,0.0
0.4631773,0.09726351,0.47734362,0.0,0.4943806,0.0
0.4613793,0.09726351,0.4747487,0.0,0.48728725,0.0
0.45894274,0.09726351,0.47216576,0.0,0.48089468,0.0
0.4560398,0.09726351,0.46956512,0.0,0.47510263,0.0
0.45280707,0.09726351,0.46692723,0.0,0.46981943,0.0
0.4493519,0.09726351,0.4642403,0.0,0.46496275,0.0
0.44575748,0.09726351,0.4614985,0.0,0.46046028,0.0
0.4420872,0.09726351,0.4587002,0.0,0.45624933,0.0
0.43838838,0.09726351,0.45584697,0.0,0.45227626,0.0
0.43469542,0.09726351,0.45294237,0.0,0.4484959,0.0
0.43103254,0.09726351,0.44999146,0.0,0.44487053,0.0
0.4274159,0.09726351,0.4469999,0.0,0.44136906,0.0
0.42385554,0.09726351,0.44397384,0.0,0.43796617,0.0
0.4203568,0.09726351,0.4409193,0.0,0.4346414,0.0
0.4169217,0.09726351,0.4378422,0.0,0.43137848,0.0
0.41354972,0.09726351,0.43474802,0.0,0.4281646,0.0
0.41023883,0.09726351,0.4316419,0.0,0.42498982,0.0
0.40698576,0.09726351,0.42852837,0.0,0.4218465,0.0
0.40378684,0.09726351,0.42541158,0.0,0.41872904,0.0
0.400638,0.09726351,0.42229506,0.0,0.41563308,0.0
0.3975352,0.09726351,0.41918197,0.0,0.41255575,0.0
0.39447448,0.09726351,0.41607496,0.0,0.40949494,0.0
0.39145216,0.09726351,0.41297632,0.0,0.40644932,0.0
0.38846493,0.09726351,0.40988794,0.0,0.40341806,0.0
0.38550976,0.09726351,0.40681148,0.0,0.4004008,0.0
0.382584,0.09726351,0.40374818,0.0,0.39739737,0.0
0.3796854,0.09726351,0.4006992,0.0,0.39440784,0.0
0.37681192,0.09726351,0.39766535,0.0,0.3914325,0.0
0.37396193,0.09726351,0.3946474,0.0,0.38847154,0.0
0.371134,0.09726351,0.3916459,0.0,0.38552538,0.0
0.36832708,0.09726351,0.3886613,0.0,0.38259438,0.0
0.36554012,0.09726351,0.385694,0.0,0.37967888,0.0
0.36277238,0.09726351,0.38274425,0.0,0.37677917,0.0
0.36002326,0.09726351,0.37981224,0.0,0.37389565,0.0
0.3572923,0.09726351,0.37689814,0.0,0.3710285,0.0
0.35457906,0.09726351,0.37400207,0.0,0.36817807,0.0
0.35188332,0.09726351,0.37112415,0.0,0.36534452,0.0
0.34920487,0.09726351,0.36826444,0.0,0.3625281,0.0
0.34654346,0.09726351,0.36542296,0.0,0.35972893,0.0
0.343899,0.09726351,0.36259976,0.0,0.35694718,0.0
0.34127152,0.09726351,0.35979486,0.0,0.35418293,0.0
0.33866084,0.09726351,0.35700822,0.0,0.3514363,0.0
0.33606693,0.09726351,0.3542399,0.0,0.34870735,0.0
