fitness,g0,g1
0.5775316,0.09751558,0.27172017
0.5732175,0.5188781,0.00244987
0.5735152,-0.97236156,-0.14467251
0.57402134,-0.7796763,-0.0573678
0.5802413,0.88606286,-0.15718889
0.5799096,-0.8478087,0.72750187
0.5777994,-0.10100865,-0.43834054
0.5801745,-0.74198425,0.2968222
0.57870656,0.013323188,-0.36031127
0.58018047,-0.86435616,0.47193706
0.579564,-0.47641277,0.7594204
0.5725601,0.7056395,0.42111194
0.5801743,0.93058825,-0.52649665
0.5800203,-0.9324105,0.6479298
0.5795565,-0.37644088,0.60757816
0.57234305,-0.90897155,-0.9270202
0.5793784,0.2994138,-0.6965531
0.5721541,-0.46704853,-0.48646593
0.5799798,0.58800435,-0.4348693
0.5793161,-0.3417573,0.884454
0.579714,0.73298967,-0.8674805
0.572559,-0.32708597,-0.054716468
0.57277083,-0.97454846,-0.48245537
0.5714737,0.43686748,0.96463954
0.5786055,-0.0050349236,-0.5858989
0.580112,-0.82019603,0.50317657
0.57222915,-0.5394474,-0.52361655
0.5776354,-0.15825427,-0.68732417
0.57867354,-0.0070929527,0.31657338
0.5797958,0.44481707,-0.45005512
0.5797688,0.64896464,-0.07286
0.57333267,-0.5554857,-0.041457772
0.57998216,-0.88954747,0.20867968
0.57918775,-0.17607749,0.60518026
0.57244116,0.636273,0.4527825
0.5777389,0.1528635,0.7231684
0.57972515,-0.4354689,0.51757073
0.5800145,0.5485655,-0.13061059
0.57826394,-0.0920831,-0.8301611
0.5796696,-0.6763247,0.85482144
0.57953733,0.31153214,-0.51101065
0.57923996,0.272763,-0.82812786
0.57788277,0.07404292,0.20378506
0.57245725,-0.61345243,-0.41886902
0.5784153,0.03750062,0.5030184
0.5796512,-0.70932674,0.9267367
0.5791245,-0.21858454,0.91867685
0.5798831,0.77291894,-0.69049287
0.572437,0.64962375,0.47120166
0.57994705,-0.6536975,0.18940413
0.57653487,-0.3118925,-0.98632574
0.5726412,0.5849848,0.27600956
0.58002114,0.855438,-0.19265723
0.57454294,-0.9489862,-0.023639083
0.5728507,-0.91143405,-0.38855696
0.57346797,-0.9064243,-0.18443763
0.57995796,0.50710416,-0.28564048
0.5798738,-0.81999767,0.7472273
0.57386756,0.31842732,0.88921094
0.5798025,-0.7354109,0.0051869154
0.57934624,-0.24571168,0.5964098
0.57217413,0.584731,0.6726724
0.57152724,-0.44943976,-0.9649297
0.57709527,-0.13736975,-0.4142313
0.5798863,-0.7370932,0.6660731
0.5740111,0.7770542,0.06534517
0.5800374,0.63534594,-0.16369927
0.57916874,-0.10480845,0.13468635
0.5791056,0.10926652,-0.008633494
0.5802042,-0.85127974,0.3935722
0.5778224,-0.17290616,-0.8969034
0.5800544,-0.7883357,0.24804533
0.5724391,0.9597187,0.88125205
0.57956564,-0.38277447,0.6076063
0.58002824,0.63134944,-0.42603588
0.57919633,-0.22678494,0.77267003
0.5785088,0.023362875,0.54925346
0.5797294,-0.3405906,0.2829709
0.5722023,0.6300777,0.7057748
0.57962054,0.6202363,-0.85144866
0.572636,0.4668535,0.17480075
0.5800145,-0.774686,0.24093473
0.572444,-0.5125463,-0.3166479
0.5723778,0.8856952,0.8950242
0.57235,-0.32801032,-0.10333502
0.57878894,0.028014898,-0.022844791
0.57910514,-0.12887228,0.54561305
0.57226974,-0.3190887,-0.11981702
0.579696,-0.7167299,0.86177695
0.5730789,0.8854346,0.26953948
0.57962596,0.67402184,-0.93349814
0.5717912,0.50458884,0.9033427
0.57986337,0.53750145,-0.5009384
0.57814443,-0.053591967,-0.18232477
0.57313895,0.5903293,0.09182823
0.57205784,-0.47051394,-0.5861491
0.57945436,0.21309876,-0.18140078
0.5768797,0.15805674,0.4797846
0.57756305,0.15558004,0.6539805
0.57901335,0.080889344,-0.02586639
