fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
0.5015796,-0.15912177,-0.41515708,0.23736618,0.22763787,0.9954807,-0.38366187,0.12482915,-0.5211445,0.77652544
-0.25085282,0.45034122,-0.08322624,0.04725945,-0.9007473,-0.55917203,0.26559362,0.16205059,0.60119057,-0.24088454
0.7700782,-0.34982237,0.5453844,0.41654447,0.35081697,-0.04571363,-0.46185774,-0.052595932,-0.09107091,0.679083
-0.26008826,0.06246171,-0.28760248,-0.35876396,-0.59617186,-0.6326219,0.6953049,0.037398797,0.535287,-0.37097213
0.51445377,-0.5628803,0.2825995,0.9922842,0.09630847,0.88432753,0.08101387,0.2089232,-0.51551753,0.015234351
-0.4027077,0.845209,0.07063111,-0.48662594,0.16893643,-0.38184068,-0.38249975,0.738807,0.48420778,-0.46286443
-0.45133102,-0.60644096,-0.01845577,-0.92986655,-0.33054137,0.3989657,-0.73522615,-0.3683379,-0.3769637,-0.4286517
0.63027626,0.6119336,0.9928396,0.24181777,0.83593625,-0.01430312,-0.11831384,0.15575428,-0.4383402,-0.51985735
-0.34086266,0.2806704,0.2881916,-0.4992026,-0.48933274,0.23672219,0.55201745,-0.030667908,0.71095675,0.24734855
0.025795367,0.48540646,0.38437027,0.35301536,-0.40118092,-0.24295774,0.1427961,-0.22876611,-0.3881192,-0.4342387
-0.21621671,-0.5947071,0.013590443,-0.057586744,0.915333,0.44031164,0.06734963,-0.37825286,0.8272595,-0.15271232
0.730321,-0.20822835,0.18016589,0.44304922,-0.3248576,-0.45888016,-0.08484457,-0.036995884,-0.15024057,0.13776743
0.8525435,0.29385203,0.4566861,0.50736016,-0.49951315,-0.14232065,-0.87663287,-0.25278127,-0.0074601825,-0.48081923
-0.30872744,0.48332894,0.231953,0.14582543,0.8116261,-0.43450588,-0.73360944,0.30395734,-0.06468058,-0.4043862
-6.7969255,0.3458221,-0.21094719,-0.38210952,0.4953439,0.84809583,-0.70288724,-0.52105635,0.26388493,0.8246737
-0.03868714,0.71366256,0.010761611,-0.7426044,-0.2211864,0.726374,0.071935296,0.3481393,-0.5911596,-0.08736646
-0.7040734,0.09055563,-0.126409,-0.72093064,0.882445,0.011710428,0.5641844,0.44226924,0.75597996,-0.20345652
0.08111166,-0.56774664,-0.22745799,0.20205966,-0.22941642,0.002115488,-0.0882475,0.63825005,-0.18192296,-0.21208905
0.20645702,-0.3489307,0.6791488,-0.36915034,-0.90117884,0.011543889,0.37376454,0.41290402,-0.6016194,-0.017483357
-0.19342178,-0.12819989,0.4580826,0.5701837,0.022520702,0.09134109,-0.82112193,-0.26043218,0.65739053,0.7620774
-0.080550954,-0.47047725,0.40194786,0.4194079,-0.22472075,0.12806483,0.50617266,0.34208784,-0.27112207,0.6477405
0.093094215,-0.79340905,0.355876,0.78428507,0.45438066,0.15308948,-0.7043351,-0.356787,0.028547414,0.2048154
