neur0,input0,neur1,input1,neur2,input2
0.45982024,0.0,0.45719537,0.0,0.45206925,0.0
0.41203538,0.039989334,0.40828907,0.0,0.44256184,0.0
0.36447012,0.07991469,0.36259022,0.0,0.4337869,0.0
0.31753492,0.119712204,0.32054657,0.0,0.4257015,0.0
0.27158552,0.15931821,0.2823627,0.0,0.41825485,0.0
0.22691792,0.19866931,0.24805067,0.0,0.41139242,0.0
0.18376754,0.23770262,0.21748328,0.0,0.40505883,0.0
0.14231184,0.27635565,0.19044207,0.0,0.3991999,0.0
0.10267514,0.31456655,0.16665609,0.0,0.3937643,0.0
0.064934835,0.3522742,0.14583069,0.0,0.38870418,0.0
0.029128393,0.38941833,0.1276676,0.0,0.3839758,0.0
-0.004739763,0.42593947,0.111878134,0.0,0.37953946,0.0
-0.036691632,0.46177918,0.098190814,0.0,0.37535957,0.0
-0.06676971,0.4968801,0.08635571,0.0,0.37140444,0.0
-0.09503177,0.5311862,0.076146,0.0,0.36764592,0.0
-0.12154648,0.5646424,0.06735805,0.0,0.36405924,0.0
-0.14638974,0.59719545,0.05981043,0.0,0.3606226,0.0
-0.1696418,0.628793,0.053342525,0.0,0.35731694,0.0
-0.19138487,0.65938467,0.047812715,0.0,0.3541255,0.0
-0.21170142,0.68892145,0.043096606,0.0,0.35103372,0.0
-0.2306728,0.7173561,0.039085194,0.0,0.34802893,0.0
-0.24837828,0.7446431,0.035683192,0.0,0.34510013,0.0
-0.2648943,0.7707389,0.032807436,0.0,0.34223777,0.0
-0.2802942,0.7956016,0.03038545,0.0,0.3394336,0.0
-0.29464772,0.8191916,0.02835415,0.0,0.33668044,0.0
-0.308021,0.84147096,0.026658693,0.0,0.3339722,0.0
-0.3204766,0.8624042,0.025251448,0.0,0.3313035,0.0
-0.33207327,0.88195777,0.024091084,0.0,0.32866985,0.0
-0.3428665,0.90010047,0.023141766,0.0,0.32606727,0.0
-0.35290816,0.9168031,0.022372467,0.0,0.3234925,0.0
-0.36224708,0.9320391,0.02175634,0.0,0.32094267,0.0
-0.37092882,0.94578403,0.021270169,0.0,0.3184153,0.0
-0.3789963,0.95801586,0.020893926,0.0,0.3159084,0.0
-0.38648957,0.9687151,0.020610325,0.0,0.3134202,0.0
-0.39344618,0.9778646,0.020404482,0.0,0.31094927,0.0
-0.3999014,0.98544973,0.020263597,0.0,0.30849433,0.0
-0.40588823,0.99145836,0.02017667,0.0,0.30605438,0.0
-0.4114377,0.99588084,0.020134276,0.0,0.3036286,0.0
-0.4165789,0.99871016,0.020128347,0.0,0.30121627,0.0
-0.42133927,0.9999417,0.020151999,0.0,0.29881683,0.0
-0.42574447,0.9995736,0.020199362,0.0,0.2964298,0.0
-0.4298188,0.9976064,0.020265453,0.0,0.29405487,0.0
-0.4335851,0.99404323,0.020346055,0.0,0.29169166,0.0
-0.4370649,0.98888975,0.02043761,0.0,0.28934002,0.0
-0.44027847,0.9821543,0.020537127,0.0,0.2869998,0.0
-0.44324505,0.9738476,0.020642113,0.0,0.2846708,0.0
-0.4459828,0.963983,0.020750493,0.0,0.28235298,0.0
-0.4485089,0.9525762,0.020860557,0.0,0.28004634,0.0
-0.45083955,0.93964547,0.020970913,0.0,0.2777508,0.0
-0.4529901,0.92521155,0.02108043,0.0,0.27546635,0.0
-0.45497516,0.9092974,0.021188214,0.0,0.27319303,0.0
-0.45680845,0.8919287,0.021293564,0.0,0.27093086,0.0
-0.45850298,0.873133,0.021395942,0.0,0.2686799,0.0
-0.46007115,0.85294056,0.021494957,0.0,0.26644012,0.0
-0.4615246,0.8313835,0.021590337,0.0,0.26421165,0.0
-0.46287438,0.80849636,0.021681912,0.0,0.26199448,0.0
-0.46413094,0.78431594,0.021769596,0.0,0.2597887,0.0
-0.4653041,0.75888073,0.02185337,0.0,0.2575943,0.0
-0.4664032,0.7322315,0.021933278,0.0,0.2554114,0.0
-0.46743688,0.70441085,0.022009408,0.0,0.25324,0.0
-0.46841344,0.67546326,0.022081893,0.0,0.25108013,0.0
