Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.7652307,-11.348961,-0.66980445,242.08855
2,0.7652307,-14.267435,-0.6984378,446.0066
3,0.7652307,-6.5425305,-0.29238933,92.980804
4,0.7652307,-7.897192,-0.18106663,80.79068
5,0.7652307,-6.9249535,-0.28773004,147.51799
6,0.7652307,-8.456557,-0.32694876,187.30876
7,0.7652307,-6.751485,-0.21729976,117.963425
8,0.7652307,-27.812292,-0.34704578,811.70636
9,0.77080363,-27.812292,-0.5475639,1014.97595
10,0.84158933,-12.057561,-0.17285724,208.16977
11,0.84158933,-12.057561,-0.17262065,247.90837
12,0.84158933,-5.2975826,-0.20687935,119.602936
13,0.84158933,-20.908392,-0.62247,763.39215
14,0.84158933,-10.001784,-0.48568067,432.5863
15,0.84158933,-8.768213,-0.4451162,347.07364
16,0.84158933,-4.546566,-0.12934336,99.77526
17,0.84158933,-4.2108793,-0.0157783,63.142162
18,0.84158933,-13.78259,-0.30634347,313.97217
19,0.84158933,-6.0530314,-0.11581997,84.02728
20,0.84158933,-8.563464,-0.10974327,118.23135
21,0.84158933,-8.563464,-0.09277791,107.232704
22,0.84158933,-6.4973235,-0.021215308,79.22868
23,0.84158933,-13.048738,-0.16150135,259.11627
24,0.84158933,-8.401818,-0.25523567,237.01192
25,0.84158933,-12.188061,-0.27089557,296.15903
26,0.84158933,-12.188061,-0.3834257,353.63223
27,0.84158933,-6.314462,-0.19435894,131.80386
28,0.84158933,-9.5709915,-0.35998926,265.84656
29,0.84158933,-11.076598,-0.379052,265.2572
30,0.84158933,-20.073906,-0.5689633,572.4747
31,0.84158933,-7.061935,-0.19675153,119.40718
32,0.84158933,-7.497663,-0.4110569,265.68436
33,0.84158933,-12.934979,-0.48153436,485.77798
34,0.84158933,-8.060546,-0.21595207,167.95303
35,0.84158933,-14.525285,-0.35904512,368.36316
36,0.84158933,-14.525285,-0.17132996,269.82996
37,0.84158933,-17.689243,-0.27402493,470.76764
38,0.84158933,-11.425935,-0.24335568,259.8049
39,0.84158933,-15.32439,-0.37685752,418.46176
40,0.84158933,-8.101299,-0.115714066,155.80415
41,0.84158933,-12.015426,-0.40767998,323.0345
42,0.84158933,-8.021242,-0.19664355,185.75412
43,0.84158933,-10.199691,-0.277847,225.57939
44,0.84158933,-10.7050085,-0.24592957,234.06825
45,0.84158933,-5.208476,-0.060484882,88.48122
46,0.84158933,-8.360039,-0.25623533,179.71426
47,0.84158933,-8.830697,-0.38807613,256.46616
48,0.84158933,-11.566928,-0.3116696,329.47125
49,0.84158933,-12.1119175,-0.15924,280.50217
50,0.84158933,-3.0239663,0.05866802,39.993286
51,0.84158933,-5.92347,-0.1020691,99.86238
52,0.84158933,-8.820349,-0.27307782,193.39342
53,0.84158933,-13.797621,-0.49036044,494.95425
54,0.84158933,-14.764052,-0.35415736,363.94626
55,0.84158933,-4.170961,-0.1272458,89.52079
56,0.84158933,-11.520655,-0.22014019,235.73283
57,0.84158933,-4.688175,-0.045008637,78.04304
58,0.84158933,-8.101914,-0.09701232,133.79605
59,0.84158933,-14.682777,-0.17819673,315.32825
60,0.84158933,-11.458238,-0.0749808,202.34117
61,0.84158933,-3.0139,0.010188261,44.998386
62,0.84158933,-7.2347193,-0.23674881,164.102
63,0.84158933,-3.2532532,-0.05374242,56.10398
64,0.84158933,-6.331586,-0.08828449,89.07208
65,0.84158933,-15.658569,-0.4147135,488.07098
66,0.84158933,-12.223821,-0.19803095,230.21588
67,0.84158933,-6.292103,-0.04106751,105.48741
68,0.84158933,-8.251723,-0.1408531,170.53745
69,0.84158933,-8.251723,-0.29547846,223.10104
70,0.84158933,-8.251723,-0.14666043,155.39616
71,0.84158933,-11.531007,-0.13808893,215.18283
72,0.84158933,-20.53555,-0.1761344,450.5783
73,0.84158933,-3.314418,-0.013740193,50.45047
74,0.84158933,-6.311826,-0.13620722,86.79865
75,0.84158933,-2.8658242,-0.033156887,55.117428
76,0.84158933,-13.996903,-0.20855081,268.94757
77,0.84158933,-9.7904825,-0.2001885,169.83188
78,0.84158933,-17.669289,-0.4057832,502.50623
79,0.84158933,-15.0305,-0.3901067,334.40744
80,0.84158933,-15.0305,-0.32188943,456.8966
81,0.84158933,-18.365707,-0.24989124,459.12753
82,0.84158933,-3.3341787,-0.0131643405,47.067944
83,0.84158933,-5.360461,-0.06228753,89.24966
