fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
0.1065599,-0.90760547,0.2757202,0.0028734966,0.6393707,0.05349636,-0.28760043,0.30363178,-0.007926838,-0.449854
-0.1839994,-0.031092048,0.035760667,0.055420995,-0.40065902,0.376907,0.12682147,0.12066662,0.29463097,0.08160864
0.8224199,-0.5633352,0.34131712,0.3342533,-0.617193,0.43635875,-0.8159201,-0.03977093,-0.07325511,-0.5121637
-0.18190998,-0.4783913,-0.12219155,0.32863426,-0.59018576,0.50897986,0.5661729,-0.30837095,-0.43715897,0.1499389
-0.6491021,-0.22035466,-0.8743756,0.25955534,0.5107837,-0.13758205,-0.17706595,0.12748113,0.12117178,0.851934
-0.3700278,0.42705956,0.41914755,0.026093848,-0.6329403,-0.52417797,-0.64030623,0.42119634,-0.06614678,0.74283016
-0.20334592,-0.37087598,-0.014468285,0.23666751,0.032400467,-0.19973174,0.09970415,-0.2582854,0.4453584,0.93080294
-1.9226466,-0.11902833,-0.5955512,0.5991313,-0.1952438,0.3664719,0.23031272,-0.1501085,0.02160215,0.20242596
0.7204413,0.5260477,-0.33952808,0.55221343,-0.3660916,-0.17592539,-0.85437334,-0.22507079,-0.11203769,-0.67359185
-0.09936918,-0.042931616,-0.6176074,-0.22070883,0.74686617,0.8596702,-0.7697018,-0.20304872,-0.9417623,0.06636255
-0.11231729,0.9265625,-0.29412273,0.53913736,-0.053523395,-0.046692252,-0.7691153,-0.15361787,0.14906019,-0.016781785
0.13880008,-0.18162435,0.2184863,-0.17142689,0.40486887,-0.65454763,-0.35403976,0.1254567,-0.22109064,0.09816002
-7.5409746,-0.054671407,-0.57294196,-0.59767133,-0.21455799,-0.94586074,-0.034572124,0.19981097,0.062077068,0.7930828
-0.29446858,-0.8231959,0.23209363,0.14487202,-0.5691696,0.073318325,0.010553936,0.37386423,0.65477383,-0.9969946
0.15888451,0.061359406,0.43441835,-0.87784433,-0.076622725,0.42554283,-0.47389153,0.50214636,-0.4914262,-0.42495304
0.8702793,0.2262124,-0.5720747,-0.104337424,-0.8870352,0.18525487,-0.06940782,0.46647245,-0.5586914,0.28607243
0.683441,-0.56361806,-0.14882706,0.54159695,-0.49481827,-0.25639805,-0.707981,-0.06496581,-0.15958811,-0.26647383
0.38866913,0.047392935,0.8702612,0.6365675,0.017755628,-0.8291507,0.2401334,0.09028878,-0.4630898,-0.010225411
0.29467535,0.25604376,0.41496927,0.26122802,0.9894326,-0.0790651,0.25691274,0.22737227,-0.3325605,-0.7130743
0.83019537,0.18219453,0.4816706,-0.32911122,-0.98083574,0.30253053,-0.012266014,0.32140574,-0.4654659,-0.38727945
0.07873147,0.25444865,-0.25382677,-0.23633134,0.100572936,0.38332877,-0.5996931,-0.41313002,-0.38803235,0.07504714
0.17806573,-0.11585832,-0.9298113,-0.331542,0.30823776,0.16202538,-0.043900013,0.35544145,-0.8502515,0.9248572
0.3331583,0.6137119,-0.33639023,0.58446085,0.33029857,0.96916294,0.011912668,0.040947407,-0.78147155,0.06580645
0.6951152,0.33096075,-0.62493503,-0.20038025,0.3250116,0.08604422,-0.7562849,0.1289681,-0.047165155,-0.10850172
0.6101169,0.31015992,0.0632211,-0.9633974,-0.61825,0.13250014,-0.11031094,0.60139537,-0.7276258,-0.20461726
0.4392213,0.5777633,-0.14166653,0.60760075,0.2746597,0.08271098,-0.6109647,0.22986564,-0.49833906,-0.06716252
0.8736344,0.5105285,-0.56173354,-0.12700035,-0.45455992,-0.73383623,-0.58522886,-0.10485958,-0.10391981,0.20359156
-0.7251497,0.240323,-0.61594355,-0.52547604,0.73610187,-0.2722291,-0.26079243,-0.56434983,0.07172431,0.12694415
0.22018646,0.22777386,0.060174428,0.2704259,0.9155485,0.4156512,0.1673321,-0.05743001,-0.6675363,0.026458403
0.12742263,0.7321085,-0.4548137,-0.17378068,-0.27808025,-0.15392633,0.6425407,-0.07026278,-0.63819283,-0.25809342
-0.23380163,0.20370826,-0.57513344,0.5155498,0.3590057,0.31006038,-0.6499209,0.8293518,0.12386208,-0.036245532
0.6171794,-0.071063824,-0.8786022,0.14845973,-0.32176024,0.23528624,0.44324467,0.09465158,-0.2940178,0.34857076
0.4358585,0.09298973,-0.2261728,-0.64603144,0.81152654,-0.32935163,0.42868608,0.022981605,-0.16033134,0.78789157
0.14288604,0.1702807,-0.6141602,-0.3419023,0.575368,-0.87859374,0.5279517,0.08457315,-0.15477318,-0.37402946
-0.20521364,-0.4449488,0.081329025,0.51876587,0.29366344,-0.115163095,-0.102727026,0.2890594,0.42740908,0.19121546
0.012447677,-0.7148252,0.42957777,-0.13800564,-0.09295054,-0.28048325,-0.283675,0.0776255,0.0022245646,-0.32388923
0.79471743,-0.39931327,-0.3022424,0.7159821,-0.07835403,-0.36204755,-0.9816299,-0.1164845,-0.1228652,0.24731068
-4.3451266,-0.83837295,0.11619079,0.1874269,0.08699795,-0.62357897,0.34249547,0.51996815,0.27355537,0.5171716
-0.21815512,-0.3569613,0.28385296,-0.19293885,0.065920494,-0.14907959,0.047071736,-0.2421604,0.27491927,0.34512663
-0.17697625,0.86001015,-0.23741494,0.67124826,0.4905898,-0.31974587,-0.7892143,-0.11848819,0.5169811,-0.013777964
-0.08598982,-0.7602431,-0.92714745,0.7641938,0.18977158,-0.78758997,0.27813533,0.18786776,-0.15251076,-0.28240663
-1.3525907,-0.0613064,0.41280568,-0.7705981,-0.15288864,-0.4388055,0.10034554,-0.97616255,0.6126654,0.5669132
0.81710124,-0.010749485,-0.37947017,-0.010125112,-0.8819731,0.46166986,-0.5514021,-0.15649164,0.10562813,0.90069294
-0.24625228,0.08312148,0.0024573803,0.21085173,0.014358387,0.090428114,0.14328499,-0.1920605,0.012055028,0.5507056
0.32293713,0.101244815,-0.066965036,0.7147285,0.63831896,0.84524846,-0.6731637,0.09201645,-0.8754315,0.5828706
-2.8583405,0.2602847,0.49454463,0.602731,-0.19437163,0.084700316,-0.016872609,-0.54178643,0.2514863,0.3803457
0.36308625,-0.017224908,0.568895,-0.06328882,-0.42479703,-0.18852198,0.082316704,-0.07164852,-0.332341,-0.30014136
0.65203065,0.88150716,-0.6275759,0.15720932,0.33818236,-0.8407132,-0.1877323,-0.027773852,-0.18183208,0.034852777
-0.41373932,0.70533067,0.4016584,-0.8186282,0.8023983,0.095477015,0.3745684,0.63662744,0.21977872,-0.21170777
0.4475761,0.057623547,0.14739294,0.528022,-0.0803931,-0.3180254,0.46670762,-0.011084437,-0.35123128,0.74110055
0.5707828,0.29328138,0.2035688,-0.34270895,0.792916,0.0972037,-0.6691753,-0.118270345,-0.095183015,-0.23199037
-4.6882243,0.641057,0.92294735,0.10737407,0.27344492,-0.32176304,0.03896949,-0.745355,0.25783944,-0.43421555
0.4866862,0.33652186,-0.62995315,-0.2522854,0.30871242,-0.8755792,-0.69078535,-0.05483991,-0.08713612,0.4295626
0.26716575,-0.54021543,0.78889984,0.21789259,0.38382083,0.79701203,-0.95011944,0.38086808,-0.97297776,0.13046324
0.038770843,0.15230906,0.17447281,-0.221474,-0.0862436,0.48472223,0.69366807,0.007162744,-0.99273086,0.4183669
-0.8176046,0.37624118,0.7608818,-0.6366956,-0.32619646,-0.041760605,0.081510216,-0.49878043,0.13735521,0.5233487
0.8031766,-0.76696837,-0.09165969,0.84166837,0.1913938,-0.13800943,-0.7875366,0.016286286,-0.05916386,-0.047368523
-0.33642006,-0.9906518,0.11881071,0.19233704,0.5442879,-0.37926215,-0.4780537,0.48793286,0.8744062,-0.47349972
-0.16595651,0.6437963,-0.19702816,0.81466556,0.88600606,-0.18045987,0.49468818,0.3938522,0.071421504,-0.56782407
-0.2077207,0.58880395,-0.03528746,0.083238035,0.41696408,0.34158817,-0.5832974,0.2785915,0.32868522,-0.75895756
-0.21140337,0.79170704,0.7293597,-0.4225704,0.18825698,0.6274047,0.26566404,-0.081606776,0.48159474,0.46438003
-0.24189073,-0.7158203,-0.09851365,0.2803033,0.10828038,0.34305573,0.28113174,-0.025200998,0.77475363,-0.14452142
-1.0824624,-0.52602583,-0.32695168,-0.19759277,0.32072845,0.17862058,0.111055,0.45861575,-0.8505621,-0.70659745
0.66084266,0.07558928,0.4508321,0.12398278,-0.29254672,0.13181567,0.12477195,0.04357493,-0.091304936,-0.45284453
0.8490037,-0.008681243,-0.50326633,-0.11800872,-0.7659324,-0.26326138,-0.48488736,-0.31443512,0.042664126,-0.39281246
-0.16433275,0.69153655,-0.999428,-0.7599917,0.3920855,-0.2741273,0.020749258,-0.14037897,0.24975634,-0.7640089
-0.1317885,-0.85424125,-0.15832677,0.7759793,0.18780243,-0.114783004,0.5375194,0.1987151,-0.038157187,-0.53110456
-0.25772464,0.45683393,0.38386407,-0.57703865,-0.18172085,0.59732294,-0.16684416,-0.06639404,0.5382558,0.33123073
-0.19341433,-0.46725485,0.52590793,0.8380448,0.54813683,0.21472383,0.85260123,-0.3478481,0.8125206,-0.3183459
-0.22406314,-0.06950657,0.1583282,0.5189326,0.034407258,0.06353662,0.11607921,-0.35049886,-0.13207626,-0.6289773
-0.19079565,0.4109981,-0.6568421,0.4476497,-0.65585005,0.2590927,0.23063757,0.097462654,0.44162062,-0.6504883
0.8074799,-0.6870877,-0.89738595,0.17338097,-0.4560868,0.113856085,-0.20373411,-0.10218535,0.0022785892,0.2307735
-0.24256289,-0.0014190467,-0.52715933,0.010797033,-0.57481176,-0.2719338,0.85485554,0.7671076,-0.06347978,-0.05765904
-0.460391,-0.015505944,-0.018347077,-0.5941256,-0.35397556,-0.56809217,0.4581963,0.5056617,0.60484433,0.5336719
0.26251414,-0.08704472,0.3014002,-0.15496752,-0.44657052,0.14400396,0.3129912,0.3742721,-0.55808467,0.64825356
0.39202455,-0.6608172,-0.55691034,-0.53925204,0.25694802,0.86486924,0.03646932,0.15905906,-0.26180765,0.08373454
0.8417037,0.6840154,-0.6457863,-0.72803295,-0.46576297,0.40853345,-0.46545327,0.7681339,-0.76753235,0.4794234
-1.7103482,0.41632354,0.16777371,0.22981463,-0.5901873,-0.025817575,-0.044936538,-0.7551942,-0.061287925,-0.74988973
0.18907778,-0.39014074,0.6235206,0.39719364,0.2959826,-0.32769394,-0.16835964,-0.08841153,-0.08534029,-0.01197371
0.47048852,-0.6534168,0.62774473,-0.53396416,-0.10343978,0.41861293,-0.07578169,0.30857664,-0.6683889,-0.28848827
-0.28327167,0.18052953,-0.09037883,-0.4794917,-0.02181485,-0.39163375,0.6725594,-0.32670033,-0.8236808,0.5266967
-0.2003191,0.47293508,-0.3907841,0.4572562,0.4713221,0.14188404,0.7905108,-0.21597931,0.70848125,-0.37336048
-0.20258513,0.35390654,-0.0872914,0.02045862,-0.26080742,-0.7516065,0.5101542,2.3824046E-4,0.48796198,-0.6804561
0.4712762,-0.26706505,-0.11770961,0.78621376,-0.33307233,0.31113338,-0.41884816,0.09850758,-0.3210413,-0.82666516
