neur0,input0,neur1,input1,neur2,input2
0.4605182,0.0,0.41207716,0.0,0.4556116,0.0
0.45079672,0.042482723,0.32439086,0.0,0.44527966,0.0
0.4413129,0.084965445,0.24094258,0.0,0.43588257,0.0
0.4320833,0.12744817,0.16376474,0.0,0.42737055,0.0
0.42312276,0.16993089,0.09395973,0.0,0.41967624,0.0
0.41444412,0.21241362,0.031868547,0.0,0.41272363,0.0
0.40605816,0.25489634,-0.022697447,0.0,0.4064351,0.0
0.39797342,0.29737905,-0.07024277,0.0,0.40073562,0.0
0.39019653,0.33986178,-0.111425735,0.0,0.39555544,0.0
0.38273203,0.3823445,-0.1469508,0.0,0.39083114,0.0
0.37558278,0.42482725,-0.17750473,0.0,0.38650605,0.0
0.36874998,0.46730998,-0.20372345,0.0,0.38252994,0.0
0.36199647,0.44266793,-0.22614951,0.0,0.3788583,0.0
0.35526296,0.40018523,-0.24525504,0.0,0.3754517,0.0
0.34855422,0.35770252,-0.2614525,0.0,0.3722754,0.0
0.34187427,0.31521976,-0.27510002,0.0,0.36929855,0.0
0.3352266,0.27273706,-0.28650728,0.0,0.366494,0.0
0.328614,0.23025435,-0.29594198,0.0,0.36383766,0.0
0.32203886,0.18777159,-0.3036355,0.0,0.36130816,0.0
0.31550306,0.14528888,-0.30978832,0.0,0.35888663,0.0
0.30900818,0.10280618,-0.31457457,0.0,0.35655627,0.0
0.3025553,0.060323473,-0.3181459,0.0,0.3543021,0.0
0.2961452,0.01784071,-0.32063487,0.0,0.3521109,0.0
0.28996184,0.024642054,-0.3221786,0.0,0.34997103,0.0
0.28413332,0.06712476,-0.3229125,0.0,0.34787259,0.0
0.2786499,0.109607466,-0.32295603,0.0,0.3458071,0.0
0.27350166,0.15209018,-0.32241455,0.0,0.3437674,0.0
0.26867852,0.19457288,-0.3213813,0.0,0.34174752,0.0
0.26417014,0.23705558,-0.31993896,0.0,0.33974248,0.0
0.2599663,0.2795383,-0.31816086,0.0,0.33774817,0.0
0.2560567,0.32202113,-0.31611204,0.0,0.33576134,0.0
0.2524311,0.36450383,-0.31385022,0.0,0.33377942,0.0
0.24907939,0.40698653,-0.3114265,0.0,0.33180046,0.0
0.2459916,0.44946924,-0.30888614,0.0,0.32982308,0.0
0.24303778,0.4605087,-0.30625534,0.0,0.32784623,0.0
0.24000803,0.418026,-0.3035339,0.0,0.3258688,0.0
0.23690523,0.37554318,-0.30072203,0.0,0.3238898,0.0
0.23373221,0.33306047,-0.29782012,0.0,0.32190818,0.0
0.23049162,0.29057777,-0.29482886,0.0,0.31992292,0.0
0.22718604,0.24809507,-0.29174927,0.0,0.31793302,0.0
0.2238179,0.20561236,-0.28858235,0.0,0.31593758,0.0
0.22038957,0.16312966,-0.28532952,0.0,0.3139356,0.0
0.21690328,0.120646946,-0.2819921,0.0,0.31192628,0.0
0.21336123,0.07816412,-0.27857172,0.0,0.30990863,0.0
0.20976546,0.03568142,-0.27506995,0.0,0.30788183,0.0
0.20617087,0.0068011754,-0.27149475,0.0,0.30584517,0.0
0.20285533,0.049284108,-0.26788574,0.0,0.30379838,0.0
0.1998079,0.09176681,-0.2642776,0.0,0.30174163,0.0
0.19701792,0.13424952,-0.26070055,0.0,0.29967543,0.0
0.19447505,0.17673223,-0.25718072,0.0,0.2976006,0.0
0.19216928,0.21921493,-0.25374067,0.0,0.2955182,0.0
0.19009088,0.26169765,-0.2503996,0.0,0.29342952,0.0
0.18823048,0.30418035,-0.24717371,0.0,0.2913361,0.0
0.18657908,0.34666306,-0.24407668,0.0,0.28923947,0.0
0.18512794,0.38914576,-0.24111968,0.0,0.28714147,0.0
0.18386874,0.43162847,-0.23831186,0.0,0.28504387,0.0
0.18279342,0.47411117,-0.23566043,0.0,0.28294855,0.0
0.18157718,0.43586677,-0.23313317,0.0,0.28085706,0.0
0.18020932,0.39338407,-0.2306997,0.0,0.27877042,0.0
0.17869632,0.35090113,-0.2283334,0.0,0.2766894,0.0
0.1770443,0.30841842,-0.226011,0.0,0.27461448,0.0
0.17525919,0.26593572,-0.22371216,0.0,0.27254587,0.0
0.17334662,0.22345302,-0.2214193,0.0,0.27048355,0.0
0.171312,0.1809703,-0.21911721,0.0,0.26842737,0.0
0.1691605,0.13848759,-0.21679279,0.0,0.2663769,0.0
0.16689706,0.09600489,-0.21443485,0.0,0.26433176,0.0
0.16452643,0.053522184,-0.21203388,0.0,0.2622913,0.0
0.16205311,0.011039477,-0.20958184,0.0,0.26025486,0.0
0.15973039,0.03144323,-0.20710208,0.0,0.25822204,0.0
0.1576396,0.073925935,-0.20462535,0.0,0.25619283,0.0
0.15577115,0.11640864,-0.20217824,0.0,0.2541676,0.0
0.15411581,0.15889135,-0.19978353,0.0,0.25214684,0.0
0.15266466,0.20137428,-0.19746065,0.0,0.25013146,0.0
0.15140916,0.24385698,-0.195226,0.0,0.24812247,0.0
0.1503411,0.2863397,-0.19309331,0.0,0.24612103,0.0
0.14945255,0.3288224,-0.19107403,0.0,0.24412845,0.0
0.148736,0.3713051,-0.18917741,0.0,0.24214609,0.0
0.14818421,0.4137878,-0.18741094,0.0,0.24017544,0.0
0.14779024,0.45627052,-0.1857804,0.0,0.238218,0.0
0.14736843,0.45370743,-0.18426846,0.0,0.23627503,0.0
0.14676161,0.41122472,-0.18284035,0.0,0.23434742,0.0
0.14597805,0.36874202,-0.18146586,0.0,0.23243557,0.0
0.14502564,0.32625932,-0.18011893,0.0,0.23053959,0.0
0.14391193,0.28377658,-0.17877701,0.0,0.22865932,0.0
0.14264412,0.24129389,-0.17742078,0.0,0.22679433,0.0
0.1412291,0.19881095,-0.1760338,0.0,0.22494403,0.0
0.13967337,0.15632825,-0.17460205,0.0,0.22310764,0.0
