neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4889707,0.0,0.5319022,0.0
0.46196058,0.042482723,0.4856922,0.0,0.5209365,0.0
0.4635568,0.084965445,0.48271233,0.0,0.5110893,0.0
0.46398312,0.12744817,0.47994298,0.0,0.5022659,0.0
0.4635314,0.16993089,0.47731835,0.0,0.49436367,0.0
0.46243736,0.21241362,0.4747906,0.0,0.4872793,0.0
0.46089017,0.25489634,0.4723261,0.0,0.4809126,0.0
0.45904046,0.29737905,0.46990237,0.0,0.47517,0.0
0.4570069,0.33986178,0.4675057,0.0,0.46996614,0.0
0.4548817,0.3823445,0.46512878,0.0,0.4652251,0.0
0.4527353,0.42482725,0.46276918,0.0,0.46088025,0.0
0.45062056,0.46730998,0.46042794,0.0,0.4568741,0.0
0.44812918,0.44266793,0.45808014,0.0,0.45315328,0.0
0.44522852,0.40018523,0.45570034,0.0,0.44966805,0.0
0.44200292,0.35770252,0.4532698,0.0,0.44637302,0.0
0.43851984,0.31521976,0.45077518,0.0,0.44322765,0.0
0.43483254,0.27273706,0.44820726,0.0,0.44019604,0.0
0.4309828,0.23025435,0.44556007,0.0,0.43724704,0.0
0.427003,0.18777159,0.44283,0.0,0.43435374,0.0
0.42291772,0.14528888,0.44001523,0.0,0.43149328,0.0
0.41874552,0.10280618,0.43711525,0.0,0.42864642,0.0
0.41449994,0.060323473,0.4341305,0.0,0.42579705,0.0
0.41019067,0.01784071,0.43106186,0.0,0.4229318,0.0
0.40616745,0.024642054,0.4279332,0.0,0.42004347,0.0
0.4026375,0.06712476,0.4247805,0.0,0.41713196,0.0
0.39952976,0.109607466,0.42163312,0.0,0.414202,0.0
0.39678267,0.15209018,0.41851458,0.0,0.41126156,0.0
0.3943439,0.19457288,0.4154437,0.0,0.4083203,0.0
0.39216948,0.23705558,0.41243517,0.0,0.40538883,0.0
0.3902227,0.2795383,0.4095004,0.0,0.4024779,0.0
0.38847345,0.32202113,0.4066481,0.0,0.39959788,0.0
0.38689724,0.36450383,0.4038847,0.0,0.39675856,0.0
0.38547423,0.40698653,0.40121505,0.0,0.39396876,0.0
0.3841887,0.44946924,0.3986424,0.0,0.3912365,0.0
0.38280457,0.4605087,0.3961539,0.0,0.38856614,0.0
0.38096347,0.418026,0.39371338,0.0,0.38595513,0.0
0.3787403,0.37554318,0.39129177,0.0,0.38339645,0.0
0.37619776,0.33306047,0.38886628,0.0,0.38088033,0.0
0.373388,0.29057777,0.38641894,0.0,0.3783956,0.0
0.37035406,0.24809507,0.38393596,0.0,0.3759306,0.0
0.36713108,0.20561236,0.3814068,0.0,0.373474,0.0
0.36374766,0.16312966,0.37882355,0.0,0.37101492,0.0
0.36022675,0.120646946,0.37618035,0.0,0.36854348,0.0
0.3565867,0.07816412,0.373473,0.0,0.36605075,0.0
0.35284188,0.03568142,0.37069854,0.0,0.36352885,0.0
0.34910318,0.0068011754,0.3678619,0.0,0.36097217,0.0
0.34588858,0.049284108,0.36500356,0.0,0.35838312,0.0
0.3431162,0.09176681,0.3621558,0.0,0.35576934,0.0
0.34071654,0.13424952,0.3593439,0.0,0.35314152,0.0
0.3386317,0.17673223,0.3565875,0.0,0.3505119,0.0
0.33681375,0.21921493,0.35390162,0.0,0.34789327,0.0
0.33522364,0.26169765,0.35129753,0.0,0.345298,0.0
0.33382985,0.30418035,0.3487835,0.0,0.34273782,0.0
0.33260715,0.34666306,0.3463654,0.0,0.34022334,0.0
0.3315357,0.38914576,0.3440474,0.0,0.337764,0.0
0.33059987,0.43162847,0.34183213,0.0,0.33536807,0.0
0.32978764,0.47411117,0.3397213,0.0,0.33304247,0.0
0.32848975,0.43586677,0.33767304,0.0,0.33078554,0.0
0.32675934,0.39338407,0.33565238,0.0,0.32858962,0.0
0.32467148,0.35090113,0.333632,0.0,0.3264435,0.0
0.322288,0.30841842,0.33159074,0.0,0.32433426,0.0
0.31965932,0.26593572,0.32951266,0.0,0.32224855,0.0
0.31682628,0.22345302,0.3273858,0.0,0.3201732,0.0
0.31382155,0.1809703,0.32520136,0.0,0.31809598,0.0
0.3106711,0.13848759,0.32295296,0.0,0.3160057,0.0
0.30739534,0.09600489,0.3206362,0.0,0.3138925,0.0
0.30401018,0.053522184,0.3182481,0.0,0.3117477,0.0
0.30052793,0.011039477,0.31578672,0.0,0.30956396,0.0
0.29743564,0.03144323,0.3132854,0.0,0.30734134,0.0
0.29483554,0.073925935,0.31078267,0.0,0.3050868,0.0
0.29264638,0.11640864,0.30830833,0.0,0.3028115,0.0
0.29080075,0.15889135,0.30588534,0.0,0.3005287,0.0
0.28924346,0.20137428,0.303531,0.0,0.29825228,0.0
0.28792983,0.24385698,0.30125806,0.0,0.29599592,0.0
0.28682402,0.2863397,0.2990758,0.0,0.29377243,0.0
0.28589773,0.3288224,0.2969908,0.0,0.29159334,0.0
0.28512874,0.3713051,0.29500744,0.0,0.28946894,0.0
0.28449982,0.4137878,0.29312852,0.0,0.287408,0.0
0.28399774,0.45627052,0.29135567,0.0,0.28541797,0.0
0.28326723,0.45370743,0.2896643,0.0,0.28350037,0.0
0.28204927,0.41122472,0.28801262,0.0,0.28164864,0.0
0.28043136,0.36874202,0.28636834,0.0,0.27985165,0.0
0.2784851,0.32625932,0.28470674,0.0,0.27809563,0.0
0.2762686,0.28377658,0.2830093,0.0,0.2763662,0.0
0.27382866,0.24129389,0.28126213,0.0,0.274649,0.0
0.27120242,0.19881095,0.27945527,0.0,0.27293062,0.0
0.2684193,0.15632825,0.2775816,0.0,0.27119896,0.0
0.26550215,0.11384554,0.2756362,0.0,0.26944324,0.0
0.26246876,0.07136284,0.2736158,0.0,0.26765418,0.0
0.25933263,0.028880129,0.2715184,0.0,0.26582387,0.0
0.25631586,0.013602351,0.2693586,0.0,0.26394868,0.0
0.2538432,0.056085285,0.26718152,0.0,0.26203403,0.0
0.25182155,0.098568216,0.265022,0.0,0.26009083,0.0
0.2501739,0.1410507,0.26290658,0.0,0.25813282,0.0
0.24883747,0.18353362,0.26085517,0.0,0.25617486,0.0
0.24776162,0.2260161,0.25888246,0.0,0.25423166,0.0
0.24690606,0.26849905,0.25699896,0.0,0.25231704,0.0
0.24623899,0.3109815,0.25521204,0.0,0.25044355,0.0
0.24573562,0.35346445,0.2535266,0.0,0.24862224,0.0
