fitness,g0,g1
0.5333764,0.6402024,-0.09156895
0.530834,0.20415187,-0.5283892
0.53243864,-0.55759513,-0.4064275
0.5320036,-0.44869316,0.66468763
0.5314287,-0.34428287,-0.860615
0.5342236,0.9698031,0.43498588
0.5316653,0.31810033,-0.23554087
0.53380215,0.8944452,-0.55791605
0.53272814,0.6590123,0.9348457
0.5319095,-0.36122942,-0.14375997
0.5334948,0.77341557,-0.75791514
0.5302833,0.050023437,0.22691011
0.530538,-0.099707365,-0.16006386
0.53027153,-0.05703795,-0.7848003
0.5344077,0.95786655,0.36616707
0.5339758,0.91838706,-0.46401966
0.5346796,0.8833536,0.036969423
0.5308053,0.15305972,-0.22143197
0.5316875,-0.40928233,-0.99525833
0.535088,-0.95915985,-0.040293336
0.5300436,-0.0025310516,0.32801485
0.5311441,0.21923983,0.031416535
0.53335357,0.80178535,-0.9281703
0.53022784,0.04873109,-0.46494555
0.53232205,-0.54642856,-0.46170485
0.5320868,-0.48957777,-0.8285396
0.5310117,0.2157135,-0.3354876
0.53316903,0.70615447,-0.6511452
0.5333773,-0.7683052,0.80641985
0.5325096,0.6075523,-0.52754545
0.5310428,0.19860387,-0.11594677
0.5335913,0.79962337,0.6436287
0.5324622,-0.5951462,0.9715972
0.53396267,-0.938501,0.926559
0.53235686,0.56283975,0.49359143
0.53290814,0.5518986,-0.104655504
0.53105104,-0.19976437,0.19960964
0.5304428,-0.08126736,-0.13345706
0.531795,0.3403927,-0.15967369
0.5305265,0.09848821,0.21729577
0.5320986,-0.508216,-0.8915211
0.5338694,-0.8519796,-0.75279224
0.5325547,0.48685634,-0.06700039
0.53457344,0.86415684,0.016552448
0.5304785,0.08895862,-0.038614035
0.5306925,-0.13104343,-0.068571806
0.5325098,0.5679035,-0.78412473
0.53242445,-0.58688307,-0.91079736
0.53080213,0.1946553,0.98855233
0.5324407,-0.511773,-0.32027566
0.5325898,0.60681844,-0.5816957
0.5325801,0.52039695,0.28787053
0.5310512,-0.24902463,0.58143055
0.5321252,0.49207807,-0.4167056
0.53138,0.3362038,0.8843577
0.5307485,-0.17678583,-0.4702419
0.53112125,0.27473748,0.97169065
0.5331809,0.72354436,0.40895283
0.53052914,0.09892213,-1.0561943E-4
0.53284806,-0.5399958,0.23572671
0.53083587,0.20532668,-0.93586814
0.53260696,0.4905653,-0.2595663
0.53308165,0.58277833,-0.2651707
0.5329075,0.59109044,0.30070007
0.5311337,-0.25432146,-0.6632116
0.53079295,-0.1938008,0.90403676
0.5323598,0.45040762,-0.09375048
0.5327468,0.61880326,0.3929335
0.53359175,0.67290056,0.15313876
0.53231865,-0.54527915,0.45760596
0.5310969,-0.25971687,-0.456576
0.5314974,0.28618658,-0.23553836
0.5315721,-0.3717655,0.45046878
0.5316837,0.4074676,0.50034964
0.53328866,0.6667118,-0.30136108
0.53336346,0.6322582,-0.17269552
0.53153837,0.36676848,0.5750799
0.5327648,-0.6201228,-0.77297604
0.53059846,0.13614142,-0.8018184
0.53010267,0.018119574,0.5097712
0.532674,-0.64449084,-0.97082627
0.53016317,0.026238322,0.0035191774
0.5304167,-0.07594681,0.16568911
0.53476703,-0.8879645,-0.14552546
0.53026134,-0.04587257,0.07588518
0.5330984,-0.588748,-0.2180978
0.53447443,-0.9788333,0.6754644
0.5335026,0.8329364,-0.54557323
0.5334401,-0.8041041,-0.48192334
0.5301445,-0.022417307,-0.098514915
0.53069574,0.15964079,0.60625744
0.5334187,0.8006201,-0.8541392
0.5304047,-0.09296286,-0.4768523
0.5312868,0.246153,0.23850667
0.5346793,0.9694022,-0.33360338
0.530909,-0.17273736,-0.11382091
0.53230774,-0.43909323,0.1102525
0.53430945,0.9410163,-0.72947454
0.5318792,-0.40830874,-0.3509525
0.5331122,-0.5913303,-0.057296038
