neur0,input0,neur1,input1,neur2,input2
0.45995232,0.0,0.467707,0.0,0.53176415,0.0
0.41917744,0.039989334,0.467221,0.0,0.5675922,0.0
0.38031566,0.07991469,0.4673245,0.0,0.59662527,0.0
0.343727,0.119712204,0.46779108,0.0,0.62011516,0.0
0.3096437,0.15931821,0.4684534,0.0,0.63907105,0.0
0.2781853,0.19866931,0.46919027,0.0,0.6543028,0.0
0.24937858,0.23770262,0.46991548,0.0,0.66646016,0.0
0.22317843,0.27635565,0.4705693,0.0,0.6760656,0.0
0.19948769,0.31456655,0.47111166,0.0,0.68354136,0.0
0.17817399,0.3522742,0.47151685,0.0,0.6892301,0.0
0.15908365,0.38941833,0.4717696,0.0,0.69341195,0.0
0.1420521,0.42593947,0.47186223,0.0,0.69631755,0.0
0.12691188,0.46177918,0.4717923,0.0,0.69813824,0.0
0.113498,0.4968801,0.47156125,0.0,0.6990339,0.0
0.10165174,0.5311862,0.47117296,0.0,0.6991393,0.0
0.09122287,0.5646424,0.47063315,0.0,0.69856864,0.0
0.08207095,0.59719545,0.46994862,0.0,0.69741964,0.0
0.074065946,0.628793,0.46912682,0.0,0.69577646,0.0
0.06708827,0.65938467,0.46817562,0.0,0.69371176,0.0
0.06102851,0.68892145,0.46710306,0.0,0.6912889,0.0
0.05578699,0.7173561,0.46591714,0.0,0.68856305,0.0
0.051273163,0.7446431,0.4646258,0.0,0.6855828,0.0
0.047404986,0.7707389,0.4632368,0.0,0.6823906,0.0
0.044108246,0.7956016,0.4617576,0.0,0.67902386,0.0
0.04131591,0.8191916,0.4601955,0.0,0.6755155,0.0
0.038967486,0.84147096,0.45855746,0.0,0.6718944,0.0
0.037008442,0.8624042,0.45685017,0.0,0.66818583,0.0
0.035389643,0.88195777,0.45508,0.0,0.66441196,0.0
0.034066852,0.90010047,0.45325294,0.0,0.6605921,0.0
0.033000246,0.9168031,0.45137477,0.0,0.65674275,0.0
0.032154012,0.9320391,0.44945085,0.0,0.6528782,0.0
0.031495932,0.94578403,0.44748628,0.0,0.64901066,0.0
0.03099706,0.95801586,0.44548583,0.0,0.6451502,0.0
0.030631397,0.9687151,0.44345382,0.0,0.64130515,0.0
0.030375596,0.9778646,0.4413944,0.0,0.63748235,0.0
0.030208716,0.98544973,0.43931133,0.0,0.63368714,0.0
0.030111985,0.99145836,0.43720797,0.0,0.6299234,0.0
0.030068595,0.99588084,0.4350875,0.0,0.626194,0.0
0.030063512,0.99871016,0.4329527,0.0,0.6225006,0.0
0.030083302,0.9999417,0.430806,0.0,0.61884403,0.0
0.030115996,0.9995736,0.4286496,0.0,0.61522424,0.0
0.030150931,0.9976064,0.4264854,0.0,0.6116403,0.0
0.030178647,0.99404323,0.42431492,0.0,0.60809064,0.0
0.03019076,0.98888975,0.4221395,0.0,0.60457325,0.0
0.030179873,0.9821543,0.41996014,0.0,0.60108554,0.0
0.030139487,0.9738476,0.4177776,0.0,0.5976244,0.0
0.03006391,0.963983,0.41559243,0.0,0.5941865,0.0
0.029948197,0.9525762,0.41340485,0.0,0.5907679,0.0
0.029788073,0.93964547,0.41121498,0.0,0.5873648,0.0
0.029579887,0.92521155,0.40902254,0.0,0.58397275,0.0
0.029320542,0.9092974,0.40682727,0.0,0.5805875,0.0
0.029007463,0.8919287,0.40462855,0.0,0.57720447,0.0
0.028638545,0.873133,0.40242562,0.0,0.57381904,0.0
0.028212115,0.85294056,0.40021765,0.0,0.57042646,0.0
0.0277269,0.8313835,0.39800358,0.0,0.5670221,0.0
