neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.28989634,0.119022146,0.43202624,0.0,0.65562415,0.0
0.119443655,0.23804429,0.33842674,0.0,0.7378996,0.0
-0.032450203,0.35706642,0.22310832,0.0,0.7959856,0.0
-0.15441988,0.47608858,0.09454452,0.0,0.8357215,0.0
-0.24637294,0.3640491,-0.036983363,0.0,0.8624512,0.0
-0.3115032,0.245027,-0.16227993,0.0,0.8802583,0.0
-0.35484618,0.12600483,-0.2753118,0.0,0.89198345,0.0
-0.38135704,0.006982676,-0.37346327,0.0,0.89951783,0.0
-0.3936027,0.112039424,-0.45648617,0.0,0.90412885,0.0
-0.39494342,0.23106165,-0.5255955,0.0,0.9066571,0.0
-0.38800797,0.35008374,-0.58260745,0.0,0.9076704,0.0
-0.37480438,0.46910584,-0.6294259,0.0,0.9075635,0.0
-0.3584791,0.3710318,-0.667898,0.0,0.9065947,0.0
-0.3403086,0.25200966,-0.6995886,0.0,0.9049454,0.0
-0.3211675,0.13298757,-0.7257772,0.0,0.9027459,0.0
-0.301739,0.013965352,-0.747495,0.0,0.90009046,0.0
-0.28093472,0.105056755,-0.7654914,0.0,0.89707416,0.0
-0.25908953,0.22407885,-0.7803695,0.0,0.8937793,0.0
-0.23667285,0.34310097,-0.79262197,0.0,0.8902755,0.0
-0.21406576,0.4621233,-0.8026506,0.0,0.88662344,0.0
-0.19320357,0.37801445,-0.8108467,0.0,0.88284564,0.0
-0.17441678,0.25899234,-0.8175329,0.0,0.8789506,0.0
-0.15766165,0.13997024,-0.82296675,0.0,0.87493974,0.0
-0.14285311,0.020948144,-0.82735497,0.0,0.87080866,0.0
-0.12827137,0.09807396,-0.8308075,0.0,0.86658233,0.0
-0.113657214,0.2170963,-0.83340514,0.0,0.862292,0.0
-0.09912215,0.3361184,-0.83521676,0.0,0.8579682,0.0
-0.084758736,0.4551405,-0.83630145,0.0,0.8536415,0.0
-0.07221209,0.38499725,-0.8367634,0.0,0.8493049,0.0
-0.061732687,0.26597515,-0.83670306,0.0,0.8449399,0.0
-0.05311168,0.14695281,-0.83620405,0.0,0.84052557,0.0
-0.046151068,0.027930705,-0.83533615,0.0,0.8360394,0.0
-0.039149564,0.09109117,-0.8341054,0.0,0.8314974,0.0
-0.031687923,0.21011351,-0.8325012,0.0,0.82692856,0.0
-0.023874216,0.32913584,-0.830516,0.0,0.82236385,0.0
-0.015807066,0.4481577,-0.8281449,0.0,0.8178355,0.0
-0.009036522,0.3919798,-0.8254387,0.0,0.8133351,0.0
-0.003956201,0.27295792,-0.8224617,0.0,0.80883795,0.0
-3.6971152E-4,0.1539356,-0.8192708,0.0,0.8043181,0.0
0.0019034534,0.034913268,-0.81591564,0.0,0.7997482,0.0
0.004430903,0.084108606,-0.81238526,0.0,0.79514396,0.0
0.0077412818,0.20313095,-0.80864817,0.0,0.790541,0.0
0.011699919,0.32215282,-0.8046789,0.0,0.78597665,0.0
0.016182464,0.44117516,-0.8004579,0.0,0.78149015,0.0
0.019730905,0.39896283,-0.79602766,0.0,0.77707636,0.0
0.021797705,0.2799405,-0.7914555,0.0,0.7727069,0.0
0.022562787,0.16091816,-0.78680193,0.0,0.76835155,0.0
0.022192867,0.041896287,-0.7821206,0.0,0.7639779,0.0
0.022127496,0.07712605,-0.77740014,0.0,0.7595989,0.0
0.023018368,0.19614792,-0.7725993,0.0,0.75525445,0.0
0.024719127,0.31517026,-0.76768464,0.0,0.7509861,0.0
0.027093776,0.4341926,-0.76263046,0.0,0.7468374,0.0
0.028789818,0.4059454,-0.75747865,0.0,0.7428049,0.0
0.029117268,0.28692305,-0.75230616,0.0,0.73885363,0.0
0.02825108,0.16790117,-0.7471806,0.0,0.7349458,0.0
0.026355553,0.04887885,-0.7421601,0.0,0.73104054,0.0
0.024753466,0.07014348,-0.7372317,0.0,0.72714335,0.0
0.024229592,0.18916535,-0.7323403,0.0,0.72329426,0.0
0.02463441,0.3081877,-0.7274405,0.0,0.7195356,0.0
0.025827505,0.42720956,-0.72249633,0.0,0.71591157,0.0
0.02656727,0.41292796,-0.7175432,0.0,0.7124192,0.0
0.026025651,0.29390562,-0.7126626,0.0,0.7090156,0.0
0.024376556,0.17488374,-0.7079233,0.0,0.70565426,0.0
0.021784717,0.05586141,-0.7033807,0.0,0.70228565,0.0
0.01945807,0.063160926,-0.6990155,0.0,0.69890577,0.0
0.018315334,0.18218234,-0.69475335,0.0,0.6955544,0.0
0.018203568,0.30120468,-0.69053227,0.0,0.6922742,0.0
0.018977184,0.42022702,-0.6863026,0.0,0.6891107,0.0
0.019504145,0.41991052,-0.6820876,0.0,0.6860641,0.0
0.01881633,0.30088818,-0.6779699,0.0,0.68308616,0.0
0.017084332,0.18186677,-0.6740158,0.0,0.68012494,0.0
0.014470487,0.062844425,-0.6702766,0.0,0.67712545,0.0
0.012064716,0.056177903,-0.6667284,0.0,0.67407656,0.0
0.0109168235,0.17520024,-0.6632798,0.0,0.67102,0.0
0.010867839,0.29422256,-0.6598554,0.0,0.6680018,0.0
0.011764859,0.41324398,-0.6563954,0.0,0.6650714,0.0
0.012583857,0.42689353,-0.6529125,0.0,0.66223645,0.0
0.012214883,0.3078712,-0.6494928,0.0,0.65944725,0.0
0.010823475,0.18884887,-0.6462046,0.0,0.65665,0.0
0.008568148,0.069826536,-0.64309907,0.0,0.6537878,0.0
0.0064194784,0.049194884,-0.64015555,0.0,0.65084404,0.0
0.005558044,0.16821721,-0.6372727,0.0,0.6478647,0.0
0.0058193416,0.28723955,-0.63436854,0.0,0.6449007,0.0
0.007044245,0.4062619,-0.6313791,0.0,0.6420071,0.0
0.008318441,0.43387562,-0.6283107,0.0,0.6392011,0.0
0.008391751,0.3148542,-0.62525725,0.0,0.6364334,0.0
0.007426284,0.19583188,-0.6222936,0.0,0.63364965,0.0
0.005578506,0.076809555,-0.6194758,0.0,0.6307918,0.0
0.0037016238,0.04221278,-0.6167923,0.0,0.62783766,0.0
0.0031095862,0.1612342,-0.61413735,0.0,0.6248371,0.0
0.003635431,0.28025654,-0.6114259,0.0,0.62184566,0.0
0.0051169666,0.39927885,-0.6085934,0.0,0.6189236,0.0
0.006752829,0.44085866,-0.60564107,0.0,0.616098,0.0
0.007155586,0.32183632,-0.6026729,0.0,0.6133193,0.0
0.006486692,0.2028149,-0.5997716,0.0,0.61053205,0.0
0.0049032085,0.083792575,-0.59700006,0.0,0.6076762,0.0
0.0031436253,0.03522976,-0.59435815,0.0,0.60472244,0.0
0.0026580952,0.1542521,-0.591736,0.0,0.6017231,0.0
0.0032798916,0.27327442,-0.5890465,0.0,0.598737,0.0
0.0048463214,0.39229584,-0.5862241,0.0,0.59582824,0.0
0.006671372,0.44784167,-0.5832639,0.0,0.5930331,0.0
0.0072323396,0.32881933,-0.58027893,0.0,0.5903007,0.0
0.0066917534,0.20979701,-0.5773597,0.0,0.5875736,0.0
0.0052088513,0.09077468,-0.57457435,0.0,0.5847885,0.0
0.0034087382,0.028246742,-0.5719342,0.0,0.58190715,0.0
0.0028791178,0.14726907,-0.56932396,0.0,0.57898307,0.0
0.0034546943,0.2662914,-0.5666527,0.0,0.5760773,0.0
0.004973254,0.38531375,-0.56385267,0.0,0.5732563,0.0
0.0068649203,0.4548238,-0.56091,0.0,0.57056534,0.0
0.007472169,0.33580235,-0.5579456,0.0,0.5679517,0.0
0.006958823,0.21678002,-0.55505574,0.0,0.56535494,0.0
0.0054863757,0.0977577,-0.55231273,0.0,0.5627086,0.0
0.0035664393,0.021264639,-0.549738,0.0,0.55996406,0.0
0.0029242442,0.14028697,-0.54720956,0.0,0.55717546,0.0
0.0033957972,0.2593084,-0.54463106,0.0,0.55440515,0.0
0.004819118,0.3783307,-0.5419309,0.0,0.5517219,0.0
0.0067401486,0.4618068,-0.5390845,0.0,0.5491797,0.0
0.007365913,0.34278446,-0.53621924,0.0,0.5467242,0.0
