fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-0.6536434,-0.9601665,0.075376794,-0.7869099,-0.9256831,0.44241616,0.70553905,0.18070678,0.56227964,0.71517533,0.21448755,0.6827709,0.39109814
-0.78713137,-0.120456085,-0.0033802541,-0.12055602,-0.81421465,0.0046025575,0.22691381,0.3091874,-0.78534657,0.11178863,0.22389252,-0.7307252,-0.00459373
-2.7885637,-0.73652107,0.72681224,-0.3190275,0.15086637,0.1514284,-0.76546425,0.13590702,-0.28080705,-0.30352354,-0.10896785,-0.07400792,0.09375805
-9.029499,0.30578968,0.124371566,0.41717494,0.43065554,-0.039049104,-0.9116381,-0.45465738,-0.42812347,-0.06289316,0.3832767,-0.19519234,0.29713452
-7.1560216,-0.6334148,0.36134493,-0.6930198,-0.19928157,0.28829128,0.74705267,-0.22428739,-0.19068451,-0.60732,0.8464332,-0.13270998,-0.9695403
-1.6793126,-0.24683544,0.132832,0.2870536,0.06363249,-0.22626841,0.38170293,-0.58029175,0.511902,-0.47210646,0.8288753,-0.025961177,0.34319603
-0.18178467,0.19369432,0.12494667,-0.78297293,-0.485324,0.22375849,0.84333265,-0.6448677,-0.753126,0.9600634,-0.1751111,0.013011336,0.57178974
-3.30357,-0.06868458,0.8686123,0.18465808,0.15106846,0.79275936,0.041958127,0.5043259,-0.39102367,-0.89511,-0.059877157,0.20647037,0.7170803
-1.6385325,-0.41240647,0.41566315,-0.69838387,0.16804431,0.6697746,-0.16112316,0.83007294,0.43360397,0.8085931,0.6971869,0.17356673,-0.5913694
-1.7152056,-0.38162065,0.796265,0.62609005,0.39853427,0.11569801,0.34915972,0.034466688,0.117892265,-0.15939839,0.60128057,-0.7506762,-0.007601973
-3.3755174,-0.4807204,0.23951072,-0.31862295,-0.26342243,-0.5836012,-0.8902694,-0.66368026,-0.076839685,-0.49789315,-0.35995227,-0.05900988,0.21111524
-1.4275291,-0.9803141,-0.32490134,-0.5042745,-0.27039108,-0.63994026,0.398957,0.63384515,0.37370872,-0.12451856,-0.019719958,0.08792192,0.2873336
-0.15841043,-0.044535443,-0.86373276,-0.3796911,-0.74432856,-0.44907743,0.8891333,-0.48334074,-0.4728727,0.50032055,0.0039787176,-0.13977246,-0.027900608
-1.7929695,-0.2637217,0.8232039,-0.6376335,-0.8472107,0.26163787,0.60445124,-0.6989753,0.4661514,0.044905283,-0.23764375,-0.047832046,-0.21661633
-1.0328974,-0.852245,0.5313928,-0.37357098,-0.6747709,0.56259936,0.35755384,-0.1599909,-0.8205477,0.67372715,0.99429137,-0.32408535,0.19756381
-1.9354297,0.08395714,0.4943687,0.25926322,-0.29935554,-0.4789895,-0.1259905,-0.6271597,-0.41336548,0.038947284,-0.17340049,-5.727718E-4,-0.08677108
-2.0009441,0.39356825,0.3830584,-0.49536097,0.58116674,0.59035325,-0.15853538,0.26994252,0.16535568,-0.039216287,-0.48476428,0.90996546,-0.09118634
-0.8694204,-0.38669538,-0.25536847,-0.19975057,-0.6350952,0.53776443,0.15505195,-0.19661328,-0.88868505,-0.116901286,-0.37806153,0.21286635,0.04555936
-1.2287571,0.51294047,0.09210267,0.8336059,0.057304427,0.5812669,0.47481564,0.9809169,0.30997574,0.39199987,0.00992936,0.1390127,0.6906709
-1.5888208,0.8147268,0.26052257,-0.20844707,0.791497,-0.3408616,0.12326639,-0.019471323,-0.48580977,-0.12278973,-0.43848908,0.40009132,0.37294942
-1.277069,-0.34344706,0.12188371,-0.5199678,0.4793296,-0.21495558,0.028116703,-0.024173947,-0.8719453,0.16365528,-0.92494464,0.8024371,-0.31586742
-2.140137,-0.6860396,0.041112185,0.16771658,0.95016676,-0.82902324,-0.19540358,0.3549438,0.6472039,0.27059078,-0.31324312,0.71053505,-0.441038
-1.5105361,0.5671415,-0.26414657,0.23708963,0.42320243,-0.07963735,0.033736393,-0.49965385,0.6897406,0.12914543,0.034905434,-0.013957308,0.40928128
-1.7015245,0.4229387,0.979541,0.713978,0.9317745,0.037486076,0.04944551,-0.7261087,0.19566292,0.063640006,0.050304677,0.031312414,-0.0028886795
-0.18440132,0.48596355,0.8529896,-0.26796064,-0.5437867,0.60062295,0.87469524,-0.4437079,-0.24381861,0.5194023,0.30638736,4.1341633E-4,-0.42751554
-2.754017,-0.0879606,0.1380674,0.55046874,0.088385925,0.1130984,-0.32014775,0.10524224,0.8232927,-0.20624624,0.4251197,-0.058369905,0.5353121
-1.0067824,-0.5542356,-0.5755707,-0.36687967,0.74213123,-0.17814577,0.6310101,0.652309,-0.9437948,0.96146226,-0.027244098,0.21646631,-0.3066389
-1.5775328,0.11352248,0.1307826,0.07329271,0.70197487,0.19732447,-0.25175983,-0.19266343,0.29366335,0.26938483,-0.7971985,0.2751483,0.5751576
