neur0,input0,neur1,input1,neur2,input2
0.4586764,0.0,0.45075488,0.0,0.5274266,0.0
0.35902768,0.009076517,0.42635635,0.0,0.58129865,0.0
0.26345426,0.018153034,0.40459856,0.0,0.62352544,0.0
0.17593326,0.027229551,0.385351,0.0,0.65647125,0.0
0.09853447,0.03630607,0.36840498,0.0,0.68215567,0.0
0.031736538,0.045382585,0.35351714,0.0,0.70220226,0.0
-0.025002204,0.054459102,0.34044003,0.0,0.71787214,0.0
-0.07273103,0.063535616,0.32894003,0.0,0.7301274,0.0
-0.112660944,0.07261214,0.31880572,0.0,0.739698,0.0
-0.14597239,0.08168865,0.30985054,0.0,0.74713796,0.0
-0.17372733,0.09076517,0.30191228,0.0,0.75287026,0.0
-0.19684124,0.099841684,0.29485112,0.0,0.7572204,0.0
-0.21608514,0.108918205,0.28854698,0.0,0.76044136,0.0
-0.23210031,0.11799472,0.28289694,0.0,0.76273155,0.0
-0.24541709,0.12707123,0.2778128,0.0,0.7642485,0.0
-0.2564733,0.13614775,0.27321905,0.0,0.7651181,0.0
-0.26563048,0.14522427,0.26905084,0.0,0.7654425,0.0
-0.2731879,0.15430078,0.2652524,0.0,0.7653048,0.0
-0.27939388,0.1633773,0.26177582,0.0,0.7647735,0.0
-0.2844552,0.17245382,0.25857976,0.0,0.7639054,0.0
-0.28854468,0.18153034,0.25562853,0.0,0.762748,0.0
-0.29180712,0.19060685,0.2528913,0.0,0.7613413,0.0
-0.2943643,0.19968337,0.25034136,0.0,0.759719,0.0
-0.29631898,0.20875989,0.24795556,0.0,0.75791,0.0
-0.29775807,0.21783641,0.2457138,0.0,0.75593895,0.0
-0.29875535,0.22691292,0.24359863,0.0,0.753827,0.0
-0.29937348,0.23598944,0.24159484,0.0,0.7515924,0.0
-0.29966587,0.24506596,0.2396892,0.0,0.7492511,0.0
-0.29980394,0.2383166,0.23787278,0.0,0.74681175,0.0
-0.299825,0.22924007,0.2361379,0.0,0.7442812,0.0
-0.2997423,0.22016355,0.23447756,0.0,0.7416656,0.0
-0.2995673,0.21108703,0.23288544,0.0,0.7389706,0.0
-0.29930994,0.20201053,0.2313557,0.0,0.7362013,0.0
-0.2989789,0.192934,0.22988309,0.0,0.7333622,0.0
-0.2985817,0.18385749,0.22846274,0.0,0.7304575,0.0
-0.29812494,0.17478096,0.22709027,0.0,0.7274911,0.0
-0.29761437,0.16570446,0.2257616,0.0,0.7244664,0.0
-0.297055,0.15662794,0.22447301,0.0,0.7213867,0.0
-0.2964513,0.14755142,0.22322111,0.0,0.7182549,0.0
-0.29580715,0.13847491,0.22200274,0.0,0.7150739,0.0
-0.29512596,0.12939839,0.22081505,0.0,0.71184605,0.0
-0.2944108,0.12032187,0.21965535,0.0,0.7085739,0.0
-0.29366428,0.11124536,0.21852124,0.0,0.7052596,0.0
-0.2928889,0.102168836,0.21741043,0.0,0.7019052,0.0
-0.29208675,0.09309232,0.21632086,0.0,0.69851273,0.0
-0.2912597,0.0840158,0.21525064,0.0,0.6950839,0.0
-0.29040954,0.07493929,0.21419798,0.0,0.6916205,0.0
-0.2895378,0.06586277,0.21316129,0.0,0.6881242,0.0
-0.28864577,0.056786254,0.21213904,0.0,0.6845964,0.0
-0.28773484,0.047709737,0.21112986,0.0,0.6810387,0.0
-0.28680608,0.03863322,0.21013245,0.0,0.6774524,0.0
-0.28586054,0.029556703,0.20914567,0.0,0.6738388,0.0
