fitness,g0,g1
0.5909001,1.7881393E-6,0.8524909
0.5911574,-0.7081076,-0.4281777
0.590998,0.49047923,0.8213115
0.59084135,-0.3001994,0.8563787
0.5910411,-0.727545,-0.88773334
0.59089524,0.00991559,-0.3719293
0.5909577,-0.12187612,-0.1251601
0.59075606,-0.75047183,0.7938595
0.59092575,-0.12569189,-0.59437764
0.5907323,0.8617743,-0.78255117
0.5907966,-0.38952267,0.47189772
0.59078133,0.5085914,-0.53351676
0.5908212,0.26613283,-0.45204473
0.5909251,0.13337886,0.79665864
0.590924,0.13137197,0.7616712
0.5912498,-0.8447068,-0.4131621
0.5906627,0.45908272,-0.33047962
0.5903199,-0.86142385,0.20098698
0.5910957,0.9007839,0.67368543
0.5908686,0.28731215,-0.051072598
0.59089065,-0.08775258,0.014140725
0.59099823,0.4495474,0.66922224
0.59056926,-0.63488686,0.3290789
0.590604,-0.64046097,0.4034443
0.5911758,0.5458764,0.26515675
0.5908499,0.0815593,-0.17018402
0.59108746,0.7267759,0.4898305
0.5909341,0.11542463,0.4527043
0.59097725,0.3608898,0.6353692
0.59098476,-0.45124066,-0.9015775
0.5905511,0.8365313,-0.4194585
0.59103125,-0.2462833,-0.13833499
0.5907361,-0.38201535,0.4128108
0.5910384,0.27996457,0.31390536
0.5909295,-0.1613884,-0.7587875
0.5904771,-0.7615111,0.27715695
0.5908457,0.1800344,-0.4532441
0.59092575,0.14316392,0.7543502
0.5907685,0.6928593,-0.76922596
0.5908972,0.013870597,-0.61934674
0.5910026,-0.5406282,-0.8115394
0.590858,-0.2252816,0.9265789
0.5909738,0.37972093,0.79996586
0.5910769,0.88239646,0.71376216
0.5908127,0.4655354,-0.90470934
0.5908104,-0.32796168,0.46409488
0.5910183,-0.33534575,-0.4311638
0.5906217,0.555388,-0.38432884
0.5904491,0.83656645,-0.33805776
0.59094346,-0.19557154,-0.6668222
0.5910586,0.82478166,0.83109593
0.5902729,0.99671257,-0.26743484
0.59092784,0.04524243,0.19507599
0.59053767,-0.7386302,0.39431226
0.59083235,-0.56484747,0.05511415
0.590875,0.115643024,-0.6892605
0.5908442,-0.30583203,0.9559932
0.5909782,-0.3984835,-0.86014724
0.5908811,0.17130864,-0.06574237
0.591098,-0.39606202,-0.36961246
0.5910066,0.501963,0.5914842
0.5913859,0.9793211,0.32199466
0.59056014,-0.5315943,0.18710804
0.590881,0.036648393,-0.26284277
0.5908566,0.08886266,-0.12653542
0.59230524,0.974908,-0.17036128
0.59055686,0.90648437,-0.4316243
0.59083986,0.27099204,-0.639923
0.5911287,0.4615214,0.28941703
0.59102637,0.22865129,0.14802885
0.5910741,0.29093838,0.20619583
0.59064,0.65304625,-0.42419755
0.59088194,-0.08996689,0.8451421
0.59135944,0.9166213,0.35724604
0.5906196,-0.66551876,0.4167831
0.5905589,0.6339686,-0.2825278
0.59101224,-0.61348796,-0.7916832
0.5907972,-0.5366849,0.75927365
0.59113216,0.72726035,0.4433577
0.5908955,-0.008730292,0.13940144
0.5909114,0.04412973,0.47355914
0.5907743,0.6202711,-0.8175976
0.5907601,0.7163962,-0.8802285
0.59082705,0.34330738,-0.6204567
0.5911668,0.54714215,0.37853134
0.5912356,-0.6698148,-0.26755464
0.5907557,0.591612,-0.5231607
0.590624,0.52994084,-0.29889786
0.5908785,-0.118416905,0.7869345
0.5908087,-0.22533846,0.4184363
0.59093606,-0.06348598,-0.2355411
0.5911126,-0.99545324,-0.6283636
0.59104836,-0.2970618,-0.32191718
0.59106493,-0.3302561,-0.32381332
0.5908706,0.15546978,-0.7448189
0.59075373,0.6423657,-0.6475569
0.5910297,-0.24874163,-0.25593102
0.59084886,0.22689319,-0.6537167
0.5907344,0.623925,-0.47502983
0.5910586,0.31741297,0.32296395
