neur0,input0,neur1,input1,neur2,input2
0.45902035,-0.0,0.46307752,0.0,0.5103012,0.0
0.38634744,-0.0974908,0.3875439,0.0,0.5753979,0.0
0.3125938,-0.0974908,0.30783066,0.0,0.62988555,0.0
0.24000274,-0.0974908,0.22633976,0.0,0.67472523,0.0
0.17052484,-0.0974908,0.1454756,0.0,0.71119046,0.0
0.10561517,-0.0974908,0.067321144,0.0,0.74062186,0.0
0.046172548,-0.0974908,-0.0065592555,0.0,0.7642726,0.0
-0.0074072652,-0.0974908,-0.07517167,0.0,0.7832326,0.0
-0.055117782,-0.0974908,-0.13803408,0.0,0.798409,0.0
-0.0972154,-0.0974908,-0.1950623,0.0,0.81053513,0.0
-0.1341095,-0.0974908,-0.24644569,0.0,0.8201948,0.0
-0.1662801,-0.0974908,-0.29253924,0.0,0.82784826,0.0
-0.19422254,-0.0974908,-0.33378172,0.0,0.83385736,0.0
-0.21841404,-0.0974908,-0.37063956,0.0,0.8385066,0.0
-0.2392959,-0.0974908,-0.40357155,0.0,0.8420202,0.0
-0.25726572,-0.0974908,-0.43300885,0.0,0.8445762,0.0
-0.27267596,-0.0974908,-0.45934528,0.0,0.8463161,0.0
-0.28583583,-0.0974908,-0.48293364,0.0,0.8473537,0.0
-0.29701492,-0.0974908,-0.50408643,0.0,0.8477808,0.0
-0.30644757,-0.0974908,-0.523078,0.0,0.8476722,0.0
-0.3143371,-0.0974908,-0.5401485,0.0,0.8470894,0.0
-0.32086018,-0.0974908,-0.55550694,0.0,0.8460831,0.0
-0.32617027,-0.0974908,-0.56933564,0.0,0.8446957,0.0
-0.3304011,-0.0974908,-0.5817931,0.0,0.842963,0.0
-0.33366945,-0.0974908,-0.5930176,0.0,0.84091514,0.0
-0.3360777,-0.0974908,-0.6031295,0.0,0.83857834,0.0
-0.33771566,-0.0974908,-0.6122342,0.0,0.8359751,0.0
-0.3386627,-0.0974908,-0.6204237,0.0,0.8331251,0.0
-0.33898902,-0.0974908,-0.6277789,0.0,0.83004594,0.0
-0.33875695,-0.0974908,-0.63437074,0.0,0.8267531,0.0
-0.33802205,-0.0974908,-0.6402618,0.0,0.8232607,0.0
-0.33683416,-0.0974908,-0.6455074,0.0,0.81958175,0.0
-0.33523798,-0.0974908,-0.65015644,0.0,0.81572807,0.0
-0.3332739,-0.0974908,-0.6542523,0.0,0.81171083,0.0
-0.3309784,-0.0974908,-0.6578337,0.0,0.8075405,0.0
-0.3283847,-0.0974908,-0.66093516,0.0,0.8032269,0.0
-0.32552308,-0.0974908,-0.6635875,0.0,0.79877967,0.0
-0.32242128,-0.0974908,-0.66581863,0.0,0.794208,0.0
-0.3191048,-0.0974908,-0.6676535,0.0,0.7895207,0.0
-0.31559712,-0.0974908,-0.6691147,0.0,0.78472656,0.0
-0.31192,-0.0974908,-0.6702229,0.0,0.779834,0.0
-0.3080936,-0.0974908,-0.6709968,0.0,0.7748515,0.0
-0.30413678,-0.0974908,-0.6714535,0.0,0.76978725,0.0
-0.30006698,-0.0974908,-0.67160887,0.0,0.76464933,0.0
-0.29590067,-0.0974908,-0.67147756,0.0,0.75944597,0.0
-0.2916533,-0.0974908,-0.67107314,0.0,0.75418496,0.0
-0.28733936,-0.0974908,-0.67040837,0.0,0.74887425,0.0
-0.28297246,-0.0974908,-0.6694952,0.0,0.74352163,0.0
-0.2785656,-0.0974908,-0.66834503,0.0,0.73813486,0.0
-0.2741309,-0.0974908,-0.6669686,0.0,0.7327215,0.0
-0.26967996,-0.0974908,-0.6653763,0.0,0.727289,0.0
-0.26522362,-0.0974908,-0.66357815,0.0,0.7218448,0.0
-0.26077226,-0.0974908,-0.6615839,0.0,0.716396,0.0
-0.25633565,-0.0974908,-0.6594029,0.0,0.7109498,0.0
