neur0,input0,neur1,input1,neur2,input2
0.45902035,0.0,0.46307752,0.0,0.5103012,0.0
0.3872665,0.039989334,0.3875511,0.0,0.5754533,0.0
0.31476983,0.07991469,0.30785128,0.0,0.63005614,0.0
0.24374324,0.119712204,0.22637731,0.0,0.67506903,0.0
0.17608775,0.15931821,0.14553009,0.0,0.7117609,0.0
0.113202535,0.19866931,0.0673889,0.0,0.7414671,0.0
0.055934563,0.23770262,-0.006485118,0.0,0.76543677,0.0
0.0046377373,0.27635565,-0.075100414,0.0,0.7847578,0.0
-0.040711876,0.31456655,-0.1379767,0.0,0.8003368,0.0
-0.080390885,0.3522742,-0.195031,0.0,0.81290853,0.0
-0.114821084,0.38941833,-0.24645352,0.0,0.8230593,0.0
-0.14448968,0.42593947,-0.29260013,0.0,0.83125305,0.0
-0.16989605,0.46177918,-0.33391038,0.0,0.8378558,0.0
-0.19151996,0.4968801,-0.37085167,0.0,0.84315705,0.0
-0.2098048,0.5311862,-0.40388393,0.0,0.84738636,0.0
-0.22515054,0.5646424,-0.43343982,0.0,0.8507271,0.0
-0.23791263,0.59719545,-0.45991457,0.0,0.85332686,0.0
-0.24840416,0.628793,-0.48366284,0.0,0.8553054,0.0
-0.2568997,0.65938467,-0.504999,0.0,0.85676056,0.0
-0.26363957,0.68892145,-0.5241998,0.0,0.8577736,0.0
-0.2688341,0.7173561,-0.5415075,0.0,0.858412,0.0
-0.27266786,0.7446431,-0.55713385,0.0,0.85873294,0.0
-0.27530316,0.7707389,-0.57126385,0.0,0.85878485,0.0
-0.27688336,0.7956016,-0.584059,0.0,0.8586095,0.0
-0.27753562,0.8191916,-0.59566045,0.0,0.8582431,0.0
-0.27737316,0.84147096,-0.6061922,0.0,0.8577173,0.0
-0.27649733,0.8624042,-0.6157627,0.0,0.8570598,0.0
-0.2749992,0.88195777,-0.6244678,0.0,0.8562953,0.0
-0.272961,0.90010047,-0.63239187,0.0,0.85544574,0.0
-0.2704573,0.9168031,-0.6396098,0.0,0.85453075,0.0
-0.2675559,0.9320391,-0.6461881,0.0,0.8535679,0.0
-0.2643188,0.94578403,-0.652186,0.0,0.85257286,0.0
-0.26080263,0.95801586,-0.6576563,0.0,0.8515598,0.0
-0.25705943,0.9687151,-0.6626468,0.0,0.8505413,0.0
-0.253137,0.9778646,-0.6672001,0.0,0.8495286,0.0
-0.24907933,0.98544973,-0.6713548,0.0,0.84853166,0.0
-0.24492693,0.99145836,-0.6751459,0.0,0.8475592,0.0
-0.24071707,0.99588084,-0.6786052,0.0,0.84661883,0.0
-0.23648404,0.99871016,-0.68176156,0.0,0.845717,0.0
