fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-2.177585,-0.42017606,-0.7433779,-0.0616346,0.29878187,0.3313899,-0.0037086504,-0.31846863,-0.040639948,-0.39516354,-0.93224716,0.324961,0.507689
-0.83586824,-0.037132766,-0.043740273,0.17059554,0.8117121,-0.28571698,0.95802325,-0.04939747,0.60674506,0.7543593,0.23462982,-0.7076132,-0.16540198
-3.317941,-0.22900021,-0.46209913,-0.6461508,0.3881435,-0.99357635,-0.47087955,-0.63829625,-0.21781106,0.0011329157,0.4015675,0.23517802,0.5190213
-1.5009623,0.094806075,-0.8314838,-0.026791552,-0.8831201,-0.062174786,-0.0798634,0.03420973,0.46813446,-0.01228364,-0.1908508,-0.17244896,0.6981382
-1.5439982,0.59128547,-0.9578315,0.02137076,0.15074942,0.13975711,0.24853462,0.52690625,-0.38286602,0.21036318,-0.30491745,0.13788557,-0.41884062
-0.8296484,-0.21686816,-0.46163842,0.6600361,-0.15513468,-0.35835424,0.25321686,0.8109915,-0.5683656,0.83574975,-0.16486086,-0.18153629,0.01510787
-0.19070244,-0.32673007,0.11647662,-0.8759126,-0.862588,0.0870499,0.81781495,-0.97532207,0.05412726,0.82839245,-0.28995052,0.04119767,0.80563766
-2.661526,0.70504147,0.8153966,0.075708695,0.45276096,-0.30659345,0.029984957,0.035360064,-0.24677259,-0.6241922,-0.097332954,-0.49804044,-0.17821202
-1.4915297,-0.18950672,0.0073801745,-0.5163589,0.15510295,-0.61107934,-0.28865623,-0.76310444,-0.72618127,0.119494356,-0.012867346,-0.1842478,0.69512284
-1.1051077,-0.2671153,-0.1357044,0.17945564,-0.64237666,-0.21560463,0.5569166,0.147735,0.94684553,0.3348147,-0.42154083,0.3664284,-0.6536966
-1.6089832,0.6591917,-0.80569977,-0.19287308,0.39615753,-0.95727074,-0.12782349,-0.52763194,0.8271799,-0.19252421,0.13798112,0.63325894,-0.04985049
-11.918439,-0.4849689,-0.65100396,-0.12108412,0.019347548,-0.32270014,-0.9095867,0.16046566,-0.5030808,0.24269523,0.90231436,0.36889142,0.7810312
-1.3928088,-0.5871416,0.86870027,0.9152567,0.08164765,-0.23403984,-0.5741312,-0.15371463,-0.60141385,-0.13736479,-0.019380493,-0.18844043,-0.4814092
-0.07607655,0.89844036,0.18566327,-0.33631656,-0.035676386,-0.62852854,0.72276014,0.20273615,-0.94085467,0.55898523,0.14551142,-0.18032347,-0.17194854
-1.4005592,0.29131237,0.5164712,-0.21996759,-0.40336028,0.16749814,-0.26751953,-0.38539875,0.512218,0.8229392,0.06999791,0.04416531,0.118510485
-1.937359,0.8421625,0.45287266,0.47051907,-0.59819967,0.16544472,-0.2607315,0.4581647,0.3415225,-0.18129937,0.73180395,5.783043E-5,-0.31290594
-1.4584123,0.15737282,0.5847871,-0.54233223,-0.10132296,-0.016222835,0.24847864,0.06757485,-0.7422798,0.4242135,0.7305847,-0.23387158,-0.87097955
-1.1121062,0.5718683,-0.82247734,0.31688094,-0.1688597,-0.4238612,0.8953218,0.2432595,0.2636322,-0.24351045,-0.6140393,-0.82932234,0.83621126
-1.0571754,-0.119280614,-0.9715762,0.20525387,-0.27154198,-0.36630595,0.46282592,0.3467778,-0.05151241,0.6622812,0.04434096,0.70981544,0.56422544
-1.573852,-0.2250407,-0.14808284,-0.1343193,-0.059242412,0.030223487,-0.43638113,0.4612883,0.9933381,0.31888875,0.12310238,-0.032800566,0.13927747
-1.3572911,0.7676306,0.69046474,0.13822222,0.1585772,0.42932075,0.24286757,0.76510656,-0.68228006,0.060085032,0.34298635,-0.066941775,0.57896554
-1.3637764,0.1545645,-0.10583377,-0.6009649,-0.03340733,0.13532685,0.059272245,0.51778436,-0.8054006,0.1168013,0.341346,0.68446374,-0.18436065
-1.1244115,0.5047777,-0.111429706,0.046222016,0.24417739,-0.27001777,0.3991287,-0.08596876,-0.3167418,0.41031972,-0.49015722,0.8494651,0.49406162
-1.1879475,0.36695808,0.7130593,-0.48771515,0.047678232,-0.6634243,0.17438097,0.33374795,-0.38275537,0.30819482,0.19887118,0.42860782,0.5256255
-0.9369833,0.14584637,0.30136275,-0.017722437,-0.17073631,0.1686376,0.48621714,0.32377294,-0.20140348,0.44230223,-0.61170286,0.5662665,0.8585603
-1.9037392,0.9882149,0.70515835,-0.3485123,0.019672018,-0.012864249,0.35670447,0.092516154,0.84554446,-0.4022173,-0.27526945,-0.07534397,0.09146759
-0.30188227,0.80876696,-0.4598458,-0.44219822,-0.31884748,0.13174944,0.27441797,0.1492536,-0.5381434,0.44002518,0.25506774,-0.35309356,0.038036026
-1.4730486,0.26886606,-0.9857361,0.09233694,0.294003,0.33377564,-0.26612902,0.9891433,-0.2769879,0.36097604,-0.50347066,-0.012780899,-0.047700644
-1.6733334,-0.37624717,0.4222948,-0.69982,-4.7166835E-4,-0.26194718,0.07743103,0.385674,0.68913686,0.38428938,-0.55666536,0.11545696,-0.70264536
-1.1873214,0.9785228,0.37363708,-0.27100268,0.42510548,0.3549283,0.30154485,0.033552647,-0.3914245,0.9311096,0.64153475,-0.11793418,-0.32656348
-8.172779,0.21765268,0.07745206,0.049850296,-0.07718527,0.8849098,-0.23219056,0.15653369,0.25332972,-0.06599156,0.76753306,-0.13509095,0.13028766
