neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.28974178,0.098771505,0.43201184,0.0,0.65561575,0.0
0.11815703,0.098771505,0.33828324,0.0,0.737835,0.0
-0.035699986,0.098771505,0.22262435,0.0,0.79580665,0.0
-0.16014014,0.098771505,0.09346815,0.0,0.83537686,0.0
-0.25303462,0.098771505,-0.038663194,0.0,0.8619412,0.0
-0.3179189,0.098771505,-0.16438328,0.0,0.879604,0.0
-0.36016974,0.098771505,-0.27757332,0.0,0.89121205,0.0
-0.38494772,0.098771505,-0.3756175,0.0,0.89865935,0.0
-0.3964983,0.098771505,-0.45845127,0.0,0.90319014,0.0
-0.3981087,0.098771505,-0.527408,0.0,0.9056265,0.0
-0.39228305,0.098771505,-0.5843642,0.0,0.90652037,0.0
-0.3809412,0.098771505,-0.6312484,0.0,0.9062512,0.0
-0.3655789,0.098771505,-0.6698138,0.0,0.90508676,0.0
-0.34738067,0.098771505,-0.7015598,0.0,0.9032211,0.0
-0.3272954,0.098771505,-0.72772807,0.0,0.90079844,0.0
-0.30608568,0.098771505,-0.7493294,0.0,0.89792836,0.0
-0.284361,0.098771505,-0.7671793,0.0,0.89469546,0.0
-0.26260224,0.098771505,-0.78193325,0.0,0.891166,0.0
-0.24118052,0.098771505,-0.79411745,0.0,0.88739216,0.0
-0.22037417,0.098771505,-0.8041549,0.0,0.8834155,0.0
-0.20038344,0.098771505,-0.81238633,0.0,0.8792688,0.0
-0.18134423,0.098771505,-0.81908715,0.0,0.8749782,0.0
-0.16334036,0.098771505,-0.8244803,0.0,0.87056416,0.0
-0.14641461,0.098771505,-0.82874733,0.0,0.86604303,0.0
-0.13057812,0.098771505,-0.83203626,0.0,0.8614276,0.0
-0.115818426,0.098771505,-0.8344685,0.0,0.85672784,0.0
-0.10210611,0.098771505,-0.836144,0.0,0.85195166,0.0
-0.08940002,0.098771505,-0.8371452,0.0,0.8471054,0.0
-0.077651635,0.098771505,-0.8375406,0.0,0.842194,0.0
-0.06680817,0.098771505,-0.83738744,0.0,0.8372218,0.0
-0.05681514,0.098771505,-0.83673346,0.0,0.8321925,0.0
-0.047618113,0.098771505,-0.83561903,0.0,0.82710934,0.0
-0.03916405,0.098771505,-0.8340785,0.0,0.82197565,0.0
-0.03140216,0.098771505,-0.8321412,0.0,0.81679463,0.0
-0.024284467,0.098771505,-0.8298327,0.0,0.8115698,0.0
-0.01776617,0.098771505,-0.8271753,0.0,0.8063049,0.0
-0.011805763,0.098771505,-0.824189,0.0,0.80100375,0.0
-0.0063650617,0.098771505,-0.82089186,0.0,0.79567105,0.0
-0.0014091698,0.098771505,-0.81730044,0.0,0.7903115,0.0
0.0030937484,0.098771505,-0.81343055,0.0,0.7849305,0.0
0.0071725952,0.098771505,-0.80929726,0.0,0.7795338,0.0
0.010853601,0.098771505,-0.8049153,0.0,0.7741274,0.0
0.01416058,0.098771505,-0.80029947,0.0,0.76871806,0.0
0.017115137,0.098771505,-0.79546463,0.0,0.76331246,0.0
0.019736981,0.098771505,-0.79042584,0.0,0.7579178,0.0
0.022044161,0.098771505,-0.78519875,0.0,0.7525414,0.0
0.024053322,0.098771505,-0.7797994,0.0,0.7471908,0.0
0.025779929,0.098771505,-0.7742445,0.0,0.74187326,0.0
0.027238492,0.098771505,-0.76855123,0.0,0.7365962,0.0
0.028442828,0.098771505,-0.7627373,0.0,0.7313669,0.0
0.029406173,0.098771505,-0.75682086,0.0,0.7261921,0.0
0.030141411,0.098771505,-0.7508205,0.0,0.7210784,0.0
0.0306612,0.098771505,-0.74475515,0.0,0.7160317,0.0
0.030978115,0.098771505,-0.73864365,0.0,0.71105736,0.0
0.031104742,0.098771505,-0.73250484,0.0,0.7061601,0.0
0.031053754,0.098771505,-0.72635746,0.0,0.701344,0.0
0.030837987,0.098771505,-0.72021955,0.0,0.6966121,0.0
0.030470418,0.098771505,-0.71410877,0.0,0.6919668,0.0
0.029964224,0.098771505,-0.7080418,0.0,0.68740934,0.0
0.029332738,0.098771505,-0.7020343,0.0,0.68294036,0.0
0.028589437,0.098771505,-0.69610083,0.0,0.6785595,0.0
0.027747849,0.098771505,-0.6902545,0.0,0.6742655,0.0
0.026821496,0.098771505,-0.68450695,0.0,0.6700564,0.0
0.025823807,0.098771505,-0.6788684,0.0,0.6659293,0.0
0.024768056,0.098771505,-0.67334723,0.0,0.6618809,0.0
0.023667213,0.098771505,-0.6679502,0.0,0.657907,0.0
0.022533888,0.098771505,-0.6626823,0.0,0.654003,0.0
0.021380177,0.098771505,-0.65754694,0.0,0.65016395,0.0
0.020217609,0.098771505,-0.6525458,0.0,0.64638436,0.0
0.019057063,0.098771505,-0.6476791,0.0,0.64265865,0.0
0.017908659,0.098771505,-0.64294535,0.0,0.63898104,0.0
0.016781686,0.098771505,-0.6383419,0.0,0.6353458,0.0
0.01568457,0.098771505,-0.63386494,0.0,0.6317472,0.0
0.014624806,0.098771505,-0.6295093,0.0,0.6281795,0.0
0.013608962,0.098771505,-0.6252692,0.0,0.62463737,0.0
0.012642597,0.098771505,-0.6211378,0.0,0.6211155,0.0
0.01173034,0.098771505,-0.61710787,0.0,0.6176092,0.0
