fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-5.702015,-0.6586688,-0.40402433,0.38443112,-0.30172625,-0.57269216,-0.36787456,0.7917529,0.59377635,0.44300276,0.32789487,0.12949324,-0.12864771
-3.8428473,0.26190943,-0.42222568,0.108942665,-0.47611302,-0.7579268,0.26219133,-0.5544301,0.28526008,-0.5313761,-0.6411617,0.71885693,0.90654117
-0.36196482,0.5037689,0.30891454,-0.70553017,-0.33620048,-0.42492077,0.89430857,0.5941338,-0.1854279,0.29813012,-0.1961693,0.07630659,-0.108966194
-0.775569,-0.055100486,0.7438438,0.59215313,-0.81620795,0.1243726,0.3014618,0.14685494,-0.3188809,-0.02751455,0.38389856,-0.15780486,-0.1540972
-2.0963726,-0.55102026,0.21508093,-0.68031687,0.21713534,0.10929322,-0.6814841,-0.92386025,0.6136526,0.031592775,-0.27187556,-0.6539795,0.8838536
-29.639107,-0.211303,-0.21349296,0.7911789,-0.1619507,0.13181314,0.8549076,-0.63152736,-0.31528914,-0.52289647,0.10790449,0.5911608,0.023207001
-1.5340593,-0.299481,0.55585593,0.68837154,-0.43568677,-0.075831965,0.023762705,-0.0835669,-0.25924388,0.0428077,-0.337381,0.088219166,0.48456317
-1.7479529,-0.7390927,0.10643796,0.45619875,-0.6846622,-0.19731034,0.13859066,0.31541058,0.5980444,-0.16936605,-0.45587265,0.38826728,0.3343895
-0.53266203,-0.16960636,0.64487296,-0.18953307,-0.44446045,0.10046961,0.5229274,0.65712506,-0.11776805,0.7216987,-0.53917056,0.10409909,-0.14490712
-1.1933949,-0.32249737,-0.9136482,0.13657689,0.24280196,0.93812704,0.41889668,-0.7718974,0.19380423,-0.045494556,0.036728844,-0.30351272,0.86303717
-1.1383717,-0.12591736,0.430508,-0.28279912,0.47923738,0.25964862,0.5876279,0.2176336,-0.036621332,0.14591266,0.10676176,0.2761682,0.6105186
-3.8848562,-0.12665989,0.14880706,0.62227166,-0.51184547,0.030371282,-0.56708676,-0.81272054,0.0650863,0.22227347,0.19189876,-0.524091,-0.29265094
-2.5702398,-0.35397395,0.41332644,-0.4626257,-0.43167934,-0.47838277,-0.727114,-0.6284745,0.085803874,0.62362564,-0.043665648,0.15735786,-0.6706479
-1.5144866,-0.16106293,0.13841613,0.05839721,0.1128571,-0.28711772,-0.39864227,-0.8734115,0.61073047,0.80037916,0.5865602,-0.12580298,0.10199523
-1.6653019,0.111666456,0.51587886,0.26701033,0.88352185,0.24125984,0.22522756,-0.96982294,0.5750193,0.01173792,-0.5563154,-0.79305965,-0.30761933
-0.4442088,-0.5120663,0.6576381,-0.20332858,0.43468022,-0.24190605,0.43998012,-0.6563933,0.37172794,0.42373058,-0.028109012,-0.99681115,-0.03418
-1.3828012,-0.57352173,-0.11067808,0.24584317,-0.9084891,0.6549743,-0.492915,0.26225653,-0.5025537,0.6663391,0.71307635,-0.84364766,-0.17527136
-2.4677782,0.040496677,-0.3234817,-0.69333935,-0.08356603,-0.13644998,0.41803187,-0.4036559,0.39129177,-0.2841673,0.62558705,0.18261518,-0.30150577
-2.3941314,-0.41836753,-0.10855646,0.40992606,-0.2915101,-0.104899295,-0.5973131,-0.22626103,0.81260574,0.060388066,0.105397046,0.3886397,-0.532301
-0.9647795,-0.74721414,0.29726553,-0.17941263,-0.20940079,-0.77255535,0.56543463,-0.1948358,0.56975293,0.22419825,0.37442312,0.57468563,-0.6755735
-2.8872225,-0.19151331,0.8064247,-0.67937917,0.42308533,0.7972572,0.34603402,-0.9291157,-0.10466836,-0.90716916,-0.7016004,-0.12299693,0.73813134
-1.5085466,0.033036757,-0.5083603,0.4040181,-0.5907171,0.373133,0.24864303,-0.76474774,-0.8015954,-0.05859053,-0.95098424,0.030958617,-0.33150515
-0.62914675,-0.039874736,0.038457267,0.23219334,-0.17215088,0.20942846,0.3934679,-0.33917406,-0.4987582,0.004459156,0.04494989,0.059574705,-0.10886989
-0.9427929,-0.037753772,0.21658944,0.12426788,0.9308507,0.4358749,0.7958369,0.3595923,-0.29743746,0.65447396,-0.40472665,-0.30532217,0.24095316
-1.7020774,-0.10706734,-0.8252243,0.7241971,-0.08230037,-0.71280396,0.9641293,-0.4791692,0.5732362,-0.6441582,0.19582464,-0.72216064,0.25862136
-2.8825927,0.27749145,-0.6685755,0.9030239,0.93538296,-0.8675116,-0.20121336,-0.6802656,0.23932151,0.6750885,-0.7149359,-0.0387184,-0.164608
-1.5626423,-0.4372322,-0.7465234,0.6474179,-0.7726544,-0.32025892,0.2188278,-0.74360937,-0.22448623,-0.14263642,-0.33191088,-0.07043906,-0.31080866
-1.9759462,-0.59453726,-0.30534554,0.38393158,-0.66603565,0.045318738,-0.5582869,-0.014514591,-0.23093252,0.48792496,-0.5244247,0.18044546,-0.5704536
-1.4006993,0.3261912,-0.1901463,0.3138005,0.39375257,0.12628074,0.5366663,-0.74224484,0.6257974,0.8040604,-0.27627325,-0.27928483,-0.7534527
-1.2353307,-0.037329245,-0.3746794,0.17396419,0.46233138,-0.1052194,0.7060986,-0.29500458,-0.6917052,0.28474963,0.061282232,-0.45018286,0.04535171
-2.241318,-0.27279046,-0.7451299,0.4507496,-0.5433519,-0.8085565,-0.8250286,-0.85326904,0.01308854,0.5496812,0.1469481,0.061158776,-0.027941208
-0.2856631,-0.36358005,-0.2910309,-0.076866984,-0.75435483,-0.32861972,0.7309522,-0.13650572,0.450923,0.09121847,0.03694948,0.27311438,-0.065815754
-2.1857078,0.07300504,-0.7462404,-0.18851367,0.054028645,-0.3156124,0.05201855,-0.04014867,-0.18551159,-0.43239313,0.10081434,0.5122348,-0.049051013
-1.1988955,-0.7638211,0.65892076,-0.39747,-0.14070714,0.10174982,0.10467965,-0.040745854,-0.17777595,0.12625776,0.6779717,-0.26811758,-0.21760176
-2.1999924,-0.9499528,-0.64608544,-0.51450837,-0.5896522,0.12445479,0.6511075,-0.9922484,-0.16502792,0.06933944,-0.9886258,0.17691879,-0.9112412
-1.7795343,-0.05635822,-0.148355,-0.7844888,-0.074846126,-0.0575897,-0.059508696,0.7070408,-0.2906538,0.4471238,0.06927222,-0.28628787,-0.71944463
-2.6164947,-0.19515783,0.30634895,-0.3506286,-0.9200198,0.41945615,-0.61554295,-0.6858228,0.45217928,-0.52205026,-0.29824874,-0.00881207,0.5778539
-0.37653583,0.4696228,-0.023183199,-0.9125301,-0.5119512,-0.7952317,0.66823673,-0.7246677,-0.2938165,0.8585856,0.2579301,0.09026025,0.5319859
-2.6287835,0.7274939,0.11581734,0.1143906,-0.67907465,-0.4373582,-0.78291655,-0.47629347,-0.35292548,0.41183943,0.052542508,0.36371648,-0.541736
-6.0393043,-0.15087998,0.050997972,0.67417884,-0.20884687,0.038023066,0.75822586,0.16509852,0.25904357,-0.13755165,-0.0902685,-0.87644047,-0.2330073
-7.1856275,-0.4851444,0.04822814,0.7172285,0.14203157,-0.7099822,0.41876373,0.28607997,-0.34053904,0.044273455,0.031187734,-0.43207487,0.21905981
-1.5445987,0.3665174,0.9182067,-0.3481444,-0.3029929,0.1138448,-0.384766,0.18688549,-0.8288266,0.042376492,-0.2277338,-0.83902454,-0.060614944
