neur0,input0,neur1,input1,neur2,input2
0.45836025,0.0,0.45451438,0.0,0.5232685,0.0
0.39193392,0.039989334,0.40595686,0.0,0.5742276,0.0
0.3314153,0.07991469,0.35967448,0.0,0.6148441,0.0
0.27774978,0.119712204,0.3161842,0.0,0.6471423,0.0
0.23115206,0.15931821,0.2757948,0.0,0.67282236,0.0
0.19133624,0.19866931,0.23863964,0.0,0.6932574,0.0
0.15772927,0.23770262,0.20471632,0.0,0.70953214,0.0
0.12963076,0.27635565,0.17392546,0.0,0.7224946,0.0
0.106316745,0.31456655,0.14610395,0.0,0.73280525,0.0
0.08709879,0.3522742,0.12105134,0.0,0.7409795,0.0
0.071353056,0.38941833,0.09854932,0.0,0.7474208,0.0
0.05853062,0.42593947,0.0783756,0.0,0.75244737,0.0
0.04815745,0.46177918,0.06031294,0.0,0.75631166,0.0
0.039829098,0.4968801,0.044154905,0.0,0.75921553,0.0
0.03320316,0.5311862,0.029709024,0.0,0.76132196,0.0
0.027991202,0.5646424,0.0167983,0.0,0.7627631,0.0
0.023951005,0.59719545,0.005261543,0.0,0.7636472,0.0
0.020879548,0.628793,-0.005046987,0.0,0.76406336,0.0
0.01860683,0.65938467,-0.014258392,0.0,0.7640857,0.0
0.016990567,0.68892145,-0.022490174,0.0,0.7637758,0.0
0.015911669,0.7173561,-0.029847352,0.0,0.76318544,0.0
0.0152704315,0.7446431,-0.036423642,0.0,0.7623582,0.0
0.014983342,0.7707389,-0.042302556,0.0,0.76133084,0.0
0.014980392,0.7956016,-0.047558464,0.0,0.7601347,0.0
0.015202851,0.8191916,-0.05225756,0.0,0.7587962,0.0
0.015601407,0.84147096,-0.056458756,0.0,0.757338,0.0
0.016134605,0.8624042,-0.060214482,0.0,0.7557793,0.0
0.016767565,0.88195777,-0.0635714,0.0,0.75413656,0.0
0.017470902,0.90010047,-0.066571064,0.0,0.7524235,0.0
0.018219823,0.9168031,-0.06925045,0.0,0.7506521,0.0
