neur0,input0,neur1,input1,neur2,input2
0.45819762,0.0,0.45791852,0.0,0.52555096,0.0
0.4085474,0.007047864,0.4646768,0.0,0.57535225,0.0
0.35163158,0.014078877,0.47396004,0.0,0.6180558,0.0
0.2884628,0.02107623,0.48517582,0.0,0.65437174,0.0
0.22029607,0.028023226,0.4978045,0.0,0.6850231,0.0
0.14858021,0.0349033,0.5114019,0.0,0.7107123,0.0
0.07486707,0.04170008,0.52559704,0.0,0.7320981,0.0
6.998329E-4,0.04839744,0.54008675,0.0,0.7497821,0.0
-0.072495885,0.054979533,0.55462843,0.0,0.76430154,0.0
-0.14349797,0.06143085,0.5690321,0.0,0.7761277,0.0
-0.21133944,0.06773625,0.5831524,0.0,0.785668,0.0
-0.27532437,0.07388103,0.59688145,0.0,0.7932709,0.0
-0.3350143,0.07985092,0.61014193,0.0,0.79923147,0.0
-0.39019504,0.08563219,0.6228811,0.0,0.80379844,0.0
-0.44083348,0.0912116,0.635066,0.0,0.8071806,0.0
-0.4870332,0.096576534,0.64667886,0.0,0.80955267,0.0
-0.5289931,0.10171498,0.65771395,0.0,0.811061,0.0
-0.56697315,0.10661558,0.66817427,0.0,0.81182843,0.0
-0.60126656,0.111267604,0.6780696,0.0,0.81195796,0.0
-0.6321796,0.11566114,0.6874145,0.0,0.8115363,0.0
-0.66001713,0.11978692,0.6962268,0.0,0.81063694,0.0
-0.68507254,0.12363648,0.7045265,0.0,0.8093221,0.0
-0.7076222,0.12720214,0.71233505,0.0,0.8076449,0.0
-0.7279219,0.13047703,0.7196744,0.0,0.8056507,0.0
-0.7462055,0.13345513,0.72656673,0.0,0.8033786,0.0
-0.762685,0.13613121,0.733034,0.0,0.8008622,0.0
-0.7775512,0.13850097,0.7390976,0.0,0.7981307,0.0
-0.7909748,0.14056094,0.7447783,0.0,0.7952095,0.0
-0.8031083,0.14230852,0.7500959,0.0,0.79212075,0.0
-0.8140871,0.14374202,0.7550695,0.0,0.7888839,0.0
-0.8240318,0.14486064,0.7597171,0.0,0.7855159,0.0
-0.83304906,0.14566444,0.7640558,0.0,0.78203183,0.0
-0.8412336,0.1461544,0.7681017,0.0,0.7784449,0.0
-0.8486693,0.14633237,0.77186996,0.0,0.7747668,0.0
-0.8554306,0.14620106,0.77537477,0.0,0.77100784,0.0
-0.86158335,0.1457641,0.7786295,0.0,0.7671773,0.0
-0.86718607,0.1450259,0.78164655,0.0,0.76328313,0.0
-0.8722906,0.14399178,0.7844377,0.0,0.7593328,0.0
-0.8769432,0.14266783,0.78701365,0.0,0.7553324,0.0
-0.88118464,0.14106096,0.78938466,0.0,0.75128776,0.0
