fitness,g0,g1,g2,g3,g4,g5
0.63124514,-0.2454871,-0.6222613,0.77783954,-0.94996643,-0.9527869,0.2624545
0.6315271,0.9614663,-0.5812938,-0.59477377,0.78094196,-0.83771527,0.60890925
0.63122505,0.8217063,-0.24378216,-0.45480514,-0.37818265,0.36577678,-0.32312334
0.6316014,0.27900577,-0.82673645,-0.4701649,-0.106063485,-0.4720863,0.47478116
0.6317183,0.4963386,0.38486016,0.30592763,-0.7925488,-0.75106084,-0.8195194
0.63152486,0.43039262,0.8215219,-0.11655009,-0.34377038,-0.2333858,0.41543818
0.6332141,0.9095954,0.2681204,0.2822212,0.42727435,0.6571851,0.43374574
0.63349557,-0.46356213,-0.45952702,-0.82984555,-0.043972135,0.9156383,0.318897
0.63126427,-0.14108765,-0.8648143,-0.8741462,0.4679284,0.8380357,-0.15708864
0.63125575,0.97763693,-0.20576012,-0.38269925,-0.45375776,-0.9222301,-0.8233372
0.63308823,-0.76945126,-0.47444856,0.6805191,0.13731849,0.48485124,0.62205064
0.6316339,-0.8498311,-0.43315434,0.036747217,0.71341777,0.6636629,-0.53596497
0.6320897,0.67231405,0.3945552,0.59091485,0.04749906,-0.78096235,0.71168137
0.6314745,-0.1540829,0.6652843,-0.40831065,-0.7618555,-0.773875,0.75712955
0.63315696,-0.0051773787,0.4742707,0.62786174,0.26574695,0.98201025,0.3519709
0.63165903,0.4463619,0.5490297,0.22021341,-0.7474636,0.64883435,0.47217464
0.6309075,0.7285125,-0.06236458,-0.6889342,0.5255854,0.3331896,-0.13593078
0.63090956,0.14553308,0.7593472,0.19039285,0.5067122,-0.9161148,0.033208966
0.63143665,-0.5676284,0.8771697,0.020091057,0.75862956,-0.4836024,-0.6406672
0.63143945,0.7844658,-0.9043405,-5.7399273E-4,0.47489154,-0.0541656,-0.94806397
0.63148487,0.9908265,-0.812989,-0.25524974,-0.10165167,-0.7374984,-0.9576454
0.6316496,0.1688571,0.44529355,-0.31081676,-0.34313262,0.8258941,0.6229361
0.63141346,-0.71923804,-0.7526113,0.42477322,0.62794495,0.70546186,-0.47484994
0.6320635,0.5641974,0.2519492,0.8220495,0.012624264,0.2811762,0.8897209
0.63125104,-0.44438243,-0.37050748,0.4828571,-0.08743799,0.34778333,-0.6917646
