Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.78648704,-6.188455,-0.58538073,118.24215
2,0.78648704,-4.137143,-0.41119954,65.86968
3,0.828815,-2.7887118,-0.24501571,45.638714
4,0.828815,-5.945947,-0.26592258,79.221176
5,0.828815,-4.751899,-0.18929867,74.94309
6,0.828815,-3.8407066,-0.22880243,62.67995
7,0.828815,-4.92887,-0.15578452,80.491455
8,0.86577654,-5.772852,-0.25278196,95.77822
9,0.86577654,-3.2653816,-0.060991812,69.07811
10,0.86577654,-4.3352976,-0.11079413,78.41101
11,0.86577654,-6.837069,-0.25153074,141.2409
12,0.86577654,-4.547046,-0.100559615,84.1295
13,0.86577654,-7.4086895,-0.122052014,112.43084
14,0.86577654,-4.2655625,-0.20703535,95.95211
15,0.86577654,-8.55859,-0.31315568,171.04918
16,0.86577654,-6.091571,-0.298802,153.61502
17,0.86577654,-4.032342,-0.23277472,93.682045
18,0.86577654,-4.510084,-0.16915259,95.23603
19,0.86577654,-4.3325267,-0.16702086,87.449005
20,0.86577654,-4.362779,-0.17810245,102.22187
21,0.86577654,-3.3922892,-0.09859784,52.71927
22,0.8852683,-5.1619625,-0.11413579,74.220604
23,0.8852683,-8.245964,-0.2056371,137.63315
24,0.8852683,-6.410194,-0.14842914,135.37085
25,0.8852683,-3.4712162,-0.095258996,58.132298
26,0.8852683,-3.7157779,-0.099262066,75.155365
27,0.8852683,-3.7157779,-0.18563981,89.91683
28,0.8852683,-4.9492536,-0.3524432,145.93825
29,0.8852683,-5.3573666,-0.25815403,151.36131
30,0.8852683,-6.2058415,-0.1676194,119.185646
31,0.8852683,-6.56206,-0.38426617,188.28001
32,0.8852683,-10.240775,-0.39654332,290.7542
33,0.8852683,-7.191217,-0.28117555,172.60124
34,0.8852683,-8.816153,-0.17712152,167.61723
35,0.8852683,-5.4409266,-0.13547726,80.350174
36,0.8852683,-3.0810049,-3.1909943E-4,39.489967
37,0.8852683,-13.062757,-0.25566232,240.2386
38,0.8852683,-5.8832817,-0.22128507,103.115524
39,0.8852683,-5.8832817,-0.23110811,109.32595
40,0.8852683,-2.972081,-0.15744969,73.42266
41,0.8852683,-6.9144993,-0.2117355,112.27603
42,0.8852683,-5.691868,-0.13895667,96.81175
43,0.8852683,-6.214889,-0.10723507,84.24518
44,0.8852683,-7.2028375,-0.1752869,121.712074
45,0.8852683,-7.2028375,-0.10617553,122.48798
46,0.8852683,-5.624558,-0.18948406,116.4789
47,0.8852683,-5.6425614,-0.24051939,102.29408
48,0.8852683,-8.470321,-0.11648298,129.98158
49,0.8852683,-8.470321,-0.31741446,203.10757
50,0.8852683,-8.143782,-0.35310483,209.38661
51,0.8852683,-5.098695,-0.32143387,146.37231
52,0.8852683,-5.6160765,-0.2823021,127.52647
53,0.8852683,-3.5299444,-0.2276078,88.758865
54,0.8852683,-5.0705304,-0.32701442,116.35434
55,0.8852683,-3.5299444,-0.16893405,48.722687
56,0.9034404,-5.0329375,-0.1136879,91.98575
57,0.9034404,-5.9201565,-0.22641511,117.20833
58,0.9034404,-5.3100843,-0.2814229,117.94324
59,0.9034404,-9.500063,-0.33015242,193.67361
60,0.9034404,-5.4704633,-0.25276655,119.94999
61,0.9034404,-5.5779753,-0.1657189,100.7385
62,0.9034404,-3.0742233,-0.24700248,83.17869
63,0.9034404,-3.201849,-0.221135,86.539375
64,0.9034404,-3.4384127,-0.16325885,77.54406
65,0.9034404,-7.150826,-0.26778507,162.33551
66,0.9034404,-9.159087,-0.26887023,168.47804
