neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5109763,0.0,0.51308227,0.0,0.51582223,0.0
0.45977905,0.01562159,0.50773335,0.0,0.50373685,0.0,0.4971117,0.0,0.50643754,0.0
0.4595217,0.031142164,0.49894816,0.0,0.49638256,0.0,0.4822177,0.0,0.4964829,0.0
0.45815656,0.04646152,0.49105784,0.0,0.48901328,0.0,0.46832937,0.0,0.48612264,0.0
0.45578107,0.06148113,0.4838438,0.0,0.48169953,0.0,0.45537618,0.0,0.47550175,0.0
0.45249388,0.07610489,0.4771178,0.0,0.47448727,0.0,0.4432886,0.0,0.4647469,0.0
0.4483936,0.090239964,0.4707216,0.0,0.4674026,0.0,0.43199882,0.0,0.45396733,0.0
0.44357783,0.10379749,0.46452528,0.0,0.46045586,0.0,0.421441,0.0,0.44325575,0.0
0.43814194,0.11669333,0.458425,0.0,0.45364553,0.0,0.41155124,0.0,0.4326891,0.0
0.43217823,0.12884873,0.45234036,0.0,0.44696164,0.0,0.4022681,0.0,0.42232952,0.0
0.425775,0.14019094,0.44621184,0.0,0.44038853,0.0,0.39353257,0.0,0.4122255,0.0
0.4190156,0.15065382,0.43999764,0.0,0.43390745,0.0,0.3852882,0.0,0.40241313,0.0
0.41197768,0.16017829,0.4336714,0.0,0.42749834,0.0,0.37748152,0.0,0.3929172,0.0
0.40473264,0.16871281,0.42721957,0.0,0.42114154,0.0,0.3700621,0.0,0.38375264,0.0
0.39734498,0.17621379,0.420639,0.0,0.41481876,0.0,0.3629829,0.0,0.37492603,0.0
0.38987213,0.18264584,0.41393498,0.0,0.40851414,0.0,0.3562003,0.0,0.36643663,0.0
0.38236424,0.18798208,0.40711913,0.0,0.4022144,0.0,0.3496745,0.0,0.35827798,0.0
0.37486413,0.19220422,0.40020773,0.0,0.39590952,0.0,0.34336928,0.0,0.35043898,0.0
0.36740774,0.19530265,0.39322025,0.0,0.38959247,0.0,0.33725232,0.0,0.34290498,0.0
0.36002427,0.1972765,0.38617796,0.0,0.38325936,0.0,0.331295,0.0,0.3356588,0.0
0.35273668,0.19813347,0.37910274,0.0,0.3769091,0.0,0.3254726,0.0,0.3286817,0.0
0.34556228,0.1978898,0.37201628,0.0,0.37054318,0.0,0.31976372,0.0,0.3219541,0.0
0.33851337,0.19657002,0.3649393,0.0,0.3641651,0.0,0.3141505,0.0,0.31545615,0.0
0.3315979,0.19420642,0.35789096,0.0,0.35778034,0.0,0.30861834,0.0,0.30916843,0.0
0.32482004,0.1908391,0.35088852,0.0,0.35139555,0.0,0.30315533,0.0,0.30307218,0.0
0.31818092,0.18651518,0.34394708,0.0,0.34501848,0.0,0.29775247,0.0,0.2971497,0.0
0.31167924,0.18128845,0.33707947,0.0,0.33865738,0.0,0.2924029,0.0,0.2913846,0.0
0.30531183,0.17521887,0.33029622,0.0,0.33232087,0.0,0.28710198,0.0,0.28576195,0.0
0.2990741,0.16837183,0.32360566,0.0,0.3260174,0.0,0.28184676,0.0,0.2802683,0.0
0.29296073,0.16081758,0.31701404,0.0,0.3197553,0.0,0.2766358,0.0,0.2748918,0.0
0.28696573,0.15263061,0.31052575,0.0,0.31354222,0.0,0.27146873,0.0,0.26962206,0.0
0.2810831,0.14388876,0.30414352,0.0,0.30738533,0.0,0.26634634,0.0,0.2644502,0.0
0.27530688,0.13467269,0.29786876,0.0,0.30129102,0.0,0.26126984,0.0,0.2593686,0.0
0.26963148,0.12506492,0.2917016,0.0,0.2952649,0.0,0.25624117,0.0,0.25437105,0.0
