neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45960063,0.0,0.48002595,0.0,0.44598594,0.0,0.4152414,0.0,0.45864967,0.0
0.45217875,0.039989334,0.5468046,0.0,0.36380294,0.0,0.33083713,0.0,0.44908673,0.0
0.44506103,0.07991469,0.6124393,0.0,0.2868606,0.0,0.25988775,0.0,0.43977696,0.0
0.438251,0.119712204,0.67496395,0.0,0.21695296,0.0,0.20307717,0.0,0.43069404,0.0
0.4317515,0.15931821,0.7325828,0.0,0.15485166,0.0,0.1594465,0.0,0.42181244,0.0
0.42556477,0.19866931,0.78392935,0.0,0.10058111,0.0,0.12726009,0.0,0.41310963,0.0
0.4196925,0.23770262,0.82823175,0.0,0.05370695,0.0,0.10457586,0.0,0.40456665,0.0
0.41413572,0.27635565,0.86534005,0.0,0.0135601675,0.0,0.08954548,0.0,0.3961683,0.0
0.4088948,0.31456655,0.8956262,0.0,-0.02061572,0.0,0.080540724,0.0,0.38790268,0.0
0.4039695,0.3522742,0.91981274,0.0,-0.049578253,0.0,0.076186374,0.0,0.37976065,0.0
0.3993588,0.38941833,0.93879366,0.0,-0.07404018,0.0,0.07534987,0.0,0.37173563,0.0
0.39506108,0.42593947,0.9534897,0.0,-0.094648115,0.0,0.07711417,0.0,0.3638228,0.0
0.391074,0.46177918,0.96475506,0.0,-0.1119752,0.0,0.080746345,0.0,0.35601893,0.0
0.38739455,0.4968801,0.9733296,0.0,-0.12652154,0.0,0.085667334,0.0,0.3483221,0.0
0.38401905,0.5311862,0.9798253,0.0,-0.1387188,0.0,0.091424905,0.0,0.34073114,0.0
0.3809432,0.5646424,0.98473215,0.0,-0.14893652,0.0,0.09767029,0.0,0.3332457,0.0
0.37816206,0.59719545,0.98843336,0.0,-0.15748933,0.0,0.10413836,0.0,0.3258659,0.0
0.37567008,0.628793,0.9912242,0.0,-0.16464393,0.0,0.11063109,0.0,0.31859213,0.0
0.37346107,0.65938467,0.9933296,0.0,-0.17062564,0.0,0.117003836,0.0,0.31142506,0.0
0.37152842,0.68892145,0.9949195,0.0,-0.1756244,0.0,0.12315396,0.0,0.30436546,0.0
0.3698649,0.7173561,0.9961219,0.0,-0.17979999,0.0,0.12901175,0.0,0.29741412,0.0
0.3684629,0.7446431,0.9970329,0.0,-0.18328668,0.0,0.13453282,0.0,0.2905718,0.0
0.36731422,0.7707389,0.9977245,0.0,-0.18619715,0.0,0.13969222,0.0,0.2838393,0.0
0.36641034,0.7956016,0.99825066,0.0,-0.18862587,0.0,0.14447956,0.0,0.27721718,0.0
0.3657423,0.8191916,0.9986519,0.0,-0.19065203,0.0,0.14889531,0.0,0.27070594,0.0
0.36530086,0.84147096,0.99895865,0.0,-0.19234186,0.0,0.1529477,0.0,0.26430595,0.0
0.36507633,0.8624042,0.9991936,0.0,-0.19375086,0.0,0.15665044,0.0,0.25801748,0.0
0.36505884,0.88195777,0.9993741,0.0,-0.19492544,0.0,0.16002093,0.0,0.25184056,0.0
0.36523822,0.90010047,0.99951303,0.0,-0.19590436,0.0,0.16307886,0.0,0.2457752,0.0
0.3656041,0.9168031,0.9996202,0.0,-0.19672008,0.0,0.1658451,0.0,0.23982109,0.0
0.3661459,0.9320391,0.99970317,0.0,-0.19739966,0.0,0.16834103,0.0,0.23397796,0.0
0.36685285,0.94578403,0.9997674,0.0,-0.19796571,0.0,0.17058785,0.0,0.2282453,0.0
0.36771408,0.95801586,0.9998174,0.0,-0.19843712,0.0,0.17260623,0.0,0.22262253,0.0
0.36871862,0.9687151,0.9998563,0.0,-0.19882967,0.0,0.17441602,0.0,0.21710889,0.0
0.3698554,0.9778646,0.9998867,0.0,-0.19915648,0.0,0.17603604,0.0,0.2117036,0.0
0.3711134,0.98544973,0.9999104,0.0,-0.19942853,0.0,0.17748393,0.0,0.20640571,0.0
0.37248144,0.99145836,0.9999291,0.0,-0.19965495,0.0,0.17877617,0.0,0.20121421,0.0
0.37394843,0.99588084,0.99994373,0.0,-0.19984342,0.0,0.17992802,0.0,0.196128,0.0
0.37550327,0.99871016,0.99995524,0.0,-0.20000024,0.0,0.18095352,0.0,0.19114588,0.0
0.377135,0.9999417,0.9999643,0.0,-0.20013073,0.0,0.18186551,0.0,0.18626666,0.0
0.3788327,0.9995736,0.9999715,0.0,-0.20023927,0.0,0.18267576,0.0,0.18148899,0.0
0.38058546,0.9976064,0.99997723,0.0,-0.20032959,0.0,0.18339495,0.0,0.17681156,0.0
0.38238266,0.99404323,0.99998176,0.0,-0.20040472,0.0,0.18403277,0.0,0.17223294,0.0
0.3842137,0.98888975,0.99998534,0.0,-0.20046721,0.0,0.18459794,0.0,0.16775171,0.0
0.3860681,0.9821543,0.9999882,0.0,-0.20051919,0.0,0.1850984,0.0,0.16336642,0.0
