fitness,g0,g1
0.6902103,-0.052349567,-0.4247296
0.69020504,-0.4620931,-0.4989153
0.69021624,-0.76781595,0.432549
0.69022954,-0.57740223,0.8792248
0.6902333,-0.8762649,0.29902244
0.69022083,0.46140265,-0.6135576
0.69023675,-0.8194593,0.8873042
0.69020915,0.21136403,0.19777834
0.69020885,-0.16720712,-0.49446797
0.69022256,0.472237,-0.2691989
0.690233,0.6807945,-0.9747975
0.690189,-0.67707264,-0.91390276
0.6901951,-0.48032117,-0.9556819
0.69022304,0.38449144,-0.8169255
0.690182,-0.90930855,-0.75415397
0.6902037,0.3096999,0.59107804
0.6902062,0.55903435,-0.048508644
0.6901949,-0.5008373,-0.94418144
0.6901877,0.71827257,0.87078035
0.69018644,-0.9559827,-0.2788875
0.6902082,-0.07869661,-0.9545419
0.6902401,0.89517903,-0.95406425
0.69021994,-0.26211143,0.98919785
0.6902166,0.2591542,-0.5832106
0.69020563,-0.66125214,0.022622824
0.69019324,-0.7795845,-0.5446224
0.6902082,-0.3937837,-0.19635916
0.69023055,0.5903399,-0.97840154
0.69021004,-0.028536916,-0.9469086
0.69021004,0.9827093,-0.08815241
0.69020337,0.9782735,0.4757048
0.6902143,0.11577368,-0.74736667
0.6902245,-0.42660654,0.87637436
0.6902257,-0.6591238,0.58950496
0.69021344,0.12343538,-0.5282588
0.6902194,0.3976413,-0.3287059
0.6902139,0.15834844,-0.6029098
0.6902154,-0.60427463,-0.070332766
0.6902076,-0.1585505,-0.59143925
0.6902339,-0.9768704,0.6539917
0.6902058,0.16601777,0.7806679
0.69021183,-0.018924713,0.86151373
0.6902026,0.8784517,0.39913702
0.6902133,0.6454425,-0.13715053
0.6901821,-0.8720125,-0.9509493
0.6902109,-0.04523027,-0.4772117
0.6902105,-0.15701842,-0.1016916
0.6902271,0.5248172,-0.7835922
0.69020694,0.8337548,0.17639863
0.69020224,0.98969257,0.48050272
0.6901987,-0.37800133,-0.95151734
0.69020075,0.56953883,0.3603258
0.69018215,0.99674475,0.6847923
0.690206,0.86478436,0.45164013
0.6902124,0.29689705,-0.4746611
0.6902137,-0.1230433,0.6380857
0.6902282,-0.57967484,0.7399355
0.6902242,-0.74394274,0.52385736
0.69019306,0.5595219,0.8835312
0.69020927,-0.22550023,-0.43830466
0.69022477,0.66382205,-0.25314152
0.69021016,0.027610779,0.87618876
0.6902154,-0.37181532,0.4023919
0.69020325,-0.6393076,-0.21760893
0.69021523,-0.79146373,0.445621
0.69021094,0.022647858,-2.5117397E-4
0.69020295,-0.33632123,-0.5683657
0.6902211,-0.45383036,0.56134164
0.6902015,-0.87624204,-0.49298406
0.6902084,0.3544898,0.41843593
0.6901986,0.68529534,0.2370559
0.69020116,-0.40530694,-0.25964963
0.69020605,0.23278284,0.6282716
0.69020444,0.19759238,0.9096346
0.6902107,-0.013161302,-0.6537579
0.6902093,0.16416669,0.21255922
0.69020754,0.7789277,0.12875533
0.6901812,-0.92143846,-0.7750803
0.6902123,0.052642107,-0.60573196
0.6901839,0.84765196,0.8931513
0.69023085,0.5915462,-0.95432305
0.6902019,-0.33283162,-0.68924165
0.69022924,0.973583,-0.5305966
0.6902098,0.21438396,0.19005406
0.6902297,0.75204384,-0.27020907
0.6901787,-0.93263435,-0.97078586
0.6902162,-0.63690054,-0.041185975
0.6902083,0.3507867,-0.025357366
0.6902189,-0.24010539,0.9411005
0.69020224,0.6083026,0.3786497
0.69021,-0.2267952,-0.10573411
0.6902101,-0.0985111,0.05244279
0.6902157,0.1986556,-0.5554397
0.6902096,0.13534129,0.21442974
0.690191,0.61050415,0.7978281
0.6901985,-0.38966072,-0.86616576
0.6902117,-0.09801662,0.10577953
0.69022566,0.8010714,-0.5303755
0.690229,0.55220926,-0.9724244
0.690202,0.36142302,0.30475354
