Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.7659128,-3.4355798,-0.4091829,53.09315
2,0.8578406,-8.126571,-0.4871934,176.93307
3,0.8578406,-8.126571,-0.48410225,194.18752
4,0.8578406,-14.772588,-0.50614107,328.8752
5,0.8578406,-2.987866,-0.3000104,58.176735
6,0.8578406,-3.0437756,-0.19036962,69.087166
7,0.8578406,-2.5189898,-0.09080171,38.68398
8,0.8648768,-8.4387,-0.08585713,107.696846
9,0.8648768,-7.949644,-0.19280496,149.11969
10,0.8648768,-7.344682,-0.18713571,128.8677
11,0.8648768,-3.7778945,-0.1693205,78.17429
12,0.8648768,-10.385355,-0.351458,179.3785
13,0.8648768,-4.918113,-0.2783529,119.53997
14,0.8648768,-5.266624,-0.08454159,70.28617
15,0.8648768,-3.9811773,-0.13700408,69.21108
16,0.8648768,-5.5385303,-0.3290219,141.89505
17,0.8648768,-6.7303796,-0.16981097,97.55001
18,0.8648768,-2.2528133,-0.006023575,41.57216
19,0.8648768,-13.158224,-0.13037312,215.03262
20,0.8648768,-6.8478847,-0.17361346,122.03375
21,0.8648768,-6.799401,-0.34571347,205.74458
22,0.8709485,-6.799401,-0.18840925,116.233955
23,0.8709485,-9.379719,-0.27568832,182.10326
24,0.8709485,-3.6078749,-0.1303866,81.39151
25,0.8709485,-8.073064,-0.4037128,191.71428
26,0.8709485,-12.450586,-0.31232104,262.6664
27,0.8709485,-11.56009,-0.29113334,206.69794
28,0.8709485,-4.9875355,-0.09283618,86.87628
29,0.8709485,-5.8816404,-0.12406251,88.122406
30,0.8709485,-11.750283,-0.20682031,196.80313
31,0.8709485,-11.750283,-0.43713692,291.3247
32,0.8709485,-3.233453,-0.21433565,78.347565
33,0.8709485,-3.5981793,-0.1723557,72.46475
34,0.8709485,-5.2998433,-0.35736987,147.14806
35,0.8709485,-7.0117598,-0.1935005,118.51283
36,0.8709485,-4.1220765,-0.18443495,84.45458
37,0.8709485,-5.41137,-0.28797987,127.65563
38,0.8709485,-3.9652734,-0.15620346,75.12519
39,0.8709485,-9.323093,-0.3599342,195.56067
40,0.8709485,-3.9652734,-0.18261324,81.21998
41,0.8709485,-5.7163854,-0.36173892,152.93512
42,0.8709485,-5.436206,-0.34136176,141.49231
43,0.8709485,-4.5860295,-0.2190773,76.26053
