neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4598343,0.0,0.49020424,0.0,0.43761027,0.0,0.45347875,0.0,0.45784512,0.0
0.50148517,6.710867E-5,0.57725364,0.0,0.45055595,0.0,0.43900368,0.0,0.4464299,0.0
0.5433966,1.3421733E-4,0.66276264,0.0,0.46059778,0.0,0.42447618,0.0,0.4351799,0.0
0.5850683,2.0132598E-4,0.7416322,0.0,0.46787274,0.0,0.4099434,0.0,0.42410323,0.0
0.62597114,2.6843467E-4,0.8096973,0.0,0.4726899,0.0,0.39544958,0.0,0.4132072,0.0
0.6655768,3.355433E-4,0.8647409,0.0,0.47545645,0.0,0.38103408,0.0,0.4024981,0.0
0.7033908,4.0265196E-4,0.9067148,0.0,0.47659513,0.0,0.36673087,0.0,0.39198142,0.0
0.7389831,4.6976062E-4,0.93718123,0.0,0.4764823,0.0,0.35256863,0.0,0.38166186,0.0
0.77201396,5.3686934E-4,0.9584508,0.0,0.47541746,0.0,0.33857143,0.0,0.3715433,0.0
0.80224967,6.0397794E-4,0.9728724,0.0,0.47361898,0.0,0.32475978,0.0,0.36162892,0.0
0.8295676,6.710866E-4,0.98244685,0.0,0.4712345,0.0,0.31115124,0.0,0.35192114,0.0
0.8539507,7.3819526E-4,0.98871,0.0,0.46835613,0.0,0.2977613,0.0,0.34242186,0.0
0.8754734,8.053039E-4,0.9927659,0.0,0.46503475,0.0,0.28460374,0.0,0.33313227,0.0
0.89428264,8.724125E-4,0.99537474,0.0,0.4612917,0.0,0.27169123,0.0,0.32405296,0.0
0.91057676,9.3952124E-4,0.9970457,0.0,0.45712686,0.0,0.25903544,0.0,0.31518412,0.0
0.9245851,0.0010066299,0.99811316,0.0,0.45252454,0.0,0.24664745,0.0,0.30652532,0.0
0.9365505,0.0010737387,0.9987942,0.0,0.44745684,0.0,0.23453781,0.0,0.2980757,0.0
0.9467157,0.0011408472,0.99922866,0.0,0.44188586,0.0,0.22271682,0.0,0.28983408,0.0
0.9553132,0.0012079559,0.9995058,0.0,0.43576476,0.0,0.2111946,0.0,0.28179875,0.0
0.9625586,0.0012750647,0.99968284,0.0,0.429038,0.0,0.19998135,0.0,0.2739677,0.0
0.9686473,0.0013421732,0.99979603,0.0,0.4216411,0.0,0.18908736,0.0,0.26633865,0.0
0.9737528,0.0014092819,0.9998685,0.0,0.41350007,0.0,0.17852332,0.0,0.25890893,0.0
0.9780269,0.0014763905,0.99991506,0.0,0.40453008,0.0,0.16830043,0.0,0.2516757,0.0
0.98160106,0.0015434992,0.999945,0.0,0.39463443,0.0,0.1584306,0.0,0.24463578,0.0
0.98458767,0.0016106078,0.9999643,0.0,0.38370258,0.0,0.14892669,0.0,0.23778585,0.0
0.9870823,0.0016777165,0.99997675,0.0,0.3716082,0.0,0.13980278,0.0,0.23112233,0.0
0.9891659,0.001744825,0.9999848,0.0,0.35820678,0.0,0.13107438,0.0,0.2246415,0.0
0.9909063,0.0018119338,0.99999005,0.0,0.3433329,0.0,0.122758806,0.0,0.21833946,0.0
0.9923606,0.0018790425,0.9999935,0.0,0.32679686,0.0,0.1148755,0.0,0.21221213,0.0
0.99357635,0.0019461513,0.9999957,0.0,0.3083815,0.0,0.10744648,0.0,0.20625532,0.0
0.9945934,0.0020132598,0.99999714,0.0,0.28783828,0.0,0.10049671,0.0,0.2004647,0.0
0.9954447,0.0020803686,0.99999815,0.0,0.26488346,0.0,0.09405465,0.0,0.19483578,0.0
0.996158,0.0021474774,0.99999875,0.0,0.23919453,0.0,0.08815278,0.0,0.18936399,0.0
0.9967561,0.0022145857,0.99999917,0.0,0.21040776,0.0,0.08282817,0.0,0.18404458,0.0
0.9972581,0.0022816944,0.99999946,0.0,0.17811738,0.0,0.078123026,0.0,0.17887273,0.0
0.9976799,0.0023488032,0.99999964,0.0,0.14187865,0.0,0.07408517,0.0,0.17384343,0.0
0.99803454,0.0024159118,0.99999976,0.0,0.10121694,0.0,0.0707684,0.0,0.16895154,0.0
0.99833316,0.0024830205,0.9999998,0.0,0.055646833,0.0,0.06823252,0.0,0.1641918,0.0
0.9985848,0.0025501293,0.9999999,0.0,0.004705856,0.0,0.06654282,0.0,0.15955876,0.0
0.9987971,0.0026172376,0.99999994,0.0,-0.05199079,0.0,0.065768704,0.0,0.15504684,0.0
0.99897647,0.0026843464,0.99999994,0.0,-0.11466905,0.0,0.06598115,0.0,0.15065028,0.0
0.9991281,0.0027514552,0.99999994,0.0,-0.18328558,0.0,0.067248374,0.0,0.1463632,0.0
0.99925643,0.0028185637,1.0,0.0,-0.25739413,0.0,0.06962961,0.0,0.14217964,0.0
0.99936515,0.0028856725,1.0,0.0,-0.33601102,0.0,0.07316689,0.0,0.13809358,0.0
0.9994574,0.002952781,1.0,0.0,-0.41752326,0.0,0.0778756,0.0,0.13409907,0.0
0.99953574,0.0030198896,1.0,0.0,-0.49970248,0.0,0.08373552,0.0,0.13019036,0.0
0.9996023,0.0030869984,1.0,0.0,-0.57988024,0.0,0.09068487,0.0,0.12636194,0.0
0.999659,0.0031515874,1.0,0.0,-0.6552944,0.0,0.09861996,0.0,0.122608826,0.0
0.9997073,0.003084479,1.0,0.0,-0.7235322,0.0,0.10740188,0.0,0.11892653,0.0
0.99974847,0.0030173704,1.0,0.0,-0.78292394,0.0,0.1168691,0.0,0.11531118,0.0
0.99978364,0.0029502616,1.0,0.0,-0.8327452,0.0,0.12685308,0.0,0.111759536,0.0
0.9998137,0.002883153,1.0,0.0,-0.87317467,0.0,0.13719258,0.0,0.10826895,0.0
0.99983937,0.0028160445,1.0,0.0,-0.9050643,0.0,0.14774409,0.0,0.10483726,0.0
0.9998614,0.0027489355,1.0,0.0,-0.92964035,0.0,0.15838729,0.0,0.10146276,0.0
0.9998803,0.002681827,1.0,0.0,-0.9482375,0.0,0.16902602,0.0,0.098144084,0.0
0.99989647,0.0026147184,1.0,0.0,-0.9621168,0.0,0.17958657,0.0,0.09488011,0.0
0.9999104,0.0025476096,1.0,0.0,-0.9723707,0.0,0.19001439,0.0,0.09166995,0.0
0.9999224,0.002480501,1.0,0.0,-0.9798919,0.0,0.20027043,0.0,0.088512816,0.0
0.9999327,0.002413392,1.0,0.0,-0.9853819,0.0,0.21032773,0.0,0.08540804,0.0
0.9999415,0.0023462835,1.0,0.0,-0.9893767,0.0,0.2201685,0.0,0.08235502,0.0
0.9999492,0.002279175,1.0,0.0,-0.9922782,0.0,0.22978176,0.0,0.079353206,0.0
0.99995583,0.002212066,1.0,0.0,-0.9943838,0.0,0.23916155,0.0,0.076402046,0.0
0.99996156,0.0021449577,1.0,0.0,-0.99591154,0.0,0.24830551,0.0,0.07350104,0.0
0.9999665,0.002077849,1.0,0.0,-0.99702036,0.0,0.25721383,0.0,0.070649676,0.0
0.99997073,0.00201074,1.0,0.0,-0.9978257,0.0,0.26588866,0.0,0.06784744,0.0
0.9999745,0.0019436316,1.0,0.0,-0.9984112,0.0,0.27433327,0.0,0.06509383,0.0
0.9999777,0.001876523,1.0,0.0,-0.99883735,0.0,0.2825519,0.0,0.06238832,0.0
0.9999805,0.0018094141,1.0,0.0,-0.99914795,0.0,0.29054946,0.0,0.05973039,0.0
0.9999829,0.0017423056,1.0,0.0,-0.99937457,0.0,0.29833105,0.0,0.057119507,0.0
0.99998504,0.001675197,1.0,0.0,-0.9995402,0.0,0.30590215,0.0,0.054555133,0.0
0.9999869,0.0016080881,1.0,0.0,-0.99966145,0.0,0.31326833,0.0,0.052036725,0.0
0.9999885,0.0015409796,1.0,0.0,-0.9997503,0.0,0.32043517,0.0,0.049563725,0.0
0.99998987,0.0014738711,1.0,0.0,-0.9998156,0.0,0.32740825,0.0,0.047135573,0.0
0.9999911,0.0014067622,1.0,0.0,-0.99986356,0.0,0.3341931,0.0,0.0447517,0.0
